Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-04,09:10:00,25.345,25.345,25.05,25.25,1570,0
2017-10-04,09:15:00,25.29,25.42,25.29,25.42,998,0
2017-10-04,09:25:00,25.41,25.41,25.41,25.41,4,0
2017-10-04,09:30:00,25.465,25.48,25.465,25.475,52,0
2017-10-04,09:40:00,25.475,25.54,25.475,25.54,979,0
2017-10-04,09:45:00,25.54,25.54,25.54,25.54,48,0
2017-10-04,09:50:00,25.54,25.54,25.52,25.525,275,0
2017-10-04,10:05:00,25.505,25.505,25.5,25.5,6,0
2017-10-04,10:20:00,25.485,25.485,25.45,25.45,200,0
2017-10-04,10:35:00,25.47,25.47,25.425,25.425,1305,0
2017-10-04,11:05:00,25.48,25.48,25.48,25.48,4,0
2017-10-04,11:25:00,25.48,25.48,25.48,25.48,4,0
2017-10-04,11:35:00,25.48,25.48,25.48,25.48,4,0
2017-10-04,11:50:00,25.48,25.54,25.48,25.54,270,0
2017-10-04,12:00:00,25.575,25.59,25.575,25.575,163,0
2017-10-04,12:20:00,25.58,25.58,25.345,25.345,597,0
2017-10-04,12:35:00,25.42,25.42,25.42,25.42,69,0
2017-10-04,12:40:00,25.49,25.495,25.49,25.495,29,0
2017-10-04,12:50:00,25.495,25.495,25.495,25.495,11,0
2017-10-04,12:55:00,25.425,25.425,25.425,25.425,89,0
2017-10-04,13:05:00,25.485,25.485,25.48,25.48,28,0
2017-10-04,13:15:00,25.455,25.455,25.455,25.455,11,0
2017-10-04,13:20:00,25.425,25.425,25.36,25.36,135,0
2017-10-04,13:30:00,25.375,25.435,25.375,25.435,191,0
2017-10-04,13:35:00,25.36,25.36,25.36,25.36,100,0
2017-10-04,13:40:00,25.33,25.33,25.275,25.275,170,0
2017-10-04,14:05:00,25.225,25.225,25.225,25.225,124,0
2017-10-04,14:10:00,25.345,25.345,25.345,25.345,12,0
2017-10-04,14:35:00,25.425,25.425,25.425,25.425,213,0
2017-10-04,14:45:00,25.335,25.34,25.31,25.31,764,0
2017-10-04,15:10:00,25.25,25.25,25.075,25.08,1306,0
2017-10-04,15:15:00,25.125,25.125,25.125,25.125,45,0
2017-10-04,15:20:00,25.18,25.18,25.18,25.18,50,0
2017-10-04,15:45:00,25.245,25.245,25.22,25.22,855,0
2017-10-04,15:50:00,25.22,25.22,25.165,25.195,337,0
2017-10-04,15:55:00,25.13,25.13,25.13,25.13,187,0
2017-10-04,16:00:00,25.27,25.31,25.205,25.205,468,0
2017-10-04,16:10:00,25.21,25.21,25.155,25.175,386,0
2017-10-04,16:25:00,25.115,25.115,25.115,25.115,39,0
2017-10-04,16:30:00,25.125,25.14,25.035,25.035,382,0
2017-10-04,16:35:00,25.075,25.075,24.465,24.97,3011,0
2017-10-04,16:40:00,24.99,25.045,24.99,25.045,600,0
2017-10-04,16:45:00,25.035,25.035,25.035,25.035,265,0
2017-10-04,16:50:00,25,25,24.99,24.99,205,0
2017-10-04,17:00:00,25.04,25.04,25.04,25.04,70,0
2017-10-04,17:10:00,25,25.005,24.845,24.915,1010,0
2017-10-04,17:25:00,24.965,24.99,24.965,24.99,247,0
2017-10-04,17:30:00,25.055,25.055,24.895,24.9,1599,0
2017-10-05,09:05:00,24.825,24.825,24.825,24.825,85,0
2017-10-05,09:10:00,24.885,24.885,24.885,24.885,20,0
2017-10-05,09:20:00,24.975,24.975,24.915,24.915,285,0
2017-10-05,09:25:00,24.88,24.94,24.88,24.94,485,0
2017-10-05,09:55:00,24.86,24.86,24.86,24.86,2,0
2017-10-05,10:15:00,24.86,24.91,24.86,24.91,49,0
2017-10-05,10:45:00,24.85,24.895,24.85,24.895,698,0
2017-10-05,10:55:00,24.985,24.985,24.985,24.985,64,0
2017-10-05,11:25:00,24.935,24.935,24.935,24.935,180,0
2017-10-05,11:50:00,25.07,25.07,24.935,24.935,376,0
2017-10-05,11:55:00,24.9,24.9,24.9,24.9,6,0
2017-10-05,12:40:00,24.91,24.91,24.91,24.91,34,0
2017-10-05,12:50:00,24.9,24.9,24.9,24.9,132,0
2017-10-05,13:00:00,24.915,24.935,24.86,24.865,726,0
2017-10-05,13:45:00,24.895,24.9,24.895,24.9,203,0
2017-10-05,13:50:00,24.94,24.94,24.915,24.915,168,0
2017-10-05,14:05:00,24.945,24.945,24.945,24.945,44,0
2017-10-05,14:10:00,24.945,24.945,24.91,24.91,74,0
2017-10-05,14:20:00,24.91,24.985,24.91,24.985,109,0
2017-10-05,14:45:00,24.905,24.905,24.885,24.885,259,0
2017-10-05,15:05:00,24.845,24.845,24.845,24.845,120,0
2017-10-05,15:30:00,24.905,24.905,24.885,24.905,738,0
2017-10-05,16:20:00,24.915,24.915,24.915,24.915,10,0
2017-10-05,16:25:00,24.92,24.92,24.92,24.92,25,0
2017-10-05,16:30:00,24.9,24.9,24.9,24.9,34,0
2017-10-05,16:35:00,24.885,24.93,24.885,24.89,286,0
2017-10-05,16:45:00,24.845,24.845,24.845,24.845,22,0
2017-10-05,16:55:00,24.87,24.87,24.87,24.87,66,0
2017-10-05,17:00:00,24.845,24.845,24.845,24.845,54,0
2017-10-05,17:15:00,24.79,24.865,24.695,24.865,418,0
2017-10-05,17:20:00,24.87,24.87,24.86,24.86,18,0
2017-10-05,17:25:00,24.815,24.815,24.73,24.73,303,0
2017-10-05,17:30:00,24.74,25,24.73,25,1149,0
2017-10-06,09:05:00,25,25,25,25,20,0
2017-10-06,09:25:00,24.925,24.925,24.925,24.925,138,0
2017-10-06,09:50:00,24.995,24.995,24.995,24.995,100,0
2017-10-06,09:55:00,24.855,24.855,24.855,24.855,31,0
2017-10-06,10:15:00,24.99,24.995,24.98,24.995,300,0
2017-10-06,10:20:00,24.99,25,24.93,24.93,3373,0
2017-10-06,10:40:00,25,25.095,25,25.095,287,0
2017-10-06,10:45:00,25.095,25.105,25.095,25.105,850,0
2017-10-06,10:50:00,25.15,25.15,25.15,25.15,108,0
2017-10-06,11:15:00,25.185,25.185,25.185,25.185,169,0
