Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-08,11:10:00,0.076,0.076,0.076,0.076,4000,0
2015-04-10,09:05:00,0.079,0.079,0.079,0.079,10,0
2015-04-10,11:05:00,0.079,0.079,0.079,0.079,60,0
2015-04-10,11:10:00,0.079,0.079,0.079,0.079,50,0
2015-04-13,09:40:00,0.078,0.078,0.078,0.078,10000,0
2015-04-14,16:15:00,0.08,0.08,0.08,0.08,30,0
2015-04-14,16:20:00,0.08,0.08,0.08,0.08,30,0
2015-04-15,12:05:00,0.08,0.08,0.08,0.08,13210,0
2015-04-20,14:10:00,0.079,0.079,0.079,0.079,11000,0
2015-04-20,17:30:00,0.079,0.079,0.079,0.079,59000,0
2015-04-24,14:15:00,0.079,0.079,0.079,0.079,250,0
2015-04-24,14:20:00,0.079,0.079,0.079,0.079,250,0
2015-04-28,17:30:00,0.079,0.079,0.079,0.079,12000,0
2015-04-30,13:10:00,0.078,0.078,0.078,0.078,40000,0
2015-05-06,09:40:00,0.078,0.078,0.078,0.078,40000,0
2015-05-08,14:20:00,0.079,0.079,0.079,0.079,30000,0
2015-05-11,09:05:00,0.078,0.078,0.078,0.078,61000,0
2015-05-12,10:50:00,0.075,0.075,0.075,0.075,15000,0
2015-05-12,14:05:00,0.073,0.073,0.073,0.073,15440,0
2015-05-14,14:40:00,0.073,0.073,0.073,0.073,200,0
2015-05-21,11:50:00,0.073,0.073,0.073,0.073,30,0
2015-05-26,09:05:00,0.073,0.073,0.073,0.073,40,0
2015-05-27,08:50:00,0.073,0.073,0.073,0.073,20,0
2015-06-02,09:05:00,0.072,0.072,0.072,0.072,81,0
2015-06-02,17:30:00,0.075,0.075,0.075,0.075,5081,0
2015-06-03,09:05:00,0.077,0.077,0.077,0.077,2000,0
2015-06-11,16:50:00,0.072,0.072,0.072,0.072,10,0
2015-06-11,17:30:00,0.073,0.073,0.073,0.073,20,0
2015-06-12,14:55:00,0.072,0.072,0.072,0.072,20,0
2015-06-15,09:05:00,0.072,0.072,0.072,0.072,25,0
2015-06-15,11:00:00,0.073,0.073,0.073,0.073,2025,0
2015-06-17,09:05:00,0.074,0.074,0.074,0.074,3150,0
2015-06-17,15:00:00,0.073,0.073,0.073,0.073,3210,0
2015-06-19,14:20:00,0.073,0.073,0.073,0.073,15000,0
2015-06-19,16:10:00,0.073,0.073,0.073,0.073,16000,0
2015-06-22,09:05:00,0.073,0.073,0.073,0.073,4180,0
2015-06-22,17:30:00,0.073,0.073,0.073,0.073,22180,0
2015-06-24,15:30:00,0.074,0.074,0.074,0.074,290,0
2015-06-26,10:30:00,0.073,0.073,0.073,0.073,100,0
2015-07-09,09:05:00,0.06,0.06,0.06,0.06,34000,0
2015-07-15,09:05:00,0.061,0.061,0.061,0.061,50,0
2015-07-20,10:45:00,0.061,0.061,0.061,0.061,1180,0
2015-07-20,13:10:00,0.061,0.061,0.061,0.061,100,0
2015-07-20,14:00:00,0.06,0.06,0.06,0.06,11280,0
2015-07-22,17:30:00,0.061,0.061,0.061,0.061,1500,0
2015-07-23,14:00:00,0.061,0.061,0.061,0.061,1000,0
2015-07-27,11:25:00,0.061,0.061,0.061,0.061,7000,0
