Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-09-08,17:30:00,0.185,0.185,0.185,0.185,8748,0
2015-09-10,16:25:00,0.161,0.161,0.161,0.161,300,0
2015-09-10,17:30:00,0.16,0.16,0.16,0.16,900,0
2015-09-11,09:05:00,0.17,0.17,0.17,0.17,55,0
2015-09-11,09:10:00,0.16,0.16,0.16,0.16,581,0
2015-09-14,10:50:00,0.16,0.16,0.16,0.16,200,0
2015-09-15,09:05:00,0.17,0.17,0.17,0.17,11000,0
2015-09-15,09:10:00,0.17,0.17,0.17,0.17,11490,0
2015-09-16,16:05:00,0.16,0.16,0.16,0.16,1772,0
2015-09-17,09:15:00,0.163,0.163,0.163,0.163,2000,0
2015-09-17,17:30:00,0.163,0.163,0.163,0.163,2498,0
2015-09-18,09:05:00,0.151,0.151,0.151,0.151,200,0
2015-09-23,17:15:00,0.172,0.172,0.172,0.172,3800,0
2015-09-25,09:20:00,0.152,0.152,0.152,0.152,4000,0
2015-09-25,15:10:00,0.152,0.152,0.151,0.151,2000,0
2015-09-25,17:30:00,0.151,0.151,0.151,0.151,10826,0
2015-09-28,09:05:00,0.15,0.15,0.15,0.15,25,0
2015-09-28,10:15:00,0.168,0.168,0.168,0.168,2000,0
2015-09-28,13:45:00,0.151,0.151,0.151,0.151,405,0
2015-09-28,16:00:00,0.151,0.151,0.151,0.151,36,0
2015-09-28,17:30:00,0.15,0.15,0.15,0.15,8926,0
2015-09-29,17:30:00,0.155,0.155,0.155,0.155,7880,0
2015-10-02,11:50:00,0.15,0.15,0.15,0.15,100,0
2015-10-02,17:25:00,0.156,0.156,0.156,0.156,1100,0
2015-10-05,09:05:00,0.17,0.17,0.17,0.17,1000,0
2015-10-05,15:25:00,0.157,0.157,0.157,0.157,1060,0
2015-10-06,13:30:00,0.17,0.17,0.17,0.17,2000,0
2015-10-07,10:55:00,0.161,0.161,0.161,0.161,2000,0
2015-10-07,12:40:00,0.156,0.156,0.1,0.1,10855,0
2015-10-07,15:05:00,0.15,0.15,0.15,0.15,14855,0
2015-10-08,11:40:00,0.125,0.125,0.125,0.125,20,0
2015-10-08,15:50:00,0.125,0.125,0.125,0.125,1800,0
2015-10-08,17:25:00,0.166,0.166,0.166,0.166,4390,0
2015-10-09,12:50:00,0.132,0.132,0.13,0.13,7787,0
2015-10-09,15:55:00,0.12,0.12,0.12,0.12,1900,0
2015-10-09,16:15:00,0.12,0.12,0.12,0.12,100,0
2015-10-09,16:25:00,0.13,0.13,0.13,0.13,900,0
2015-10-09,17:15:00,0.135,0.135,0.135,0.135,19113,0
2015-10-13,09:05:00,0.135,0.135,0.135,0.135,200,0
2015-10-14,09:30:00,0.125,0.125,0.125,0.125,4000,0
2015-10-15,17:25:00,0.145,0.145,0.145,0.145,5000,0
2015-10-16,09:05:00,0.145,0.145,0.145,0.145,100,0
2015-10-16,11:40:00,0.159,0.159,0.159,0.159,1000,0
2015-10-16,12:50:00,0.159,0.159,0.159,0.159,3900,0
2015-10-21,09:10:00,0.16,0.16,0.16,0.16,3000,0
2015-10-21,13:20:00,0.155,0.155,0.155,0.155,10000,0
2015-10-21,16:25:00,0.126,0.126,0.126,0.126,13200,0
2015-10-22,11:55:00,0.145,0.145,0.145,0.145,1000,0
2015-10-22,12:10:00,0.161,0.165,0.161,0.165,5000,0
2015-10-26,16:20:00,0.133,0.133,0.131,0.131,10000,0
2015-10-26,17:10:00,0.148,0.148,0.148,0.148,2000,0
2015-10-27,09:30:00,0.145,0.145,0.145,0.145,2000,0
2015-10-28,09:05:00,0.13,0.13,0.13,0.13,43,0
2015-10-28,11:05:00,0.13,0.13,0.13,0.13,300,0
2015-10-28,17:10:00,0.19,0.19,0.19,0.19,100,0
2015-10-29,10:30:00,0.141,0.141,0.141,0.141,35,0
2015-10-29,13:20:00,0.141,0.141,0.141,0.141,400,0
2015-10-29,16:15:00,0.141,0.141,0.141,0.141,65,0
2015-10-29,17:30:00,0.142,0.142,0.142,0.142,8769,0
2015-10-30,16:45:00,0.161,0.161,0.161,0.161,5319,0
2015-10-30,17:00:00,0.161,0.161,0.161,0.161,457,0
2015-11-02,09:05:00,0.143,0.143,0.143,0.143,500,0
2015-11-02,09:25:00,0.16,0.16,0.16,0.16,7060,0
2015-11-02,10:50:00,0.143,0.143,0.143,0.143,400,0
2015-11-02,11:10:00,0.16,0.16,0.16,0.16,75,0
2015-11-02,15:05:00,0.143,0.143,0.143,0.143,7060,0
2015-11-02,17:30:00,0.146,0.146,0.146,0.146,5776,0
2015-11-04,10:40:00,0.145,0.145,0.145,0.145,230,0
2015-11-04,17:30:00,0.144,0.144,0.144,0.144,230,0
2015-11-06,10:10:00,0.143,0.143,0.143,0.143,75,0
2015-11-09,17:30:00,0.15,0.15,0.15,0.15,75,0
2015-11-11,11:05:00,0.157,0.157,0.157,0.157,2000,0
2015-11-11,11:35:00,0.159,0.159,0.159,0.159,4400,0
2015-11-11,13:20:00,0.153,0.153,0.153,0.153,2000,0
2015-11-11,15:05:00,0.142,0.142,0.142,0.142,1200,0
2015-11-11,17:30:00,0.142,0.142,0.142,0.142,4331,0
2015-11-12,09:20:00,0.14,0.141,0.14,0.141,2071,0
2015-11-17,17:30:00,0.133,0.133,0.133,0.133,69,0
2015-11-18,09:05:00,0.22,0.22,0.22,0.22,1000,0
2015-11-18,15:25:00,0.148,0.148,0.148,0.148,1000,0
2015-11-18,17:05:00,0.17,0.17,0.17,0.17,100,0
2015-11-19,11:50:00,0.141,0.141,0.141,0.141,54,0
2015-11-19,17:30:00,0.141,0.141,0.141,0.141,54,0
2015-11-20,11:40:00,0.141,0.141,0.141,0.141,1000,0
2015-11-26,09:05:00,0.132,0.132,0.132,0.132,14,0
2015-11-26,09:40:00,0.133,0.133,0.133,0.133,1800,0
2015-11-26,12:35:00,0.149,0.149,0.149,0.149,1614,0
2015-11-26,14:35:00,0.154,0.154,0.154,0.154,176,0
2015-11-26,15:40:00,0.15,0.15,0.15,0.15,372,0
2015-11-26,17:30:00,0.132,0.132,0.132,0.132,2000,0
2015-11-30,09:05:00,0.17,0.17,0.17,0.17,1200,0
2015-12-01,09:05:00,0.165,0.165,0.165,0.165,400,0
