Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-23,10:10:00,0.096,0.096,0.096,0.096,150,0
2015-04-30,14:40:00,0.095,0.095,0.095,0.095,300,0
2015-05-06,14:50:00,0.095,0.095,0.095,0.095,1000,0
2015-05-12,11:10:00,0.091,0.091,0.091,0.091,1000,0
2015-05-14,12:20:00,0.134,0.134,0.134,0.134,1700,0
2015-05-14,12:25:00,0.133,0.133,0.133,0.133,27246,0
2015-05-15,09:05:00,0.139,0.139,0.139,0.139,1550,0
2015-05-15,10:10:00,0.135,0.135,0.135,0.135,1780,0
2015-05-18,09:30:00,0.117,0.117,0.117,0.117,12773,0
2015-05-18,11:50:00,0.16,0.16,0.16,0.16,15000,0
2015-05-18,13:20:00,0.138,0.138,0.138,0.138,2200,0
2015-05-18,13:40:00,0.143,0.143,0.143,0.143,10500,0
2015-05-18,13:55:00,0.117,0.117,0.117,0.117,12501,0
2015-05-18,17:30:00,0.141,0.141,0.119,0.119,103372,0
2015-05-19,09:20:00,0.139,0.139,0.139,0.139,12773,0
2015-05-19,09:25:00,0.118,0.118,0.118,0.118,11278,0
2015-05-19,09:30:00,0.138,0.138,0.138,0.138,11278,0
2015-05-19,09:40:00,0.122,0.122,0.122,0.122,11628,0
2015-05-19,13:50:00,0.125,0.125,0.125,0.125,5000,0
2015-05-19,13:55:00,0.125,0.125,0.125,0.125,2400,0
2015-05-19,15:30:00,0.124,0.124,0.124,0.124,10308,0
2015-05-19,17:30:00,0.116,0.116,0.116,0.116,64665,0
2015-05-20,13:50:00,0.12,0.12,0.12,0.12,22906,0
2015-06-03,16:40:00,0.116,0.116,0.11,0.11,30800,0
2015-06-05,09:20:00,0.115,0.115,0.115,0.115,8696,0
2015-06-05,09:25:00,0.133,0.133,0.133,0.133,15000,0
2015-06-05,09:35:00,0.133,0.133,0.133,0.133,12633,0
2015-06-05,09:45:00,0.137,0.137,0.137,0.137,10281,0
2015-06-05,09:50:00,0.133,0.133,0.133,0.133,22004,0
2015-06-05,10:00:00,0.141,0.141,0.141,0.141,8684,0
2015-06-05,10:10:00,0.115,0.119,0.115,0.119,30461,0
2015-06-05,10:15:00,0.13,0.13,0.13,0.13,17951,0
2015-06-05,10:30:00,0.133,0.133,0.13,0.13,23175,0
2015-06-05,10:55:00,0.128,0.128,0.128,0.128,15000,0
2015-06-05,11:00:00,0.133,0.133,0.133,0.133,150,0
2015-06-05,11:30:00,0.131,0.131,0.131,0.131,11400,0
2015-06-05,15:10:00,0.123,0.123,0.123,0.123,8900,0
2015-06-05,15:15:00,0.119,0.119,0.119,0.119,26394,0
2015-06-05,15:20:00,0.117,0.117,0.117,0.117,12539,0
2015-06-05,15:25:00,0.128,0.134,0.128,0.134,31773,0
2015-06-05,15:55:00,0.124,0.124,0.124,0.124,9000,0
2015-06-05,17:30:00,0.127,0.131,0.123,0.131,379893,0
2015-06-08,17:30:00,0.133,0.133,0.133,0.133,13800,0
2015-06-09,09:25:00,0.117,0.131,0.117,0.131,26512,0
2015-06-09,09:30:00,0.137,0.137,0.137,0.137,13747,0
2015-06-09,09:35:00,0.15,0.15,0.15,0.15,5000,0
2015-06-09,15:55:00,0.13,0.13,0.13,0.13,500,0
2015-06-09,17:05:00,0.131,0.131,0.131,0.131,5000,0
2015-06-09,17:10:00,0.132,0.132,0.132,0.132,74271,0
2015-06-12,12:05:00,0.128,0.128,0.128,0.128,300,0
