Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-16,09:05:00,49.09,49.09,49.09,49.09,444,0
2017-10-16,09:15:00,48.7,48.7,48.39,48.39,1273,0
2017-10-16,09:35:00,48.495,48.635,48.38,48.38,513,0
2017-10-16,09:40:00,48.38,48.405,48.38,48.405,207,0
2017-10-16,10:05:00,48.38,48.38,48.345,48.36,123,0
2017-10-16,10:10:00,48.145,48.145,48.11,48.11,125,0
2017-10-16,10:15:00,48.1,48.1,48.1,48.1,72,0
2017-10-16,10:25:00,48.37,48.37,48.37,48.37,72,0
2017-10-16,10:35:00,48.11,48.11,48.105,48.105,199,0
2017-10-16,10:55:00,48.125,48.125,48.08,48.1,516,0
2017-10-16,11:15:00,48,48,48,48,500,0
2017-10-16,11:40:00,48.12,48.12,48.095,48.095,317,0
2017-10-16,12:20:00,48,48.115,47.96,48.115,2528,0
2017-10-16,12:30:00,47.875,47.885,47.875,47.885,423,0
2017-10-16,12:40:00,48.115,48.115,48.115,48.115,65,0
2017-10-16,12:45:00,47.91,47.91,47.885,47.885,283,0
2017-10-16,13:15:00,47.91,47.91,47.87,47.87,141,0
2017-10-16,13:20:00,47.63,47.715,47.425,47.425,618,0
2017-10-16,13:25:00,47.77,47.77,47.77,47.77,12,0
2017-10-16,13:50:00,47.77,47.77,47.77,47.77,94,0
2017-10-16,14:15:00,47.795,47.795,47.795,47.795,99,0
2017-10-16,14:25:00,47.8,47.8,47.8,47.8,59,0
2017-10-16,15:10:00,47.9,47.9,47.8,47.8,1050,0
2017-10-16,15:30:00,47.825,47.825,47.82,47.82,564,0
2017-10-16,15:40:00,47.95,48,47.95,48,150,0
2017-10-16,15:55:00,48,48,47.76,47.76,850,0
2017-10-16,16:05:00,48,48,48,48,137,0
2017-10-16,16:10:00,47.845,47.845,47.845,47.845,305,0
2017-10-16,16:20:00,48.115,48.12,48,48,206,0
2017-10-16,16:30:00,48.015,48.095,48.015,48.095,220,0
2017-10-16,16:40:00,47.92,47.92,47.92,47.92,146,0
2017-10-16,16:50:00,48.035,48.24,47.985,48.24,770,0
2017-10-16,17:00:00,48.24,48.24,48.24,48.24,21,0
2017-10-16,17:15:00,48.035,48.035,48.01,48.01,289,0
2017-10-16,17:20:00,48.01,48.01,48.01,48.01,54,0
2017-10-16,17:25:00,48.02,48.02,48.02,48.02,27,0
2017-10-16,17:30:00,48.23,48.395,48,48.115,887,0
2017-10-17,09:05:00,48.45,48.5,48.45,48.5,1695,0
2017-10-17,09:10:00,48.95,49.16,48.95,49.16,272,0
2017-10-17,09:15:00,49.19,49.19,49.185,49.185,26,0
2017-10-17,09:25:00,49.18,49.18,48.935,48.935,766,0
2017-10-17,10:00:00,48.995,48.995,48.995,48.995,1,0
2017-10-17,10:15:00,48.985,48.985,48.985,48.985,1,0
2017-10-17,10:30:00,48.975,48.975,48.975,48.975,1,0
2017-10-17,10:40:00,48.965,48.965,48.965,48.965,1,0
2017-10-17,10:50:00,48.92,48.97,48.82,48.82,293,0
2017-10-17,10:55:00,48.735,48.735,48.735,48.735,7,0
2017-10-17,11:00:00,48.735,48.735,48.71,48.71,70,0
2017-10-17,11:05:00,48.71,48.745,48.71,48.745,276,0
2017-10-17,11:10:00,48.515,48.515,48.515,48.515,197,0
2017-10-17,11:25:00,48.405,48.405,48.4,48.4,359,0
2017-10-17,11:40:00,48.265,48.265,48.265,48.265,56,0
2017-10-17,11:45:00,48.265,48.265,48.255,48.255,182,0
2017-10-17,11:55:00,48.4,48.4,48.4,48.4,10,0
2017-10-17,12:00:00,48.425,48.425,48.26,48.26,32,0
2017-10-17,12:05:00,48.465,48.465,48.465,48.465,58,0
2017-10-17,12:10:00,48.36,48.36,48.36,48.36,46,0
2017-10-17,12:15:00,48.335,48.335,48.31,48.31,121,0
2017-10-17,12:20:00,48.26,48.26,48.11,48.11,257,0
2017-10-17,12:35:00,48.015,48.015,48.005,48.005,52,0
2017-10-17,12:55:00,48.095,48.135,48.095,48.135,42,0
2017-10-17,13:00:00,48.215,48.215,48.215,48.215,53,0
2017-10-17,13:20:00,48.135,48.135,48.135,48.135,25,0
2017-10-17,13:25:00,48.11,48.11,47.94,47.94,222,0
2017-10-17,13:35:00,47.98,47.98,47.98,47.98,4,0
2017-10-17,13:55:00,48.125,48.125,48.125,48.125,1,0
2017-10-17,14:20:00,48.145,48.17,48.145,48.17,126,0
2017-10-17,14:25:00,48.19,48.195,48.19,48.195,99,0
2017-10-17,14:35:00,48.12,48.12,48.12,48.12,23,0
2017-10-17,14:40:00,48.125,48.125,48.125,48.125,125,0
2017-10-17,14:45:00,48.285,48.285,48.285,48.285,60,0
2017-10-17,14:55:00,48.125,48.125,48.125,48.125,14,0
2017-10-17,15:10:00,48.315,48.315,48.315,48.315,7,0
2017-10-17,15:25:00,48.38,48.39,48.38,48.39,182,0
2017-10-17,15:30:00,48.42,48.42,48.42,48.42,1,0
2017-10-17,15:35:00,48.235,48.235,48.235,48.235,111,0
2017-10-17,15:40:00,48.23,48.295,48.1,48.295,603,0
2017-10-17,15:45:00,48.295,48.295,48.105,48.105,259,0
2017-10-17,16:00:00,48.22,48.22,48.22,48.22,367,0
2017-10-17,16:10:00,48.335,48.35,48.335,48.35,33,0
2017-10-17,16:20:00,48.39,48.39,48.35,48.35,346,0
2017-10-17,16:35:00,48.3,48.3,48.275,48.275,456,0
2017-10-17,16:45:00,48.105,48.17,48.1,48.17,305,0
2017-10-17,16:50:00,48.12,48.125,48.12,48.125,22,0
2017-10-17,16:55:00,48,48.085,48,48.04,683,0
2017-10-17,17:05:00,47.95,48.07,47.95,48.07,245,0
2017-10-17,17:10:00,48.135,48.135,48.135,48.135,10,0
2017-10-17,17:20:00,48.15,48.15,48,48,638,0
2017-10-17,17:25:00,48.175,48.175,48,48.09,58,0
2017-10-17,17:30:00,48.01,48.28,48.01,48.08,1266,0
2017-10-18,09:05:00,48.345,48.345,48.345,48.345,9,0
2017-10-18,09:10:00,48.02,48.02,48.015,48.015,230,0
2017-10-18,09:30:00,48.14,48.14,48.14,48.14,40,0
2017-10-18,09:35:00,48.24,48.24,48.155,48.155,16,0
2017-10-18,09:40:00,48.065,48.065,48.06,48.06,201,0
2017-10-18,09:45:00,47.855,47.855,47.855,47.855,72,0
2017-10-18,09:50:00,48.055,48.055,48.055,48.055,42,0
2017-10-18,09:55:00,48.055,48.265,48.055,48.265,107,0
2017-10-18,10:00:00,47.99,47.99,47.99,47.99,120,0
2017-10-18,10:25:00,47.99,47.99,47.955,47.955,685,0
2017-10-18,10:30:00,48,48,48,48,300,0
2017-10-18,10:45:00,48.14,48.27,48.14,48.27,416,0
2017-10-18,11:00:00,48.355,48.355,48.355,48.355,25,0
2017-10-18,11:10:00,48.49,48.49,48.49,48.49,131,0
2017-10-18,11:15:00,48.49,48.49,48.49,48.49,60,0
2017-10-18,11:30:00,48.345,48.5,48.345,48.5,325,0
2017-10-18,11:40:00,48.35,48.35,48.35,48.35,130,0
2017-10-18,11:50:00,48.5,48.66,48.5,48.66,172,0
2017-10-18,12:00:00,48.785,48.785,48.785,48.785,19,0
2017-10-18,12:20:00,48.91,48.94,48.79,48.8,809,0
2017-10-18,12:25:00,49.045,49.045,49.045,49.045,67,0
2017-10-18,12:35:00,48.875,48.875,48.85,48.85,409,0
2017-10-18,13:05:00,48.92,48.92,48.92,48.92,4,0
2017-10-18,13:15:00,48.805,48.805,48.805,48.805,82,0
2017-10-18,13:20:00,48.58,48.58,48.58,48.58,26,0
2017-10-18,13:35:00,48.815,48.82,48.815,48.82,100,0
2017-10-18,13:45:00,48.935,48.935,48.935,48.935,3,0
2017-10-18,14:05:00,48.705,48.705,48.5,48.5,633,0
2017-10-18,15:05:00,48.625,48.745,48.625,48.745,410,0
2017-10-18,15:15:00,48.49,48.49,48.49,48.49,94,0
2017-10-18,15:45:00,48.685,48.72,48.685,48.72,61,0
2017-10-18,15:55:00,48.66,48.66,48.66,48.66,57,0
2017-10-18,16:05:00,48.88,48.96,48.88,48.96,150,0
