Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-04-20,08:05:00,17.537,17.537,17.537,17.537,52,0
2016-04-20,17:00:00,17.585,17.585,17.585,17.585,624,0
2016-04-20,17:30:00,18.059,18.059,18.059,18.059,208,0
2016-04-21,11:00:00,17.585,17.585,17.585,17.585,338,0
2016-04-21,11:05:00,17.296,17.296,17.103,17.103,182,0
2016-04-21,16:40:00,17.537,17.537,17.537,17.537,182,0
2016-04-21,16:45:00,18.065,18.065,18.06,18.065,1873,0
2016-04-21,16:50:00,17.306,17.306,17.306,17.306,88,0
2016-04-21,16:55:00,17.292,17.292,17.292,17.292,156,0
2016-04-21,17:35:00,17.969,17.969,17.969,17.969,312,0
2016-04-21,18:15:00,18.18,18.181,18.18,18.181,156,0
2016-04-21,19:05:00,18.219,18.219,18.219,18.219,104,0
2016-04-22,08:05:00,18.353,18.353,18.353,18.353,69,0
2016-04-22,08:10:00,18.598,18.598,18.598,18.598,156,0
2016-04-22,09:40:00,18.728,18.94,18.728,18.94,1041,0
2016-04-22,10:00:00,18.737,18.737,18.737,18.737,31,0
2016-04-22,10:20:00,18.738,18.738,18.738,18.738,267,0
2016-04-22,10:25:00,18.738,18.738,18.113,18.601,769,0
2016-04-22,10:30:00,18.065,18.065,18.065,18.065,114,0
2016-04-22,10:50:00,18.777,18.977,18.777,18.977,312,0
2016-04-22,11:00:00,18.978,18.978,18.978,18.978,490,0
2016-04-22,12:00:00,18.786,18.786,18.786,18.786,156,0
2016-04-22,12:10:00,18.738,18.738,18.321,18.738,82,0
2016-04-22,14:15:00,18.978,18.978,18.978,18.978,551,0
2016-04-22,15:20:00,18.435,18.435,18.435,18.435,104,0
2016-04-22,17:05:00,19.093,19.093,19.093,19.093,236,0
2016-04-22,17:35:00,18.517,18.517,18.517,18.517,104,0
2016-04-25,08:10:00,19.838,19.838,19.838,19.838,1041,0
2016-04-25,08:50:00,19.7,19.7,19.699,19.699,468,0
2016-04-25,09:20:00,18.643,18.643,18.643,18.643,26,0
2016-04-25,09:35:00,19.987,19.987,19.987,19.987,156,0
2016-04-25,09:40:00,19.891,19.891,19.891,19.891,104,0
2016-04-25,09:55:00,18.75,18.75,18.75,18.75,83,0
2016-04-25,15:55:00,19.123,19.123,19.123,19.123,364,0
2016-04-25,16:05:00,19.688,19.688,19.688,19.688,104,0
2016-04-25,17:20:00,19.66,19.66,19.66,19.66,229,0
2016-04-26,08:20:00,19.122,19.122,19.122,19.122,312,0
2016-04-26,08:40:00,20.011,20.011,20.011,20.011,208,0
2016-04-26,09:35:00,20.15,20.15,20.15,20.15,250,0
2016-04-26,10:00:00,19.507,19.507,19.507,19.507,416,0
2016-04-26,11:15:00,19.995,19.995,19.995,19.995,104,0
2016-04-26,12:05:00,19.977,19.977,19.977,19.977,250,0
2016-04-26,13:25:00,19.699,19.699,19.17,19.17,1041,0
