Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-12-06,10:15:00,3.05,3.05,3.05,3.05,2000,0
2016-12-07,10:35:00,3.137,3.137,3.137,3.137,90,0
2016-12-07,16:35:00,2.951,2.951,2.951,2.951,4797,0
2016-12-09,09:10:00,3.097,3.097,3.097,3.097,1620,0
2016-12-12,11:30:00,2.95,2.95,2.95,2.95,1000,0
2016-12-12,11:35:00,2.9,2.9,2.9,2.9,620,0
2016-12-12,16:20:00,3.044,3.044,3.044,3.044,200,0
2016-12-14,09:55:00,2.8,2.8,2.8,2.8,2755,0
2016-12-14,11:40:00,2.699,2.699,2.699,2.699,2275,0
2016-12-14,11:50:00,2.66,2.66,2.65,2.65,5000,0
2016-12-14,11:55:00,2.6,2.65,2.6,2.65,5000,0
2016-12-14,12:05:00,2.85,2.85,2.85,2.85,660,0
2016-12-14,12:15:00,2.9,2.9,2.9,2.9,2000,0
2016-12-14,14:00:00,2.949,2.949,2.949,2.949,340,0
2016-12-14,17:30:00,2.95,2.95,2.95,2.95,296,0
2016-12-15,10:50:00,2.984,2.984,2.984,2.984,412,0
2016-12-15,11:00:00,2.988,2.988,2.988,2.988,50,0
2016-12-15,17:30:00,2.92,2.92,2.92,2.92,296,0
2016-12-16,10:10:00,2.801,2.801,2.801,2.801,100,0
2016-12-16,10:25:00,2.8,2.8,2.749,2.75,3039,0
2016-12-16,10:30:00,2.75,2.75,2.75,2.75,2357,0
2016-12-16,10:45:00,2.721,2.721,2.72,2.72,496,0
2016-12-16,14:30:00,2.719,2.719,2.719,2.719,150,0
2016-12-16,15:05:00,2.72,2.72,2.72,2.72,500,0
2016-12-16,15:10:00,2.72,2.72,2.72,2.72,4,0
2016-12-16,15:20:00,2.799,2.8,2.799,2.8,1000,0
2016-12-16,15:40:00,2.751,2.751,2.751,2.751,10,0
2016-12-19,11:55:00,2.7,2.7,2.7,2.7,1000,0
2016-12-19,12:00:00,2.7,2.7,2.561,2.561,9500,0
2016-12-19,12:05:00,2.65,2.73,2.65,2.73,1500,0
2016-12-19,17:30:00,2.683,2.683,2.683,2.683,280,0
2016-12-20,09:15:00,2.694,2.8,2.694,2.8,2333,0
2016-12-20,09:55:00,2.77,2.77,2.77,2.77,180,0
2016-12-20,13:25:00,2.649,2.649,2.63,2.63,2000,0
2016-12-20,15:35:00,2.655,2.655,2.655,2.655,2500,0
2016-12-20,17:25:00,2.74,2.74,2.74,2.74,500,0
2016-12-20,17:30:00,2.7,2.7,2.7,2.7,295,0
2016-12-21,13:00:00,2.729,2.729,2.729,2.729,1000,0
2016-12-22,09:55:00,2.701,2.701,2.701,2.701,2187,0
2016-12-22,10:40:00,2.739,2.74,2.739,2.74,5436,0
2016-12-22,12:20:00,2.76,2.76,2.76,2.76,441,0
2016-12-22,12:25:00,2.76,2.76,2.76,2.76,4559,0
2016-12-22,12:30:00,2.73,2.73,2.73,2.73,750,0
2016-12-22,17:30:00,2.7,2.7,2.7,2.7,165,0
2016-12-23,09:35:00,2.68,2.68,2.68,2.68,700,0
2016-12-23,15:30:00,2.6,2.6,2.6,2.6,2000,0
2016-12-27,09:20:00,2.78,2.78,2.78,2.78,100,0
2016-12-27,12:10:00,2.7,2.7,2.61,2.61,10000,0
2016-12-27,12:15:00,2.649,2.649,2.649,2.649,1115,0
2016-12-27,12:35:00,2.649,2.649,2.62,2.62,1000,0
2016-12-27,14:10:00,2.641,2.641,2.641,2.641,235,0
2016-12-27,17:25:00,2.641,2.641,2.64,2.64,1123,0
2016-12-27,17:30:00,2.611,2.611,2.611,2.611,8142,0
2016-12-28,13:20:00,2.7,2.7,2.7,2.7,100,0
2016-12-28,15:55:00,2.699,2.7,2.699,2.7,1559,0
2016-12-28,16:35:00,2.7,2.7,2.7,2.7,80,0
2016-12-28,16:45:00,2.7,2.7,2.7,2.7,4000,0
2016-12-28,16:50:00,2.7,2.749,2.7,2.749,3632,0
2016-12-29,09:05:00,2.8,2.8,2.8,2.8,100,0
