Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-02,15:20:00,0.301,0.301,0.272,0.272,13020,0
2015-04-02,17:30:00,0.273,0.273,0.273,0.273,15181,0
2015-04-07,16:30:00,0.319,0.33,0.319,0.33,3110,0
2015-04-07,16:35:00,0.33,0.33,0.33,0.33,1603,0
2015-04-07,17:30:00,0.36,0.36,0.36,0.36,7504,0
2015-04-08,11:10:00,0.35,0.36,0.35,0.36,800,0
2015-04-08,17:30:00,0.36,0.36,0.36,0.36,2213,0
2015-04-10,12:35:00,0.321,0.321,0.321,0.321,1890,0
2015-04-10,12:55:00,0.32,0.32,0.32,0.32,3150,0
2015-04-10,13:50:00,0.32,0.32,0.32,0.32,9429,0
2015-04-10,13:55:00,0.32,0.32,0.32,0.32,4389,0
2015-04-13,16:05:00,0.28,0.28,0.28,0.28,2600,0
2015-04-13,16:45:00,0.26,0.26,0.26,0.26,350,0
2015-04-13,17:30:00,0.265,0.265,0.265,0.265,4840,0
2015-04-14,11:40:00,0.299,0.3,0.299,0.3,2690,0
2015-04-14,15:50:00,0.261,0.261,0.261,0.261,2,0
2015-04-14,17:30:00,0.26,0.26,0.26,0.26,2694,0
2015-04-15,10:05:00,0.26,0.26,0.26,0.26,1172,0
2015-04-15,10:10:00,0.26,0.26,0.26,0.26,1172,0
2015-04-16,09:05:00,0.26,0.26,0.26,0.26,1476,0
2015-04-16,09:40:00,0.25,0.25,0.25,0.25,2000,0
2015-04-16,10:25:00,0.26,0.26,0.26,0.26,2000,0
2015-04-16,12:30:00,0.26,0.26,0.26,0.26,17534,0
2015-04-17,10:35:00,0.28,0.28,0.28,0.28,2800,0
2015-04-17,14:50:00,0.299,0.299,0.299,0.299,300,0
2015-04-17,16:10:00,0.299,0.31,0.299,0.31,7173,0
2015-04-17,16:15:00,0.301,0.301,0.3,0.3,1744,0
2015-04-17,16:20:00,0.3,0.301,0.3,0.3,3814,0
2015-04-17,17:30:00,0.3,0.3,0.3,0.3,26880,0
2015-04-21,09:30:00,0.262,0.262,0.262,0.262,199,0
2015-04-21,11:50:00,0.262,0.262,0.262,0.262,600,0
2015-04-21,17:30:00,0.267,0.267,0.267,0.267,1598,0
2015-04-23,13:15:00,0.252,0.252,0.25,0.25,7790,0
2015-04-23,13:20:00,0.25,0.25,0.25,0.25,4013,0
2015-04-23,15:20:00,0.28,0.28,0.28,0.28,12803,0
2015-04-23,15:25:00,0.28,0.28,0.28,0.28,1000,0
2015-04-24,09:35:00,0.25,0.25,0.25,0.25,150,0
2015-04-24,17:30:00,0.25,0.25,0.25,0.25,1997,0
2015-04-29,10:30:00,0.25,0.25,0.25,0.25,1,0
2015-04-29,16:40:00,0.294,0.295,0.294,0.295,1777,0
2015-04-29,17:20:00,0.251,0.251,0.251,0.251,124,0
2015-04-29,17:30:00,0.25,0.25,0.25,0.25,2370,0
2015-04-30,17:30:00,0.27,0.27,0.27,0.27,4444,0
2015-05-04,11:35:00,0.246,0.246,0.245,0.245,2399,0
2015-05-04,11:40:00,0.245,0.245,0.245,0.245,1291,0
2015-05-04,14:20:00,0.284,0.284,0.284,0.284,7690,0
2015-05-05,11:55:00,0.245,0.245,0.245,0.245,500,0
2015-05-05,15:50:00,0.24,0.24,0.24,0.24,1,0
2015-05-05,17:30:00,0.24,0.24,0.24,0.24,4311,0
2015-05-06,16:30:00,0.29,0.29,0.29,0.29,298,0
2015-05-07,10:20:00,0.241,0.241,0.241,0.241,230,0
2015-05-07,15:45:00,0.29,0.29,0.29,0.29,2230,0
2015-05-08,12:00:00,0.256,0.256,0.256,0.256,240,0
2015-05-12,17:05:00,0.261,0.261,0.261,0.261,200,0
2015-05-15,11:05:00,0.241,0.241,0.241,0.241,6,0
2015-05-18,12:15:00,0.243,0.243,0.243,0.243,700,0
2015-05-18,14:05:00,0.28,0.28,0.28,0.28,3300,0
2015-05-19,09:20:00,0.246,0.246,0.246,0.246,600,0
2015-05-19,09:50:00,0.241,0.246,0.24,0.246,5600,0
2015-05-19,09:55:00,0.289,0.289,0.24,0.24,8363,0
2015-05-19,15:55:00,0.242,0.242,0.24,0.24,12255,0
2015-05-19,17:30:00,0.24,0.24,0.24,0.24,59324,0
2015-05-21,10:50:00,0.24,0.24,0.22,0.22,10146,0
2015-05-22,15:20:00,0.25,0.25,0.25,0.25,2000,0
2015-05-26,11:00:00,0.269,0.3,0.269,0.3,9109,0
2015-05-26,14:15:00,0.3,0.3,0.3,0.3,1500,0
2015-05-26,14:40:00,0.3,0.3,0.3,0.3,5000,0
2015-05-26,15:55:00,0.28,0.28,0.28,0.28,15923,0
2015-05-27,11:05:00,0.31,0.32,0.31,0.32,3100,0
2015-05-27,12:45:00,0.32,0.32,0.32,0.32,7100,0
2015-05-28,13:50:00,0.349,0.35,0.349,0.35,333,0
2015-05-28,16:30:00,0.263,0.263,0.263,0.263,1383,0
2015-05-29,10:00:00,0.241,0.241,0.241,0.241,100,0
2015-05-29,10:35:00,0.3,0.35,0.3,0.35,4000,0
2015-05-29,10:40:00,0.42,0.44,0.392,0.44,7721,0
2015-05-29,10:50:00,0.33,0.33,0.33,0.33,1590,0
2015-05-29,11:10:00,0.33,0.33,0.33,0.33,400,0
2015-05-29,12:05:00,0.301,0.301,0.301,0.301,200,0
2015-05-29,15:35:00,0.301,0.301,0.301,0.301,1019,0
2015-05-29,16:50:00,0.3,0.3,0.3,0.3,1615,0
2015-05-29,17:15:00,0.299,0.299,0.299,0.299,300,0
2015-05-29,17:30:00,0.299,0.299,0.299,0.299,18497,0
2015-06-01,09:05:00,0.299,0.299,0.299,0.299,1000,0
2015-06-01,09:35:00,0.26,0.26,0.26,0.26,2000,0
2015-06-01,09:45:00,0.231,0.231,0.231,0.231,1158,0
2015-06-01,11:50:00,0.293,0.293,0.293,0.293,4598,0
2015-06-02,14:30:00,0.299,0.299,0.299,0.299,20,0
2015-06-03,17:20:00,0.23,0.23,0.23,0.23,440,0
2015-06-04,15:40:00,0.23,0.23,0.23,0.23,1000,0
2015-06-04,17:30:00,0.231,0.231,0.231,0.231,3746,0
2015-06-05,14:15:00,0.231,0.231,0.231,0.231,5,0
2015-06-05,16:35:00,0.221,0.221,0.22,0.22,4849,0
2015-06-05,17:30:00,0.22,0.22,0.22,0.22,8202,0
2015-06-08,10:05:00,0.269,0.269,0.269,0.269,500,0
2015-06-08,17:30:00,0.259,0.259,0.259,0.259,1676,0
2015-06-09,09:05:00,0.265,0.265,0.265,0.265,50,0
2015-06-11,09:50:00,0.2,0.2,0.2,0.2,314,0
2015-06-12,11:40:00,0.201,0.201,0.201,0.201,126,0
2015-06-12,12:50:00,0.201,0.201,0.2,0.2,4545,0
2015-06-12,17:30:00,0.201,0.201,0.201,0.201,8073,0
2015-06-16,10:15:00,0.202,0.202,0.2,0.2,3640,0
2015-06-16,12:40:00,0.229,0.229,0.229,0.229,3864,0
2015-06-17,10:10:00,0.222,0.222,0.222,0.222,6000,0
2015-06-17,10:40:00,0.222,0.222,0.222,0.222,14000,0
2015-06-18,11:55:00,0.249,0.249,0.249,0.249,122,0
2015-06-18,12:00:00,0.17,0.17,0.17,0.17,6000,0
2015-06-18,12:10:00,0.177,0.177,0.177,0.177,1281,0
2015-06-18,12:50:00,0.177,0.177,0.177,0.177,3000,0
2015-06-18,13:05:00,0.198,0.2,0.198,0.2,5000,0
2015-06-18,13:20:00,0.219,0.219,0.219,0.219,1438,0
2015-06-18,17:30:00,0.22,0.22,0.22,0.22,16911,0
2015-06-19,11:55:00,0.193,0.193,0.192,0.192,4114,0
2015-06-19,14:30:00,0.192,0.192,0.192,0.192,1000,0
2015-06-19,17:30:00,0.192,0.192,0.192,0.192,9082,0
2015-06-22,16:35:00,0.171,0.171,0.171,0.171,420,0
2015-06-23,09:20:00,0.2,0.2,0.2,0.2,1400,0
2015-06-24,11:25:00,0.239,0.24,0.239,0.24,3000,0
2015-06-24,11:35:00,0.24,0.24,0.24,0.24,500,0
