Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-26,09:05:00,55.161,55.161,55.161,55.161,26,0
2017-01-26,09:25:00,55.691,55.691,55.691,55.691,12,0
2017-01-26,10:10:00,55.868,55.868,55.819,55.848,302,0
2017-01-26,10:20:00,55.858,55.858,55.858,55.858,108,0
2017-01-26,10:25:00,55.858,55.858,55.848,55.848,159,0
2017-01-26,11:00:00,55.426,55.426,55.426,55.426,31,0
2017-01-26,11:15:00,55.387,55.387,55.22,55.22,255,0
2017-01-26,13:10:00,55.298,55.298,55.269,55.269,314,0
2017-01-26,17:20:00,54.965,54.965,54.965,54.965,243,0
2017-01-27,11:00:00,54.003,54.003,54.003,54.003,204,0
2017-01-27,12:30:00,54.012,54.012,54.012,54.012,28,0
2017-01-27,16:30:00,54.012,54.012,54.012,54.012,10,0
2017-01-27,17:30:00,54.101,54.101,54.101,54.101,1,0
2017-01-30,10:25:00,53.993,53.993,53.993,53.993,34,0
2017-01-30,13:15:00,53.924,53.924,53.924,53.924,204,0
2017-01-30,15:30:00,54.965,54.965,54.965,54.965,8,0
2017-01-30,16:45:00,53.973,53.973,53.973,53.973,28,0
2017-01-30,17:30:00,54.268,54.268,54.268,54.268,9,0
2017-01-31,09:05:00,55.465,55.465,55.465,55.465,51,0
2017-01-31,10:45:00,54.003,54.003,54.003,54.003,111,0
2017-01-31,11:45:00,54.975,54.975,54.975,54.975,111,0
2017-01-31,13:20:00,54.012,54.012,54.012,54.012,7,0
2017-01-31,15:40:00,54.287,54.287,54.287,54.287,10,0
2017-01-31,16:00:00,53.914,53.914,53.914,53.914,153,0
2017-01-31,16:10:00,53.914,53.914,53.914,53.914,153,0
2017-02-01,09:55:00,54.965,54.965,54.965,54.965,306,0
2017-02-01,12:30:00,54.975,54.975,54.975,54.975,31,0
2017-02-01,17:30:00,54.484,54.484,54.484,54.484,19,0
2017-02-02,17:30:00,54.523,54.523,54.523,54.523,104,0
2017-02-03,12:05:00,54.474,54.474,54.474,54.474,116,0
2017-02-03,15:20:00,54.012,54.022,54.012,54.022,131,0
2017-02-03,17:30:00,53.993,53.993,53.993,53.993,101,0
2017-02-06,09:05:00,54.336,54.336,54.336,54.336,10,0
2017-02-06,09:45:00,53.993,53.993,53.993,53.993,41,0
2017-02-06,09:50:00,53.993,53.993,53.993,53.993,16,0
2017-02-06,13:30:00,53.512,53.512,53.512,53.512,41,0
2017-02-06,17:15:00,53.718,53.718,53.718,53.718,41,0
2017-02-07,09:05:00,54.336,54.336,54.336,54.336,37,0
2017-02-07,09:20:00,53.796,53.796,53.796,53.796,291,0
2017-02-07,09:35:00,53.796,53.796,53.796,53.796,198,0
2017-02-07,15:00:00,54.091,54.091,54.091,54.091,204,0
2017-02-07,17:30:00,54.091,54.091,54.091,54.091,67,0
2017-02-08,09:45:00,54.081,54.081,54.081,54.081,91,0
2017-02-08,10:55:00,54.081,54.081,54.081,54.081,128,0
2017-02-08,12:55:00,54.091,54.091,54.091,54.091,37,0
2017-02-08,15:20:00,54.091,54.091,54.091,54.091,51,0
2017-02-08,15:35:00,53.934,53.934,53.934,53.934,53,0
2017-02-09,09:05:00,54.336,54.336,54.336,54.336,106,0
2017-02-09,09:10:00,54.091,54.091,54.091,54.091,68,0
2017-02-09,11:05:00,54.199,54.199,54.189,54.189,91,0
2017-02-09,11:25:00,54.003,54.003,53.787,53.787,306,0
2017-02-09,11:30:00,54.484,54.484,54.484,54.484,102,0
2017-02-09,11:45:00,53.846,53.846,53.846,53.846,36,0
2017-02-09,12:30:00,54.66,54.66,54.66,54.66,260,0
2017-02-09,12:45:00,53.806,53.806,53.806,53.806,98,0
2017-02-09,13:40:00,53.796,53.796,53.796,53.796,37,0
2017-02-09,16:40:00,53.796,53.796,53.796,53.796,193,0
2017-02-09,17:30:00,53.796,53.796,53.796,53.796,9,0
2017-02-10,09:45:00,54.808,54.808,54.808,54.808,204,0
2017-02-10,10:30:00,54.484,54.484,54.484,54.484,56,0
2017-02-10,13:20:00,54.484,54.484,54.484,54.484,5,0
2017-02-10,15:40:00,54.484,54.484,54.484,54.484,47,0
2017-02-10,15:50:00,54.552,54.552,54.552,54.552,20,0
2017-02-10,16:15:00,54.768,54.768,54.768,54.768,253,0
2017-02-10,16:50:00,54.003,54.778,53.993,54.778,2241,0
2017-02-13,09:05:00,54.817,54.827,54.817,54.827,167,0
2017-02-13,09:10:00,54.484,54.484,54.484,54.484,51,0
2017-02-13,10:20:00,54.817,54.817,54.817,54.817,81,0
2017-02-13,12:05:00,54.808,54.808,54.808,54.808,20,0
2017-02-13,16:30:00,54.798,54.798,54.798,54.798,65,0
2017-02-13,16:55:00,54.798,54.798,54.798,54.798,69,0
2017-02-13,17:15:00,54.808,54.808,54.808,54.808,56,0
2017-02-13,17:20:00,54.817,54.817,54.817,54.817,51,0
2017-02-13,17:30:00,54.827,54.827,54.827,54.827,244,0
2017-02-14,09:40:00,54.503,54.503,54.503,54.503,92,0
2017-02-14,14:00:00,54.503,54.503,54.503,54.503,10,0
2017-02-14,17:30:00,54.513,54.513,54.513,54.513,50,0
2017-02-15,09:05:00,54.827,54.827,54.827,54.827,306,0
2017-02-15,09:35:00,54.817,54.827,54.817,54.827,102,0
2017-02-15,09:45:00,54.493,54.493,54.101,54.101,255,0
2017-02-15,10:50:00,54.356,54.356,54.356,54.356,102,0
2017-02-15,16:40:00,54.808,54.817,54.808,54.817,468,0
2017-02-15,17:30:00,54.582,54.582,54.582,54.582,139,0
2017-02-16,09:05:00,54.091,54.091,54.091,54.091,8,0
2017-02-16,16:00:00,54.817,54.817,54.817,54.817,71,0
2017-02-16,17:30:00,54.091,54.091,54.091,54.091,18,0
2017-02-17,14:45:00,54.817,54.817,54.817,54.817,151,0
2017-02-17,14:50:00,54.15,54.15,54.15,54.15,15,0
2017-02-17,15:50:00,54.091,54.091,54.091,54.091,157,0
2017-02-17,16:20:00,54.101,54.101,54.091,54.091,509,0
2017-02-20,09:10:00,54.817,54.817,54.817,54.817,102,0
2017-02-20,12:20:00,54.199,54.199,54.199,54.199,102,0
2017-02-20,12:40:00,54.817,54.817,54.817,54.817,102,0
2017-02-20,15:50:00,54.199,54.199,54.199,54.199,313,0
2017-02-21,12:05:00,54.189,54.189,54.189,54.189,20,0
2017-02-21,13:15:00,54.15,54.15,54.15,54.15,102,0
2017-02-21,13:30:00,54.15,54.15,54.15,54.15,272,0
2017-02-21,16:05:00,54.15,54.15,54.15,54.15,61,0
2017-02-21,17:30:00,54.15,54.15,54.15,54.15,375,0
2017-02-22,09:05:00,54.189,54.189,54.189,54.189,611,0
2017-02-22,09:30:00,54.189,54.189,54.189,54.189,254,0
2017-02-22,09:50:00,54.287,54.287,54.287,54.287,204,0
2017-02-22,10:10:00,54.307,54.307,54.307,54.307,128,0
2017-02-22,12:35:00,54.768,54.768,54.768,54.768,61,0
2017-02-22,14:20:00,54.238,54.238,54.238,54.238,61,0
2017-02-22,16:50:00,54.768,54.778,54.768,54.778,758,0
2017-02-23,12:20:00,54.817,54.827,54.817,54.827,424,0
2017-02-23,15:20:00,54.219,54.219,54.219,54.219,51,0
2017-02-24,09:15:00,54.258,54.258,54.16,54.16,401,0
2017-02-24,09:50:00,54.16,54.16,54.16,54.16,108,0
2017-02-24,10:15:00,54.199,54.199,54.199,54.199,268,0
2017-02-24,11:35:00,54.15,54.15,54.091,54.091,206,0
2017-02-24,13:30:00,54.091,54.091,54.091,54.091,41,0
2017-02-24,17:30:00,54.091,54.091,54.091,54.091,40,0
2017-02-27,10:20:00,54.12,54.12,54.111,54.111,434,0
2017-02-27,10:45:00,54.69,54.69,54.69,54.69,26,0
2017-02-27,12:00:00,54.12,54.12,54.111,54.111,434,0
2017-02-27,12:05:00,54.12,54.12,54.111,54.111,220,0
2017-02-27,16:05:00,54.287,54.287,54.287,54.287,38,0
2017-02-27,16:20:00,54.14,54.14,54.14,54.14,65,0
2017-02-27,16:40:00,54.14,54.14,54.14,54.14,102,0
2017-02-27,17:00:00,54.14,54.14,54.14,54.14,35,0
2017-02-28,09:15:00,54.091,54.091,54.091,54.091,102,0
2017-02-28,09:30:00,54.091,54.091,54.091,54.091,102,0
2017-02-28,09:35:00,54.091,54.091,54.091,54.091,611,0
2017-02-28,09:40:00,54.091,54.091,54.091,54.091,204,0
2017-02-28,10:40:00,54.091,54.091,54.052,54.052,509,0
2017-02-28,16:00:00,54.091,54.091,54.091,54.091,165,0
2017-02-28,17:20:00,54.091,54.091,54.091,54.091,509,0
2017-02-28,17:25:00,54.091,54.091,54.091,54.091,1019,0
2017-03-01,09:30:00,54.042,54.042,54.042,54.042,51,0
2017-03-01,09:50:00,53.993,53.993,53.993,53.993,44,0
2017-03-01,12:30:00,54.052,54.052,54.052,54.052,509,0
2017-03-01,12:35:00,54.062,54.062,54.042,54.052,285,0
2017-03-01,13:15:00,54.042,54.042,54.041,54.041,183,0
2017-03-01,14:25:00,53.993,53.993,53.993,53.993,7,0
2017-03-01,15:05:00,53.983,53.983,53.983,53.983,51,0
2017-03-01,15:50:00,53.982,53.983,53.982,53.983,262,0
2017-03-01,17:30:00,53.659,53.659,53.659,53.659,61,0
2017-03-02,09:35:00,53.983,53.983,53.983,53.983,219,0
2017-03-02,11:20:00,53.963,53.963,53.963,53.963,78,0
2017-03-02,11:50:00,53.963,53.963,53.963,53.963,73,0
2017-03-02,12:20:00,53.963,53.963,53.963,53.963,45,0
2017-03-02,12:50:00,53.963,53.963,53.963,53.963,26,0
2017-03-02,13:15:00,53.562,53.562,53.562,53.562,61,0
2017-03-02,13:20:00,53.963,53.963,53.963,53.963,8,0
2017-03-02,17:30:00,53.895,53.895,53.895,53.895,61,0
2017-03-03,10:25:00,53.846,53.846,53.846,53.846,17,0
2017-03-06,09:05:00,54.091,54.091,54.091,54.091,51,0
2017-03-06,10:10:00,53.581,53.581,53.581,53.581,51,0
2017-03-07,09:05:00,53.826,53.826,53.826,53.826,16,0
2017-03-07,09:45:00,53.993,53.993,53.993,53.993,134,0
2017-03-07,11:00:00,54.376,54.385,54.376,54.385,490,0
2017-03-07,11:35:00,54.219,54.219,54.189,54.199,276,0
2017-03-08,09:30:00,54.062,54.062,54.062,54.062,76,0
2017-03-08,17:25:00,54.474,54.474,54.474,54.474,153,0
2017-03-09,10:10:00,54.081,54.081,53.836,53.836,186,0
2017-03-09,12:35:00,54.228,54.228,54.228,54.228,243,0
2017-03-09,12:55:00,54.228,54.228,54.062,54.062,44,0
2017-03-09,16:45:00,53.993,53.993,53.993,53.993,46,0
2017-03-09,17:30:00,54.268,54.268,53.993,53.993,125,0
2017-03-13,09:05:00,54.287,54.287,54.287,54.287,127,0
2017-03-13,09:50:00,53.993,53.993,53.826,53.826,224,0
2017-03-13,09:55:00,53.826,53.826,53.826,53.826,119,0
2017-03-13,10:00:00,53.914,53.914,53.914,53.914,94,0
2017-03-13,15:50:00,53.944,53.944,53.944,53.944,94,0
2017-03-13,17:30:00,53.934,53.934,53.934,53.934,117,0
2017-03-14,17:00:00,53.767,53.767,53.767,53.767,106,0
2017-03-15,11:20:00,53.993,53.993,53.993,53.993,31,0
