Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,116.5,118.7,116.05,116.35,8074,0
2017-10-26,09:10:00,116.25,117.2,114.7,115.25,5225,0
2017-10-26,09:15:00,115.6,116.45,115.6,115.9,2570,0
2017-10-26,09:20:00,115.9,116.8,115.7,116.55,5343,0
2017-10-26,09:25:00,116.55,116.8,115.9,115.9,2874,0
2017-10-26,09:30:00,115.75,116.2,115.65,116.2,2085,0
2017-10-26,09:35:00,116.45,116.5,115.2,115.8,2742,0
2017-10-26,09:40:00,115.45,115.8,115.35,115.35,5268,0
2017-10-26,09:45:00,115.25,116.35,114.7,116.25,3977,0
2017-10-26,09:50:00,116.25,116.25,115.35,115.6,2454,0
2017-10-26,09:55:00,115.7,115.85,115.5,115.8,678,0
2017-10-26,10:00:00,115.65,115.95,115.4,115.85,4224,0
2017-10-26,10:05:00,115.95,116.15,115.05,115.15,2334,0
2017-10-26,10:10:00,115.1,115.1,112.5,114,21201,0
2017-10-26,10:15:00,113.8,114.1,113.6,114,4812,0
2017-10-26,10:20:00,114.25,114.35,113.75,114.2,1431,0
2017-10-26,10:25:00,114.15,114.15,113.8,114.1,2177,0
2017-10-26,10:30:00,114.3,114.4,114,114.25,997,0
2017-10-26,10:35:00,114.4,114.45,114.05,114.05,375,0
2017-10-26,10:40:00,114,114.1,113.9,113.95,2991,0
2017-10-26,10:45:00,114.1,114.5,114.05,114.15,3075,0
2017-10-26,10:50:00,114.1,114.25,114.05,114.1,626,0
2017-10-26,10:55:00,114.25,114.25,114,114,869,0
2017-10-26,11:00:00,114.1,114.15,114,114,852,0
2017-10-26,11:05:00,114,114,113.5,113.5,1794,0
2017-10-26,11:10:00,113.5,113.85,113.45,113.75,3248,0
2017-10-26,11:15:00,113.65,114,113.65,114,425,0
2017-10-26,11:20:00,114.15,114.35,113.65,114,3187,0
2017-10-26,11:25:00,114,114,114,114,290,0
2017-10-26,11:30:00,114,114.1,114,114.05,962,0
2017-10-26,11:35:00,114.05,114.1,114,114.1,359,0
2017-10-26,11:40:00,114.15,114.25,113.75,113.75,1498,0
2017-10-26,11:45:00,113.75,114,113.75,113.9,777,0
2017-10-26,11:50:00,114.15,114.2,113.8,113.85,1592,0
2017-10-26,11:55:00,113.7,114,113.7,113.75,322,0
2017-10-26,12:00:00,113.7,113.7,113.55,113.55,1782,0
2017-10-26,12:05:00,113.55,113.95,113.55,113.95,1905,0
2017-10-26,12:10:00,113.95,114,113.8,113.85,3248,0
2017-10-26,12:15:00,114,114,113.3,113.6,6114,0
2017-10-26,12:20:00,113.5,113.7,113.5,113.55,713,0
2017-10-26,12:25:00,113.55,114,113.55,113.8,1319,0
2017-10-26,12:30:00,113.8,114.8,113.5,114.05,10834,0
2017-10-26,12:35:00,114.35,114.45,113.8,114.1,2523,0
2017-10-26,12:40:00,114.1,114.35,114.1,114.2,339,0
2017-10-26,12:45:00,114.2,114.5,114.15,114.35,1654,0
2017-10-26,12:50:00,114.15,114.2,114.15,114.2,39,0
