Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-06,09:10:00,0.57,0.57,0.57,0.57,200,0
2017-01-06,09:45:00,0.55,0.55,0.55,0.55,3000,0
2017-01-06,09:50:00,0.55,0.55,0.55,0.55,9780,0
2017-01-06,10:30:00,0.531,0.531,0.531,0.531,137,0
2017-01-06,12:35:00,0.55,0.55,0.55,0.55,1400,0
2017-01-06,12:40:00,0.549,0.549,0.549,0.549,500,0
2017-01-06,12:50:00,0.55,0.55,0.55,0.55,600,0
2017-01-06,13:00:00,0.569,0.569,0.569,0.569,3000,0
2017-01-06,14:55:00,0.568,0.569,0.568,0.569,3000,0
2017-01-06,15:10:00,0.569,0.569,0.54,0.54,2145,0
2017-01-06,15:15:00,0.54,0.54,0.54,0.54,145,0
2017-01-06,15:20:00,0.54,0.54,0.54,0.54,145,0
2017-01-06,16:05:00,0.542,0.542,0.542,0.542,112,0
2017-01-06,17:30:00,0.545,0.545,0.545,0.545,684,0
2017-01-09,09:35:00,0.569,0.569,0.569,0.569,2000,0
2017-01-09,09:45:00,0.555,0.555,0.55,0.55,5000,0
2017-01-09,10:15:00,0.569,0.569,0.569,0.569,4000,0
2017-01-09,10:20:00,0.55,0.55,0.55,0.55,697,0
2017-01-09,10:30:00,0.569,0.6,0.569,0.6,28700,0
2017-01-09,11:10:00,0.59,0.59,0.59,0.59,4303,0
2017-01-09,11:45:00,0.595,0.6,0.595,0.6,3333,0
2017-01-09,12:15:00,0.6,0.6,0.6,0.6,830,0
2017-01-09,12:30:00,0.6,0.6,0.6,0.6,500,0
2017-01-09,14:05:00,0.57,0.61,0.57,0.61,2000,0
2017-01-09,14:50:00,0.61,0.61,0.61,0.61,2000,0
2017-01-09,14:55:00,0.61,0.61,0.61,0.61,800,0
2017-01-09,16:10:00,0.62,0.62,0.62,0.62,4000,0
2017-01-10,09:05:00,0.615,0.615,0.615,0.615,10000,0
2017-01-10,09:30:00,0.619,0.619,0.619,0.619,806,0
2017-01-10,09:45:00,0.619,0.62,0.619,0.62,10000,0
2017-01-10,10:35:00,0.58,0.58,0.58,0.58,4000,0
