Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-20,15:00:00,21.748,21.748,21.748,21.748,187,0
2017-02-20,16:00:00,21.748,21.748,21.748,21.748,844,0
2017-02-21,10:00:00,21.719,21.739,21.719,21.739,594,0
2017-02-21,10:10:00,21.743,21.743,21.743,21.743,319,0
2017-02-21,10:15:00,21.739,21.739,21.739,21.739,52,0
2017-02-21,11:10:00,21.801,21.801,21.801,21.801,503,0
2017-02-21,11:15:00,21.801,21.801,21.801,21.801,122,0
2017-02-21,12:45:00,21.609,21.609,21.609,21.609,62,0
2017-02-21,14:25:00,21.326,21.326,21.326,21.326,260,0
2017-02-21,15:20:00,21.584,21.584,21.584,21.584,104,0
2017-02-21,15:25:00,21.585,21.585,21.585,21.585,39,0
2017-02-21,16:30:00,21.422,21.422,21.422,21.422,62,0
2017-02-22,11:05:00,21.83,21.892,21.83,21.892,208,0
2017-02-22,11:10:00,21.705,21.705,21.705,21.705,26,0
2017-02-22,11:35:00,21.719,21.719,21.719,21.719,230,0
2017-02-22,12:15:00,21.979,21.979,21.739,21.739,643,0
2017-02-22,12:20:00,21.719,21.719,21.719,21.719,764,0
2017-02-22,12:25:00,21.719,21.719,21.465,21.465,306,0
2017-02-22,12:30:00,21.465,21.465,21.465,21.465,729,0
2017-02-22,12:50:00,21.407,21.455,21.407,21.417,562,0
2017-02-22,13:00:00,21.484,21.484,21.484,21.484,104,0
2017-02-22,13:05:00,21.522,21.522,21.522,21.522,104,0
2017-02-22,14:15:00,21.417,21.417,21.35,21.35,208,0
2017-02-22,14:40:00,21.734,21.734,21.734,21.734,104,0
2017-02-22,16:15:00,21.417,21.417,21.417,21.417,260,0
2017-02-22,16:20:00,21.416,21.416,21.416,21.416,23,0
2017-02-22,16:35:00,21.417,21.417,21.417,21.417,208,0
2017-02-23,09:05:00,21.705,21.705,21.705,21.705,522,0
2017-02-23,09:15:00,21.892,21.892,21.892,21.892,48,0
2017-02-23,09:25:00,21.777,21.777,21.777,21.777,385,0
2017-02-23,09:50:00,21.715,21.715,21.715,21.715,52,0
2017-02-23,10:05:00,21.772,21.772,21.772,21.772,49,0
2017-02-23,11:05:00,21.859,21.859,21.859,21.859,49,0
2017-02-23,12:05:00,21.705,21.705,21.705,21.705,50,0
2017-02-23,12:40:00,21.676,21.964,21.676,21.964,2713,0
2017-02-23,12:55:00,21.647,21.647,21.647,21.647,125,0
2017-02-23,13:20:00,21.964,21.964,21.964,21.964,48,0
2017-02-23,14:30:00,21.897,21.897,21.897,21.897,145,0
2017-02-23,15:30:00,21.897,21.897,21.897,21.897,49,0
2017-02-23,16:15:00,21.897,21.897,21.897,21.897,48,0
2017-02-23,16:50:00,21.897,21.897,21.897,21.897,31,0
2017-02-23,17:30:00,21.873,21.873,21.873,21.873,98,0
2017-02-24,10:20:00,21.95,21.95,21.95,21.95,62,0
2017-02-24,11:10:00,21.897,21.897,21.897,21.897,1008,0
2017-02-24,11:25:00,21.897,22.036,21.897,22.036,455,0
2017-02-24,12:10:00,22.027,22.027,22.027,22.027,54,0
2017-02-24,12:15:00,21.806,21.806,21.806,21.806,101,0
2017-02-24,13:05:00,22.027,22.089,22.027,22.089,469,0
2017-02-24,13:20:00,22.089,22.089,22.089,22.089,58,0
2017-02-24,14:55:00,22.089,22.089,22.089,22.089,78,0
2017-02-24,15:00:00,21.835,21.835,21.815,21.815,208,0
2017-02-24,16:15:00,22.156,22.156,22.156,22.156,64,0
2017-02-24,16:35:00,21.907,21.907,21.907,21.907,39,0
2017-02-24,17:00:00,22.161,22.161,22.161,22.161,72,0
2017-02-24,17:30:00,22.372,22.372,22.372,22.372,56,0
2017-02-27,09:05:00,22.089,22.089,22.089,22.089,119,0
2017-02-27,09:45:00,21.993,21.993,21.993,21.993,104,0
2017-02-27,10:05:00,21.998,21.998,21.998,21.998,312,0
2017-02-27,10:15:00,21.998,21.998,21.993,21.993,282,0
2017-02-27,10:20:00,22.089,22.089,22.089,22.089,194,0
2017-02-27,11:45:00,22.099,22.099,22.094,22.094,458,0
2017-02-27,15:25:00,22.353,22.353,22.353,22.353,187,0
2017-02-27,15:35:00,22.099,22.099,22.099,22.099,208,0
2017-02-28,09:10:00,22.286,22.286,22.286,22.286,127,0
2017-02-28,10:10:00,22.104,22.104,22.104,22.104,373,0
2017-02-28,15:35:00,22.233,22.233,22.233,22.233,55,0
2017-02-28,15:55:00,22.104,22.334,22.089,22.334,951,0
2017-02-28,17:25:00,22.353,22.353,22.353,22.353,125,0
2017-02-28,17:30:00,22.128,22.128,22.128,22.128,74,0
2017-03-01,16:00:00,22.046,22.046,22.046,22.046,260,0
2017-03-02,10:20:00,22.358,22.358,22.358,22.358,521,0
2017-03-02,11:50:00,22.185,22.185,22.18,22.185,471,0
2017-03-02,14:40:00,22.185,22.185,22.185,22.185,52,0
2017-03-02,17:30:00,21.931,21.931,21.931,21.931,385,0
2017-03-03,09:50:00,22.195,22.195,22.195,22.195,48,0
2017-03-03,10:30:00,21.902,22.228,21.897,22.228,774,0
2017-03-03,11:05:00,22.233,22.233,22.099,22.099,60,0
2017-03-03,11:20:00,21.902,21.902,21.902,21.902,208,0
2017-03-03,12:40:00,21.926,21.926,21.902,21.902,52,0
2017-03-03,13:40:00,22.132,22.132,22.132,22.132,41,0
