Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-05-14,10:35:00,0.049,0.049,0.049,0.049,50,0
2015-05-21,13:00:00,0.052,0.052,0.052,0.052,750,0
2015-06-11,11:50:00,0.055,0.055,0.055,0.055,100,0
2015-06-11,14:35:00,0.052,0.052,0.052,0.052,150,0
2015-06-17,16:50:00,0.08,0.08,0.08,0.08,61178,0
2015-07-02,13:45:00,0.056,0.056,0.056,0.056,250,0
2015-07-10,09:30:00,0.058,0.058,0.058,0.058,50,0
2015-07-13,09:05:00,0.057,0.057,0.057,0.057,6000,0
2015-07-22,14:10:00,0.1,0.1,0.1,0.1,600,0
2015-07-24,17:25:00,0.139,0.139,0.139,0.139,5000,0
2015-07-24,17:30:00,0.12,0.12,0.12,0.12,15000,0
2015-07-27,16:05:00,0.101,0.101,0.101,0.101,200,0
2015-08-11,15:30:00,0.16,0.16,0.16,0.16,300,0
2015-08-11,15:55:00,0.16,0.16,0.16,0.16,4300,0
2015-08-17,12:10:00,0.16,0.16,0.16,0.16,1600,0
2015-08-19,09:05:00,0.16,0.16,0.16,0.16,2626,0
2015-08-21,09:45:00,0.2,0.22,0.2,0.22,16404,0
2015-08-27,09:05:00,0.525,0.525,0.525,0.525,953,0
2015-08-27,17:30:00,0.39,0.39,0.39,0.39,1553,0
2015-08-28,12:25:00,0.4,0.4,0.335,0.335,2000,0
2015-08-28,13:35:00,0.49,0.49,0.49,0.49,12000,0
2015-08-31,10:00:00,0.602,0.602,0.602,0.602,2000,0
2015-08-31,10:05:00,0.62,0.62,0.62,0.62,2000,0
2015-08-31,10:40:00,0.768,0.768,0.768,0.768,4000,0
2015-08-31,11:05:00,0.699,0.699,0.699,0.699,650,0
2015-08-31,11:20:00,0.66,0.66,0.66,0.66,2300,0
2015-08-31,11:50:00,0.817,0.817,0.817,0.817,500,0
2015-08-31,15:10:00,0.6,0.6,0.6,0.6,1000,0
2015-08-31,16:00:00,0.65,0.65,0.65,0.65,1000,0
2015-08-31,17:30:00,0.69,0.69,0.69,0.69,14372,0
2015-09-01,09:05:00,0.658,0.803,0.658,0.75,10130,0
2015-09-01,09:45:00,0.7,0.7,0.7,0.7,13330,0
2015-09-02,09:05:00,0.6,0.6,0.6,0.6,1000,0
2015-09-02,10:00:00,0.69,0.69,0.69,0.69,1000,0
2015-09-02,11:15:00,0.69,0.69,0.69,0.69,39,0
2015-09-02,11:35:00,0.52,0.52,0.52,0.52,2439,0
2015-09-03,09:50:00,0.511,0.511,0.511,0.511,800,0
2015-09-07,09:05:00,0.65,0.65,0.65,0.65,450,0
2015-09-07,11:50:00,0.649,0.649,0.649,0.649,200,0
2015-09-07,14:55:00,0.515,0.515,0.515,0.515,3000,0
2015-09-07,15:05:00,0.5,0.5,0.5,0.5,7650,0
2015-09-08,10:15:00,0.267,0.267,0.267,0.267,1295,0
2015-09-08,11:15:00,0.272,0.272,0.272,0.272,3000,0
2015-09-08,15:00:00,0.272,0.272,0.272,0.272,4345,0
2015-09-15,09:05:00,0.27,0.27,0.27,0.27,1300,0
2015-09-16,17:30:00,0.268,0.268,0.268,0.268,2000,0
2015-09-17,17:30:00,0.266,0.266,0.266,0.266,2000,0
2015-09-18,17:30:00,0.267,0.267,0.267,0.267,700,0
2015-09-21,11:00:00,0.482,0.482,0.45,0.45,10150,0
2015-09-21,11:05:00,0.45,0.45,0.45,0.45,1569,0
