Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-24,09:05:00,15.01,15.01,15.01,15.01,232,0
2017-10-24,09:10:00,15.05,15.125,15.05,15.075,2993,0
2017-10-24,09:15:00,15.06,15.06,15.03,15.03,1562,0
2017-10-24,09:20:00,15.045,15.06,15.035,15.06,437,0
2017-10-24,09:25:00,15.07,15.075,15.07,15.075,1140,0
2017-10-24,09:50:00,15.01,15.03,15,15.03,1046,0
2017-10-24,09:55:00,15.01,15.01,14.995,14.995,4518,0
2017-10-24,10:00:00,14.98,14.99,14.95,14.965,3981,0
2017-10-24,10:05:00,14.97,14.97,14.955,14.965,996,0
2017-10-24,10:10:00,14.95,14.95,14.92,14.92,1730,0
2017-10-24,10:15:00,14.91,14.915,14.9,14.91,1108,0
2017-10-24,10:20:00,14.88,14.9,14.88,14.9,668,0
2017-10-24,10:30:00,14.89,14.905,14.89,14.905,7214,0
2017-10-24,10:35:00,14.9,14.905,14.9,14.905,598,0
2017-10-24,10:45:00,14.9,14.95,14.9,14.935,7776,0
2017-10-24,10:50:00,14.945,14.95,14.945,14.95,1795,0
2017-10-24,10:55:00,14.955,14.955,14.95,14.95,841,0
2017-10-24,11:00:00,14.96,14.97,14.95,14.97,1456,0
2017-10-24,11:05:00,14.97,14.97,14.96,14.96,748,0
2017-10-24,11:10:00,14.95,14.95,14.945,14.95,385,0
2017-10-24,11:15:00,14.95,14.955,14.95,14.955,651,0
2017-10-24,11:20:00,14.97,14.985,14.965,14.975,2853,0
2017-10-24,11:25:00,14.96,14.96,14.95,14.95,576,0
2017-10-24,11:35:00,14.95,14.95,14.95,14.95,304,0
2017-10-24,11:40:00,14.955,14.96,14.955,14.96,1182,0
2017-10-24,11:50:00,14.965,14.97,14.965,14.97,1609,0
2017-10-24,11:55:00,14.975,14.99,14.965,14.97,4984,0
2017-10-24,12:00:00,14.965,14.965,14.95,14.955,4255,0
2017-10-24,12:05:00,14.96,14.97,14.955,14.96,2005,0
2017-10-24,12:10:00,14.975,15,14.975,14.975,1745,0
2017-10-24,12:15:00,14.97,14.975,14.97,14.975,343,0
2017-10-24,12:20:00,14.985,14.99,14.97,14.98,1229,0
2017-10-24,12:25:00,14.975,14.99,14.96,14.97,1538,0
2017-10-24,12:30:00,14.98,14.98,14.955,14.955,885,0
2017-10-24,12:35:00,14.97,14.98,14.97,14.98,156,0
2017-10-24,12:40:00,14.98,14.98,14.955,14.955,3145,0
2017-10-24,12:45:00,14.95,14.95,14.945,14.945,756,0
2017-10-24,12:50:00,14.95,14.96,14.95,14.96,1607,0
2017-10-24,12:55:00,14.965,14.965,14.965,14.965,352,0
2017-10-24,13:00:00,14.965,14.965,14.955,14.955,1111,0
2017-10-24,13:05:00,14.96,14.96,14.95,14.95,511,0
2017-10-24,13:10:00,14.96,14.965,14.935,14.95,1751,0
2017-10-24,13:15:00,14.955,14.955,14.955,14.955,125,0
2017-10-24,13:20:00,14.955,14.965,14.95,14.955,1790,0
