Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-08,10:30:00,0.439,0.439,0.439,0.439,400,0
2015-04-08,17:30:00,0.44,0.44,0.44,0.44,800,0
2015-04-09,13:30:00,0.439,0.439,0.439,0.439,1200,0
2015-04-10,12:25:00,0.448,0.448,0.448,0.448,400,0
2015-04-10,17:30:00,0.44,0.44,0.44,0.44,1400,0
2015-04-15,10:05:00,0.37,0.37,0.37,0.37,2000,0
2015-04-15,16:15:00,0.331,0.331,0.33,0.33,10395,0
2015-04-15,16:20:00,0.33,0.33,0.33,0.33,6105,0
2015-04-15,17:30:00,0.33,0.33,0.33,0.33,22075,0
2015-04-16,09:05:00,0.35,0.35,0.35,0.35,10000,0
2015-04-16,11:25:00,0.35,0.35,0.35,0.35,500,0
2015-04-16,17:30:00,0.33,0.33,0.33,0.33,19925,0
2015-04-17,09:05:00,0.37,0.37,0.37,0.37,150,0
2015-04-17,13:35:00,0.322,0.322,0.322,0.322,300,0
2015-04-17,17:30:00,0.321,0.321,0.321,0.321,750,0
2015-04-20,12:40:00,0.35,0.35,0.35,0.35,2000,0
2015-04-21,17:30:00,0.351,0.351,0.351,0.351,900,0
2015-04-29,11:45:00,0.359,0.359,0.359,0.359,2808,0
2015-04-29,11:50:00,0.359,0.36,0.359,0.36,5613,0
2015-04-29,12:00:00,0.36,0.36,0.36,0.36,11579,0
2015-05-04,13:45:00,0.36,0.36,0.36,0.36,200,0
2015-05-08,12:10:00,0.342,0.342,0.342,0.342,2721,0
2015-05-08,17:30:00,0.35,0.35,0.35,0.35,8163,0
2015-05-12,16:40:00,0.35,0.35,0.35,0.35,10000,0
2015-05-13,13:05:00,0.351,0.351,0.351,0.351,10000,0
2015-05-13,13:15:00,0.341,0.341,0.34,0.34,10000,0
2015-05-13,17:30:00,0.355,0.355,0.355,0.355,32508,0
2015-05-18,11:25:00,0.35,0.35,0.35,0.35,24976,0
2015-05-20,09:05:00,0.34,0.34,0.34,0.34,2000,0
2015-05-20,15:55:00,0.397,0.397,0.397,0.397,4000,0
2015-05-21,09:05:00,0.4,0.4,0.4,0.4,1000,0
2015-05-21,14:00:00,0.4,0.4,0.4,0.4,23572,0
2015-05-22,11:50:00,0.399,0.399,0.399,0.399,1000,0
2015-05-22,14:15:00,0.361,0.361,0.361,0.361,1100,0
2015-05-29,11:20:00,0.361,0.361,0.36,0.36,2950,0
2015-05-29,11:25:00,0.34,0.34,0.34,0.34,12256,0
2015-06-01,13:05:00,0.34,0.34,0.34,0.34,16000,0
2015-06-03,12:45:00,0.34,0.34,0.34,0.34,1000,0
2015-06-03,14:45:00,0.34,0.34,0.34,0.34,1240,0
2015-06-04,11:50:00,0.4,0.4,0.4,0.4,20000,0
2015-06-08,09:05:00,0.42,0.42,0.42,0.42,25000,0
2015-06-11,16:05:00,0.4,0.4,0.34,0.34,4740,0
2015-06-12,12:20:00,0.4,0.4,0.4,0.4,16000,0
2015-06-19,11:05:00,0.41,0.41,0.41,0.41,16000,0
