Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,79.29,79.29,78.76,78.76,13918,0
2017-10-26,09:10:00,78.71,78.71,78.45,78.68,2634,0
2017-10-26,09:15:00,78.57,78.7,78.56,78.58,1428,0
2017-10-26,09:20:00,78.63,78.79,78.57,78.57,1867,0
2017-10-26,09:25:00,78.46,78.6,78.46,78.5,3149,0
2017-10-26,09:30:00,78.54,78.56,78.43,78.43,3080,0
2017-10-26,09:35:00,78.48,78.64,78.4,78.56,3442,0
2017-10-26,09:40:00,78.57,78.57,78.47,78.5,3030,0
2017-10-26,09:45:00,78.49,78.52,78.28,78.32,4113,0
2017-10-26,09:50:00,78.3,78.32,77.99,78.3,6012,0
2017-10-26,09:55:00,78.29,78.29,78.17,78.23,2109,0
2017-10-26,10:00:00,78.22,78.5,78.19,78.5,2190,0
2017-10-26,10:05:00,78.48,78.63,78.48,78.59,800,0
2017-10-26,10:10:00,78.63,78.66,78.46,78.51,2218,0
2017-10-26,10:15:00,78.5,78.64,78.5,78.64,786,0
2017-10-26,10:20:00,78.64,78.78,78.64,78.74,1657,0
2017-10-26,10:25:00,78.76,78.86,78.41,78.51,4789,0
2017-10-26,10:30:00,78.52,78.57,78.35,78.42,13240,0
2017-10-26,10:35:00,78.42,78.53,78.42,78.51,2427,0
2017-10-26,10:40:00,78.51,78.6,78.51,78.58,1168,0
2017-10-26,10:45:00,78.6,78.6,78.48,78.52,1159,0
2017-10-26,10:50:00,78.52,78.57,78.52,78.55,604,0
2017-10-26,10:55:00,78.54,78.55,78.49,78.49,1852,0
2017-10-26,11:00:00,78.5,78.5,78.42,78.45,1725,0
2017-10-26,11:05:00,78.46,78.49,78.29,78.32,1850,0
2017-10-26,11:10:00,78.29,78.29,78.15,78.21,1108,0
2017-10-26,11:15:00,78.21,78.22,78.2,78.21,1009,0
2017-10-26,11:20:00,78.22,78.38,78.22,78.3,2726,0
2017-10-26,11:25:00,78.28,78.31,78.19,78.27,1468,0
2017-10-26,11:30:00,78.28,78.36,78.18,78.34,5254,0
2017-10-26,11:35:00,78.35,78.35,78.29,78.34,2608,0
2017-10-26,11:40:00,78.36,78.45,78.36,78.37,1362,0
2017-10-26,11:45:00,78.4,78.56,78.4,78.56,2175,0
2017-10-26,11:50:00,78.53,78.58,78.49,78.58,1536,0
2017-10-26,11:55:00,78.57,78.69,78.55,78.68,3692,0
2017-10-26,12:00:00,78.67,78.7,78.66,78.7,1121,0
2017-10-26,12:05:00,78.71,78.75,78.65,78.67,2534,0
2017-10-26,12:10:00,78.7,78.7,78.56,78.56,910,0
2017-10-26,12:15:00,78.57,78.6,78.54,78.57,1081,0
2017-10-26,12:20:00,78.56,78.56,78.5,78.52,1487,0
2017-10-26,12:25:00,78.5,78.57,78.42,78.52,2568,0
2017-10-26,12:30:00,78.56,78.56,78.44,78.46,828,0
2017-10-26,12:35:00,78.48,78.49,78.43,78.43,921,0
2017-10-26,12:40:00,78.41,78.47,78.38,78.38,2413,0
2017-10-26,12:45:00,78.43,78.43,78.39,78.39,1506,0
2017-10-26,12:50:00,78.4,78.47,78.39,78.41,1988,0
2017-10-26,12:55:00,78.41,78.45,78.4,78.44,1823,0
2017-10-26,13:00:00,78.42,78.44,78.4,78.42,2185,0
2017-10-26,13:05:00,78.39,78.45,78.38,78.42,1923,0
2017-10-26,13:10:00,78.36,78.5,78.36,78.5,1704,0
2017-10-26,13:15:00,78.51,78.53,78.41,78.44,1343,0
2017-10-26,13:20:00,78.46,78.47,78.4,78.43,878,0
2017-10-26,13:25:00,78.44,78.51,78.44,78.47,1072,0
2017-10-26,13:30:00,78.49,78.49,78.44,78.46,938,0
2017-10-26,13:35:00,78.46,78.47,78.45,78.47,849,0
2017-10-26,13:40:00,78.46,78.46,78.41,78.45,847,0
2017-10-26,13:45:00,78.44,78.47,78.39,78.41,465,0
2017-10-26,13:50:00,78.4,78.61,78.36,78.48,5039,0
2017-10-26,13:55:00,78.49,78.52,78.38,78.47,1693,0
