Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-06-02,09:40:00,0.33,0.36,0.33,0.36,50,0
2015-06-02,09:55:00,0.379,0.379,0.379,0.379,600,0
2015-06-02,10:40:00,0.354,0.354,0.354,0.354,6000,0
2015-06-02,10:55:00,0.341,0.341,0.341,0.341,2000,0
2015-06-02,11:00:00,0.34,0.34,0.34,0.34,1540,0
2015-06-02,11:20:00,0.34,0.34,0.31,0.31,1500,0
2015-06-02,13:10:00,0.301,0.301,0.301,0.301,500,0
2015-06-02,14:20:00,0.311,0.311,0.311,0.311,1129,0
2015-06-02,15:00:00,0.311,0.311,0.311,0.311,13619,0
2015-06-03,09:05:00,0.301,0.301,0.301,0.301,5457,0
2015-06-03,16:30:00,0.32,0.321,0.32,0.321,6535,0
2015-06-03,16:45:00,0.329,0.329,0.329,0.329,13392,0
2015-06-04,10:40:00,0.302,0.302,0.302,0.302,1000,0
2015-06-04,11:20:00,0.301,0.301,0.301,0.301,760,0
2015-06-04,11:50:00,0.32,0.32,0.31,0.31,5145,0
2015-06-04,12:05:00,0.3,0.3,0.294,0.294,7671,0
2015-06-04,12:50:00,0.31,0.31,0.31,0.31,2000,0
2015-06-04,12:55:00,0.31,0.31,0.31,0.31,100,0
2015-06-04,13:05:00,0.31,0.31,0.31,0.31,18,0
2015-06-04,13:35:00,0.31,0.31,0.31,0.31,1362,0
2015-06-04,17:30:00,0.3,0.3,0.299,0.299,28056,0
2015-06-05,09:05:00,0.29,0.29,0.29,0.29,200,0
2015-06-05,09:10:00,0.285,0.29,0.279,0.29,15419,0
2015-06-05,09:50:00,0.29,0.29,0.29,0.29,1000,0
2015-06-05,11:15:00,0.271,0.271,0.271,0.271,600,0
2015-06-05,12:00:00,0.271,0.271,0.271,0.271,212,0
2015-06-05,12:10:00,0.271,0.271,0.271,0.271,501,0
2015-06-05,12:50:00,0.271,0.271,0.271,0.271,500,0
2015-06-05,12:55:00,0.272,0.272,0.272,0.272,250,0
2015-06-05,13:05:00,0.271,0.271,0.271,0.271,522,0
2015-06-05,14:05:00,0.29,0.29,0.29,0.29,22314,0
2015-06-08,10:05:00,0.271,0.271,0.271,0.271,401,0
2015-06-08,11:55:00,0.328,0.328,0.328,0.328,600,0
2015-06-08,16:50:00,0.27,0.27,0.27,0.27,150,0
2015-06-08,17:30:00,0.269,0.269,0.269,0.269,4615,0
2015-06-09,09:05:00,0.26,0.26,0.26,0.26,160,0
2015-06-09,09:45:00,0.26,0.26,0.26,0.26,6039,0
2015-06-09,16:05:00,0.26,0.26,0.26,0.26,2500,0
2015-06-09,17:30:00,0.26,0.26,0.26,0.26,37899,0
2015-06-10,09:05:00,0.26,0.26,0.26,0.26,15,0
2015-06-10,10:35:00,0.271,0.271,0.271,0.271,335,0
2015-06-10,12:55:00,0.298,0.32,0.298,0.32,3396,0
2015-06-10,13:00:00,0.32,0.32,0.32,0.32,200,0
2015-06-10,14:20:00,0.291,0.291,0.29,0.29,5726,0
2015-06-10,16:15:00,0.282,0.29,0.282,0.29,13672,0
