Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-29,09:05:00,41.91,41.91,41.91,41.91,50,0
2017-08-29,09:25:00,41.005,41.005,41,41.005,1158,0
2017-08-29,09:50:00,41,41,41,41,400,0
2017-08-29,09:55:00,41,41,41,41,184,0
2017-08-29,10:15:00,41,41,41,41,19,0
2017-08-29,10:25:00,41,41,40.99,40.99,304,0
2017-08-29,10:30:00,40.99,40.99,40.99,40.99,77,0
2017-08-29,10:50:00,40.455,40.455,40.455,40.455,445,0
2017-08-29,11:25:00,40.44,40.44,40.44,40.44,100,0
2017-08-29,11:35:00,41.155,41.155,41.155,41.155,50,0
2017-08-29,11:55:00,41.345,41.345,41.345,41.345,121,0
2017-08-29,12:30:00,40.515,40.515,40.51,40.51,423,0
2017-08-29,13:10:00,40.515,40.515,40.37,40.37,556,0
2017-08-29,13:20:00,40.51,40.51,40.51,40.51,16,0
2017-08-29,13:30:00,40.51,40.51,40.055,40.055,50,0
2017-08-29,14:25:00,40.56,40.7,40.56,40.7,69,0
2017-08-29,14:35:00,41.09,41.105,41.09,41.105,431,0
2017-08-29,14:40:00,41.08,41.08,41.08,41.08,340,0
2017-08-29,14:50:00,41.1,41.1,41.1,41.1,50,0
2017-08-29,15:50:00,40.075,40.075,40.075,40.075,15,0
2017-08-29,16:35:00,40.5,40.5,40.5,40.5,54,0
2017-08-29,16:45:00,41.17,41.4,41.17,41.4,600,0
2017-08-29,17:30:00,41.4,41.5,41.295,41.295,244,0
2017-08-30,09:05:00,41.2,41.2,41.2,41.2,23,0
2017-08-30,13:00:00,41.055,41.055,41.055,41.055,24,0
2017-08-30,17:30:00,41.41,41.41,41.41,41.41,0,0
2017-08-31,09:05:00,41.05,41.05,41.05,41.05,149,0
2017-08-31,09:30:00,41.47,41.47,41.47,41.47,100,0
2017-08-31,13:20:00,41.73,41.73,41.73,41.73,28,0
2017-08-31,13:40:00,41.705,41.705,41.705,41.705,30,0
2017-08-31,14:10:00,41.205,41.205,40.605,40.605,1584,0
2017-08-31,14:15:00,40.595,40.595,40.595,40.595,243,0
2017-08-31,14:40:00,40.595,40.595,40.5,40.5,118,0
2017-08-31,14:50:00,40.2,40.2,40.2,40.2,26,0
2017-08-31,14:55:00,40.2,40.2,40.2,40.2,256,0
2017-08-31,15:25:00,40.4,40.4,40.4,40.4,200,0
2017-08-31,17:30:00,40.185,40.185,40.185,40.185,360,0
2017-09-01,09:05:00,40.08,40.08,40.08,40.08,25,0
2017-09-01,09:25:00,40.135,40.135,39.985,39.985,732,0
2017-09-01,09:45:00,39.7,39.7,39.7,39.7,40,0
2017-09-01,10:35:00,39.93,39.93,39.93,39.93,50,0
2017-09-01,10:40:00,39.92,39.985,39.92,39.985,107,0
2017-09-01,10:45:00,39.735,39.735,39.7,39.7,50,0
2017-09-01,12:20:00,39.705,39.705,39.7,39.7,100,0
2017-09-01,13:20:00,39.77,39.77,39.77,39.77,9,0
2017-09-01,13:30:00,39.995,39.995,39.995,39.995,112,0
2017-09-01,14:40:00,39.995,40,39.995,40,909,0
2017-09-01,15:50:00,40,40,40,40,20,0
2017-09-01,16:00:00,39.8,39.8,39.8,39.8,80,0
2017-09-01,16:15:00,40.12,40.12,40.12,40.12,100,0
2017-09-01,16:25:00,39.875,39.875,39.8,39.8,125,0
2017-09-01,16:50:00,40.26,40.26,40.26,40.26,41,0
2017-09-01,17:00:00,40.395,40.395,40.395,40.395,50,0
2017-09-01,17:20:00,40.59,40.59,40.59,40.59,13,0
2017-09-01,17:30:00,40.265,40.265,39.8,39.8,139,0
