Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-07-20,10:00:00,64.48,64.48,64.48,64.48,68,0
2017-07-20,11:20:00,64.48,64.48,64.48,64.48,23,0
2017-07-20,11:40:00,64.8,64.8,64.8,64.8,44,0
2017-07-20,11:55:00,64.83,64.83,64.83,64.83,19,0
2017-07-20,14:00:00,64.5,64.5,64.5,64.5,150,0
2017-07-20,15:50:00,64.5,64.5,64.1,64.1,219,0
2017-07-20,15:55:00,64.1,64.75,64.1,64.75,47,0
2017-07-20,17:00:00,65.33,65.33,65.33,65.33,25,0
2017-07-20,17:05:00,65.33,65.33,65.33,65.33,6,0
2017-07-20,17:10:00,65.33,65.33,65.33,65.33,18,0
2017-07-20,17:30:00,65.33,65.33,64.5,64.89,142,0
2017-07-21,09:05:00,65,65.01,65,65,218,0
2017-07-21,09:15:00,65.99,65.99,65.99,65.99,30,0
2017-07-21,10:00:00,65.98,65.98,65.98,65.98,200,0
2017-07-21,11:55:00,65.79,65.79,65.79,65.79,37,0
2017-07-21,12:05:00,65.64,65.64,65,65,216,0
2017-07-21,12:20:00,65.58,65.58,65.25,65.25,231,0
2017-07-21,13:15:00,65.66,65.66,65.66,65.66,37,0
2017-07-21,13:35:00,65.15,65.15,65.15,65.15,96,0
2017-07-21,14:20:00,65.4,65.4,65.4,65.4,37,0
2017-07-21,14:55:00,65.9,65.9,65.89,65.89,287,0
2017-07-21,16:20:00,65.51,65.51,65.51,65.51,15,0
2017-07-21,17:00:00,65.35,65.35,65.25,65.25,266,0
2017-07-21,17:20:00,65.25,65.25,65.14,65.14,29,0
2017-07-21,17:30:00,65.35,65.35,65.18,65.18,41,0
2017-07-24,09:05:00,65.06,65.06,65.06,65.06,25,0
2017-07-24,09:45:00,65.05,65.05,64.72,64.72,100,0
2017-07-24,12:35:00,65.56,65.56,65.56,65.56,44,0
2017-07-24,13:15:00,65.7,65.7,65.7,65.7,100,0
2017-07-24,13:20:00,65.69,65.69,65.69,65.69,11,0
2017-07-24,14:20:00,65.1,65.54,65.1,65.54,167,0
2017-07-24,14:30:00,65.1,65.1,65.1,65.1,62,0
2017-07-24,15:20:00,64.5,64.5,64.01,64.01,100,0
2017-07-24,15:35:00,64.99,64.99,64.99,64.99,16,0
2017-07-24,16:35:00,64.99,64.99,64.99,64.99,62,0
2017-07-24,17:00:00,64.99,64.99,64.99,64.99,7,0
2017-07-24,17:30:00,64.99,64.99,64.54,64.54,8,0
2017-07-25,09:05:00,65.2,65.2,65.2,65.2,105,0
2017-07-25,12:55:00,65.34,65.35,65.34,65.35,200,0
2017-07-25,13:15:00,65.55,65.55,65.55,65.55,15,0
2017-07-25,13:20:00,65.55,65.55,65.55,65.55,54,0
2017-07-25,14:15:00,65.64,65.65,65.64,65.65,270,0
2017-07-25,15:25:00,65.75,65.75,65.75,65.75,38,0
2017-07-25,16:00:00,65.75,65.75,65.75,65.75,145,0
2017-07-25,16:20:00,65.55,65.55,65.55,65.55,50,0
2017-07-25,16:35:00,65.75,65.75,65.75,65.75,17,0
2017-07-25,16:40:00,66,66,66,66,14,0
2017-07-25,17:00:00,66,66,66,66,14,0
2017-07-25,17:05:00,66,66,66,66,17,0
2017-07-25,17:20:00,66,66,65.65,65.65,92,0
2017-07-25,17:30:00,65.65,65.65,65.29,65.55,85,0
2017-07-26,11:10:00,65.34,65.34,65.3,65.3,581,0
2017-07-26,11:30:00,65.32,65.32,65.3,65.32,195,0
2017-07-26,11:50:00,64.3,64.3,64.3,64.3,436,0
2017-07-26,12:05:00,65.05,65.05,65.05,65.05,60,0
2017-07-26,12:10:00,64.31,64.31,64.15,64.15,141,0
2017-07-26,12:15:00,63.76,63.76,63.26,63.26,120,0
2017-07-26,12:20:00,64.31,64.35,64.31,64.35,158,0
2017-07-26,12:25:00,64.35,64.35,64.35,64.35,3,0
2017-07-26,12:35:00,64.35,64.35,64.35,64.35,50,0
2017-07-26,13:00:00,64.34,64.5,64.34,64.49,378,0
2017-07-26,13:05:00,64.5,64.5,64.5,64.5,200,0
2017-07-26,13:50:00,64.47,64.47,64.47,64.47,77,0
2017-07-26,14:25:00,64,64,64,64,27,0
2017-07-26,14:30:00,63.75,63.75,63.55,63.55,288,0
2017-07-26,14:45:00,64.3,64.3,64.3,64.3,765,0
2017-07-26,14:50:00,64.7,64.7,64.7,64.7,305,0
2017-07-26,16:05:00,64.68,64.69,64.68,64.68,478,0
2017-07-26,16:35:00,65.3,65.45,65.3,65.45,44,0
2017-07-26,16:50:00,65.44,65.44,65.44,65.44,46,0
2017-07-26,16:55:00,65.44,65.44,65.44,65.44,7,0
2017-07-26,17:10:00,64.98,65.04,64.98,65.04,480,0
2017-07-26,17:25:00,65.44,65.44,65.44,65.44,34,0
2017-07-26,17:30:00,64.85,64.85,64.85,64.85,0,0
2017-07-27,09:05:00,65.3,65.3,65.3,65.3,46,0
2017-07-27,10:10:00,66.1,66.19,66.1,66.19,70,0
2017-07-27,12:35:00,65.89,65.89,65.89,65.89,100,0
2017-07-27,13:40:00,65.01,65.01,65,65,386,0
2017-07-27,14:00:00,65,65,65,65,154,0
2017-07-27,16:40:00,65.89,65.89,65.89,65.89,17,0
2017-07-27,17:00:00,65.89,65.89,65.89,65.89,7,0
2017-07-27,17:05:00,65.51,65.51,65.51,65.51,50,0
2017-07-27,17:10:00,65.5,65.5,65.5,65.5,43,0
2017-07-27,17:15:00,65.5,65.5,65.5,65.5,21,0
2017-07-27,17:30:00,65.5,65.5,65.11,65.11,18,0
2017-07-28,09:25:00,65.12,65.12,65.1,65.1,700,0
2017-07-28,11:30:00,65,65,65,65,14,0
2017-07-28,11:45:00,65,65,65,65,36,0
2017-07-28,12:00:00,65.2,65.2,65.2,65.2,50,0
2017-07-28,16:15:00,65,65,65,65,66,0
2017-07-28,17:25:00,65.52,65.52,65.52,65.52,29,0
2017-07-28,17:30:00,65,65,65,65,197,0
2017-07-31,14:35:00,65,65,65,65,10,0
2017-07-31,16:10:00,65.19,65.19,65.19,65.19,15,0
2017-07-31,17:10:00,65.19,65.2,65,65.19,97,0
2017-07-31,17:25:00,65,65,65,65,84,0
