Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-04,09:05:00,79.51,79.51,79.5,79.5,203,0
2017-10-04,09:35:00,79.69,79.69,79.69,79.69,2,0
2017-10-04,09:50:00,79.88,79.95,79.88,79.88,105,0
2017-10-04,09:55:00,79.88,79.9,79.88,79.9,70,0
2017-10-04,10:00:00,79.95,79.95,79.95,79.95,1,0
2017-10-04,10:05:00,79.68,79.68,79.67,79.67,15,0
2017-10-04,10:15:00,79.69,79.69,79.69,79.69,3,0
2017-10-04,10:25:00,79.95,79.95,79.95,79.95,18,0
2017-10-04,10:30:00,79.95,80,79.95,80,59,0
2017-10-04,10:35:00,80,80,80,80,23,0
2017-10-04,10:40:00,80,80,80,80,40,0
2017-10-04,11:05:00,80,80,80,80,30,0
2017-10-04,11:10:00,79.73,79.73,79.73,79.73,100,0
2017-10-04,11:15:00,79.68,79.99,79.6,79.97,732,0
2017-10-04,11:20:00,79.97,79.97,79.97,79.97,2,0
2017-10-04,11:40:00,79.66,79.66,79.66,79.66,10,0
2017-10-04,11:55:00,79.85,79.85,79.85,79.85,36,0
2017-10-04,12:20:00,79.83,79.83,79.83,79.83,1,0
2017-10-04,12:30:00,79.72,79.72,79.69,79.69,60,0
2017-10-04,12:55:00,80,80,80,80,116,0
2017-10-04,13:00:00,80.18,80.41,80.18,80.41,78,0
2017-10-04,13:20:00,80.68,80.84,80.68,80.84,33,0
2017-10-04,13:45:00,80.32,80.5,80.27,80.48,90,0
2017-10-04,13:55:00,80.03,80.4,80.03,80.03,88,0
2017-10-04,14:05:00,80.02,80.02,80.02,80.02,3,0
2017-10-04,14:35:00,80.33,80.33,80.15,80.15,102,0
2017-10-04,15:15:00,80.3,80.89,80.27,80.4,895,0
2017-10-04,15:20:00,80.2,80.7,80,80,1327,0
2017-10-04,15:30:00,79.92,79.92,79.92,79.92,13,0
2017-10-04,15:35:00,79.88,79.88,79.88,79.88,149,0
2017-10-04,15:55:00,79.9,79.9,79.9,79.9,28,0
2017-10-04,16:05:00,79.8,79.92,79.8,79.92,970,0
2017-10-04,16:30:00,79.8,80.1,79.8,79.9,526,0
2017-10-04,16:35:00,80.25,80.25,80.09,80.09,162,0
2017-10-04,16:40:00,80.04,80.04,80.04,80.04,103,0
2017-10-04,16:45:00,79.9,79.9,79.88,79.88,234,0
2017-10-04,16:50:00,79.8,79.8,79.7,79.7,673,0
2017-10-04,17:00:00,79.69,79.69,79.68,79.69,40,0
2017-10-04,17:05:00,79.6,79.7,79.6,79.7,158,0
2017-10-04,17:10:00,79.71,79.71,79.71,79.71,8,0
2017-10-04,17:15:00,79.6,79.71,79.6,79.71,38,0
