Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-09-26,08:05:00,6.3129,6.3129,6.3129,6.3129,150,0
2016-09-26,16:00:00,6.3497,6.3497,6.3497,6.3497,1547,0
2016-09-27,14:40:00,6.5145,6.5145,6.5145,6.5145,361,0
2016-09-28,15:10:00,6.5193,6.5193,6.5193,6.5193,794,0
2016-09-28,15:40:00,6.5426,6.5426,6.5426,6.5426,516,0
2016-09-29,08:05:00,6.5436,6.5436,6.5436,6.5436,607,0
2016-09-29,10:00:00,6.3158,6.3158,6.3158,6.3158,681,0
2016-09-29,11:50:00,6.3158,6.3158,6.3158,6.3158,671,0
2016-09-30,10:40:00,6.3119,6.3119,6.3119,6.3119,619,0
2016-09-30,14:10:00,6.4941,6.4941,6.4941,6.4941,309,0
2016-10-04,08:05:00,6.4941,6.4941,6.4941,6.4941,165,0
2016-10-04,18:00:00,6.3497,6.3497,6.3497,6.3497,480,0
2016-10-05,16:30:00,6.3129,6.3129,6.3129,6.3129,103,0
2016-10-06,11:15:00,6.4854,6.4854,6.3206,6.3206,1692,0
2016-10-06,18:10:00,6.3507,6.3507,6.3507,6.3507,26,0
2016-10-10,08:05:00,6.3119,6.3119,6.3119,6.3119,361,0
2016-10-10,08:45:00,6.3497,6.3497,6.3497,6.3497,309,0
2016-10-10,10:00:00,6.3545,6.3545,6.3545,6.3545,206,0
2016-10-10,11:00:00,6.3497,6.3497,6.3206,6.3206,1032,0
2016-10-10,14:20:00,6.3119,6.3119,6.3119,6.3119,309,0
2016-10-11,12:50:00,6.3119,6.3119,6.3119,6.3119,805,0
2016-10-11,14:15:00,6.3119,6.3119,6.3119,6.3119,124,0
2016-10-11,16:40:00,6.3109,6.3109,6.3109,6.3109,2063,0
2016-10-11,16:45:00,6.3012,6.3012,6.3012,6.3012,567,0
2016-10-11,17:00:00,6.3497,6.3497,6.3497,6.3497,103,0
2016-10-12,09:15:00,6.436,6.436,6.436,6.436,103,0
2016-10-12,09:55:00,6.4321,6.4321,6.4321,6.4321,309,0
2016-10-12,10:00:00,6.4932,6.4932,6.4932,6.4932,335,0
2016-10-12,13:25:00,6.4903,6.4951,6.4903,6.4951,3507,0
2016-10-12,14:20:00,6.5096,6.5096,6.5096,6.5096,516,0
2016-10-12,14:25:00,6.4951,6.4951,6.4951,6.4951,516,0
2016-10-12,15:20:00,6.5242,6.5242,6.5242,6.5242,516,0
2016-10-13,08:45:00,6.529,6.529,6.529,6.529,928,0
2016-10-13,10:10:00,6.5232,6.5232,6.5232,6.5232,206,0
2016-10-13,14:45:00,6.4369,6.4369,6.4369,6.4369,258,0
2016-10-13,19:55:00,6.4369,6.4369,6.4369,6.4369,567,0
2016-10-14,11:50:00,6.4369,6.4369,6.4369,6.4369,619,0
2016-10-14,12:30:00,6.371,6.371,6.371,6.371,181,0
2016-10-14,15:55:00,6.3982,6.3982,6.3982,6.3982,619,0
2016-10-14,17:05:00,6.4457,6.4457,6.4457,6.4457,309,0
2016-10-14,17:15:00,6.4457,6.4457,6.4457,6.4457,72,0
2016-10-14,19:15:00,6.3788,6.3788,6.3788,6.3788,722,0
2016-10-17,10:00:00,6.3497,6.3497,6.3109,6.3109,3610,0
2016-10-17,12:25:00,6.3497,6.3497,6.3497,6.3497,738,0
2016-10-17,14:40:00,6.4418,6.4418,6.4418,6.4418,928,0
2016-10-17,17:00:00,6.3507,6.3507,6.3507,6.3507,10,0
2016-10-18,10:05:00,6.4457,6.4457,6.4457,6.4457,165,0
2016-10-19,08:10:00,6.4457,6.4457,6.4457,6.4457,206,0
2016-10-19,11:15:00,6.4088,6.4088,6.4088,6.4088,248,0
2016-10-19,13:50:00,6.4272,6.4272,6.4272,6.4272,155,0
2016-10-19,14:25:00,6.4418,6.4418,6.4418,6.4418,516,0
2016-10-19,14:40:00,6.4457,6.4466,6.4457,6.4466,2063,0
2016-10-19,15:05:00,6.4854,6.4854,6.4854,6.4854,516,0
2016-10-19,15:10:00,6.466,6.4951,6.466,6.4951,1238,0
2016-10-19,16:00:00,6.4854,6.4854,6.4854,6.4854,619,0
2016-10-19,16:20:00,6.5329,6.5329,6.5329,6.5329,413,0
2016-10-19,17:00:00,6.5329,6.5329,6.5329,6.5329,206,0
2016-10-19,18:35:00,6.5329,6.5329,6.5329,6.5329,309,0
2016-10-19,19:45:00,6.5329,6.5329,6.5329,6.5329,155,0
2016-10-20,09:05:00,6.5329,6.5329,6.5329,6.5329,93,0
2016-10-20,09:40:00,6.5329,6.5329,6.5329,6.5329,103,0
2016-10-20,09:50:00,6.5329,6.5329,6.5329,6.5329,258,0
2016-10-20,09:55:00,6.5339,6.5436,6.5339,6.5436,3571,0
2016-10-20,10:00:00,6.592,6.592,6.592,6.592,52,0
2016-10-20,11:20:00,6.5436,6.5436,6.5436,6.5436,567,0
2016-10-20,12:05:00,6.5824,6.5824,6.5824,6.5824,1547,0
2016-10-20,14:00:00,6.6192,6.6192,6.6192,6.6192,516,0
2016-10-20,15:50:00,6.5727,6.6192,6.5727,6.6192,516,0
