Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-23,09:05:00,5.632,5.693,5.632,5.693,224,0
2017-08-23,09:10:00,5.632,5.632,5.632,5.632,32,0
2017-08-23,09:20:00,5.632,5.632,5.632,5.632,25,0
2017-08-23,09:35:00,5.632,5.632,5.632,5.632,24,0
2017-08-23,09:50:00,5.632,5.632,5.632,5.632,25,0
2017-08-23,10:05:00,5.623,5.623,5.623,5.623,23,0
2017-08-23,10:25:00,5.623,5.623,5.623,5.623,24,0
2017-08-23,10:35:00,5.623,5.623,5.623,5.623,24,0
2017-08-23,10:50:00,5.623,5.623,5.623,5.623,24,0
2017-08-23,11:05:00,5.623,5.623,5.623,5.623,24,0
2017-08-23,12:10:00,5.615,5.615,5.615,5.615,24,0
2017-08-23,13:20:00,5.605,5.605,5.605,5.605,3,0
2017-08-23,13:40:00,5.61,5.61,5.605,5.605,3024,0
2017-08-23,13:50:00,5.605,5.605,5.605,5.605,101,0
2017-08-23,17:30:00,5.632,5.632,5.607,5.607,15,0
2017-08-24,09:05:00,5.65,5.65,5.613,5.613,971,0
2017-08-24,09:10:00,5.605,5.605,5.605,5.605,25,0
2017-08-24,09:25:00,5.605,5.605,5.605,5.605,21,0
2017-08-24,09:30:00,5.62,5.62,5.62,5.62,44,0
2017-08-24,09:40:00,5.605,5.605,5.605,5.605,21,0
2017-08-24,09:55:00,5.605,5.605,5.605,5.605,21,0
2017-08-24,10:05:00,5.605,5.605,5.605,5.605,21,0
2017-08-24,10:15:00,5.605,5.605,5.605,5.605,21151,0
2017-08-24,10:50:00,5.597,5.597,5.597,5.597,21,0
2017-08-24,11:05:00,5.597,5.597,5.597,5.597,21,0
2017-08-24,11:20:00,5.597,5.597,5.597,5.597,21,0
2017-08-24,11:35:00,5.597,5.597,5.597,5.597,21,0
2017-08-24,11:50:00,5.597,5.597,5.597,5.597,21,0
2017-08-24,12:00:00,5.597,5.597,5.597,5.597,27,0
2017-08-24,12:05:00,5.597,5.597,5.597,5.597,21,0
2017-08-24,12:15:00,5.62,5.62,5.616,5.616,290,0
2017-08-24,12:20:00,5.617,5.617,5.617,5.617,23,0
2017-08-24,12:35:00,5.62,5.62,5.62,5.62,6,0
2017-08-24,12:50:00,5.601,5.601,5.601,5.601,14,0
2017-08-24,13:20:00,5.566,5.566,5.566,5.566,20,0
2017-08-24,13:35:00,5.594,5.594,5.594,5.594,12,0
2017-08-24,15:05:00,5.6,5.6,5.6,5.6,98,0
2017-08-24,16:20:00,5.599,5.6,5.575,5.575,75,0
2017-08-24,16:35:00,5.575,5.575,5.575,5.575,21,0
2017-08-24,16:50:00,5.588,5.588,5.588,5.588,22,0
2017-08-24,16:55:00,5.599,5.599,5.599,5.599,4,0
2017-08-24,17:05:00,5.599,5.6,5.599,5.6,3000,0
2017-08-24,17:25:00,5.612,5.62,5.612,5.62,26,0
2017-08-24,17:30:00,5.62,5.698,5.62,5.634,480,0
2017-08-25,09:05:00,5.566,5.645,5.566,5.645,44,0
2017-08-25,09:25:00,5.616,5.616,5.616,5.616,25,0
2017-08-25,09:40:00,5.618,5.618,5.618,5.618,25,0
2017-08-25,09:55:00,5.618,5.618,5.618,5.618,24,0
2017-08-25,10:10:00,5.618,5.618,5.618,5.618,182,0
2017-08-25,10:40:00,5.62,5.62,5.62,5.62,26,0
2017-08-25,10:50:00,5.62,5.62,5.62,5.62,24,0
2017-08-25,11:10:00,5.62,5.62,5.62,5.62,24,0
2017-08-25,11:25:00,5.62,5.62,5.62,5.62,24,0
2017-08-25,11:30:00,5.62,5.62,5.62,5.62,27,0
2017-08-25,13:20:00,5.649,5.649,5.649,5.649,33,0
2017-08-25,15:50:00,5.633,5.633,5.633,5.633,50,0
2017-08-25,16:55:00,5.6,5.6,5.6,5.6,25,0
2017-08-25,17:10:00,5.6,5.6,5.6,5.6,23,0
2017-08-25,17:25:00,5.6,5.6,5.6,5.6,25,0
2017-08-25,17:30:00,5.6,5.6,5.599,5.599,916,0
2017-08-28,09:05:00,5.56,5.679,5.56,5.679,367,0
2017-08-28,09:20:00,5.602,5.602,5.602,5.602,19,0
2017-08-28,09:35:00,5.603,5.603,5.603,5.603,6,0
2017-08-28,09:40:00,5.639,5.639,5.639,5.639,6,0
2017-08-28,09:50:00,5.592,5.592,5.592,5.592,19,0
2017-08-28,10:20:00,5.598,5.598,5.598,5.598,19,0
2017-08-28,10:35:00,5.598,5.598,5.598,5.598,19,0
2017-08-28,10:55:00,5.63,5.63,5.63,5.63,700,0
2017-08-28,12:05:00,5.609,5.609,5.609,5.609,19,0
2017-08-28,12:20:00,5.611,5.611,5.609,5.609,19,0
2017-08-28,12:35:00,5.609,5.609,5.609,5.609,19,0
2017-08-28,12:50:00,5.609,5.609,5.609,5.609,19,0
2017-08-28,13:05:00,5.637,5.637,5.637,5.637,91,0
2017-08-28,13:20:00,5.564,5.564,5.564,5.564,3,0
2017-08-28,13:40:00,5.603,5.603,5.603,5.603,9,0
2017-08-28,14:25:00,5.674,5.674,5.674,5.674,26,0
2017-08-28,15:40:00,5.597,5.597,5.597,5.597,20,0
2017-08-28,15:55:00,5.607,5.628,5.607,5.628,34,0
2017-08-28,16:00:00,5.637,5.637,5.637,5.637,167,0
2017-08-28,16:40:00,5.624,5.624,5.619,5.619,119,0
2017-08-28,17:10:00,5.593,5.593,5.561,5.561,165,0
2017-08-28,17:30:00,5.674,5.679,5.561,5.561,341,0
2017-08-29,09:05:00,5.673,5.673,5.672,5.672,21,0
2017-08-29,09:10:00,5.663,5.663,5.607,5.607,313,0
2017-08-29,09:25:00,5.594,5.594,5.594,5.594,16,0
2017-08-29,09:40:00,5.567,5.567,5.567,5.567,16,0
2017-08-29,09:50:00,5.573,5.573,5.573,5.573,806,0
2017-08-29,10:40:00,5.606,5.606,5.606,5.606,16,0
2017-08-29,10:55:00,5.606,5.606,5.606,5.606,24,0
2017-08-29,11:05:00,5.587,5.587,5.567,5.567,555,0
2017-08-29,11:10:00,5.567,5.567,5.567,5.567,16,0
2017-08-29,12:10:00,5.582,5.582,5.582,5.582,31,0
2017-08-29,12:25:00,5.568,5.568,5.568,5.568,16,0
2017-08-29,12:55:00,5.58,5.58,5.568,5.568,16,0
2017-08-29,13:10:00,5.582,5.582,5.582,5.582,16,0
2017-08-29,13:20:00,5.568,5.568,5.568,5.568,3,0
2017-08-29,13:25:00,5.578,5.578,5.567,5.567,16,0
2017-08-29,14:10:00,5.583,5.583,5.583,5.583,16,0
2017-08-29,14:20:00,5.583,5.583,5.583,5.583,13,0
2017-08-29,14:25:00,5.567,5.619,5.567,5.619,116,0
2017-08-29,14:40:00,5.567,5.567,5.54,5.54,1016,0
2017-08-29,14:55:00,5.54,5.54,5.54,5.54,16,0
2017-08-29,15:10:00,5.54,5.54,5.54,5.54,16,0
2017-08-29,15:25:00,5.549,5.549,5.549,5.549,15,0
2017-08-29,15:35:00,5.546,5.546,5.546,5.546,17,0
2017-08-29,15:40:00,5.546,5.546,5.546,5.546,17,0
2017-08-29,15:55:00,5.559,5.559,5.559,5.559,16,0
