Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-22,09:05:00,49,49,49,49,76,0
2017-09-22,09:30:00,49,49.035,49,49.035,101,0
2017-09-22,10:05:00,49.165,49.165,49.165,49.165,44,0
2017-09-22,10:20:00,49.145,49.145,49.145,49.145,12,0
2017-09-22,10:40:00,49.05,49.055,49.05,49.055,100,0
2017-09-22,11:05:00,49.1,49.395,49.1,49.395,305,0
2017-09-22,11:20:00,49.5,49.5,49.5,49.5,50,0
2017-09-22,11:35:00,49.56,49.56,49.56,49.56,19,0
2017-09-22,12:25:00,49.515,49.585,49.515,49.585,212,0
2017-09-22,12:45:00,49.495,49.495,49.495,49.495,2,0
2017-09-22,12:50:00,49.6,49.7,49.6,49.7,222,0
2017-09-22,12:55:00,49.705,49.705,49.705,49.705,3,0
2017-09-22,13:00:00,49.805,50,49.805,50,200,0
2017-09-22,13:10:00,49.995,49.995,49.705,49.705,51,0
2017-09-22,13:30:00,50,50,50,50,50,0
2017-09-22,13:40:00,50,50,50,50,100,0
2017-09-22,13:45:00,50,50,50,50,23,0
2017-09-22,13:55:00,50.37,50.37,50.37,50.37,23,0
2017-09-22,14:15:00,50.43,50.43,50.43,50.43,100,0
2017-09-22,14:25:00,50.13,50.13,50.13,50.13,55,0
2017-09-22,15:20:00,50.01,50.36,50.01,50.36,222,0
2017-09-22,15:25:00,50,50,50,50,977,0
2017-09-22,15:30:00,50,50,50,50,17,0
2017-09-22,15:55:00,50.32,50.38,50.32,50.38,218,0
2017-09-22,16:00:00,50.38,50.38,50.38,50.38,18,0
2017-09-22,16:05:00,50.18,50.18,50.18,50.18,19,0
2017-09-22,16:10:00,50.18,50.18,50.18,50.18,9,0
2017-09-22,16:40:00,50.28,50.28,50.28,50.28,13,0
2017-09-22,16:50:00,50.14,50.35,50,50.35,424,0
2017-09-22,17:00:00,50.38,50.38,50.38,50.38,200,0
2017-09-22,17:10:00,50.18,50.18,50.1,50.1,93,0
2017-09-22,17:15:00,50.1,50.1,50.08,50.08,68,0
2017-09-22,17:30:00,50.3,50.5,50.09,50.5,836,0
2017-09-25,09:05:00,50.5,50.5,50.06,50.17,80,0
2017-09-25,09:10:00,50.17,50.17,50.17,50.17,5,0
2017-09-25,09:20:00,50.06,50.06,50.06,50.06,50,0
2017-09-25,09:35:00,50.29,50.69,50.29,50.69,400,0
2017-09-25,09:50:00,50.34,50.34,50.34,50.34,80,0
2017-09-25,10:05:00,50.34,50.34,50.34,50.34,30,0
2017-09-25,10:15:00,50.34,50.34,50.34,50.34,20,0
2017-09-25,10:25:00,50.11,50.11,50.11,50.11,807,0
2017-09-25,10:40:00,50.33,50.33,50.33,50.33,20,0
2017-09-25,10:45:00,50.11,50.11,50.11,50.11,25,0
2017-09-25,11:10:00,50.3,50.3,50.3,50.3,14,0
2017-09-25,12:10:00,50.11,50.11,50.11,50.11,125,0
2017-09-25,12:15:00,50.11,50.11,50.11,50.11,41,0
2017-09-25,12:20:00,50.11,50.11,50.08,50.08,76,0
2017-09-25,12:25:00,50.08,50.08,50.08,50.08,76,0
2017-09-25,12:35:00,50.08,50.1,50.08,50.08,325,0
2017-09-25,12:45:00,50.08,50.08,50.08,50.08,9,0
2017-09-25,13:05:00,50.09,50.09,50.09,50.09,3,0
2017-09-25,13:20:00,50.01,50.01,50.01,50.01,30,0
2017-09-25,13:40:00,50.1,50.1,50.01,50.01,49,0
2017-09-25,14:10:00,50,50,50,50,120,0
2017-09-25,14:15:00,50.01,50.01,50,50,41,0
2017-09-25,14:20:00,50.01,50.37,50,50,191,0
2017-09-25,14:25:00,50,50,50,50,37,0
2017-09-25,15:15:00,50,50,50,50,40,0
2017-09-25,15:30:00,50.01,50.01,50.01,50.01,11,0
2017-09-25,15:35:00,50.01,50.01,50,50,88,0
2017-09-25,15:40:00,50.01,50.01,50.01,50.01,32,0
2017-09-25,15:45:00,50,50,50,50,40,0
2017-09-25,15:50:00,50,50,50,50,100,0
2017-09-25,16:00:00,50,50,50,50,11,0
2017-09-25,16:15:00,50,50,50,50,70,0
2017-09-25,16:20:00,50,50,50,50,38,0
2017-09-25,16:25:00,50,50,50,50,56,0
2017-09-25,16:40:00,50,50.01,50,50.01,203,0
2017-09-25,16:45:00,50.01,50.01,50.01,50.01,2,0
2017-09-25,17:05:00,50.01,50.01,50.01,50.01,102,0
2017-09-25,17:10:00,50.01,50.01,50.01,50.01,28,0
2017-09-25,17:15:00,50,50,50,50,9,0
2017-09-25,17:20:00,50.01,50.01,50.01,50.01,69,0
2017-09-25,17:25:00,50.01,50.01,50.01,50.01,98,0
2017-09-25,17:30:00,50.39,50.39,50,50.05,293,0
2017-09-26,09:05:00,50.13,50.13,50.13,50.13,2,0
2017-09-26,09:15:00,50.68,50.68,50.68,50.68,233,0
2017-09-26,09:20:00,50.14,50.14,50.13,50.13,23,0
2017-09-26,09:30:00,50.38,50.63,50.38,50.38,234,0
2017-09-26,10:25:00,50.38,50.38,50.09,50.09,140,0
2017-09-26,11:20:00,50.09,50.09,50.09,50.09,193,0
2017-09-26,11:55:00,50.09,50.09,50.09,50.09,109,0
2017-09-26,12:20:00,50.09,50.09,50.03,50.03,102,0
2017-09-26,12:25:00,50.03,50.09,50.03,50.09,96,0
2017-09-26,12:45:00,50.03,50.03,50.03,50.03,10,0
2017-09-26,13:45:00,50.24,50.24,50.24,50.24,30,0
2017-09-26,14:05:00,50.03,50.03,50.03,50.03,79,0
2017-09-26,14:20:00,50.04,50.04,50.04,50.04,1,0
2017-09-26,14:45:00,50.03,50.03,50.03,50.03,24,0
2017-09-26,15:20:00,50.03,50.03,50.03,50.03,30,0
2017-09-26,15:40:00,50.03,50.03,50.03,50.03,117,0
2017-09-26,15:55:00,50.03,50.03,50.03,50.03,41,0
2017-09-26,16:00:00,50.03,50.03,50.03,50.03,40,0
2017-09-26,16:05:00,50.03,50.03,50.03,50.03,13,0
2017-09-26,16:35:00,50.03,50.03,50.03,50.03,80,0
2017-09-26,16:40:00,50.1,50.1,50.04,50.04,164,0
2017-09-26,17:20:00,50.1,50.15,50.1,50.15,108,0
2017-09-26,17:25:00,50.15,50.15,50.1,50.1,155,0
2017-09-26,17:30:00,50.11,50.11,50.1,50.1,81,0
2017-09-27,09:05:00,50.01,50.01,50.01,50.01,330,0
2017-09-27,09:25:00,50.09,50.09,50.09,50.09,6,0
2017-09-27,09:50:00,50.09,50.09,50.09,50.09,26,0
2017-09-27,10:10:00,50.07,50.07,50.07,50.07,35,0
2017-09-27,10:30:00,50.25,50.25,50.25,50.25,50,0
2017-09-27,10:55:00,50.07,50.07,50.02,50.02,600,0
2017-09-27,11:00:00,50.07,50.07,50.07,50.07,54,0
2017-09-27,11:05:00,50.07,50.07,50.07,50.07,7,0
2017-09-27,11:30:00,50.21,50.22,50.21,50.22,20,0
2017-09-27,12:05:00,50.21,50.21,50.21,50.21,24,0
2017-09-27,12:55:00,50.21,50.21,50.21,50.21,10,0
2017-09-27,13:00:00,50.1,50.1,50.1,50.1,24,0
2017-09-27,13:05:00,50.1,50.1,50.1,50.1,26,0
2017-09-27,13:10:00,50.1,50.1,50.1,50.1,40,0
2017-09-27,13:30:00,50.1,50.1,50.1,50.1,7,0
2017-09-27,13:40:00,50.02,50.02,50.02,50.02,19,0
2017-09-27,13:50:00,50.1,50.1,50.1,50.1,11,0
2017-09-27,13:55:00,50.1,50.1,50.02,50.02,31,0
2017-09-27,14:10:00,50.1,50.1,50.1,50.1,20,0
2017-09-27,16:15:00,50.1,50.1,50.1,50.1,29,0
2017-09-27,16:25:00,50.1,50.1,50.1,50.1,124,0
2017-09-27,16:35:00,50.18,50.18,50.11,50.11,165,0
2017-09-27,16:50:00,50.18,50.3,50.18,50.3,64,0
2017-09-27,17:10:00,50.18,50.18,50.18,50.18,5,0
2017-09-27,17:15:00,50.18,50.18,50.18,50.18,10,0
2017-09-27,17:20:00,50.11,50.11,50.1,50.11,754,0
2017-09-27,17:30:00,50.1,50.11,50.1,50.11,249,0
2017-09-28,09:05:00,50.2,50.2,50.2,50.2,3,0
2017-09-28,09:25:00,50.2,50.2,50.08,50.1,254,0
2017-09-28,10:40:00,50.2,50.4,50.2,50.4,78,0
2017-09-28,10:45:00,50.34,50.35,50.34,50.35,82,0
2017-09-28,11:00:00,50.34,50.34,50.34,50.34,36,0
2017-09-28,11:40:00,50.2,50.2,50.2,50.2,6,0
2017-09-28,12:10:00,50.08,50.08,50.08,50.08,396,0
2017-09-28,12:25:00,50.12,50.12,50.12,50.12,13,0
2017-09-28,12:45:00,50.08,50.08,50.08,50.08,8,0
2017-09-28,13:00:00,50.08,50.08,50.08,50.08,6,0
2017-09-28,13:05:00,50.08,50.08,50.08,50.08,25,0
2017-09-28,13:10:00,50.08,50.08,50.08,50.08,3,0
2017-09-28,13:20:00,50.08,50.08,50.08,50.08,104,0
2017-09-28,13:45:00,50.08,50.08,50.08,50.08,6,0
2017-09-28,14:00:00,50.08,50.08,50.08,50.08,57,0
2017-09-28,14:05:00,50.19,50.21,50,50.19,2093,0
2017-09-28,14:10:00,50.05,50.05,50.05,50.05,12,0
2017-09-28,14:15:00,50.05,50.05,50.05,50.05,39,0
2017-09-28,14:20:00,50.05,50.05,50.05,50.05,12,0
2017-09-28,14:25:00,50.05,50.05,50.05,50.05,26,0
2017-09-28,14:35:00,50.05,50.05,50.05,50.05,10,0
2017-09-28,14:40:00,50.05,50.05,50.05,50.05,12,0
2017-09-28,14:45:00,50.05,50.05,50.05,50.05,22,0
2017-09-28,14:50:00,50.05,50.05,50.05,50.05,22,0
2017-09-28,14:55:00,50.05,50.05,50.05,50.05,28,0
2017-09-28,15:00:00,50.19,50.19,50.05,50.05,272,0
2017-09-28,15:05:00,50.05,50.05,50,50,542,0
2017-09-28,15:10:00,50.05,50.05,50.05,50.05,12,0
2017-09-28,15:15:00,50.05,50.05,50.05,50.05,23,0
2017-09-28,15:20:00,50.05,50.05,50.05,50.05,24,0
2017-09-28,15:25:00,50.05,50.05,50.05,50.05,33,0
2017-09-28,15:30:00,50.05,50.05,50.05,50.05,22,0
2017-09-28,15:35:00,50.05,50.05,50.05,50.05,49,0
2017-09-28,15:40:00,50.05,50.05,50.05,50.05,11,0
2017-09-28,15:45:00,50.05,50.05,50.05,50.05,29,0
2017-09-28,15:50:00,50.05,50.05,50.05,50.05,23,0
2017-09-28,15:55:00,50.05,50.05,50.05,50.05,25,0
