Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,186.9,187.8,186.75,186.9,18201,0
2017-10-26,09:10:00,186.9,187.2,186.75,187.1,5357,0
2017-10-26,09:15:00,187.15,187.35,186.95,187,4000,0
2017-10-26,09:20:00,187.1,187.25,187.05,187.15,1743,0
2017-10-26,09:25:00,187.1,187.25,186.85,187,2111,0
2017-10-26,09:30:00,187.05,187.4,187.05,187.4,1292,0
2017-10-26,09:35:00,187.45,187.85,187.45,187.85,3965,0
2017-10-26,09:40:00,187.8,188.2,187.8,188.2,8273,0
2017-10-26,09:45:00,188.15,188.2,187.95,188.2,4619,0
2017-10-26,09:50:00,188.2,188.2,188,188.15,2489,0
2017-10-26,09:55:00,188.2,188.8,188.2,188.75,6471,0
2017-10-26,10:00:00,188.8,189.15,188.8,188.9,6537,0
2017-10-26,10:05:00,188.9,189.1,188.7,188.7,3886,0
2017-10-26,10:10:00,188.75,188.8,188.45,188.45,3197,0
2017-10-26,10:15:00,188.4,188.4,188.1,188.2,2609,0
2017-10-26,10:20:00,188.15,188.4,188.15,188.3,1118,0
2017-10-26,10:25:00,188.25,188.25,187.85,187.85,3952,0
2017-10-26,10:30:00,187.8,188.15,187.8,187.9,2888,0
2017-10-26,10:35:00,187.9,188.15,187.9,188.05,2949,0
2017-10-26,10:40:00,188,188.4,187.95,188.4,2693,0
2017-10-26,10:45:00,188.4,189.1,188.4,189.05,19769,0
2017-10-26,10:50:00,189,189.1,188.65,189.05,13357,0
2017-10-26,10:55:00,189,189.15,189,189.1,7524,0
2017-10-26,11:00:00,189.1,189.1,188.55,188.7,5663,0
2017-10-26,11:05:00,188.8,189.1,188.8,188.85,1928,0
2017-10-26,11:10:00,188.75,188.9,188.75,188.85,1621,0
2017-10-26,11:15:00,188.85,189,188.85,188.9,1483,0
2017-10-26,11:20:00,189,189.1,188.9,188.9,2516,0
2017-10-26,11:25:00,188.9,188.95,188.8,188.85,1423,0
2017-10-26,11:30:00,188.85,189,188.85,188.85,1040,0
2017-10-26,11:35:00,188.9,189,188.85,188.95,1226,0
2017-10-26,11:40:00,189,189.1,188.85,188.85,1740,0
2017-10-26,11:45:00,188.75,188.85,188.7,188.85,814,0
2017-10-26,11:50:00,188.8,188.8,188.75,188.75,786,0
2017-10-26,11:55:00,188.85,188.9,188.65,188.65,6247,0
2017-10-26,12:00:00,188.7,188.75,188.55,188.65,6827,0
2017-10-26,12:05:00,188.7,188.75,188.6,188.7,4375,0
2017-10-26,12:10:00,188.7,188.8,188.7,188.7,3128,0
2017-10-26,12:15:00,188.75,188.85,188.7,188.85,809,0
2017-10-26,12:20:00,188.85,188.85,188.7,188.75,978,0
2017-10-26,12:25:00,188.75,189.2,188.75,189,7319,0
2017-10-26,12:30:00,189,189.1,188.8,188.9,2329,0
2017-10-26,12:35:00,188.9,188.9,188.8,188.85,1428,0
2017-10-26,12:40:00,188.85,188.9,188.8,188.9,1760,0
2017-10-26,12:45:00,188.85,188.9,188.85,188.85,487,0
2017-10-26,12:50:00,188.8,188.8,188.6,188.65,1148,0
2017-10-26,12:55:00,188.65,188.8,188.6,188.8,1593,0
2017-10-26,13:00:00,188.8,189.1,188.8,189.05,4149,0
2017-10-26,13:05:00,189.05,189.15,189,189,1202,0
2017-10-26,13:10:00,189.05,189.15,189.05,189.15,493,0
2017-10-26,13:15:00,189.05,189.1,189,189.05,1194,0
2017-10-26,13:20:00,189.05,189.05,188.9,188.9,1325,0
2017-10-26,13:25:00,188.85,189,188.85,189,1165,0
2017-10-26,13:30:00,189.05,189.1,189.05,189.05,1716,0
2017-10-26,13:35:00,189.15,189.15,188.9,188.9,2047,0
2017-10-26,13:40:00,188.9,189.05,188.85,189.05,4213,0
2017-10-26,13:45:00,189,189.05,188.85,188.9,986,0
2017-10-26,13:50:00,189.15,189.45,189.05,189.35,10902,0
2017-10-26,13:55:00,189.45,189.45,189.05,189.05,3090,0
2017-10-26,14:00:00,189.1,189.25,189.05,189.05,1250,0
2017-10-26,14:05:00,189.1,189.1,188.9,188.9,4762,0
2017-10-26,14:10:00,189,189.05,188.95,189,1001,0
2017-10-26,14:15:00,189,189.05,189,189,1554,0
2017-10-26,14:20:00,189.05,189.1,188.9,188.95,2400,0
2017-10-26,14:25:00,188.95,189.05,188.9,189.05,3537,0
2017-10-26,14:30:00,189,189.05,188.75,188.95,4766,0
2017-10-26,14:35:00,189,189.2,188.9,189.2,2466,0
2017-10-26,14:40:00,189.2,189.2,189.05,189.2,1527,0
2017-10-26,14:45:00,189.2,189.3,189.15,189.25,775,0
2017-10-26,14:50:00,189.25,189.3,189.2,189.25,1592,0
2017-10-26,14:55:00,189.3,189.35,189.25,189.25,908,0
2017-10-26,15:00:00,189.25,189.25,189,189,2087,0
2017-10-26,15:05:00,189,189.05,188.9,189,6225,0
2017-10-26,15:10:00,189,189.05,188.9,188.95,1851,0
2017-10-26,15:15:00,188.95,189.3,188.9,189.3,5927,0
2017-10-26,15:20:00,189.25,189.35,189.2,189.25,4688,0
2017-10-26,15:25:00,189.25,189.25,189.1,189.1,969,0
2017-10-26,15:30:00,189.1,189.25,189.1,189.25,1995,0
2017-10-26,15:35:00,189.3,189.4,189.2,189.3,5522,0
2017-10-26,15:40:00,189.35,189.35,189.1,189.1,2870,0
2017-10-26,15:45:00,189.15,189.2,189.1,189.2,1203,0
2017-10-26,15:50:00,189.25,189.35,189.25,189.3,3578,0
2017-10-26,15:55:00,189.3,189.7,189.3,189.6,7947,0
2017-10-26,16:00:00,189.65,190,189.65,190,4092,0
2017-10-26,16:05:00,190.05,190.25,189.8,189.8,5073,0
2017-10-26,16:10:00,189.8,189.8,189.55,189.75,4844,0
2017-10-26,16:15:00,189.75,189.9,189.65,189.75,5303,0
2017-10-26,16:20:00,189.7,189.85,189.45,189.75,5746,0
2017-10-26,16:25:00,189.75,190.1,189.75,190,6152,0
2017-10-26,16:30:00,190.05,190.25,189.85,189.9,6064,0
2017-10-26,16:35:00,189.85,190.15,189.8,189.9,3525,0
2017-10-26,16:40:00,189.85,190.75,189.8,190.75,9012,0
2017-10-26,16:45:00,190.8,191.25,190.8,191,12422,0
2017-10-26,16:50:00,191.1,191.1,190.75,190.75,7657,0
2017-10-26,16:55:00,190.75,190.75,190.25,190.25,8969,0
2017-10-26,17:00:00,190.25,190.3,190.1,190.1,7761,0
2017-10-26,17:05:00,190.1,190.4,190.1,190.4,7665,0
2017-10-26,17:10:00,190.35,190.4,190.15,190.2,7759,0
2017-10-26,17:15:00,190.25,190.55,190.25,190.5,8545,0
2017-10-26,17:20:00,190.45,190.45,190.2,190.25,7967,0
2017-10-26,17:25:00,190.3,190.35,190.15,190.35,9487,0
2017-10-26,17:30:00,190.35,190.85,190.35,190.5,208345,0
2017-10-27,09:05:00,191.2,191.4,190.75,191.4,11529,0
2017-10-27,09:10:00,191.65,192.25,191.55,192.1,7800,0
2017-10-27,09:15:00,192.1,192.15,191.7,191.95,6242,0
2017-10-27,09:20:00,191.9,192.25,191.85,192.25,6758,0
2017-10-27,09:25:00,192.25,192.25,191.75,191.95,4807,0
2017-10-27,09:30:00,192,192.05,191.7,191.8,3994,0
2017-10-27,09:35:00,191.8,192.35,191.75,192.15,6647,0
2017-10-27,09:40:00,192.1,192.25,192.05,192.25,651,0
2017-10-27,09:45:00,192.35,192.55,192.25,192.25,2651,0
2017-10-27,09:50:00,192.2,192.55,192.15,192.5,2290,0
2017-10-27,09:55:00,192.55,192.55,192.35,192.45,6513,0
2017-10-27,10:00:00,192.5,192.5,192.3,192.4,4864,0
2017-10-27,10:05:00,192.35,192.55,192.3,192.3,3308,0
2017-10-27,10:10:00,192.35,192.55,192.35,192.5,2477,0
2017-10-27,10:15:00,192.5,192.55,192.3,192.4,3351,0
2017-10-27,10:20:00,192.4,192.45,192.25,192.35,472,0
2017-10-27,10:25:00,192.25,192.45,192.2,192.45,3485,0
2017-10-27,10:30:00,192.4,192.55,192.4,192.55,2068,0
2017-10-27,10:35:00,192.55,192.6,192.35,192.5,4077,0
2017-10-27,10:40:00,192.5,192.6,192.4,192.4,3405,0
2017-10-27,10:45:00,192.45,192.5,192.25,192.3,3894,0
2017-10-27,10:50:00,192.3,192.4,192.25,192.3,2040,0
2017-10-27,10:55:00,192.2,192.35,192.2,192.3,2234,0
2017-10-27,11:00:00,192.25,192.45,192.2,192.4,14327,0
2017-10-27,11:05:00,192.4,192.55,192.35,192.4,5103,0
2017-10-27,11:10:00,192.35,192.65,192.35,192.55,3304,0
2017-10-27,11:15:00,192.6,192.6,191.95,191.95,6436,0
2017-10-27,11:20:00,192,192,191.75,191.95,1809,0
2017-10-27,11:25:00,192,192.1,191.95,192.05,2152,0
2017-10-27,11:30:00,191.95,192,191.85,191.9,1301,0
2017-10-27,11:35:00,191.8,191.95,191.8,191.95,957,0
