Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-05-20,08:10:00,0.075,0.075,0.075,0.075,5000,0
2016-05-20,09:40:00,0.061,0.061,0.061,0.061,416,0
2016-05-20,09:50:00,0.061,0.061,0.061,0.061,416,0
2016-05-20,10:40:00,0.08,0.08,0.08,0.08,25000,0
2016-05-20,12:05:00,0.09,0.09,0.09,0.09,600,0
2016-05-20,12:10:00,0.09,0.09,0.09,0.09,5000,0
2016-05-20,16:00:00,0.08,0.08,0.08,0.08,600,0
2016-05-20,16:10:00,0.089,0.089,0.089,0.089,5000,0
2016-05-20,16:20:00,0.095,0.095,0.095,0.095,50000,0
2016-05-20,16:30:00,0.09,0.09,0.09,0.09,46,0
2016-05-23,10:20:00,0.065,0.065,0.065,0.065,2500,0
2016-05-23,15:15:00,0.065,0.065,0.065,0.065,5,0
2016-05-23,16:30:00,0.089,0.089,0.089,0.089,7955,0
2016-05-23,18:20:00,0.082,0.082,0.082,0.082,80,0
2016-05-24,11:10:00,0.08,0.08,0.08,0.08,180,0
2016-05-24,14:15:00,0.065,0.065,0.065,0.065,880,0
2016-05-24,16:05:00,0.083,0.083,0.083,0.083,39796,0
2016-05-24,16:15:00,0.09,0.09,0.09,0.09,35500,0
2016-05-24,19:40:00,0.085,0.085,0.085,0.085,40,0
2016-05-25,09:25:00,0.1,0.1,0.1,0.1,44000,0
2016-05-25,10:05:00,0.095,0.095,0.095,0.095,100,0
2016-05-25,16:05:00,0.095,0.095,0.095,0.095,44,0
2016-05-26,08:40:00,0.12,0.12,0.12,0.12,7357,0
2016-05-26,09:20:00,0.12,0.12,0.12,0.12,450,0
2016-05-26,10:10:00,0.1,0.1,0.1,0.1,8000,0
2016-05-26,10:30:00,0.11,0.11,0.11,0.11,100,0
2016-05-26,11:15:00,0.083,0.083,0.07,0.07,34000,0
2016-05-26,13:20:00,0.08,0.08,0.08,0.08,2500,0
2016-05-26,15:40:00,0.072,0.072,0.072,0.072,2500,0
2016-05-27,16:40:00,0.072,0.072,0.072,0.072,10,0
2016-05-30,08:05:00,0.072,0.072,0.072,0.072,7,0
2016-05-30,08:40:00,0.095,0.095,0.095,0.095,19000,0
2016-05-30,09:35:00,0.072,0.072,0.072,0.072,6000,0
2016-05-30,10:35:00,0.072,0.072,0.072,0.072,400,0
2016-05-30,14:20:00,0.072,0.072,0.072,0.072,20,0
2016-05-30,15:10:00,0.085,0.085,0.085,0.085,5000,0
2016-05-31,09:00:00,0.072,0.072,0.072,0.072,30,0
2016-05-31,09:40:00,0.073,0.073,0.073,0.073,300,0
2016-05-31,10:25:00,0.119,0.119,0.119,0.119,74000,0
2016-05-31,14:30:00,0.095,0.095,0.095,0.095,12,0
2016-05-31,17:25:00,0.105,0.105,0.105,0.105,5000,0
2016-05-31,20:00:00,0.115,0.115,0.115,0.115,4400,0
2016-06-01,08:30:00,0.093,0.093,0.093,0.093,18000,0
2016-06-01,09:55:00,0.091,0.091,0.091,0.091,8111,0
2016-06-01,10:45:00,0.09,0.09,0.09,0.09,28000,0
2016-06-01,14:55:00,0.1,0.1,0.1,0.1,4500,0
2016-06-01,15:05:00,0.115,0.115,0.115,0.115,16807,0
2016-06-01,19:25:00,0.092,0.092,0.092,0.092,1500,0
2016-06-02,08:05:00,0.092,0.092,0.092,0.092,500,0
2016-06-02,11:25:00,0.12,0.12,0.12,0.12,16667,0
2016-06-02,12:20:00,0.11,0.11,0.11,0.11,20,0
2016-06-02,13:30:00,0.1,0.1,0.1,0.1,5000,0
2016-06-02,14:00:00,0.1,0.1,0.1,0.1,30,0
2016-06-02,17:20:00,0.12,0.12,0.12,0.12,10000,0
2016-06-02,18:45:00,0.12,0.12,0.12,0.12,440,0
2016-06-03,08:55:00,0.095,0.095,0.095,0.095,361,0
2016-06-03,09:25:00,0.095,0.095,0.095,0.095,13,0
2016-06-03,19:40:00,0.12,0.12,0.12,0.12,10000,0
2016-06-06,08:05:00,0.11,0.11,0.11,0.11,6,0
2016-06-06,09:25:00,0.143,0.143,0.143,0.143,14286,0
2016-06-06,11:05:00,0.139,0.139,0.139,0.139,5000,0
2016-06-06,11:55:00,0.139,0.139,0.139,0.139,5879,0
2016-06-06,12:35:00,0.13,0.13,0.13,0.13,5000,0
2016-06-06,15:25:00,0.12,0.12,0.12,0.12,10,0
2016-06-06,15:40:00,0.111,0.111,0.111,0.111,9,0
2016-06-07,09:50:00,0.1,0.1,0.1,0.1,100,0
2016-06-07,10:55:00,0.1,0.1,0.1,0.1,2500,0
2016-06-07,11:55:00,0.102,0.102,0.102,0.102,40,0
2016-06-07,12:15:00,0.102,0.102,0.102,0.102,14,0
2016-06-07,15:15:00,0.134,0.134,0.134,0.134,2500,0
2016-06-07,15:35:00,0.149,0.15,0.149,0.15,84860,0
2016-06-07,16:15:00,0.135,0.135,0.135,0.135,200,0
2016-06-07,16:20:00,0.135,0.135,0.135,0.135,11,0
2016-06-07,17:30:00,0.145,0.145,0.145,0.145,250,0
2016-06-08,08:35:00,0.15,0.164,0.15,0.164,20000,0
2016-06-08,09:05:00,0.164,0.164,0.164,0.164,400,0
2016-06-08,10:45:00,0.165,0.168,0.165,0.168,25781,0
2016-06-08,11:30:00,0.159,0.159,0.159,0.159,700,0
2016-06-08,11:45:00,0.16,0.16,0.16,0.16,30006,0
2016-06-08,12:00:00,0.164,0.164,0.164,0.164,2000,0
2016-06-08,15:30:00,0.134,0.134,0.134,0.134,12000,0
2016-06-08,15:50:00,0.151,0.151,0.151,0.151,5000,0
2016-06-09,08:45:00,0.15,0.15,0.15,0.15,2000,0
2016-06-09,10:55:00,0.14,0.14,0.14,0.14,220,0
2016-06-09,16:55:00,0.13,0.13,0.13,0.13,15385,0
2016-06-10,14:40:00,0.115,0.115,0.115,0.115,20,0
2016-06-13,09:00:00,0.111,0.111,0.111,0.111,7000,0
2016-06-13,10:25:00,0.111,0.111,0.111,0.111,8,0
2016-06-13,10:45:00,0.111,0.111,0.111,0.111,80,0
2016-06-13,16:20:00,0.13,0.13,0.13,0.13,3000,0
2016-06-13,19:55:00,0.11,0.11,0.11,0.11,0,0
2016-06-14,09:10:00,0.111,0.111,0.111,0.111,10,0
2016-06-14,10:35:00,0.111,0.111,0.111,0.111,200,0
2016-06-14,10:55:00,0.111,0.111,0.111,0.111,1600,0
2016-06-14,11:05:00,0.11,0.11,0.11,0.11,10000,0
2016-06-14,12:15:00,0.105,0.105,0.105,0.105,200,0
2016-06-14,13:00:00,0.101,0.101,0.101,0.101,750,0
2016-06-14,13:40:00,0.12,0.129,0.12,0.129,16514,0
2016-06-15,10:05:00,0.115,0.115,0.115,0.115,200,0
2016-06-15,17:20:00,0.112,0.112,0.112,0.112,6,0
2016-06-16,15:05:00,0.112,0.112,0.112,0.112,200,0
2016-06-16,17:00:00,0.112,0.112,0.112,0.112,1184,0
2016-06-17,11:25:00,0.103,0.103,0.103,0.103,9300,0
2016-06-20,08:30:00,0.101,0.101,0.101,0.101,4579,0
2016-06-20,14:00:00,0.105,0.105,0.105,0.105,10,0
2016-06-20,15:25:00,0.105,0.105,0.105,0.105,20,0
2016-06-20,17:05:00,0.12,0.12,0.12,0.12,5000,0
2016-06-21,08:05:00,0.11,0.11,0.104,0.104,10,0
2016-06-21,11:45:00,0.105,0.105,0.105,0.105,6,0
2016-06-21,14:05:00,0.105,0.105,0.105,0.105,200,0
2016-06-22,10:25:00,0.105,0.105,0.105,0.105,60,0
2016-06-22,10:35:00,0.115,0.115,0.115,0.115,225,0
2016-06-22,11:05:00,0.12,0.12,0.12,0.12,1020,0
2016-06-23,11:35:00,0.105,0.105,0.105,0.105,500,0
2016-06-23,14:30:00,0.105,0.105,0.105,0.105,10,0
2016-06-23,17:05:00,0.125,0.129,0.125,0.129,13000,0
2016-06-24,08:10:00,0.112,0.112,0.112,0.112,35,0
2016-06-24,20:00:00,0.11,0.11,0.11,0.11,13000,0
2016-06-27,10:00:00,0.112,0.112,0.112,0.112,400,0
2016-06-27,11:15:00,0.149,0.149,0.149,0.149,14000,0
2016-06-27,11:20:00,0.15,0.15,0.15,0.15,15000,0
2016-06-27,12:35:00,0.15,0.179,0.15,0.179,40313,0
2016-06-27,14:10:00,0.15,0.15,0.15,0.15,13334,0
2016-06-27,14:15:00,0.124,0.124,0.111,0.111,30019,0
2016-06-27,14:30:00,0.116,0.116,0.116,0.116,25,0
2016-06-27,16:00:00,0.113,0.113,0.113,0.113,3000,0
2016-06-27,16:45:00,0.113,0.113,0.113,0.113,14789,0
2016-06-27,18:55:00,0.113,0.113,0.113,0.113,15000,0
