Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-13,09:05:00,3.5043,3.5053,3.5043,3.5053,1229,0
2017-04-13,10:50:00,3.5637,3.5647,3.5637,3.5647,7069,0
2017-04-13,12:25:00,3.5251,3.5251,3.5251,3.5251,2349,0
2017-04-13,13:00:00,3.5251,3.5251,3.5251,3.5251,2282,0
2017-04-13,13:05:00,3.5251,3.5251,3.5251,3.5251,2767,0
2017-04-13,14:10:00,3.5251,3.526,3.5251,3.526,2094,0
2017-04-13,16:40:00,3.5538,3.5548,3.5538,3.5548,1518,0
2017-04-13,17:10:00,3.535,3.535,3.535,3.535,97,0
2017-04-13,17:15:00,3.5647,3.5647,3.5647,3.5647,2676,0
2017-04-18,10:45:00,3.5161,3.5161,3.5161,3.5161,707,0
2017-04-18,12:40:00,3.526,3.526,3.526,3.526,134,0
2017-04-18,13:15:00,3.5647,3.5647,3.5647,3.5647,2525,0
2017-04-18,13:20:00,3.5647,3.5647,3.5647,3.5647,5050,0
2017-04-18,13:25:00,3.5647,3.5647,3.5647,3.5647,10099,0
2017-04-18,13:30:00,3.5647,3.5647,3.5647,3.5647,8419,0
2017-04-19,11:40:00,3.5647,3.5647,3.5647,3.5647,606,0
2017-04-19,11:55:00,3.5647,3.5647,3.5647,3.5647,2020,0
2017-04-19,16:40:00,3.527,3.527,3.527,3.527,76,0
2017-04-19,16:55:00,3.528,3.528,3.528,3.528,88,0
2017-04-19,17:25:00,3.528,3.528,3.528,3.528,8,0
2017-04-20,14:15:00,3.5251,3.5251,3.5251,3.5251,1010,0
2017-04-20,15:05:00,3.5251,3.5251,3.5251,3.5251,6059,0
2017-04-20,15:30:00,3.526,3.526,3.526,3.526,123,0
2017-04-20,16:40:00,3.5647,3.5647,3.5647,3.5647,303,0
2017-04-21,10:35:00,3.5637,3.5637,3.5637,3.5637,505,0
2017-04-21,10:55:00,3.5637,3.5637,3.5637,3.5637,707,0
2017-04-21,14:45:00,3.5647,3.5647,3.5647,3.5647,404,0
2017-04-21,15:00:00,3.5251,3.5251,3.5251,3.5251,114,0
2017-04-24,09:15:00,3.5647,3.5647,3.5647,3.5647,2020,0
2017-04-24,09:40:00,3.5647,3.5647,3.5647,3.5647,303,0
2017-04-24,10:05:00,3.5647,3.5647,3.5647,3.5647,5050,0
2017-04-24,10:20:00,3.5152,3.5152,3.5152,3.5152,1515,0
2017-04-24,12:30:00,3.4884,3.4884,3.4884,3.4884,20,0
2017-04-24,16:15:00,3.4884,3.4884,3.4884,3.4884,89,0
2017-04-25,09:05:00,3.5647,3.5647,3.5647,3.5647,3030,0
2017-04-25,10:55:00,3.4953,3.4953,3.4953,3.4953,2525,0
2017-04-25,11:30:00,3.4884,3.4884,3.4874,3.4874,3348,0
2017-04-25,11:35:00,3.4854,3.5647,3.4854,3.5647,5050,0
2017-04-25,13:30:00,3.5647,3.5647,3.5647,3.5647,505,0
2017-04-25,14:10:00,3.5647,3.5647,3.5647,3.5647,2020,0
2017-04-25,16:35:00,3.4854,3.4854,3.4854,3.4854,95,0
2017-04-25,17:20:00,3.4854,3.4854,3.4854,3.4854,232,0
2017-04-25,17:30:00,3.4854,3.4854,3.4775,3.4775,2383,0
2017-04-26,11:20:00,3.5647,3.5647,3.5647,3.5647,101,0
2017-04-26,11:50:00,3.5647,3.5647,3.5647,3.5647,1096,0
2017-04-26,13:15:00,3.5647,3.5647,3.5647,3.5647,1616,0
2017-04-26,13:30:00,3.5161,3.5161,3.5161,3.5161,117,0
2017-04-26,16:25:00,3.5647,3.5647,3.5647,3.5647,1010,0
2017-04-26,17:15:00,3.5647,3.5647,3.5647,3.5647,1010,0
2017-04-27,09:05:00,3.5647,3.5647,3.5647,3.5647,202,0
2017-04-27,09:55:00,3.5161,3.5161,3.5161,3.5161,505,0
2017-04-27,12:05:00,3.5152,3.5152,3.5152,3.5152,115,0
2017-04-27,12:25:00,3.5637,3.5647,3.5637,3.5647,30095,0
2017-04-27,12:30:00,3.5637,3.5647,3.5637,3.5637,6867,0
2017-04-27,13:00:00,3.5657,3.6142,3.5657,3.6142,2290,0
2017-04-27,15:40:00,3.6142,3.6142,3.6142,3.6142,275,0
2017-04-27,15:50:00,3.6627,3.6627,3.6627,3.6627,505,0
2017-04-27,16:05:00,3.6627,3.6627,3.6627,3.6627,489,0
2017-04-27,17:20:00,3.6627,3.6627,3.6627,3.6627,202,0
2017-04-28,09:05:00,3.7122,3.7122,3.7122,3.7122,1010,0
2017-04-28,10:35:00,3.7023,3.7023,3.7023,3.7023,2297,0
2017-04-28,11:35:00,3.7033,3.7033,3.7033,3.7033,343,0
2017-04-28,11:45:00,3.7033,3.7033,3.7033,3.7033,1010,0
2017-04-28,12:30:00,3.7033,3.7033,3.7033,3.7033,1515,0
2017-04-28,13:55:00,3.7033,3.7033,3.7033,3.7033,656,0
2017-04-28,15:00:00,3.6171,3.6171,3.6171,3.6171,487,0
2017-04-28,15:30:00,3.7023,3.7033,3.7023,3.7033,151,0
2017-04-28,16:25:00,3.6162,3.6162,3.6162,3.6162,70,0
2017-04-28,16:35:00,3.6162,3.6162,3.6162,3.6162,4,0
2017-04-28,17:30:00,3.6696,3.6696,3.6696,3.6696,1060,0
2017-05-02,09:05:00,3.7122,3.7122,3.7122,3.7122,202,0
2017-05-02,09:35:00,3.7132,3.7132,3.7132,3.7132,3030,0
2017-05-02,09:45:00,3.7132,3.7132,3.7132,3.7132,505,0
2017-05-02,10:10:00,3.7132,3.7132,3.7132,3.7132,1515,0
2017-05-02,10:20:00,3.7132,3.7132,3.7132,3.7132,505,0
2017-05-02,11:15:00,3.7122,3.7132,3.7122,3.7132,5050,0
2017-05-02,14:05:00,3.7627,3.7627,3.7627,3.7627,2525,0
2017-05-02,16:20:00,3.7776,3.7776,3.7776,3.7776,1010,0
2017-05-02,17:00:00,3.7231,3.7231,3.7231,3.7231,152,0
2017-05-03,11:20:00,3.8092,3.8092,3.8092,3.8092,12,0
2017-05-03,14:00:00,3.7805,3.7805,3.7805,3.7805,1313,0
2017-05-03,14:10:00,3.7805,3.7805,3.7805,3.7805,1313,0
2017-05-03,16:35:00,3.8112,3.8112,3.8112,3.8112,202,0
2017-05-03,17:10:00,3.735,3.735,3.735,3.735,187,0
