Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,196.8,196.9,196.5,196.6,38683,0
2017-10-26,09:10:00,196.55,197.2,196.55,196.9,16197,0
2017-10-26,09:15:00,196.85,197,196.6,196.8,8252,0
2017-10-26,09:20:00,196.8,196.85,196.6,196.8,14797,0
2017-10-26,09:25:00,196.75,196.85,196.65,196.85,6888,0
2017-10-26,09:30:00,196.9,197.35,196.8,197.35,13210,0
2017-10-26,09:35:00,197.35,197.55,197.35,197.55,14392,0
2017-10-26,09:40:00,197.6,197.6,197.3,197.3,16631,0
2017-10-26,09:45:00,197.3,197.45,197.25,197.45,2342,0
2017-10-26,09:50:00,197.45,197.45,197.15,197.25,6120,0
2017-10-26,09:55:00,197.25,197.35,197.2,197.35,8800,0
2017-10-26,10:00:00,197.35,197.65,197.35,197.65,7076,0
2017-10-26,10:05:00,197.65,197.7,197.65,197.7,2592,0
2017-10-26,10:10:00,197.7,197.9,197.7,197.8,29361,0
2017-10-26,10:15:00,197.8,197.85,197.75,197.85,9833,0
2017-10-26,10:20:00,197.85,197.9,197.7,197.85,8859,0
2017-10-26,10:25:00,197.8,197.8,197.7,197.8,3869,0
2017-10-26,10:30:00,197.8,197.95,197.8,197.8,8265,0
2017-10-26,10:35:00,197.85,197.95,197.8,197.8,3753,0
2017-10-26,10:40:00,197.75,197.8,197.7,197.75,3683,0
2017-10-26,10:45:00,197.75,197.75,197.6,197.65,3193,0
2017-10-26,10:50:00,197.65,197.8,197.65,197.7,5107,0
2017-10-26,10:55:00,197.75,197.85,197.7,197.7,3955,0
2017-10-26,11:00:00,197.75,197.75,197.55,197.55,7783,0
2017-10-26,11:05:00,197.6,197.65,197.6,197.65,2314,0
2017-10-26,11:10:00,197.7,197.8,197.7,197.8,11437,0
2017-10-26,11:15:00,197.8,197.85,197.75,197.75,5923,0
2017-10-26,11:20:00,197.8,197.95,197.8,197.95,18250,0
2017-10-26,11:25:00,197.95,197.95,197.8,197.8,2815,0
2017-10-26,11:30:00,197.8,198.05,197.8,198,22280,0
2017-10-26,11:35:00,198,198,197.95,197.95,10108,0
2017-10-26,11:40:00,197.95,198,197.9,197.95,3851,0
2017-10-26,11:45:00,198,198,197.85,198,5165,0
2017-10-26,11:50:00,198,198,197.85,197.9,8998,0
2017-10-26,11:55:00,198,198.05,197.95,198,4016,0
2017-10-26,12:00:00,197.95,198.1,197.95,198.1,7582,0
2017-10-26,12:05:00,198.1,198.1,198.05,198.1,10189,0
2017-10-26,12:10:00,198.1,198.15,198.1,198.1,2032,0
2017-10-26,12:15:00,198.15,198.2,198,198,5670,0
2017-10-26,12:20:00,198,198.1,197.95,198.1,3560,0
2017-10-26,12:25:00,198.15,198.2,198.05,198.2,20994,0
2017-10-26,12:30:00,198.25,198.25,198.2,198.25,4918,0
2017-10-26,12:35:00,198.25,198.25,198.15,198.15,2122,0
