Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-13,09:05:00,33.7,34.05,33.7,34.05,387,0
2017-10-13,09:10:00,33.935,33.935,33.935,33.935,36,0
2017-10-13,09:20:00,34.04,34.39,33.995,33.995,1312,0
2017-10-13,09:45:00,33.865,34.39,33.865,34.31,602,0
2017-10-13,10:00:00,34.065,34.065,34.065,34.065,20,0
2017-10-13,10:05:00,34.15,34.15,34.15,34.15,15,0
2017-10-13,10:15:00,34.2,34.2,33.995,33.995,366,0
2017-10-13,10:20:00,33.995,33.995,33.995,33.995,76,0
2017-10-13,10:25:00,34.02,34.02,34.02,34.02,40,0
2017-10-13,10:30:00,34.02,34.02,34.02,34.02,62,0
2017-10-13,10:40:00,34.02,34.05,34.02,34.05,706,0
2017-10-13,10:45:00,34.05,34.05,34.05,34.05,312,0
2017-10-13,10:50:00,34.055,34.055,34.05,34.05,126,0
2017-10-13,11:40:00,34.175,34.2,34.175,34.2,300,0
2017-10-13,11:45:00,34.165,34.165,34.05,34.05,200,0
2017-10-13,11:50:00,34.05,34.05,34.05,34.05,1068,0
2017-10-13,11:55:00,33.965,33.965,33.79,33.79,246,0
2017-10-13,12:00:00,33.8,33.8,33.8,33.8,29,0
2017-10-13,12:50:00,33.825,33.845,33.685,33.685,450,0
2017-10-13,13:00:00,33.815,33.815,33.72,33.72,46,0
2017-10-13,13:05:00,33.805,33.845,33.805,33.845,292,0
2017-10-13,13:25:00,33.785,33.785,33.785,33.785,11,0
2017-10-13,13:30:00,33.78,33.78,33.78,33.78,40,0
2017-10-13,13:35:00,33.84,33.925,33.84,33.925,350,0
2017-10-13,14:30:00,33.925,33.925,33.925,33.925,45,0
2017-10-13,15:00:00,33.925,33.99,33.925,33.99,167,0
2017-10-13,15:05:00,34.05,34.05,34,34,446,0
2017-10-13,15:10:00,34.05,34.2,34.005,34.005,896,0
2017-10-13,15:20:00,34.165,34.405,34.005,34.005,729,0
2017-10-13,15:25:00,34.005,34.28,34.005,34.01,396,0
2017-10-13,15:35:00,34.01,34.01,34.005,34.005,616,0
2017-10-13,15:45:00,34.005,34.005,34.005,34.005,132,0
2017-10-13,16:00:00,34.005,34.005,33.625,33.63,4511,0
2017-10-13,16:05:00,33.625,33.775,33.625,33.77,336,0
2017-10-13,16:10:00,33.86,33.86,33.86,33.86,41,0
2017-10-13,16:20:00,33.76,33.76,33.76,33.76,30,0
2017-10-13,16:30:00,33.63,33.63,33.63,33.63,128,0
2017-10-13,16:40:00,33.64,33.745,33.64,33.745,25,0
2017-10-13,17:00:00,33.765,33.765,33.765,33.765,59,0
2017-10-13,17:05:00,33.65,33.65,33.65,33.65,171,0
2017-10-13,17:10:00,33.65,33.76,33.585,33.65,1015,0
2017-10-13,17:15:00,33.58,33.77,33.415,33.77,3584,0
2017-10-13,17:20:00,33.59,33.735,33.56,33.59,525,0
2017-10-13,17:25:00,33.59,33.74,33.49,33.66,482,0
2017-10-13,17:30:00,33.6,34.08,33.395,34.08,11123,0
2017-10-16,09:05:00,35.3,35.5,35.3,35.5,6050,0
2017-10-16,09:10:00,35.585,35.87,35.585,35.85,2613,0
2017-10-16,09:15:00,35.825,35.89,35.695,35.78,1885,0
2017-10-16,09:20:00,35.675,35.82,35.525,35.71,1528,0
2017-10-16,09:25:00,35.595,35.745,35.565,35.565,817,0
2017-10-16,09:30:00,35.62,35.685,35.57,35.57,270,0
2017-10-16,09:35:00,35.57,35.68,35.57,35.68,150,0
2017-10-16,09:40:00,35.58,35.58,35.3,35.3,2327,0
2017-10-16,09:45:00,35.435,35.575,35.355,35.355,1057,0
2017-10-16,09:50:00,35.39,35.55,35.39,35.55,619,0
2017-10-16,09:55:00,35.55,35.555,35.485,35.49,912,0
2017-10-16,10:00:00,35.48,35.555,35.32,35.555,417,0
2017-10-16,10:05:00,35.6,35.6,35,35.03,4678,0
2017-10-16,10:10:00,35.04,35.1,35,35,1248,0
2017-10-16,10:15:00,35,35.115,34.985,34.985,821,0
2017-10-16,10:20:00,34.985,34.985,34.985,34.985,332,0
2017-10-16,10:25:00,35.1,35.1,34.73,34.765,2034,0
2017-10-16,10:35:00,34.855,34.95,34.855,34.95,571,0
2017-10-16,10:40:00,34.945,34.945,34.945,34.945,5,0
2017-10-16,10:45:00,34.95,34.95,34.95,34.95,142,0
2017-10-16,10:50:00,34.95,34.95,34.68,34.68,779,0
2017-10-16,10:55:00,34.845,34.865,34.845,34.865,294,0
2017-10-16,11:00:00,34.945,34.95,34.85,34.9,1054,0
2017-10-16,11:05:00,34.9,35.29,34.9,35.29,1010,0
2017-10-16,11:10:00,35.285,35.4,35.285,35.3,4523,0
2017-10-16,11:15:00,35.3,35.36,35.22,35.22,990,0
2017-10-16,11:20:00,35.22,35.355,35.22,35.33,717,0
2017-10-16,11:25:00,35.22,35.55,34.975,34.975,5598,0
