Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-02,09:20:00,0.154,0.159,0.154,0.159,25000,0
2017-08-02,09:40:00,0.15,0.151,0.15,0.151,126400,0
2017-08-02,09:50:00,0.151,0.151,0.15,0.15,83352,0
2017-08-02,10:00:00,0.144,0.144,0.144,0.144,200,0
2017-08-02,10:35:00,0.144,0.144,0.144,0.144,7444,0
2017-08-02,10:50:00,0.144,0.145,0.144,0.145,52556,0
2017-08-02,10:55:00,0.141,0.141,0.141,0.141,7000,0
2017-08-02,11:30:00,0.144,0.144,0.144,0.144,12752,0
2017-08-02,11:35:00,0.144,0.144,0.144,0.144,8248,0
2017-08-02,12:25:00,0.141,0.141,0.141,0.141,3700,0
2017-08-02,13:30:00,0.141,0.141,0.141,0.141,5000,0
2017-08-02,14:05:00,0.141,0.141,0.141,0.141,4000,0
2017-08-02,14:10:00,0.141,0.141,0.14,0.14,60521,0
2017-08-02,14:45:00,0.144,0.144,0.144,0.144,10000,0
2017-08-02,14:55:00,0.14,0.14,0.14,0.14,30579,0
2017-08-02,15:15:00,0.139,0.139,0.139,0.139,2000,0
2017-08-02,15:30:00,0.143,0.143,0.143,0.143,12000,0
2017-08-02,17:30:00,0.14,0.14,0.14,0.14,2000,0
2017-08-03,09:10:00,0.142,0.142,0.142,0.142,300,0
2017-08-03,09:25:00,0.131,0.134,0.131,0.134,10600,0
2017-08-03,10:45:00,0.138,0.138,0.138,0.138,14251,0
2017-08-03,11:35:00,0.138,0.138,0.138,0.138,100,0
2017-08-03,11:50:00,0.138,0.139,0.138,0.139,2600,0
2017-08-03,12:10:00,0.141,0.141,0.141,0.141,10000,0
2017-08-03,12:35:00,0.14,0.14,0.14,0.14,1000,0
2017-08-03,15:50:00,0.139,0.139,0.139,0.139,600,0
2017-08-03,16:10:00,0.137,0.137,0.137,0.137,6100,0
2017-08-03,16:20:00,0.132,0.132,0.13,0.132,102000,0
2017-08-03,16:40:00,0.132,0.132,0.132,0.132,10000,0
2017-08-03,16:45:00,0.132,0.132,0.132,0.132,3700,0
2017-08-03,17:30:00,0.136,0.136,0.136,0.136,0,0
2017-08-04,09:35:00,0.134,0.134,0.134,0.134,2500,0
2017-08-04,09:55:00,0.142,0.142,0.142,0.142,5000,0
2017-08-04,11:05:00,0.14,0.14,0.14,0.14,10000,0
2017-08-04,15:25:00,0.132,0.132,0.132,0.132,5000,0
2017-08-04,16:10:00,0.138,0.138,0.138,0.138,21085,0
2017-08-04,16:20:00,0.139,0.139,0.139,0.139,19900,0
2017-08-04,17:00:00,0.139,0.139,0.139,0.139,500,0
2017-08-04,17:05:00,0.135,0.135,0.135,0.135,10000,0
2017-08-04,17:10:00,0.139,0.139,0.139,0.139,2500,0
2017-08-04,17:30:00,0.135,0.135,0.135,0.135,7303,0
2017-08-07,09:05:00,0.14,0.14,0.14,0.14,12500,0
2017-08-07,09:55:00,0.136,0.136,0.136,0.136,3700,0
2017-08-07,10:20:00,0.138,0.138,0.138,0.138,5000,0
2017-08-07,10:35:00,0.136,0.136,0.136,0.136,130,0
2017-08-07,10:50:00,0.136,0.136,0.136,0.136,730,0
2017-08-07,11:30:00,0.14,0.14,0.14,0.14,6000,0
2017-08-07,11:50:00,0.143,0.143,0.143,0.143,1500,0
2017-08-07,12:00:00,0.14,0.14,0.14,0.14,17906,0
2017-08-07,12:05:00,0.138,0.138,0.138,0.138,11940,0
2017-08-07,17:30:00,0.138,0.138,0.138,0.138,0,0
2017-08-08,09:05:00,0.13,0.13,0.13,0.13,4000,0
2017-08-08,09:50:00,0.14,0.14,0.14,0.14,2000,0
2017-08-08,10:15:00,0.14,0.14,0.14,0.14,800,0
2017-08-08,11:25:00,0.141,0.141,0.141,0.141,10000,0
2017-08-08,13:45:00,0.139,0.139,0.139,0.139,4800,0
2017-08-08,13:55:00,0.139,0.139,0.139,0.139,120,0
2017-08-08,16:20:00,0.135,0.135,0.13,0.13,31999,0
2017-08-08,17:30:00,0.13,0.134,0.13,0.134,50084,0
2017-08-09,09:05:00,0.135,0.135,0.135,0.135,2000,0
2017-08-09,13:05:00,0.133,0.133,0.133,0.133,1501,0
2017-08-09,13:35:00,0.133,0.133,0.133,0.133,1000,0
2017-08-09,15:45:00,0.13,0.13,0.126,0.126,50000,0
2017-08-09,16:10:00,0.13,0.13,0.13,0.13,1000,0
2017-08-09,16:30:00,0.13,0.134,0.13,0.134,2000,0
2017-08-09,17:30:00,0.131,0.131,0.131,0.131,0,0
2017-08-10,09:05:00,0.135,0.135,0.135,0.135,700,0
2017-08-10,10:10:00,0.133,0.133,0.133,0.133,1,0
2017-08-10,10:35:00,0.13,0.13,0.13,0.13,10000,0
2017-08-10,10:50:00,0.13,0.13,0.13,0.13,1,0
2017-08-10,11:45:00,0.13,0.13,0.13,0.13,1000,0
2017-08-10,13:05:00,0.133,0.133,0.133,0.133,20859,0
2017-08-10,14:45:00,0.133,0.133,0.132,0.132,22000,0
2017-08-10,14:50:00,0.132,0.132,0.132,0.132,2000,0
2017-08-10,15:55:00,0.13,0.13,0.13,0.13,3000,0
2017-08-10,16:15:00,0.13,0.13,0.13,0.13,12000,0
2017-08-10,16:25:00,0.13,0.133,0.13,0.133,33805,0
2017-08-10,16:30:00,0.133,0.133,0.133,0.133,8300,0
2017-08-10,16:45:00,0.134,0.134,0.134,0.134,14891,0
2017-08-10,17:30:00,0.127,0.127,0.127,0.127,3130,0
2017-08-11,09:55:00,0.131,0.131,0.131,0.131,15000,0
2017-08-11,10:45:00,0.13,0.13,0.13,0.13,1200,0
2017-08-11,10:55:00,0.127,0.127,0.127,0.127,12500,0
2017-08-11,13:00:00,0.129,0.129,0.129,0.129,4000,0
2017-08-11,13:25:00,0.129,0.129,0.129,0.129,750,0
2017-08-11,13:35:00,0.129,0.129,0.129,0.129,6200,0
2017-08-11,14:25:00,0.128,0.128,0.128,0.128,9000,0
2017-08-11,15:00:00,0.129,0.129,0.129,0.129,4000,0
2017-08-11,17:30:00,0.129,0.129,0.129,0.129,0,0
2017-08-14,09:25:00,0.129,0.129,0.129,0.129,2850,0
2017-08-14,09:50:00,0.128,0.128,0.128,0.128,1587,0
2017-08-14,11:40:00,0.13,0.13,0.13,0.13,1587,0
2017-08-14,12:15:00,0.131,0.131,0.13,0.13,16765,0
2017-08-14,12:35:00,0.13,0.13,0.13,0.13,98018,0
2017-08-14,13:40:00,0.129,0.129,0.128,0.128,10000,0
2017-08-14,14:05:00,0.129,0.129,0.129,0.129,2000,0
2017-08-14,15:10:00,0.13,0.13,0.13,0.13,1982,0
2017-08-14,17:30:00,0.131,0.131,0.131,0.131,0,0
2017-08-15,09:20:00,0.131,0.131,0.131,0.131,12000,0
2017-08-15,09:40:00,0.13,0.13,0.13,0.13,1500,0
2017-08-15,13:25:00,0.131,0.131,0.131,0.131,10000,0
2017-08-15,14:45:00,0.132,0.137,0.132,0.137,48000,0
2017-08-15,15:10:00,0.131,0.131,0.13,0.13,8000,0
2017-08-15,16:00:00,0.13,0.13,0.13,0.13,38,0
2017-08-15,16:15:00,0.126,0.126,0.126,0.126,4000,0
2017-08-15,16:35:00,0.126,0.126,0.126,0.126,37999,0
2017-08-15,17:20:00,0.126,0.126,0.126,0.126,21001,0
2017-08-15,17:25:00,0.125,0.125,0.125,0.125,15751,0
2017-08-15,17:30:00,0.122,0.122,0.122,0.122,6550,0
2017-08-16,09:05:00,0.12,0.121,0.12,0.121,20813,0
2017-08-16,09:10:00,0.119,0.119,0.119,0.119,1500,0
2017-08-16,11:15:00,0.118,0.118,0.118,0.118,20000,0
2017-08-16,12:10:00,0.12,0.121,0.12,0.12,30949,0
2017-08-16,14:35:00,0.118,0.118,0.11,0.11,65000,0
2017-08-16,15:35:00,0.113,0.113,0.113,0.113,9000,0
2017-08-16,17:20:00,0.12,0.12,0.12,0.12,53139,0
2017-08-16,17:30:00,0.121,0.121,0.121,0.121,0,0
2017-08-17,09:05:00,0.116,0.116,0.116,0.116,10,0
2017-08-17,09:10:00,0.13,0.13,0.13,0.13,20800,0
2017-08-17,11:50:00,0.125,0.125,0.125,0.125,1200,0
2017-08-17,13:45:00,0.125,0.125,0.125,0.125,12500,0
2017-08-17,13:55:00,0.121,0.121,0.121,0.121,10000,0
2017-08-17,15:20:00,0.125,0.125,0.125,0.125,20499,0
2017-08-17,15:45:00,0.126,0.126,0.126,0.126,2000,0
2017-08-17,17:30:00,0.124,0.124,0.124,0.124,0,0
2017-08-18,09:05:00,0.121,0.121,0.12,0.12,3000,0
2017-08-18,09:20:00,0.121,0.121,0.12,0.12,11000,0
2017-08-18,10:40:00,0.12,0.12,0.12,0.12,2680,0
2017-08-18,10:55:00,0.122,0.122,0.122,0.122,3800,0
2017-08-18,11:20:00,0.12,0.12,0.12,0.12,20000,0
2017-08-18,16:20:00,0.116,0.116,0.116,0.116,1000,0
