Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-23,09:05:00,12.31,12.31,12.28,12.28,4872,0
2017-10-23,09:10:00,12.27,12.27,12.25,12.25,2916,0
2017-10-23,09:15:00,12.245,12.245,12.23,12.23,578,0
2017-10-23,09:20:00,12.21,12.21,12.21,12.21,1000,0
2017-10-23,09:25:00,12.22,12.23,12.22,12.23,1146,0
2017-10-23,09:30:00,12.235,12.235,12.235,12.235,181,0
2017-10-23,09:50:00,12.215,12.22,12.215,12.22,845,0
2017-10-23,09:55:00,12.215,12.215,12.215,12.215,141,0
2017-10-23,10:00:00,12.215,12.215,12.215,12.215,122,0
2017-10-23,10:10:00,12.22,12.225,12.215,12.215,846,0
2017-10-23,10:35:00,12.225,12.25,12.215,12.23,13456,0
2017-10-23,10:40:00,12.23,12.235,12.23,12.235,737,0
2017-10-23,10:55:00,12.235,12.235,12.23,12.23,1481,0
2017-10-23,11:00:00,12.24,12.24,12.225,12.225,599,0
2017-10-23,11:05:00,12.225,12.225,12.225,12.225,145,0
2017-10-23,11:10:00,12.225,12.23,12.225,12.23,598,0
2017-10-23,11:15:00,12.23,12.23,12.23,12.23,15,0
2017-10-23,11:20:00,12.235,12.235,12.235,12.235,580,0
2017-10-23,11:25:00,12.24,12.25,12.24,12.25,356,0
2017-10-23,11:35:00,12.25,12.255,12.245,12.245,872,0
2017-10-23,11:45:00,12.255,12.265,12.255,12.265,716,0
2017-10-23,11:50:00,12.27,12.28,12.27,12.275,2596,0
2017-10-23,11:55:00,12.285,12.285,12.285,12.285,145,0
2017-10-23,12:05:00,12.28,12.28,12.27,12.27,2369,0
2017-10-23,12:10:00,12.27,12.27,12.265,12.265,537,0
2017-10-23,12:15:00,12.26,12.26,12.26,12.26,483,0
2017-10-23,12:25:00,12.27,12.27,12.27,12.27,1384,0
2017-10-23,12:35:00,12.275,12.275,12.275,12.275,173,0
2017-10-23,12:45:00,12.28,12.28,12.28,12.28,276,0
2017-10-23,12:50:00,12.285,12.285,12.285,12.285,5,0
2017-10-23,12:55:00,12.28,12.28,12.27,12.27,1925,0
2017-10-23,13:00:00,12.26,12.26,12.25,12.25,4409,0
2017-10-23,13:05:00,12.26,12.265,12.26,12.265,275,0
2017-10-23,13:10:00,12.27,12.27,12.26,12.26,1047,0
2017-10-23,13:15:00,12.26,12.27,12.26,12.27,216,0
2017-10-23,13:20:00,12.25,12.255,12.25,12.255,576,0
2017-10-23,13:25:00,12.26,12.26,12.26,12.26,173,0
2017-10-23,13:35:00,12.255,12.26,12.255,12.26,2290,0
2017-10-23,13:40:00,12.26,12.26,12.26,12.26,173,0
2017-10-23,13:45:00,12.255,12.255,12.255,12.255,100,0
2017-10-23,13:50:00,12.265,12.265,12.265,12.265,411,0
2017-10-23,13:55:00,12.26,12.26,12.24,12.24,2243,0
2017-10-23,14:00:00,12.25,12.25,12.25,12.25,653,0
2017-10-23,14:05:00,12.25,12.25,12.25,12.25,1844,0
2017-10-23,14:10:00,12.24,12.24,12.24,12.24,230,0
2017-10-23,14:20:00,12.24,12.24,12.23,12.23,1502,0
2017-10-23,14:25:00,12.24,12.24,12.24,12.24,207,0
2017-10-23,14:30:00,12.24,12.24,12.24,12.24,522,0
2017-10-23,14:35:00,12.235,12.235,12.235,12.235,176,0
2017-10-23,14:40:00,12.24,12.24,12.24,12.24,552,0
2017-10-23,14:45:00,12.25,12.25,12.24,12.245,888,0
2017-10-23,14:50:00,12.235,12.235,12.23,12.235,2100,0
2017-10-23,14:55:00,12.235,12.235,12.235,12.235,491,0
2017-10-23,15:05:00,12.235,12.24,12.235,12.24,726,0
2017-10-23,15:15:00,12.23,12.23,12.22,12.22,1090,0
2017-10-23,15:20:00,12.22,12.22,12.215,12.215,1556,0
2017-10-23,15:35:00,12.21,12.215,12.205,12.205,1439,0
2017-10-23,15:40:00,12.21,12.21,12.2,12.205,741,0
2017-10-23,15:45:00,12.2,12.2,12.2,12.2,1098,0
2017-10-23,15:50:00,12.2,12.2,12.2,12.2,482,0
2017-10-23,15:55:00,12.2,12.2,12.185,12.19,1867,0
2017-10-23,16:00:00,12.185,12.185,12.17,12.17,1986,0
2017-10-23,16:05:00,12.165,12.19,12.165,12.19,4065,0
2017-10-23,16:10:00,12.19,12.2,12.185,12.2,1728,0
2017-10-23,16:15:00,12.2,12.2,12.2,12.2,242,0
2017-10-23,16:20:00,12.19,12.19,12.18,12.18,1877,0
2017-10-23,16:25:00,12.18,12.18,12.18,12.18,650,0
2017-10-23,16:30:00,12.18,12.18,12.175,12.175,1893,0
2017-10-23,16:35:00,12.18,12.18,12.18,12.18,761,0
2017-10-23,16:40:00,12.18,12.18,12.18,12.18,500,0
2017-10-23,16:45:00,12.18,12.18,12.17,12.17,2135,0
2017-10-23,16:50:00,12.17,12.17,12.16,12.16,2744,0
2017-10-23,16:55:00,12.165,12.17,12.165,12.165,1517,0
2017-10-23,17:00:00,12.175,12.185,12.175,12.18,4205,0
2017-10-23,17:05:00,12.18,12.18,12.175,12.175,2846,0
2017-10-23,17:10:00,12.17,12.17,12.165,12.165,1159,0
2017-10-23,17:15:00,12.165,12.165,12.165,12.165,950,0
2017-10-23,17:20:00,12.17,12.17,12.17,12.17,1621,0
2017-10-23,17:25:00,12.17,12.175,12.17,12.175,5713,0
2017-10-23,17:30:00,12.18,12.2,12.175,12.2,61538,0
2017-10-24,09:05:00,12.15,12.175,12.14,12.175,1131,0
2017-10-24,09:10:00,12.17,12.17,12.155,12.155,5147,0
2017-10-24,09:25:00,12.19,12.205,12.19,12.2,1292,0
2017-10-24,09:30:00,12.21,12.21,12.205,12.205,99,0
2017-10-24,09:40:00,12.195,12.195,12.19,12.19,744,0
2017-10-24,09:45:00,12.19,12.19,12.16,12.165,3710,0
2017-10-24,09:55:00,12.165,12.165,12.165,12.165,1500,0
2017-10-24,10:05:00,12.155,12.155,12.15,12.15,1450,0
2017-10-24,10:15:00,12.14,12.14,12.14,12.14,265,0
2017-10-24,10:20:00,12.15,12.15,12.15,12.15,593,0
2017-10-24,10:25:00,12.145,12.145,12.14,12.14,1413,0
2017-10-24,10:30:00,12.135,12.135,12.13,12.13,1071,0
2017-10-24,10:35:00,12.14,12.145,12.14,12.145,1702,0
2017-10-24,10:45:00,12.14,12.14,12.14,12.14,101,0
2017-10-24,10:55:00,12.155,12.155,12.15,12.15,1524,0
2017-10-24,11:00:00,12.16,12.165,12.15,12.165,1688,0
2017-10-24,11:05:00,12.165,12.165,12.155,12.155,1891,0
2017-10-24,11:15:00,12.15,12.155,12.15,12.155,631,0
2017-10-24,11:25:00,12.155,12.155,12.155,12.155,395,0
2017-10-24,11:50:00,12.145,12.145,12.135,12.135,2891,0
2017-10-24,11:55:00,12.14,12.14,12.125,12.125,4177,0
2017-10-24,12:00:00,12.135,12.135,12.135,12.135,176,0
2017-10-24,12:05:00,12.135,12.14,12.135,12.14,1000,0
2017-10-24,12:15:00,12.15,12.155,12.15,12.155,1097,0
2017-10-24,12:25:00,12.15,12.155,12.15,12.155,261,0
2017-10-24,12:30:00,12.155,12.165,12.15,12.165,2538,0
2017-10-24,12:45:00,12.165,12.165,12.165,12.165,200,0
2017-10-24,12:50:00,12.16,12.16,12.16,12.16,932,0
2017-10-24,12:55:00,12.155,12.155,12.155,12.155,193,0
2017-10-24,13:00:00,12.145,12.145,12.14,12.145,1149,0
2017-10-24,13:05:00,12.14,12.145,12.14,12.145,1887,0
2017-10-24,13:10:00,12.15,12.15,12.14,12.14,466,0
2017-10-24,13:15:00,12.145,12.145,12.145,12.145,430,0
2017-10-24,13:20:00,12.145,12.155,12.14,12.155,1768,0
2017-10-24,13:30:00,12.155,12.155,12.155,12.155,145,0
2017-10-24,13:45:00,12.14,12.14,12.14,12.14,5,0
2017-10-24,13:55:00,12.14,12.14,12.125,12.13,4868,0
2017-10-24,14:00:00,12.14,12.14,12.12,12.12,1742,0
2017-10-24,14:05:00,12.12,12.12,12.12,12.12,44,0
2017-10-24,14:10:00,12.12,12.12,12.12,12.12,646,0
2017-10-24,14:25:00,12.13,12.13,12.125,12.125,2546,0
2017-10-24,14:30:00,12.13,12.13,12.13,12.13,175,0
2017-10-24,14:45:00,12.12,12.125,12.11,12.11,969,0
2017-10-24,14:50:00,12.11,12.13,12.11,12.115,2395,0
2017-10-24,15:05:00,12.11,12.11,12.105,12.105,2684,0
2017-10-24,15:10:00,12.11,12.11,12.1,12.1,4080,0
2017-10-24,15:15:00,12.095,12.095,12.09,12.09,3015,0
2017-10-24,15:25:00,12.1,12.1,12.1,12.1,559,0
2017-10-24,15:30:00,12.1,12.1,12.095,12.095,1195,0
2017-10-24,15:35:00,12.1,12.1,12.1,12.1,960,0
2017-10-24,15:40:00,12.105,12.105,12.095,12.1,2052,0
2017-10-24,15:45:00,12.1,12.1,12.1,12.1,350,0
2017-10-24,15:50:00,12.09,12.09,12.08,12.09,3316,0
2017-10-24,15:55:00,12.085,12.085,12.085,12.085,200,0
2017-10-24,16:00:00,12.085,12.085,12.055,12.055,2081,0
2017-10-24,16:05:00,12.06,12.065,12.06,12.065,1816,0
2017-10-24,16:15:00,12.055,12.055,12.05,12.05,679,0
2017-10-24,16:20:00,12.06,12.06,12.055,12.06,3560,0
2017-10-24,16:25:00,12.065,12.07,12.065,12.065,5171,0
2017-10-24,16:30:00,12.065,12.065,12.065,12.065,1140,0
2017-10-24,16:35:00,12.07,12.07,12.07,12.07,1376,0
