Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,35.485,35.485,35.41,35.41,523,0
2017-10-26,09:10:00,35.42,35.5,35.405,35.495,1103,0
2017-10-26,09:15:00,35.47,35.47,35.39,35.455,1384,0
2017-10-26,09:20:00,35.4,35.44,35.32,35.44,5290,0
2017-10-26,09:25:00,35.43,35.44,35.375,35.42,1577,0
2017-10-26,09:30:00,35.405,35.48,35.395,35.45,2363,0
2017-10-26,09:35:00,35.475,35.555,35.475,35.555,1209,0
2017-10-26,09:40:00,35.605,35.61,35.565,35.575,1388,0
2017-10-26,09:45:00,35.56,35.575,35.53,35.55,2077,0
2017-10-26,09:50:00,35.525,35.525,35.44,35.44,1415,0
2017-10-26,09:55:00,35.44,35.505,35.415,35.505,2540,0
2017-10-26,10:00:00,35.515,35.58,35.495,35.565,3324,0
2017-10-26,10:05:00,35.57,35.605,35.525,35.55,5468,0
2017-10-26,10:10:00,35.55,35.55,35.51,35.51,2323,0
2017-10-26,10:15:00,35.53,35.535,35.49,35.49,2028,0
2017-10-26,10:20:00,35.49,35.54,35.49,35.51,2500,0
2017-10-26,10:25:00,35.51,35.51,35.485,35.485,479,0
2017-10-26,10:30:00,35.495,35.515,35.475,35.475,1202,0
2017-10-26,10:35:00,35.48,35.485,35.445,35.455,914,0
2017-10-26,10:40:00,35.455,35.455,35.435,35.435,631,0
2017-10-26,10:45:00,35.405,35.42,35.4,35.42,1664,0
2017-10-26,10:50:00,35.41,35.42,35.38,35.39,2019,0
2017-10-26,10:55:00,35.39,35.405,35.39,35.405,360,0
2017-10-26,11:00:00,35.405,35.425,35.405,35.425,781,0
2017-10-26,11:05:00,35.42,35.44,35.42,35.425,2421,0
2017-10-26,11:10:00,35.42,35.425,35.41,35.42,1157,0
2017-10-26,11:15:00,35.415,35.42,35.405,35.415,1563,0
2017-10-26,11:20:00,35.42,35.42,35.405,35.42,1010,0
2017-10-26,11:25:00,35.42,35.44,35.42,35.425,1893,0
2017-10-26,11:30:00,35.425,35.465,35.425,35.465,1683,0
2017-10-26,11:35:00,35.45,35.48,35.45,35.48,1313,0
2017-10-26,11:40:00,35.485,35.53,35.48,35.53,3123,0
2017-10-26,11:45:00,35.525,35.595,35.525,35.595,2292,0
2017-10-26,11:50:00,35.615,35.705,35.615,35.705,4873,0
2017-10-26,11:55:00,35.72,35.775,35.675,35.675,6934,0
2017-10-26,12:00:00,35.675,35.675,35.61,35.63,3869,0
2017-10-26,12:05:00,35.645,35.655,35.645,35.655,74,0
2017-10-26,12:10:00,35.65,35.65,35.625,35.625,1215,0
2017-10-26,12:15:00,35.62,35.645,35.62,35.645,2074,0
2017-10-26,12:20:00,35.655,35.685,35.655,35.685,1238,0
2017-10-26,12:25:00,35.685,35.92,35.685,35.895,10926,0
2017-10-26,12:30:00,35.91,35.91,35.79,35.805,3839,0
2017-10-26,12:35:00,35.79,35.815,35.76,35.76,1559,0
2017-10-26,12:40:00,35.795,35.81,35.79,35.795,1568,0
2017-10-26,12:45:00,35.805,35.805,35.775,35.79,1361,0
2017-10-26,12:50:00,35.785,35.785,35.745,35.745,2131,0
2017-10-26,12:55:00,35.75,35.77,35.74,35.755,1024,0
2017-10-26,13:00:00,35.75,35.755,35.695,35.705,2383,0
2017-10-26,13:05:00,35.725,35.73,35.705,35.73,2869,0
2017-10-26,13:10:00,35.725,35.76,35.725,35.745,1298,0
2017-10-26,13:15:00,35.75,35.75,35.735,35.735,682,0
2017-10-26,13:20:00,35.72,35.72,35.69,35.69,1997,0
2017-10-26,13:25:00,35.7,35.7,35.675,35.7,1496,0
2017-10-26,13:30:00,35.69,35.69,35.675,35.69,836,0
2017-10-26,13:35:00,35.665,35.67,35.655,35.655,1326,0
2017-10-26,13:40:00,35.64,35.64,35.615,35.64,1200,0
2017-10-26,13:45:00,35.65,35.665,35.645,35.665,1707,0
2017-10-26,13:50:00,35.66,35.825,35.655,35.71,7233,0
2017-10-26,13:55:00,35.695,35.71,35.64,35.68,3967,0
2017-10-26,14:00:00,35.655,35.675,35.63,35.675,1618,0
2017-10-26,14:05:00,35.665,35.76,35.665,35.76,2885,0
2017-10-26,14:10:00,35.78,35.8,35.745,35.745,1104,0
2017-10-26,14:15:00,35.725,35.725,35.685,35.7,1993,0
2017-10-26,14:20:00,35.72,35.75,35.72,35.725,1359,0
2017-10-26,14:25:00,35.725,35.725,35.66,35.66,1346,0
2017-10-26,14:30:00,35.655,35.795,35.65,35.715,5883,0
2017-10-26,14:35:00,35.74,35.76,35.735,35.755,1729,0
2017-10-26,14:40:00,35.74,35.75,35.67,35.675,3536,0
2017-10-26,14:45:00,35.69,35.71,35.68,35.685,1415,0
2017-10-26,14:50:00,35.675,35.7,35.665,35.665,1445,0
2017-10-26,14:55:00,35.67,35.685,35.66,35.66,1347,0
2017-10-26,15:00:00,35.66,35.675,35.645,35.645,1871,0
2017-10-26,15:05:00,35.635,35.65,35.63,35.63,2522,0
2017-10-26,15:10:00,35.625,35.635,35.595,35.61,2579,0
2017-10-26,15:15:00,35.605,35.665,35.605,35.665,2106,0
2017-10-26,15:20:00,35.65,35.665,35.64,35.66,1667,0
2017-10-26,15:25:00,35.645,35.645,35.645,35.645,58,0
2017-10-26,15:30:00,35.645,35.685,35.635,35.685,4702,0
2017-10-26,15:35:00,35.69,35.775,35.69,35.725,6862,0
