Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-04-18,09:25:00,2.55,2.55,2.55,2.55,2100,0
2016-04-18,09:45:00,2.599,2.599,2.599,2.599,500,0
2016-04-18,10:05:00,2.7,2.7,2.7,2.7,200,0
2016-04-18,10:25:00,2.7,2.7,2.7,2.7,1000,0
2016-04-18,10:30:00,2.578,2.578,2.575,2.575,600,0
2016-04-18,11:15:00,2.569,2.569,2.569,2.569,1000,0
2016-04-18,11:20:00,2.569,2.57,2.569,2.57,1765,0
2016-04-18,11:25:00,2.569,2.57,2.569,2.57,2831,0
2016-04-18,11:35:00,2.69,2.69,2.69,2.69,4669,0
2016-04-18,12:10:00,2.61,2.686,2.61,2.686,440,0
2016-04-18,12:25:00,2.56,2.56,2.56,2.56,40,0
2016-04-18,12:30:00,2.61,2.61,2.61,2.61,460,0
2016-04-18,14:45:00,2.6,2.6,2.6,2.6,2000,0
2016-04-18,17:05:00,2.6,2.6,2.6,2.6,2000,0
2016-04-18,17:30:00,2.6,2.65,2.6,2.65,2450,0
2016-04-19,15:30:00,2.53,2.53,2.53,2.53,6,0
2016-04-19,16:55:00,2.599,2.61,2.599,2.61,1910,0
2016-04-19,17:00:00,2.61,2.61,2.61,2.61,380,0
2016-04-20,09:05:00,2.698,2.698,2.698,2.698,1277,0
2016-04-20,09:10:00,2.698,2.698,2.698,2.698,32,0
2016-04-20,10:00:00,2.75,2.768,2.75,2.768,2200,0
2016-04-20,11:25:00,2.78,2.78,2.77,2.77,2006,0
2016-04-20,11:35:00,2.81,2.878,2.81,2.878,2620,0
2016-04-20,11:40:00,2.9,2.9,2.9,2.9,800,0
2016-04-20,11:45:00,2.9,2.9,2.9,2.9,200,0
2016-04-20,11:55:00,2.85,2.85,2.85,2.85,191,0
2016-04-20,12:10:00,2.9,2.9,2.9,2.9,1609,0
2016-04-20,12:45:00,2.83,2.83,2.83,2.83,500,0
2016-04-20,13:10:00,2.83,2.83,2.83,2.83,800,0
2016-04-20,13:55:00,2.83,2.95,2.83,2.95,4300,0
2016-04-20,14:05:00,2.92,2.92,2.92,2.92,1100,0
2016-04-20,14:15:00,2.842,2.9,2.83,2.9,5300,0
2016-04-20,16:20:00,2.896,2.896,2.896,2.896,3000,0
2016-04-20,17:30:00,2.897,2.897,2.897,2.897,3000,0
2016-04-21,09:30:00,2.85,2.897,2.85,2.897,3000,0
2016-04-21,09:35:00,2.89,2.9,2.89,2.9,3500,0
2016-04-21,11:15:00,2.663,2.663,2.663,2.663,30,0
2016-04-21,13:35:00,2.8,2.8,2.8,2.8,328,0
2016-04-21,15:25:00,2.663,2.663,2.663,2.663,1592,0
2016-04-22,16:45:00,2.7,2.7,2.7,2.7,4,0
2016-04-22,17:20:00,2.776,2.776,2.776,2.776,100,0
2016-04-25,09:15:00,2.75,2.75,2.75,2.75,100,0
2016-04-25,13:35:00,2.755,2.756,2.755,2.756,3230,0
2016-04-25,14:40:00,2.755,2.755,2.755,2.755,240,0
2016-04-25,17:30:00,2.745,2.745,2.745,2.745,240,0
2016-04-26,15:45:00,2.812,2.812,2.812,2.812,309,0
2016-04-26,16:10:00,2.8,2.8,2.8,2.8,200,0
2016-04-26,16:15:00,2.813,2.813,2.813,2.813,800,0
2016-04-27,17:00:00,2.78,2.785,2.78,2.785,1000,0
2016-04-28,15:35:00,2.8,2.85,2.8,2.85,1000,0
2016-04-29,13:10:00,2.7,2.7,2.7,2.7,309,0
2016-04-29,13:15:00,2.75,2.8,2.75,2.8,200,0
2016-05-03,10:15:00,2.702,2.702,2.702,2.702,100,0
2016-05-04,10:20:00,2.702,2.702,2.702,2.702,100,0
2016-05-04,10:55:00,2.721,2.721,2.721,2.721,100,0
2016-05-04,12:50:00,2.751,2.751,2.751,2.751,100,0
2016-05-04,13:55:00,2.799,2.85,2.799,2.85,5400,0
2016-05-05,17:25:00,2.856,2.856,2.856,2.856,2000,0
2016-05-06,15:00:00,2.824,2.824,2.824,2.824,500,0
2016-05-09,09:40:00,2.82,2.82,2.724,2.724,500,0
2016-05-09,09:45:00,2.898,2.898,2.898,2.898,470,0
2016-05-09,11:40:00,2.897,2.9,2.897,2.9,1820,0
2016-05-09,12:50:00,2.9,2.9,2.9,2.9,86,0
2016-05-09,13:15:00,2.9,2.9,2.9,2.9,24,0
2016-05-09,15:45:00,2.92,2.92,2.92,2.92,3900,0
2016-05-09,16:55:00,2.9,2.9,2.9,2.9,100,0
2016-05-10,09:55:00,2.97,2.97,2.97,2.97,450,0
2016-05-10,15:40:00,3.04,3.04,3.04,3.04,1000,0
2016-05-10,16:05:00,3.2,3.2,3.036,3.036,20,0
2016-05-10,16:15:00,3.037,3.037,3.037,3.037,125,0
2016-05-10,17:30:00,3.036,3.036,3.036,3.036,125,0
2016-05-11,10:20:00,3.25,3.25,3.25,3.25,1990,0
2016-05-11,12:00:00,3.35,3.35,3.35,3.35,1000,0
2016-05-11,14:10:00,3.301,3.301,3.301,3.301,349,0
2016-05-11,16:00:00,3.301,3.301,3.301,3.301,651,0
2016-05-12,12:00:00,3.155,3.155,3.155,3.155,255,0
2016-05-12,16:00:00,3.3,3.3,3.3,3.3,202,0
2016-05-12,17:05:00,3.3,3.3,3.3,3.3,38,0
2016-05-13,12:05:00,3.3,3.3,3.291,3.291,700,0
2016-05-13,15:15:00,3.299,3.299,3.299,3.299,300,0
2016-05-17,12:20:00,3.155,3.155,3.1,3.1,1500,0
2016-05-17,17:30:00,3.1,3.1,3.1,3.1,300,0
2016-05-18,09:50:00,3.1,3.1,3.1,3.1,100,0
2016-05-23,09:05:00,3.04,3.041,3.04,3.041,660,0
2016-05-23,09:55:00,3.04,3.04,3.04,3.04,1540,0
2016-05-23,14:30:00,3.03,3.03,3.03,3.03,20,0
2016-05-23,14:40:00,3.03,3.03,3.03,3.03,1000,0
2016-05-23,15:50:00,3.03,3.03,3.01,3.01,2180,0
2016-05-24,12:40:00,2.863,2.863,2.8,2.8,1050,0
2016-05-24,12:45:00,3.043,3.043,3.043,3.043,100,0
2016-05-26,14:40:00,2.8,2.8,2.8,2.8,494,0
2016-05-26,14:45:00,2.742,2.742,2.742,2.742,956,0
2016-05-26,17:30:00,2.742,2.742,2.742,2.742,956,0
2016-05-30,09:35:00,2.917,2.918,2.917,2.918,2000,0
2016-05-30,09:50:00,2.916,2.916,2.916,2.916,96,0
2016-05-30,13:25:00,2.985,2.985,2.985,2.985,100,0
2016-05-30,13:35:00,2.985,2.985,2.985,2.985,700,0
2016-05-31,09:15:00,3.044,3.05,3.044,3.05,2563,0
2016-05-31,12:35:00,3.039,3.05,3.039,3.05,2000,0
2016-06-01,11:50:00,2.901,2.901,2.9,2.9,729,0
2016-06-02,09:05:00,2.9,2.9,2.9,2.9,100,0
2016-06-02,10:35:00,2.771,2.771,2.771,2.771,500,0
2016-06-02,11:25:00,2.899,2.899,2.899,2.899,100,0
2016-06-02,14:00:00,2.811,2.811,2.811,2.811,240,0
2016-06-02,16:10:00,2.9,2.9,2.9,2.9,171,0
2016-06-02,17:30:00,2.999,2.999,2.999,2.999,100,0
2016-06-03,09:10:00,2.999,2.999,2.999,2.999,100,0
2016-06-06,15:50:00,2.999,2.999,2.999,2.999,100,0
2016-06-07,09:10:00,2.9,2.9,2.9,2.9,200,0
2016-06-08,10:00:00,2.919,2.919,2.919,2.919,300,0
2016-06-10,09:20:00,2.9,2.9,2.9,2.9,300,0
2016-06-10,10:30:00,2.899,2.899,2.899,2.899,569,0
2016-06-10,11:10:00,2.899,2.899,2.899,2.899,500,0
2016-06-10,11:30:00,2.899,2.899,2.899,2.899,331,0
2016-06-13,09:35:00,2.819,2.819,2.819,2.819,646,0
2016-06-13,14:50:00,2.819,2.819,2.805,2.805,3000,0
2016-06-13,15:15:00,2.806,2.806,2.806,2.806,398,0
2016-06-14,13:10:00,2.849,2.849,2.849,2.849,500,0
2016-06-14,15:30:00,2.75,2.75,2.75,2.75,50,0
2016-06-14,16:45:00,2.849,2.85,2.849,2.85,3312,0
2016-06-14,16:50:00,2.9,2.9,2.9,2.9,1688,0
2016-06-15,15:15:00,2.979,2.98,2.979,2.98,3000,0
2016-06-16,16:10:00,2.76,2.76,2.76,2.76,1800,0
2016-06-17,12:05:00,2.943,2.943,2.943,2.943,200,0
2016-06-17,16:20:00,2.85,2.85,2.85,2.85,100,0
2016-06-22,10:50:00,2.849,2.849,2.849,2.849,600,0
2016-06-22,14:50:00,2.801,2.801,2.801,2.801,75,0
2016-06-22,15:15:00,2.874,2.874,2.874,2.874,1052,0
2016-06-24,11:50:00,2.8,2.8,2.8,2.8,100,0
2016-06-27,09:10:00,2.491,2.491,2.491,2.491,9250,0
2016-06-27,09:20:00,2.497,2.497,2.497,2.497,500,0
2016-06-27,09:25:00,2.577,2.577,2.577,2.577,50,0
2016-06-27,11:25:00,2.6,2.6,2.6,2.6,500,0
2016-06-27,15:30:00,2.799,2.799,2.799,2.799,995,0
2016-06-28,09:10:00,2.749,2.749,2.749,2.749,100,0
2016-06-28,14:45:00,2.749,2.749,2.749,2.749,200,0
2016-06-30,09:05:00,2.689,2.689,2.689,2.689,100,0
2016-06-30,09:15:00,2.688,2.7,2.688,2.7,1900,0
2016-07-01,10:40:00,2.794,2.794,2.794,2.794,57,0
2016-07-01,15:20:00,2.769,2.769,2.769,2.769,600,0
2016-07-01,17:20:00,2.769,2.769,2.769,2.769,280,0
2016-07-04,09:35:00,2.749,2.77,2.749,2.77,763,0
2016-07-04,10:55:00,2.8,2.8,2.8,2.8,1500,0
2016-07-04,15:20:00,3.002,3.002,3.002,3.002,1200,0
2016-07-05,09:40:00,2.801,2.801,2.801,2.801,100,0
2016-07-05,11:20:00,2.833,2.833,2.8,2.8,2000,0
2016-07-05,11:35:00,2.8,2.8,2.8,2.8,1779,0
2016-07-05,14:30:00,2.712,2.712,2.712,2.712,50,0
2016-07-06,09:05:00,2.7,2.7,2.7,2.7,600,0
2016-07-06,09:25:00,2.468,2.599,2.468,2.599,820,0
2016-07-08,14:20:00,2.67,2.67,2.5,2.5,2037,0
2016-07-08,14:25:00,2.619,2.619,2.619,2.619,1000,0
2016-07-08,16:35:00,2.749,2.749,2.749,2.749,1759,0
2016-07-11,12:45:00,2.698,2.698,2.698,2.698,2000,0
2016-07-12,09:10:00,2.699,2.699,2.699,2.699,368,0
2016-07-14,17:30:00,2.6,2.6,2.6,2.6,1,0
2016-07-15,17:30:00,2.6,2.6,2.6,2.6,2962,0
2016-07-18,15:05:00,2.65,2.65,2.65,2.65,1,0
2016-07-18,15:50:00,2.65,2.65,2.65,2.65,1,0
2016-07-19,09:10:00,2.62,2.62,2.62,2.62,1000,0
2016-07-19,14:15:00,2.7,2.7,2.7,2.7,1,0
2016-07-19,14:20:00,2.7,2.7,2.7,2.7,1,0
2016-07-19,15:25:00,2.7,2.713,2.7,2.713,3200,0
2016-07-19,17:30:00,2.713,2.713,2.713,2.713,245,0
2016-07-20,17:30:00,2.713,2.713,2.713,2.713,1985,0
2016-07-25,15:30:00,2.921,2.921,2.921,2.921,200,0
2016-07-25,17:05:00,2.947,2.947,2.947,2.947,555,0
2016-07-26,10:20:00,2.702,2.702,2.702,2.702,995,0
2016-07-26,10:55:00,2.802,2.802,2.802,2.802,234,0
2016-07-26,17:30:00,2.703,2.703,2.703,2.703,3113,0
2016-07-29,14:10:00,2.622,2.622,2.58,2.58,3500,0
2016-08-01,17:30:00,2.531,2.531,2.531,2.531,1000,0
2016-08-02,17:30:00,2.565,2.565,2.565,2.565,425,0
2016-08-05,10:00:00,2.27,2.27,2.27,2.27,315,0
2016-08-05,17:30:00,2.271,2.271,2.271,2.271,2127,0
2016-08-08,12:40:00,2.232,2.232,2.231,2.231,2000,0
2016-08-08,17:30:00,2.251,2.251,2.251,2.251,752,0
2016-08-10,09:10:00,2.252,2.252,2.252,2.252,1500,0
2016-08-10,17:30:00,2.251,2.251,2.251,2.251,1786,0
2016-08-12,09:05:00,2.251,2.251,2.251,2.251,2000,0
2016-08-12,09:55:00,2.252,2.252,2.252,2.252,4,0
2016-08-12,11:25:00,2.3,2.3,2.3,2.3,200,0
2016-08-12,12:30:00,2.327,2.327,2.327,2.327,4,0
2016-08-12,13:05:00,2.252,2.252,2.251,2.251,3446,0
2016-08-12,15:15:00,2.406,2.406,2.406,2.406,120,0
2016-08-15,11:50:00,2.325,2.325,2.325,2.325,2000,0
2016-08-15,12:05:00,2.299,2.299,2.299,2.299,400,0
2016-08-15,12:10:00,2.298,2.3,2.298,2.3,4582,0
2016-08-15,12:40:00,2.252,2.252,2.251,2.251,1500,0
2016-08-15,17:30:00,2.251,2.251,2.251,2.251,1366,0
2016-08-16,09:10:00,2.327,2.327,2.327,2.327,1000,0
2016-08-16,16:40:00,2.35,2.35,2.35,2.35,6242,0
2016-08-18,09:05:00,2.284,2.284,2.284,2.284,1000,0
2016-08-22,09:05:00,2.261,2.261,2.261,2.261,2000,0
2016-08-22,17:25:00,2.253,2.253,2.253,2.253,50,0
2016-08-22,17:30:00,2.252,2.252,2.252,2.252,50,0
2016-08-30,17:30:00,2.47,2.47,2.47,2.47,110,0
2016-09-01,15:45:00,2.45,2.45,2.45,2.45,60,0
2016-09-01,15:50:00,2.45,2.45,2.32,2.32,3725,0
2016-09-02,17:30:00,2.301,2.301,2.301,2.301,1475,0
2016-09-07,09:05:00,2.272,2.272,2.272,2.272,2000,0
2016-09-14,09:05:00,2.22,2.22,2.22,2.22,10,0
2016-09-19,17:15:00,2.498,2.498,2.498,2.498,300,0
2016-09-20,09:05:00,2.408,2.408,2.408,2.408,2000,0
2016-09-26,10:15:00,2.25,2.25,2.25,2.25,455,0
2016-09-26,10:35:00,2.25,2.25,2.193,2.193,455,0
2016-09-26,15:20:00,2.349,2.349,2.349,2.349,55,0
2016-09-26,16:40:00,2.279,2.28,2.279,2.28,3154,0
2016-09-28,17:30:00,2.251,2.251,2.251,2.251,1011,0
2016-10-05,17:30:00,2.244,2.244,2.244,2.244,4474,0
