Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-02,10:25:00,0.012,0.012,0.012,0.012,20,0
2015-04-02,16:50:00,0.012,0.012,0.012,0.012,120,0
2015-04-07,09:05:00,0.012,0.012,0.012,0.012,200,0
2015-04-14,11:10:00,0.02,0.02,0.02,0.02,32,0
2015-04-15,09:45:00,0.015,0.015,0.015,0.015,16,0
2015-04-15,10:35:00,0.016,0.016,0.016,0.016,16,0
2015-04-15,17:30:00,0.016,0.016,0.016,0.016,232,0
2015-04-21,10:35:00,0.015,0.015,0.015,0.015,200,0
2015-04-21,13:30:00,0.01,0.01,0.01,0.01,223,0
2015-04-21,13:35:00,0.01,0.01,0.01,0.01,23,0
2015-04-22,16:10:00,0.011,0.011,0.011,0.011,120,0
2015-04-24,09:05:00,0.011,0.011,0.011,0.011,27,0
2015-04-24,10:30:00,0.011,0.011,0.011,0.011,147,0
2015-04-27,09:45:00,0.012,0.012,0.012,0.012,900,0
2015-04-29,09:05:00,0.02,0.02,0.02,0.02,120,0
2015-05-05,09:05:00,0.018,0.018,0.018,0.018,100,0
2015-05-11,11:50:00,0.01,0.01,0.01,0.01,60,0
2015-05-12,10:30:00,0.011,0.011,0.011,0.011,200,0
2015-05-15,17:30:00,0.011,0.011,0.011,0.011,50,0
2015-05-27,15:55:00,0.011,0.011,0.011,0.011,100,0
2015-05-28,16:40:00,0.011,0.011,0.011,0.011,11169,0
2015-05-28,17:30:00,0.011,0.011,0.011,0.011,11347,0
2015-06-10,12:50:00,0.01,0.01,0.01,0.01,200,0
2015-06-11,11:20:00,0.01,0.01,0.01,0.01,300,0
2015-06-11,14:25:00,0.01,0.01,0.01,0.01,380,0
2015-06-12,17:30:00,0.01,0.01,0.01,0.01,60,0
2015-06-30,10:05:00,0.011,0.011,0.011,0.011,200,0
2015-07-15,10:30:00,0.01,0.01,0.01,0.01,555,0
2015-07-15,12:05:00,0.01,0.01,0.01,0.01,935,0
2015-07-16,10:50:00,0.01,0.01,0.01,0.01,1730,0
2015-07-20,10:35:00,0.01,0.01,0.01,0.01,150,0
2015-07-22,15:30:00,0.005,0.005,0.005,0.005,30,0
2015-07-22,16:20:00,0.011,0.011,0.011,0.011,40030,0
2015-07-23,09:40:00,0.012,0.012,0.012,0.012,170,0
2015-07-31,10:30:00,0.013,0.013,0.013,0.013,1000,0
2015-08-12,12:15:00,0.012,0.012,0.012,0.012,2200,0
2015-08-21,15:20:00,0.012,0.012,0.012,0.012,200,0
2015-08-24,11:40:00,0.013,0.013,0.013,0.013,50,0
2015-09-02,09:05:00,0.009,0.009,0.009,0.009,100,0
2015-09-08,13:20:00,0.009,0.009,0.009,0.009,180,0
2015-09-10,09:55:00,0.009,0.009,0.009,0.009,10,0
2015-09-15,16:05:00,0.009,0.009,0.009,0.009,300,0
2015-09-16,15:25:00,0.007,0.007,0.007,0.007,220,0
2015-09-24,12:00:00,0.007,0.007,0.007,0.007,200,0
2015-09-29,12:05:00,0.01,0.01,0.01,0.01,4000,0
2015-10-01,10:35:00,0.011,0.011,0.011,0.011,1842,0
2015-10-13,17:35:00,0.012,0.012,0.012,0.012,222,0
2015-10-19,10:00:00,0.012,0.012,0.012,0.012,80,0
2015-10-23,14:15:00,0.007,0.007,0.007,0.007,13,0
2015-10-27,08:05:00,0.006,0.006,0.006,0.006,58,0
2015-10-27,13:35:00,0.006,0.006,0.006,0.006,20,0
2015-10-30,12:40:00,0.006,0.006,0.006,0.006,175,0
2015-10-30,15:40:00,0.014,0.014,0.014,0.014,500,0
2015-11-05,11:45:00,0.012,0.012,0.012,0.012,350,0
2015-11-05,15:55:00,0.012,0.012,0.012,0.012,1600,0
2015-11-17,10:30:00,0.012,0.012,0.012,0.012,1532,0
2015-12-07,08:20:00,0.01,0.01,0.01,0.01,40,0
2015-12-07,11:30:00,0.012,0.012,0.012,0.012,100,0
2015-12-16,15:45:00,0.012,0.012,0.012,0.012,21,0
2015-12-16,18:20:00,0.012,0.012,0.012,0.012,50,0
2015-12-22,09:25:00,0.013,0.013,0.013,0.013,150,0
2016-01-04,14:00:00,0.013,0.013,0.013,0.013,1000,0
2016-01-19,09:50:00,0.028,0.028,0.028,0.028,39286,0
2016-01-19,10:00:00,0.063,0.063,0.063,0.063,20000,0
2016-01-19,10:40:00,0.05,0.05,0.045,0.045,40000,0
2016-01-19,14:40:00,0.051,0.051,0.051,0.051,10200,0
2016-01-20,16:20:00,0.046,0.046,0.046,0.046,30,0
2016-01-20,19:20:00,0.05,0.05,0.05,0.05,410,0
2016-01-22,17:45:00,0.05,0.05,0.05,0.05,100,0
2016-01-25,12:40:00,0.036,0.036,0.036,0.036,1400,0
2016-01-25,14:40:00,0.036,0.036,0.036,0.036,425,0
2016-01-29,16:20:00,0.036,0.036,0.036,0.036,100,0
2016-02-01,10:20:00,0.028,0.028,0.028,0.028,100,0
2016-02-11,16:15:00,0.025,0.025,0.025,0.025,115,0
2016-02-17,10:40:00,0.014,0.014,0.014,0.014,280,0
2016-02-22,08:05:00,0.013,0.013,0.013,0.013,30,0
2016-02-29,10:55:00,0.013,0.013,0.013,0.013,60,0
2016-03-01,13:15:00,0.013,0.013,0.013,0.013,1920,0
2016-03-10,19:35:00,0.013,0.013,0.013,0.013,100,0
2016-03-18,08:35:00,0.013,0.013,0.013,0.013,150,0
2016-03-29,17:15:00,0.013,0.013,0.013,0.013,50,0
2016-04-15,13:50:00,0.013,0.013,0.013,0.013,30,0
2016-04-29,18:50:00,0.014,0.014,0.014,0.014,124,0
2016-05-11,09:45:00,0.014,0.014,0.014,0.014,150,0
2016-05-19,14:50:00,0.021,0.021,0.021,0.021,2705,0
2016-05-24,16:35:00,0.014,0.014,0.014,0.014,50,0
2016-06-07,08:05:00,0.018,0.018,0.018,0.018,13000,0
2016-06-09,15:20:00,0.014,0.014,0.014,0.014,2100,0
2016-06-13,12:50:00,0.014,0.014,0.014,0.014,300,0
2016-06-13,12:55:00,0.017,0.017,0.017,0.017,100,0
2016-06-21,19:20:00,0.031,0.031,0.031,0.031,13000,0
2016-06-23,20:00:00,0.037,0.037,0.037,0.037,7500,0
2016-06-24,11:35:00,0.027,0.027,0.027,0.027,490,0
2016-06-29,10:15:00,0.023,0.023,0.023,0.023,200,0
2016-07-04,13:30:00,0.02,0.02,0.02,0.02,3600,0
2016-07-11,09:35:00,0.018,0.018,0.018,0.018,330,0
2016-07-15,09:30:00,0.018,0.018,0.018,0.018,50,0
2016-08-01,11:00:00,0.018,0.018,0.018,0.018,835,0
2016-08-10,09:45:00,0.033,0.033,0.033,0.033,10000,0
2016-08-22,14:30:00,0.016,0.016,0.016,0.016,200,0
2016-09-06,13:25:00,0.015,0.015,0.015,0.015,86,0
2016-09-14,16:10:00,0.016,0.016,0.016,0.016,1000,0
2016-09-26,10:30:00,0.016,0.016,0.016,0.016,10000,0
2016-09-27,13:25:00,0.016,0.016,0.016,0.016,100,0
2016-09-28,09:35:00,0.016,0.016,0.016,0.016,100,0
2016-10-05,16:00:00,0.016,0.016,0.016,0.016,350,0
2016-10-10,08:05:00,0.048,0.048,0.048,0.048,80000,0
2016-10-10,14:55:00,0.015,0.015,0.015,0.015,80000,0
2016-10-14,14:25:00,0.016,0.016,0.016,0.016,345,0
2016-10-19,09:10:00,0.016,0.016,0.016,0.016,250,0
2016-10-21,13:35:00,0.016,0.016,0.016,0.016,1200,0
2016-10-24,09:30:00,0.016,0.016,0.016,0.016,50,0
2016-10-24,12:30:00,0.016,0.016,0.016,0.016,29,0
2016-10-25,14:15:00,0.016,0.016,0.016,0.016,50,0
2016-10-28,16:35:00,0.016,0.016,0.016,0.016,18,0
2016-11-08,11:25:00,0.016,0.016,0.016,0.016,100,0
2016-11-21,09:15:00,0.016,0.016,0.016,0.016,20,0
2016-11-21,14:30:00,0.016,0.016,0.016,0.016,40,0
2016-11-25,09:10:00,0.016,0.016,0.016,0.016,150,0
2016-11-30,09:55:00,0.016,0.016,0.016,0.016,25,0
2016-12-05,08:05:00,0.015,0.015,0.015,0.015,200,0
2016-12-08,11:20:00,0.016,0.016,0.016,0.016,200,0
2016-12-09,14:35:00,0.016,0.016,0.016,0.016,10,0
2016-12-14,11:25:00,0.017,0.017,0.017,0.017,30,0
2016-12-20,16:20:00,0.017,0.017,0.017,0.017,10000,0
2016-12-21,12:00:00,0.017,0.017,0.017,0.017,30,0
2016-12-21,15:50:00,0.017,0.017,0.017,0.017,25,0
2016-12-21,17:35:00,0.017,0.017,0.017,0.017,100,0
2016-12-29,16:15:00,0.017,0.017,0.017,0.017,100,0
2017-01-05,12:05:00,0.016,0.016,0.016,0.016,250,0
2017-01-09,15:15:00,0.016,0.016,0.016,0.016,110,0
2017-01-09,16:15:00,0.016,0.016,0.016,0.016,2820,0
2017-01-10,17:00:00,0.016,0.016,0.016,0.016,230,0
2017-01-11,15:05:00,0.016,0.016,0.016,0.016,25,0
2017-01-12,17:25:00,0.016,0.016,0.016,0.016,5000,0
2017-01-16,14:50:00,0.016,0.016,0.016,0.016,45,0
2017-01-19,12:00:00,0.016,0.016,0.016,0.016,100,0
2017-01-31,15:00:00,0.016,0.016,0.016,0.016,58,0
2017-01-31,18:50:00,0.016,0.016,0.016,0.016,50,0
2017-02-03,16:25:00,0.016,0.016,0.016,0.016,85,0
2017-02-06,08:05:00,0.016,0.016,0.016,0.016,740,0
2017-02-07,12:50:00,0.023,0.023,0.023,0.023,47000,0
2017-02-14,16:05:00,0.023,0.023,0.023,0.023,100,0
2017-02-15,11:55:00,0.022,0.022,0.022,0.022,43,0
2017-02-20,12:45:00,0.024,0.024,0.024,0.024,200,0
2017-02-27,16:50:00,0.021,0.021,0.021,0.021,10,0
2017-02-28,16:20:00,0.021,0.021,0.021,0.021,250,0
2017-03-03,10:25:00,0.024,0.024,0.024,0.024,100,0
2017-03-03,12:05:00,0.024,0.024,0.024,0.024,10,0
2017-03-21,15:30:00,0.02,0.02,0.02,0.02,15,0
2017-03-22,11:45:00,0.02,0.02,0.02,0.02,300,0
2017-04-03,16:30:00,0.024,0.024,0.024,0.024,25000,0
2017-04-05,14:50:00,0.02,0.02,0.02,0.02,55,0
2017-04-05,15:20:00,0.02,0.02,0.02,0.02,100,0
2017-04-06,17:05:00,0.02,0.02,0.02,0.02,100,0
2017-04-10,10:05:00,0.02,0.02,0.02,0.02,200,0
2017-04-18,10:15:00,0.02,0.02,0.02,0.02,100,0
2017-04-18,11:40:00,0.02,0.02,0.02,0.02,60,0
2017-04-18,15:30:00,0.02,0.02,0.02,0.02,30,0
2017-05-05,12:15:00,0.021,0.021,0.021,0.021,20,0
2017-05-08,08:05:00,0.021,0.021,0.021,0.021,170,0
2017-05-11,12:05:00,0.021,0.021,0.021,0.021,20,0
2017-05-19,10:55:00,0.021,0.021,0.021,0.021,952,0
2017-05-26,16:35:00,0.026,0.026,0.026,0.026,1600,0
