Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-11-30,13:55:00,6.4,6.4,6.4,6.4,1600,0
2016-11-30,14:00:00,6.001,6.121,6.001,6.051,5589,0
2016-11-30,14:10:00,6.051,6.051,6.051,6.051,164,0
2016-11-30,14:30:00,6.002,6.002,6,6,5414,0
2016-11-30,14:40:00,5.9,5.9,5.9,5.9,1000,0
2016-11-30,14:45:00,6,6,6,6,4586,0
2016-11-30,15:15:00,6.2,6.2,6.2,6.2,1500,0
2016-11-30,15:30:00,6.011,6.011,6.01,6.01,2000,0
2016-12-01,09:10:00,6.521,6.651,6.521,6.651,6658,0
2016-12-01,09:15:00,6.849,6.849,6.651,6.651,390,0
2016-12-01,09:30:00,6.631,6.631,6.631,6.631,164,0
2016-12-01,09:55:00,6.63,6.63,6.63,6.63,100,0
2016-12-01,10:00:00,6.6,6.68,6.5,6.68,10600,0
2016-12-01,10:05:00,6.73,6.788,6.7,6.788,1890,0
2016-12-01,10:10:00,6.787,6.897,6.787,6.897,5059,0
2016-12-01,10:15:00,6.897,7.1,6.897,7.099,2010,0
2016-12-01,10:25:00,7.099,7.099,7.099,7.099,500,0
2016-12-01,10:30:00,7.098,7.098,7.098,7.098,150,0
2016-12-01,10:35:00,7.098,7.098,7.098,7.098,300,0
2016-12-01,10:45:00,7.05,7.05,7.05,7.05,500,0
2016-12-01,10:50:00,6.92,6.92,6.92,6.92,1000,0
2016-12-01,11:05:00,6.9,6.9,6.85,6.85,562,0
2016-12-01,11:15:00,6.9,6.9,6.9,6.9,250,0
2016-12-01,11:25:00,6.801,6.801,6.801,6.801,80,0
2016-12-01,11:35:00,7.048,7.048,7.048,7.048,250,0
2016-12-01,12:40:00,7.048,7.048,7.048,7.048,200,0
2016-12-01,13:25:00,6.824,6.824,6.824,6.824,110,0
2016-12-01,13:45:00,6.825,6.825,6.825,6.825,100,0
2016-12-01,14:15:00,6.951,6.951,6.951,6.951,164,0
2016-12-01,14:45:00,6.95,7.05,6.95,7.05,755,0
2016-12-01,15:00:00,6.96,6.96,6.96,6.96,300,0
2016-12-01,15:25:00,6.821,6.821,6.821,6.821,350,0
2016-12-01,15:35:00,7.048,7.048,7.048,7.048,500,0
2016-12-01,17:25:00,7.045,7.045,7.045,7.045,100,0
2016-12-01,17:30:00,6.933,6.933,6.933,6.933,500,0
2016-12-02,09:05:00,7.032,7.032,7.032,7.032,500,0
2016-12-02,13:45:00,7.029,7.029,7.029,7.029,100,0
2016-12-02,13:55:00,6.9,6.9,6.9,6.9,300,0
2016-12-02,16:10:00,7.029,7.03,7.029,7.03,522,0
2016-12-05,09:05:00,7.11,7.11,7.11,7.11,540,0
2016-12-05,09:20:00,7,7.2,7,7.2,1570,0
2016-12-05,09:35:00,7.1,7.1,7.1,7.1,200,0
2016-12-05,09:50:00,7.099,7.099,7.099,7.099,1244,0
2016-12-05,10:45:00,7,7,7,7,150,0
2016-12-05,11:20:00,7,7,7,7,1000,0
2016-12-05,13:35:00,7,7,7,7,306,0
2016-12-05,17:25:00,7,7,7,7,44,0
2016-12-06,11:00:00,6.9,6.9,6.9,6.9,300,0
2016-12-06,13:05:00,7.1,7.13,7.1,7.13,1000,0
2016-12-06,13:35:00,7.05,7.05,7.05,7.05,1140,0
2016-12-06,17:15:00,7.05,7.05,7.05,7.05,260,0
2016-12-06,17:30:00,6.841,6.841,6.841,6.841,210,0
2016-12-07,11:50:00,7,7,7,7,85,0
2016-12-07,11:55:00,6.842,6.842,6.841,6.841,400,0
2016-12-07,17:10:00,7,7,7,7,855,0
2016-12-07,17:20:00,7.049,7.05,7.049,7.05,444,0
2016-12-08,09:05:00,7.2,7.2,7.2,7.2,600,0
2016-12-08,09:55:00,7.101,7.101,7.1,7.1,395,0
2016-12-08,15:00:00,6.961,6.961,6.961,6.961,100,0
2016-12-09,16:35:00,7.031,7.031,7.03,7.03,376,0
2016-12-09,17:10:00,7.239,7.239,7.239,7.239,150,0
2016-12-12,12:10:00,7.2,7.2,7.2,7.2,380,0
2016-12-12,14:35:00,7.15,7.15,7.02,7.02,107,0
2016-12-13,10:25:00,7.25,7.25,7.25,7.25,65,0
2016-12-13,10:30:00,7.25,7.25,7.25,7.25,300,0
2016-12-13,12:05:00,7.25,7.25,7.25,7.25,500,0
2016-12-13,16:55:00,7.25,7.25,7.25,7.25,110,0
2016-12-14,12:25:00,7.151,7.151,7.15,7.15,200,0
2016-12-14,12:30:00,7.15,7.15,7.15,7.15,250,0
2016-12-14,14:40:00,7.15,7.15,7.15,7.15,14,0
2016-12-15,09:05:00,7.05,7.05,7.05,7.05,50,0
2016-12-15,14:15:00,7.25,7.25,7.25,7.25,261,0
2016-12-15,15:00:00,7.251,7.251,7.251,7.251,85,0
2016-12-15,16:15:00,7.5,7.5,7.5,7.5,350,0
2016-12-15,16:50:00,7.6,7.6,7.6,7.6,230,0
2016-12-15,17:00:00,7.75,7.75,7.75,7.75,400,0
2016-12-16,09:05:00,8.96,8.96,8.96,8.96,1760,0
2016-12-16,09:10:00,9.3,9.3,9.3,9.3,260,0
2016-12-16,09:15:00,9.151,9.151,9.15,9.15,300,0
2016-12-16,09:20:00,9.399,9.399,9.399,9.399,250,0
2016-12-16,09:30:00,9.349,9.35,9.349,9.35,200,0
2016-12-16,09:35:00,9.45,9.45,9.45,9.45,1080,0
2016-12-16,09:40:00,9.6,9.7,9.6,9.7,660,0
2016-12-16,09:45:00,9.8,9.8,9.4,9.4,1050,0
2016-12-16,09:50:00,9.4,9.4,9.25,9.349,1054,0
2016-12-16,10:00:00,9.349,9.509,9.349,9.509,2040,0
2016-12-16,10:05:00,9.5,9.5,9.5,9.5,44,0
2016-12-16,10:15:00,9.2,9.5,9.2,9.5,315,0
2016-12-16,10:30:00,9.499,9.499,9.499,9.499,105,0
2016-12-16,10:35:00,9.35,9.35,9.35,9.35,100,0
2016-12-16,10:40:00,9.4,9.4,9.39,9.39,500,0
2016-12-16,10:45:00,8.99,9.25,8.99,9.25,2923,0
2016-12-16,10:50:00,9.228,9.228,9.228,9.228,75,0
2016-12-16,10:55:00,9.228,9.228,9.228,9.228,70,0
2016-12-16,11:05:00,9.199,9.199,9.199,9.199,30,0
2016-12-16,11:15:00,8.9,9.09,8.9,9.09,320,0
2016-12-16,11:20:00,8.8,8.8,8.8,8.8,1265,0
2016-12-16,11:45:00,8.8,8.8,8.8,8.8,130,0
2016-12-16,12:00:00,8.899,8.9,8.899,8.9,500,0
2016-12-16,12:05:00,8.899,8.899,8.899,8.899,39,0
2016-12-16,12:30:00,8.65,8.65,8.65,8.65,380,0
2016-12-16,12:35:00,8.65,8.85,8.65,8.849,69,0
2016-12-16,12:55:00,8.849,8.849,8.849,8.849,30,0
2016-12-16,13:00:00,8.849,8.849,8.849,8.849,100,0
2016-12-16,13:10:00,8.849,8.849,8.849,8.849,30,0
2016-12-16,14:10:00,8.84,8.84,8.84,8.84,823,0
2016-12-16,15:30:00,8.88,8.88,8.88,8.88,60,0
2016-12-16,15:40:00,8.7,8.7,8.7,8.7,300,0
2016-12-16,15:50:00,8.7,8.75,8.7,8.75,1000,0
