Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-19,09:05:00,27.59,27.59,27.59,27.59,24,0
2017-10-19,09:10:00,27.575,27.675,27.575,27.675,323,0
2017-10-19,09:15:00,27.735,28.195,27.735,27.845,1771,0
2017-10-19,09:20:00,27.785,27.785,27.785,27.785,1,0
2017-10-19,09:30:00,27.715,27.715,27.35,27.46,1808,0
2017-10-19,09:40:00,27.36,27.44,27.325,27.44,817,0
2017-10-19,09:45:00,27.36,27.36,27.36,27.36,92,0
2017-10-19,09:50:00,27.15,27.235,27.145,27.235,567,0
2017-10-19,09:55:00,27.245,27.25,27.095,27.095,1873,0
2017-10-19,10:00:00,27.045,27.045,26.86,26.86,690,0
2017-10-19,10:05:00,27.015,27.015,26.99,26.995,350,0
2017-10-19,10:15:00,27.01,27.025,27.01,27.025,47,0
2017-10-19,10:20:00,27.05,27.05,27.05,27.05,97,0
2017-10-19,10:30:00,27.035,27.095,27.035,27.095,293,0
2017-10-19,10:35:00,27.045,27.045,27.045,27.045,137,0
2017-10-19,10:40:00,27.155,27.155,27.1,27.13,254,0
2017-10-19,11:00:00,27.1,27.125,27.095,27.125,143,0
2017-10-19,11:05:00,27.12,27.155,27.12,27.155,377,0
2017-10-19,11:25:00,27.14,27.14,27.105,27.12,643,0
2017-10-19,11:30:00,27.005,27.065,27.005,27.055,82,0
2017-10-19,11:35:00,27.055,27.055,27.055,27.055,2,0
2017-10-19,11:55:00,26.995,26.995,26.995,26.995,93,0
2017-10-19,12:10:00,26.935,26.945,26.92,26.945,142,0
2017-10-19,12:15:00,26.88,26.88,26.88,26.88,128,0
2017-10-19,12:20:00,26.85,26.85,26.705,26.795,185,0
2017-10-19,12:25:00,26.69,26.795,26.56,26.6,3010,0
2017-10-19,12:35:00,26.68,26.68,26.68,26.68,13,0
2017-10-19,12:40:00,26.745,26.795,26.705,26.705,413,0
2017-10-19,12:45:00,26.755,26.85,26.66,26.85,1903,0
2017-10-19,12:55:00,26.73,26.73,26.67,26.67,80,0
2017-10-19,13:05:00,26.645,26.655,26.645,26.655,260,0
2017-10-19,13:10:00,26.615,26.72,26.6,26.72,235,0
2017-10-19,13:20:00,26.705,26.705,26.705,26.705,77,0
2017-10-19,13:30:00,26.585,26.715,26.14,26.605,6724,0
2017-10-19,13:40:00,26.54,26.54,26.495,26.495,204,0
2017-10-19,13:50:00,26.44,26.53,26.44,26.53,176,0
2017-10-19,13:55:00,26.53,26.53,26.53,26.53,404,0
2017-10-19,14:00:00,26.53,26.61,26.52,26.61,831,0
2017-10-19,14:05:00,26.72,26.72,26.72,26.72,800,0
2017-10-19,14:10:00,26.685,26.79,26.68,26.7,576,0
2017-10-19,14:15:00,26.74,26.985,26.74,26.985,1036,0
2017-10-19,14:20:00,26.98,26.98,26.98,26.98,100,0
2017-10-19,14:25:00,26.915,26.915,26.785,26.785,413,0
2017-10-19,14:30:00,26.83,26.83,26.815,26.82,664,0
2017-10-19,14:45:00,26.895,26.895,26.895,26.895,51,0
2017-10-19,14:50:00,26.895,27,26.85,26.935,630,0
2017-10-19,14:55:00,27.01,27.01,27.01,27.01,92,0
2017-10-19,15:15:00,27.005,27.06,27.005,27.06,292,0
2017-10-19,15:20:00,27.08,27.08,27.08,27.08,9,0
2017-10-19,15:25:00,27.11,27.11,27.1,27.1,246,0
2017-10-19,15:30:00,27.125,27.15,27.125,27.15,213,0
2017-10-19,15:35:00,27.195,27.195,27.015,27.015,466,0
2017-10-19,15:45:00,27.08,27.08,26.74,26.8,2465,0
2017-10-19,15:50:00,26.765,26.765,26.765,26.765,50,0
2017-10-19,15:55:00,26.725,26.84,26.72,26.84,400,0
2017-10-19,16:00:00,26.825,26.825,26.825,26.825,81,0
2017-10-19,16:05:00,26.89,26.89,26.89,26.89,8,0
2017-10-19,16:10:00,26.795,26.795,26.64,26.64,893,0
2017-10-19,16:15:00,26.625,26.65,26.625,26.65,67,0
2017-10-19,16:25:00,26.695,26.865,26.695,26.82,1164,0
2017-10-19,16:30:00,26.86,26.95,26.86,26.94,356,0
