Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,09:15:00,3.894,3.894,3.894,3.894,2922,0
2017-09-06,09:20:00,3.894,3.899,3.894,3.899,134,0
2017-09-06,09:35:00,3.899,3.899,3.899,3.899,53,0
2017-09-06,09:50:00,3.915,3.915,3.915,3.915,411,0
2017-09-06,10:05:00,3.938,3.938,3.938,3.938,48,0
2017-09-06,10:20:00,3.939,3.939,3.939,3.939,50,0
2017-09-06,10:40:00,3.939,3.939,3.939,3.939,52,0
2017-09-06,10:50:00,3.929,3.929,3.929,3.929,52,0
2017-09-06,11:05:00,3.929,3.929,3.929,3.929,52,0
2017-09-06,11:20:00,3.929,3.929,3.929,3.929,52,0
2017-09-06,11:35:00,3.929,3.93,3.929,3.93,52,0
2017-09-06,11:45:00,3.87,3.87,3.87,3.87,300,0
2017-09-06,11:50:00,3.93,3.93,3.93,3.93,52,0
2017-09-06,12:05:00,3.93,3.93,3.93,3.93,52,0
2017-09-06,12:25:00,3.93,3.93,3.93,3.93,52,0
2017-09-06,12:35:00,3.93,3.93,3.93,3.93,52,0
2017-09-06,12:50:00,3.93,3.93,3.93,3.93,52,0
2017-09-06,13:05:00,3.93,3.94,3.93,3.94,952,0
2017-09-06,13:20:00,3.94,3.94,3.94,3.94,52,0
2017-09-06,13:35:00,3.94,3.94,3.94,3.94,53,0
2017-09-06,13:50:00,3.94,3.94,3.94,3.94,52,0
2017-09-06,14:05:00,3.94,3.94,3.94,3.94,53,0
2017-09-06,14:10:00,3.94,3.98,3.913,3.913,19071,0
2017-09-06,14:25:00,3.98,3.98,3.98,3.98,53,0
2017-09-06,14:35:00,3.98,4.01,3.98,4.01,2148,0
2017-09-06,14:40:00,4.02,4.02,4.01,4.01,3418,0
2017-09-06,14:55:00,4.019,4.019,4.019,4.019,35,0
2017-09-06,15:10:00,4.009,4.009,4.009,4.009,56,0
2017-09-06,15:25:00,3.99,3.99,3.99,3.99,57,0
2017-09-06,15:40:00,3.99,3.99,3.84,3.84,5051,0
2017-09-06,15:45:00,3.985,3.985,3.985,3.985,500,0
2017-09-06,15:50:00,3.978,3.978,3.978,3.978,39,0
2017-09-06,16:05:00,3.989,3.989,3.989,3.989,52,0
2017-09-06,16:20:00,3.895,3.958,3.851,3.958,531,0
2017-09-06,16:40:00,3.957,3.957,3.957,3.957,52,0
2017-09-06,16:50:00,3.957,3.957,3.957,3.957,57,0
2017-09-06,17:05:00,3.957,3.957,3.957,3.957,50,0
2017-09-06,17:25:00,3.957,3.957,3.957,3.957,52,0
2017-09-06,17:30:00,3.882,3.905,3.882,3.905,458,0
2017-09-07,09:05:00,3.95,3.95,3.95,3.95,1500,0
2017-09-07,09:10:00,3.95,3.95,3.95,3.95,73,0
2017-09-07,09:25:00,3.95,3.95,3.95,3.95,134,0
2017-09-07,09:40:00,3.95,3.95,3.95,3.95,60,0
2017-09-07,09:45:00,3.93,3.93,3.93,3.93,6,0
2017-09-07,09:50:00,3.95,3.95,3.95,3.95,58,0
2017-09-07,10:00:00,3.95,3.95,3.95,3.95,1,0
2017-09-07,10:05:00,3.95,3.95,3.95,3.95,60,0
2017-09-07,10:10:00,3.93,3.93,3.93,3.93,494,0
2017-09-07,10:15:00,3.949,3.95,3.949,3.95,1500,0
2017-09-07,10:25:00,3.95,3.95,3.95,3.95,53,0
2017-09-07,10:40:00,3.95,3.999,3.95,3.999,51,0
2017-09-07,10:50:00,3.959,3.96,3.959,3.96,950,0
2017-09-07,10:55:00,3.96,3.96,3.96,3.96,68,0
2017-09-07,11:05:00,3.96,3.96,3.96,3.96,59,0
2017-09-07,11:20:00,3.96,3.96,3.96,3.96,59,0
2017-09-07,11:40:00,3.96,3.96,3.96,3.96,59,0
2017-09-07,11:55:00,3.96,3.96,3.96,3.96,59,0
2017-09-07,12:05:00,3.959,3.959,3.959,3.959,59,0
2017-09-07,12:25:00,3.94,3.94,3.94,3.94,61,0
2017-09-07,12:40:00,3.94,3.94,3.94,3.94,59,0
2017-09-07,12:55:00,3.94,3.94,3.94,3.94,59,0
2017-09-07,13:10:00,3.94,3.94,3.94,3.94,59,0
2017-09-07,13:20:00,3.895,3.94,3.895,3.94,65,0
2017-09-07,13:40:00,3.94,3.94,3.94,3.94,59,0
2017-09-07,15:00:00,3.94,3.941,3.94,3.941,479,0
2017-09-07,15:20:00,3.94,3.94,3.94,3.94,3250,0
2017-09-07,16:05:00,3.91,3.91,3.91,3.91,605,0
2017-09-07,16:20:00,3.94,3.94,3.94,3.94,200,0
2017-09-07,16:40:00,3.94,3.998,3.94,3.94,5250,0
2017-09-07,16:45:00,3.94,3.998,3.94,3.998,2936,0
2017-09-07,16:50:00,3.94,3.94,3.94,3.94,1000,0
2017-09-07,16:55:00,3.94,3.945,3.94,3.945,610,0
2017-09-07,17:00:00,3.945,3.946,3.945,3.945,1267,0
2017-09-07,17:10:00,3.941,3.944,3.94,3.944,859,0
2017-09-07,17:15:00,3.93,3.93,3.93,3.93,1000,0
2017-09-07,17:20:00,3.945,4,3.945,4,9200,0
2017-09-07,17:25:00,3.999,3.999,3.999,3.999,53,0
2017-09-07,17:30:00,3.955,3.955,3.955,3.955,0,0
2017-09-08,09:05:00,3.99,3.99,3.99,3.99,485,0
2017-09-08,09:10:00,3.99,3.99,3.99,3.99,345,0
2017-09-08,09:20:00,3.96,3.96,3.96,3.96,466,0
2017-09-08,09:25:00,3.99,3.99,3.99,3.99,61,0
2017-09-08,09:30:00,3.97,3.97,3.97,3.97,470,0
2017-09-08,09:40:00,3.96,3.96,3.96,3.96,62,0
2017-09-08,09:55:00,3.96,3.96,3.96,3.96,63,0
2017-09-08,10:00:00,3.959,3.964,3.959,3.964,405,0
2017-09-08,10:10:00,3.989,3.989,3.989,3.989,60,0
2017-09-08,10:25:00,3.989,3.989,3.989,3.989,63,0
2017-09-08,10:35:00,3.989,3.989,3.989,3.989,62,0
2017-09-08,10:55:00,3.989,3.989,3.989,3.989,62,0
2017-09-08,11:05:00,3.989,3.989,3.989,3.989,62,0
2017-09-08,11:10:00,3.989,3.989,3.989,3.989,97,0
