Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-24,09:05:00,68.81,68.81,68.68,68.68,1652,0
2017-10-24,09:10:00,68.78,68.82,68.58,68.58,672,0
2017-10-24,09:15:00,68.62,68.8,68.57,68.79,2495,0
2017-10-24,09:20:00,68.8,68.8,68.8,68.8,258,0
2017-10-24,09:25:00,68.88,68.97,68.88,68.88,484,0
2017-10-24,09:30:00,68.97,68.98,68.86,68.98,250,0
2017-10-24,09:35:00,68.86,68.98,68.83,68.98,785,0
2017-10-24,09:40:00,68.91,68.92,68.91,68.92,108,0
2017-10-24,09:45:00,68.88,68.92,68.83,68.84,1155,0
2017-10-24,09:50:00,68.87,68.89,68.82,68.85,1455,0
2017-10-24,09:55:00,68.92,68.94,68.92,68.94,504,0
2017-10-24,10:00:00,68.95,68.95,68.86,68.86,481,0
2017-10-24,10:05:00,68.86,68.93,68.84,68.84,758,0
2017-10-24,10:10:00,68.83,68.9,68.74,68.9,1696,0
2017-10-24,10:20:00,68.84,68.84,68.84,68.84,110,0
2017-10-24,10:25:00,68.81,68.82,68.8,68.8,196,0
2017-10-24,10:35:00,68.84,68.85,68.84,68.85,333,0
2017-10-24,10:45:00,68.8,68.8,68.8,68.8,104,0
2017-10-24,11:00:00,68.81,68.81,68.74,68.8,445,0
2017-10-24,11:05:00,68.82,68.92,68.82,68.91,1119,0
2017-10-24,11:10:00,68.91,68.97,68.86,68.86,841,0
2017-10-24,11:15:00,68.84,68.84,68.8,68.8,560,0
2017-10-24,11:20:00,68.8,68.8,68.74,68.74,269,0
2017-10-24,11:30:00,68.73,68.73,68.64,68.64,315,0
2017-10-24,11:35:00,68.64,68.64,68.62,68.62,143,0
2017-10-24,11:40:00,68.62,68.62,68.6,68.6,427,0
2017-10-24,11:45:00,68.62,68.72,68.62,68.72,971,0
2017-10-24,11:50:00,68.68,68.73,68.6,68.73,715,0
2017-10-24,11:55:00,68.64,68.64,68.62,68.62,107,0
2017-10-24,12:00:00,68.63,68.67,68.59,68.6,720,0
2017-10-24,12:05:00,68.65,68.71,68.65,68.71,448,0
2017-10-24,12:15:00,68.65,68.65,68.62,68.62,851,0
2017-10-24,12:20:00,68.61,68.74,68.6,68.74,1739,0
2017-10-24,12:30:00,68.69,68.69,68.69,68.69,97,0
2017-10-24,12:40:00,68.75,68.75,68.75,68.75,29,0
2017-10-24,12:45:00,68.69,68.69,68.62,68.65,374,0
2017-10-24,13:00:00,68.65,68.68,68.63,68.63,648,0
2017-10-24,13:05:00,68.75,68.75,68.66,68.68,344,0
2017-10-24,13:10:00,68.61,68.61,68.61,68.61,66,0
2017-10-24,13:15:00,68.64,68.64,68.64,68.64,14,0
