Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-06-30,09:15:00,28.245,28.295,28.245,28.295,100,0
2017-06-30,09:20:00,28.045,28.045,28.045,28.045,17,0
2017-06-30,09:25:00,27.97,28,27.97,28,152,0
2017-06-30,09:30:00,28,28,27.961,27.961,33,0
2017-06-30,09:35:00,28,28.01,28,28.01,34,0
2017-06-30,09:40:00,28,28,28,28,31,0
2017-06-30,09:45:00,28,28,27.951,27.951,66,0
2017-06-30,09:50:00,27.951,27.956,27.951,27.956,43,0
2017-06-30,09:55:00,27.956,27.956,27.951,27.951,40,0
2017-06-30,10:00:00,27.951,27.951,27.951,27.951,17,0
2017-06-30,10:05:00,27.951,27.951,27.951,27.951,19,0
2017-06-30,10:10:00,27.951,27.951,27.951,27.951,29,0
2017-06-30,10:15:00,27.951,27.951,27.951,27.951,40,0
2017-06-30,10:20:00,27.951,27.951,27.951,27.951,39,0
2017-06-30,10:25:00,27.951,27.956,27.951,27.951,32,0
2017-06-30,10:30:00,27.951,27.951,27.951,27.951,43,0
2017-06-30,10:35:00,27.951,27.956,27.951,27.956,23,0
2017-06-30,10:40:00,27.956,27.956,27.956,27.956,128,0
2017-06-30,10:45:00,27.951,27.951,27.951,27.951,18,0
2017-06-30,10:50:00,27.956,27.956,27.951,27.951,24,0
2017-06-30,10:55:00,27.956,27.956,27.951,27.951,45,0
2017-06-30,11:00:00,27.956,27.956,27.956,27.956,1,0
2017-06-30,11:05:00,27.956,27.956,27.956,27.956,14,0
2017-06-30,11:10:00,27.956,27.956,27.951,27.951,23,0
2017-06-30,11:15:00,27.951,27.951,27.951,27.951,24,0
2017-06-30,11:20:00,27.951,27.951,27.951,27.951,7,0
2017-06-30,12:50:00,27.97,27.97,27.951,27.951,1503,0
2017-06-30,13:10:00,27.97,27.97,27.946,27.946,43,0
2017-06-30,13:15:00,27.946,27.946,27.946,27.946,5,0
2017-06-30,13:20:00,27.881,27.881,27.881,27.881,91,0
2017-06-30,13:35:00,27.881,27.881,27.881,27.881,18,0
2017-06-30,13:40:00,28.13,28.13,27.99,27.99,42,0
2017-06-30,13:45:00,27.806,27.806,27.801,27.801,311,0
2017-06-30,13:50:00,27.751,27.751,27.721,27.721,84,0
2017-06-30,13:55:00,27.721,27.721,27.721,27.721,65,0
2017-06-30,14:00:00,27.731,27.731,27.731,27.731,13,0
2017-06-30,14:05:00,27.731,27.751,27.731,27.751,63,0
2017-06-30,14:10:00,27.751,27.751,27.751,27.751,22,0
2017-06-30,14:20:00,27.761,27.761,27.761,27.761,17,0
2017-06-30,14:25:00,27.761,27.761,27.761,27.761,5,0
2017-06-30,14:30:00,27.766,27.766,27.761,27.761,8,0
2017-06-30,14:35:00,27.771,27.771,27.771,27.771,55,0
2017-06-30,14:40:00,27.771,27.771,27.771,27.771,61,0
2017-06-30,14:45:00,27.771,27.771,27.771,27.771,62,0
2017-06-30,14:50:00,27.771,27.776,27.771,27.776,32,0
2017-06-30,14:55:00,27.776,27.776,27.771,27.771,36,0
2017-06-30,15:00:00,27.771,27.771,27.771,27.771,44,0
2017-06-30,15:05:00,27.771,27.776,27.771,27.771,37,0
2017-06-30,15:10:00,27.771,27.771,27.771,27.771,42,0
2017-06-30,15:15:00,27.771,27.771,27.771,27.771,29,0
