Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-06,09:10:00,21.55,21.55,21.55,21.55,250,0
2017-10-06,09:45:00,21.69,21.69,21.69,21.69,24,0
2017-10-06,09:55:00,21.61,21.61,21.555,21.555,310,0
2017-10-06,10:00:00,21.54,21.54,21.49,21.49,421,0
2017-10-06,10:05:00,21.51,21.51,21.49,21.49,415,0
2017-10-06,10:10:00,21.49,21.49,21.49,21.49,180,0
2017-10-06,10:20:00,21.49,21.49,21.49,21.49,35,0
2017-10-06,10:25:00,21.49,21.49,21.4,21.4,598,0
2017-10-06,10:30:00,21.455,21.48,21.4,21.4,329,0
2017-10-06,10:40:00,21.4,21.4,21.4,21.4,35,0
2017-10-06,10:45:00,21.4,21.4,21.4,21.4,510,0
2017-10-06,10:50:00,21.4,21.4,21.115,21.135,1631,0
2017-10-06,10:55:00,21.145,21.145,21.14,21.14,895,0
2017-10-06,11:00:00,21.325,21.325,21.325,21.325,536,0
2017-10-06,11:05:00,21.325,21.325,21.145,21.145,810,0
2017-10-06,11:10:00,21.395,21.395,21.395,21.395,566,0
2017-10-06,11:30:00,21.34,21.34,21.34,21.34,30,0
2017-10-06,11:35:00,21.3,21.3,21.3,21.3,387,0
2017-10-06,11:40:00,21.3,21.3,21.3,21.3,865,0
2017-10-06,11:45:00,21.3,21.325,21.3,21.31,1182,0
2017-10-06,12:05:00,21.32,21.32,21.305,21.305,450,0
2017-10-06,12:35:00,21.4,21.4,21.4,21.4,188,0
2017-10-06,12:40:00,21.4,21.4,21.4,21.4,988,0
2017-10-06,12:45:00,21.34,21.34,21.34,21.34,52,0
2017-10-06,13:00:00,21.4,21.4,21.4,21.4,140,0
2017-10-06,13:05:00,21.435,21.49,21.435,21.49,200,0
2017-10-06,13:15:00,21.4,21.4,21.4,21.4,471,0
2017-10-06,13:20:00,21.395,21.395,21.3,21.3,1181,0
2017-10-06,13:25:00,21.4,21.4,21.215,21.215,196,0
2017-10-06,13:40:00,21.315,21.315,21.315,21.315,721,0
2017-10-06,13:45:00,21.295,21.295,21.295,21.295,29,0
2017-10-06,14:05:00,21.2,21.2,21.2,21.2,96,0
2017-10-06,15:10:00,21.195,21.22,21.195,21.22,190,0
2017-10-06,15:25:00,21.19,21.19,21.19,21.19,56,0
2017-10-06,15:40:00,21.19,21.19,21.1,21.1,99,0
2017-10-06,15:55:00,21.11,21.11,21.11,21.11,103,0
2017-10-06,16:45:00,21.06,21.06,21.06,21.06,95,0
2017-10-06,16:50:00,21.11,21.11,21.11,21.11,90,0
2017-10-06,16:55:00,21.055,21.055,21.055,21.055,56,0
2017-10-06,17:05:00,21.055,21.055,21.055,21.055,27,0
2017-10-06,17:25:00,21.11,21.11,21.11,21.11,373,0
