Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,48.495,48.495,48.345,48.345,1179,0
2017-10-26,09:10:00,48.38,48.4,48.34,48.4,2347,0
2017-10-26,09:15:00,48.415,48.43,48.375,48.385,1635,0
2017-10-26,09:20:00,48.38,48.41,48.365,48.37,2159,0
2017-10-26,09:25:00,48.365,48.365,48.275,48.34,3075,0
2017-10-26,09:30:00,48.315,48.36,48.315,48.345,1180,0
2017-10-26,09:35:00,48.36,48.42,48.36,48.42,2217,0
2017-10-26,09:40:00,48.41,48.43,48.395,48.43,1606,0
2017-10-26,09:45:00,48.44,48.44,48.4,48.4,1611,0
2017-10-26,09:50:00,48.39,48.4,48.38,48.38,312,0
2017-10-26,09:55:00,48.38,48.39,48.375,48.39,540,0
2017-10-26,10:00:00,48.375,48.4,48.365,48.395,911,0
2017-10-26,10:05:00,48.4,48.415,48.39,48.415,1351,0
2017-10-26,10:10:00,48.405,48.415,48.36,48.36,841,0
2017-10-26,10:15:00,48.385,48.425,48.385,48.405,1017,0
2017-10-26,10:20:00,48.41,48.42,48.385,48.385,385,0
2017-10-26,10:25:00,48.42,48.425,48.39,48.39,882,0
2017-10-26,10:30:00,48.4,48.405,48.38,48.38,126,0
2017-10-26,10:35:00,48.395,48.44,48.395,48.4,1626,0
2017-10-26,10:40:00,48.395,48.415,48.38,48.4,717,0
2017-10-26,10:45:00,48.4,48.415,48.37,48.39,1253,0
2017-10-26,10:50:00,48.395,48.415,48.395,48.415,1219,0
2017-10-26,10:55:00,48.415,48.415,48.395,48.395,210,0
2017-10-26,11:00:00,48.405,48.41,48.375,48.38,718,0
2017-10-26,11:05:00,48.385,48.39,48.385,48.385,447,0
2017-10-26,11:10:00,48.395,48.395,48.37,48.375,423,0
2017-10-26,11:15:00,48.35,48.355,48.35,48.35,793,0
2017-10-26,11:20:00,48.345,48.355,48.33,48.35,615,0
2017-10-26,11:25:00,48.35,48.35,48.33,48.33,154,0
2017-10-26,11:30:00,48.335,48.345,48.33,48.34,853,0
2017-10-26,11:35:00,48.335,48.34,48.335,48.34,411,0
2017-10-26,11:40:00,48.33,48.33,48.325,48.325,440,0
2017-10-26,11:45:00,48.315,48.335,48.315,48.315,471,0
2017-10-26,11:50:00,48.33,48.33,48.32,48.33,733,0
2017-10-26,11:55:00,48.33,48.35,48.33,48.34,520,0
2017-10-26,12:00:00,48.355,48.36,48.35,48.36,436,0
2017-10-26,12:05:00,48.37,48.37,48.355,48.36,459,0
2017-10-26,12:10:00,48.355,48.355,48.35,48.35,32,0
2017-10-26,12:15:00,48.355,48.385,48.355,48.375,938,0
2017-10-26,12:20:00,48.375,48.375,48.375,48.375,16,0
2017-10-26,12:25:00,48.375,48.39,48.37,48.39,576,0
2017-10-26,12:30:00,48.395,48.395,48.395,48.395,433,0
2017-10-26,12:35:00,48.395,48.4,48.395,48.395,417,0
2017-10-26,12:40:00,48.385,48.39,48.385,48.39,201,0
2017-10-26,12:50:00,48.385,48.385,48.365,48.365,437,0
2017-10-26,12:55:00,48.37,48.37,48.37,48.37,112,0
2017-10-26,13:00:00,48.365,48.375,48.365,48.375,227,0
2017-10-26,13:05:00,48.37,48.41,48.37,48.41,959,0
2017-10-26,13:10:00,48.41,48.425,48.385,48.385,1000,0
2017-10-26,13:15:00,48.395,48.395,48.38,48.39,294,0
2017-10-26,13:20:00,48.365,48.375,48.36,48.36,452,0
2017-10-26,13:25:00,48.355,48.36,48.355,48.36,419,0
2017-10-26,13:30:00,48.345,48.345,48.33,48.33,191,0
2017-10-26,13:35:00,48.325,48.325,48.325,48.325,213,0
2017-10-26,13:45:00,48.34,48.34,48.26,48.27,849,0
2017-10-26,13:50:00,48.25,48.405,48.25,48.385,3727,0
2017-10-26,13:55:00,48.375,48.375,48.33,48.355,455,0
2017-10-26,14:00:00,48.345,48.355,48.345,48.355,158,0
2017-10-26,14:05:00,48.375,48.43,48.365,48.4,3637,0
2017-10-26,14:10:00,48.405,48.425,48.395,48.41,1337,0
2017-10-26,14:15:00,48.39,48.43,48.39,48.43,368,0
2017-10-26,14:20:00,48.425,48.425,48.385,48.41,2636,0
2017-10-26,14:25:00,48.4,48.405,48.375,48.385,459,0
2017-10-26,14:30:00,48.395,48.395,48.32,48.32,269,0
2017-10-26,14:35:00,48.35,48.36,48.34,48.36,481,0
2017-10-26,14:40:00,48.365,48.365,48.325,48.335,641,0
