Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-18,09:05:00,15.01,15.01,15.01,15.01,100,0
2017-08-18,09:15:00,14.79,14.79,14.79,14.79,70,0
2017-08-18,10:00:00,14.83,14.83,14.83,14.83,48,0
2017-08-18,10:15:00,14.92,14.925,14.92,14.925,202,0
2017-08-18,10:30:00,14.75,14.75,14.75,14.75,80,0
2017-08-18,10:50:00,14.62,14.62,14.615,14.615,120,0
2017-08-18,13:45:00,14.78,14.78,14.78,14.78,101,0
2017-08-18,13:50:00,14.78,14.78,14.78,14.78,49,0
2017-08-18,15:00:00,14.93,14.93,14.93,14.93,461,0
2017-08-18,16:25:00,14.66,14.66,14.615,14.615,110,0
2017-08-18,17:10:00,14.8,14.8,14.8,14.8,100,0
2017-08-18,17:20:00,14.8,14.8,14.61,14.61,1400,0
2017-08-18,17:30:00,14.36,14.36,14.36,14.36,0,0
2017-08-21,11:45:00,14.275,14.275,14.275,14.275,100,0
2017-08-21,12:30:00,14.3,14.3,14.3,14.3,59,0
2017-08-21,12:50:00,14.305,14.305,14.215,14.265,500,0
2017-08-21,14:15:00,14.185,14.185,14.185,14.185,70,0
2017-08-21,15:40:00,14.205,14.205,14.205,14.205,100,0
2017-08-21,17:25:00,14.39,14.39,14.39,14.39,1100,0
2017-08-21,17:30:00,14.205,14.205,14.205,14.205,5,0
2017-08-22,15:30:00,14.525,14.525,14.525,14.525,25,0
2017-08-22,15:45:00,14.58,14.58,14.58,14.58,350,0
2017-08-22,17:30:00,14.43,14.43,14.43,14.43,0,0
2017-08-23,09:05:00,14.67,14.67,14.67,14.67,300,0
2017-08-23,09:45:00,14.55,14.55,14.46,14.46,350,0
2017-08-23,11:40:00,14.655,14.655,14.655,14.655,246,0
2017-08-23,13:15:00,14.645,14.645,14.645,14.645,125,0
2017-08-23,17:30:00,14.655,14.655,14.655,14.655,0,0
2017-08-24,14:50:00,14.685,14.685,14.685,14.685,50,0
2017-08-24,17:30:00,14.54,14.54,14.54,14.54,0,0
2017-08-25,13:10:00,14.78,14.78,14.78,14.78,10,0
2017-08-25,13:35:00,14.655,14.655,14.65,14.65,1400,0
2017-08-25,13:40:00,14.655,14.655,14.655,14.655,48,0
2017-08-25,15:35:00,14.925,14.925,14.925,14.925,100,0
2017-08-25,15:55:00,14.905,14.905,14.905,14.905,14,0
2017-08-25,17:30:00,14.69,14.69,14.69,14.69,54,0
2017-08-28,15:50:00,14.85,14.89,14.85,14.89,750,0
2017-08-28,16:00:00,14.89,14.89,14.89,14.89,500,0
2017-08-28,16:05:00,14.89,14.995,14.89,14.995,350,0
2017-08-28,17:30:00,14.9,14.9,14.9,14.9,275,0
2017-08-29,09:05:00,14.725,14.73,14.725,14.73,245,0
2017-08-29,09:10:00,14.59,14.59,14.285,14.285,609,0
2017-08-29,11:50:00,14.45,14.45,14.45,14.45,275,0
2017-08-29,12:10:00,14.325,14.325,14.325,14.325,139,0
2017-08-29,13:20:00,14.32,14.32,14.32,14.32,660,0
2017-08-29,13:25:00,14.3,14.3,14.25,14.25,1021,0
2017-08-29,14:50:00,14.255,14.255,14.255,14.255,100,0
2017-08-29,17:30:00,14.3,14.3,14.3,14.3,299,0
2017-08-30,10:45:00,14.555,14.555,14.555,14.555,30,0
2017-08-30,13:40:00,14.555,14.555,14.555,14.555,700,0
2017-08-30,13:45:00,14.555,14.56,14.555,14.56,500,0
2017-08-30,15:10:00,14.305,14.305,14.305,14.305,1222,0
2017-08-30,15:15:00,14.5,14.5,14.45,14.45,650,0
2017-08-30,16:10:00,14.495,14.5,14.495,14.5,558,0
2017-08-30,17:30:00,14.645,14.65,14.645,14.65,364,0
2017-08-31,10:15:00,14.605,14.605,14.605,14.605,34,0
2017-08-31,12:10:00,14.705,14.705,14.705,14.705,200,0
2017-08-31,14:25:00,14.42,14.42,14.42,14.42,100,0
2017-08-31,14:40:00,14.7,14.7,14.7,14.7,45,0
2017-08-31,16:00:00,14.445,14.445,14.325,14.325,1204,0
2017-08-31,16:25:00,14.335,14.335,14.335,14.335,400,0
2017-08-31,16:30:00,14.325,14.325,14.325,14.325,298,0
2017-08-31,17:05:00,14.33,14.33,14.33,14.33,7,0
2017-08-31,17:20:00,14.445,14.445,14.445,14.445,77,0
2017-08-31,17:30:00,14.33,14.39,14.33,14.39,62,0
