Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-18,09:05:00,189.85,189.85,189.85,189.85,10,0
2017-10-18,09:10:00,187.95,187.95,187.95,187.95,30,0
2017-10-18,09:20:00,187.7,188.3,187.7,188.3,16,0
2017-10-18,09:45:00,189,189,188.85,188.85,10,0
2017-10-18,09:50:00,189.45,189.5,188.45,188.45,70,0
2017-10-18,10:05:00,189.1,189.1,189.1,189.1,7,0
2017-10-18,10:20:00,189.1,189.1,189.1,189.1,15,0
2017-10-18,10:25:00,189.6,189.6,189.6,189.6,4,0
2017-10-18,10:40:00,189.75,189.85,189.75,189.85,12,0
2017-10-18,10:50:00,189.85,189.85,189.85,189.85,5,0
2017-10-18,10:55:00,189.65,189.75,189,189.75,67,0
2017-10-18,11:05:00,189.65,189.9,189.65,189.9,54,0
2017-10-18,11:10:00,189.65,189.65,189,189,25,0
2017-10-18,11:20:00,189.4,189.4,189.4,189.4,4,0
2017-10-18,11:35:00,189.65,189.65,189.65,189.65,1,0
2017-10-18,11:45:00,189.65,189.65,189.65,189.65,4,0
2017-10-18,11:55:00,189.65,189.65,189.65,189.65,5,0
2017-10-18,12:00:00,189.65,189.9,189.65,189.9,10,0
2017-10-18,12:25:00,189.9,189.9,188.5,188.5,213,0
2017-10-18,12:50:00,188.75,188.75,188.75,188.75,30,0
2017-10-18,13:05:00,188.55,188.55,188.55,188.55,5,0
2017-10-18,13:10:00,188.7,188.7,188.7,188.7,2,0
2017-10-18,13:20:00,188.85,188.85,188.35,188.35,29,0
2017-10-18,13:30:00,188.8,188.8,188.8,188.8,3,0
2017-10-18,13:40:00,188.4,188.4,188.4,188.4,2,0
2017-10-18,13:45:00,189,189,189,189,5,0
2017-10-18,14:05:00,188.85,188.85,188.85,188.85,32,0
2017-10-18,14:10:00,188.6,188.6,188.5,188.5,23,0
2017-10-18,14:15:00,188.5,188.5,187.05,187.05,149,0
2017-10-18,14:35:00,187.1,187.1,187.1,187.1,18,0
2017-10-18,14:40:00,187.9,187.9,187.9,187.9,4,0
2017-10-18,14:45:00,187.9,188.3,187.9,188.3,41,0
2017-10-18,14:50:00,188.3,188.8,188.3,188.7,31,0
2017-10-18,15:00:00,188.4,188.4,188.4,188.4,58,0
2017-10-18,15:05:00,188.4,188.4,187.9,187.9,194,0
2017-10-18,15:10:00,187.85,187.85,187.65,187.65,37,0
2017-10-18,15:15:00,187.65,187.65,187.65,187.65,2,0
2017-10-18,15:25:00,188.35,188.35,188.35,188.35,30,0
2017-10-18,15:30:00,188.4,188.4,188.4,188.4,9,0
2017-10-18,15:35:00,188.4,188.4,188.4,188.4,1,0
2017-10-18,15:40:00,188.25,188.4,188.25,188.4,38,0
2017-10-18,15:55:00,188.25,188.25,188.25,188.25,8,0
2017-10-18,16:00:00,188.4,188.6,188.4,188.4,118,0
2017-10-18,16:05:00,188.55,188.8,188,188,192,0
2017-10-18,16:10:00,188.5,188.5,188.5,188.5,6,0
2017-10-18,16:25:00,188.55,188.55,187.75,187.75,134,0
2017-10-18,16:35:00,187.75,187.75,187.5,187.5,69,0
2017-10-18,16:50:00,187.2,187.5,187.2,187.5,80,0
2017-10-18,16:55:00,187.2,187.2,187.2,187.2,106,0
2017-10-18,17:05:00,187.15,187.2,187.15,187.2,51,0
2017-10-18,17:10:00,187.2,187.2,187,187,43,0
2017-10-18,17:15:00,187.4,187.4,187.4,187.4,14,0
2017-10-18,17:20:00,187.25,187.4,187.2,187.2,48,0
2017-10-18,17:25:00,187.4,188.1,186.75,186.95,421,0
2017-10-18,17:30:00,186.75,186.9,186.1,186.15,214,0
2017-10-19,09:10:00,186,186,186,186,130,0
2017-10-19,09:40:00,185.55,185.55,185.55,185.55,13,0
2017-10-19,09:50:00,185.55,185.55,184.65,184.9,213,0
2017-10-19,09:55:00,184.95,185.35,184.95,185.35,12,0
2017-10-19,10:05:00,184.4,184.4,184,184.05,50,0
2017-10-19,10:25:00,184.15,184.7,184.15,184.35,146,0
2017-10-19,10:30:00,185,185.95,184.3,184.9,548,0
2017-10-19,10:35:00,185,185,185,185,7,0
2017-10-19,10:55:00,184.35,185,184.35,185,10,0
2017-10-19,11:00:00,184.35,184.35,183,183,486,0
2017-10-19,11:05:00,183.75,184,182.8,182.8,503,0
2017-10-19,11:25:00,182.9,182.9,182.35,182.35,117,0
2017-10-19,11:55:00,182.3,182.3,182.3,182.3,25,0
2017-10-19,12:00:00,183,183.2,182.5,182.55,136,0
2017-10-19,12:20:00,183.15,183.15,183.15,183.15,4,0
2017-10-19,12:25:00,182.6,182.6,182.6,182.6,9,0
2017-10-19,12:30:00,183.2,183.2,183.2,183.2,1,0
2017-10-19,12:35:00,182.9,182.9,182.9,182.9,28,0
2017-10-19,12:40:00,182.65,182.65,182.55,182.65,31,0
2017-10-19,12:45:00,182.75,182.75,182.4,182.5,129,0
2017-10-19,12:50:00,182.7,182.7,182.4,182.4,59,0
2017-10-19,12:55:00,182.4,182.4,182.4,182.4,16,0
2017-10-19,13:00:00,182.75,182.75,182.75,182.75,40,0
2017-10-19,13:05:00,182.45,182.45,182.45,182.45,12,0
2017-10-19,13:10:00,182.75,182.75,182.3,182.3,21,0
2017-10-19,13:15:00,182.45,182.45,182.45,182.45,1,0
2017-10-19,13:20:00,182.65,182.65,182.65,182.65,18,0
2017-10-19,13:25:00,182.7,182.7,182.35,182.35,15,0
2017-10-19,13:30:00,182.45,182.45,182.45,182.45,6,0
2017-10-19,13:40:00,182.5,182.5,182.5,182.5,8,0
2017-10-19,13:45:00,182.25,182.25,181.1,181.15,846,0
2017-10-19,13:50:00,181.1,181.1,174.2,174.2,1251,0
2017-10-19,13:55:00,178.15,178.45,170.6,174.6,6587,0
2017-10-19,14:00:00,175.1,175.1,175.1,175.1,12,0
2017-10-19,14:05:00,174.6,174.6,173.2,173.95,172,0
2017-10-19,14:10:00,174,174.45,173.9,174.45,68,0
2017-10-19,14:15:00,173.9,174.35,173.8,174.35,57,0
2017-10-19,14:20:00,173.65,173.65,173.65,173.65,8,0
2017-10-19,14:25:00,173.65,173.65,171.2,172.55,569,0
2017-10-19,14:30:00,171.7,172.6,171.7,172.6,86,0
2017-10-19,14:35:00,171.85,172.6,171.85,172.6,22,0
2017-10-19,14:40:00,172,172.7,171.7,172.7,238,0
2017-10-19,14:45:00,172.95,174.5,172.95,173.45,334,0
2017-10-19,14:50:00,174.45,174.45,173.55,173.55,45,0
2017-10-19,15:05:00,174.35,175.4,174.35,175.4,58,0
2017-10-19,15:10:00,175.4,175.45,175.4,175.45,50,0
2017-10-19,15:15:00,175.45,175.5,175.45,175.5,178,0
2017-10-19,15:30:00,175.1,175.65,175.05,175.65,98,0
