Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-07,17:30:00,0.028,0.028,0.028,0.028,10,0
2015-04-08,17:00:00,0.028,0.028,0.028,0.028,1000,0
2015-04-08,17:05:00,0.028,0.028,0.028,0.028,1000,0
2015-04-10,11:40:00,0.028,0.028,0.028,0.028,1,0
2015-04-10,14:35:00,0.028,0.028,0.028,0.028,350,0
2015-04-10,16:45:00,0.033,0.033,0.033,0.033,11643,0
2015-04-13,15:10:00,0.028,0.028,0.028,0.028,10,0
2015-04-14,10:25:00,0.028,0.028,0.028,0.028,50,0
2015-04-14,10:30:00,0.028,0.028,0.028,0.028,50,0
2015-04-15,17:30:00,0.028,0.028,0.028,0.028,400,0
2015-04-16,09:05:00,0.028,0.028,0.028,0.028,4080,0
2015-04-17,11:10:00,0.031,0.031,0.031,0.031,3,0
2015-04-17,17:05:00,0.03,0.03,0.03,0.03,20003,0
2015-04-17,17:10:00,0.03,0.03,0.03,0.03,20000,0
2015-04-21,16:15:00,0.029,0.029,0.029,0.029,60,0
2015-04-21,16:55:00,0.032,0.032,0.032,0.032,20060,0
2015-04-22,15:55:00,0.03,0.03,0.03,0.03,6,0
2015-04-23,12:30:00,0.029,0.029,0.029,0.029,3,0
2015-04-23,12:35:00,0.029,0.029,0.029,0.029,3,0
2015-04-24,10:20:00,0.029,0.029,0.029,0.029,60,0
2015-04-24,16:50:00,0.031,0.031,0.031,0.031,66,0
2015-04-27,09:20:00,0.033,0.033,0.033,0.033,19354,0
2015-04-27,17:30:00,0.034,0.034,0.034,0.034,39398,0
2015-04-28,12:15:00,0.031,0.031,0.031,0.031,200,0
2015-04-28,12:20:00,0.031,0.031,0.031,0.031,200,0
2015-04-30,14:50:00,0.031,0.031,0.031,0.031,12194,0
2015-05-04,09:05:00,0.034,0.034,0.034,0.034,5000,0
2015-05-04,13:05:00,0.031,0.031,0.031,0.031,5300,0
2015-05-08,13:15:00,0.031,0.031,0.031,0.031,10148,0
2015-05-14,18:05:00,0.031,0.031,0.031,0.031,14000,0
2015-05-19,10:10:00,0.031,0.031,0.031,0.031,10000,0
2015-05-19,16:10:00,0.03,0.03,0.03,0.03,100000,0
2015-05-19,16:55:00,0.031,0.031,0.03,0.03,249760,0
2015-05-20,09:05:00,0.028,0.028,0.028,0.028,100,0
2015-05-20,10:30:00,0.029,0.029,0.029,0.029,4100,0
