Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-17,17:20:00,0.11,0.11,0.11,0.11,13000,0
2015-04-17,17:25:00,0.11,0.11,0.11,0.11,13000,0
2015-04-22,13:15:00,0.134,0.135,0.134,0.135,6823,0
2015-04-22,13:20:00,0.135,0.135,0.135,0.135,4548,0
2015-04-22,14:05:00,0.136,0.138,0.136,0.138,3157,0
2015-04-22,14:55:00,0.137,0.137,0.137,0.137,7371,0
2015-04-22,15:00:00,0.135,0.135,0.135,0.135,4149,0
2015-04-22,17:30:00,0.14,0.153,0.14,0.153,46048,0
2015-04-23,09:05:00,0.152,0.154,0.152,0.154,12929,0
2015-04-23,09:25:00,0.165,0.165,0.165,0.165,1000,0
2015-04-23,10:40:00,0.166,0.166,0.166,0.166,3000,0
2015-04-23,10:50:00,0.176,0.176,0.176,0.176,2500,0
2015-04-23,14:25:00,0.156,0.177,0.156,0.177,22629,0
2015-04-24,09:05:00,0.179,0.179,0.179,0.179,3000,0
2015-04-24,09:20:00,0.182,0.182,0.182,0.182,600,0
2015-04-24,09:35:00,0.18,0.18,0.18,0.18,1000,0
2015-04-24,10:00:00,0.18,0.18,0.18,0.18,10600,0
2015-04-27,09:05:00,0.171,0.193,0.171,0.193,7000,0
2015-04-27,09:15:00,0.195,0.195,0.195,0.195,10000,0
2015-04-27,09:25:00,0.194,0.194,0.194,0.194,4871,0
2015-04-27,09:40:00,0.19,0.23,0.19,0.23,11000,0
2015-04-27,09:45:00,0.261,0.261,0.261,0.261,6500,0
2015-04-27,09:50:00,0.2,0.2,0.2,0.2,2500,0
2015-04-27,09:55:00,0.233,0.233,0.233,0.233,2133,0
2015-04-27,10:25:00,0.233,0.233,0.233,0.233,1000,0
2015-04-27,10:30:00,0.234,0.234,0.234,0.234,2500,0
2015-04-27,14:35:00,0.201,0.201,0.201,0.201,1000,0
2015-04-27,14:40:00,0.234,0.234,0.234,0.234,1000,0
2015-04-27,14:55:00,0.201,0.236,0.201,0.236,14000,0
