Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-13,09:05:00,32.925,32.925,32.925,32.925,506,0
2017-10-13,09:30:00,32.765,32.85,32.765,32.85,1371,0
2017-10-13,09:55:00,32.795,32.795,32.795,32.795,184,0
2017-10-13,10:00:00,32.785,32.785,32.71,32.715,2176,0
2017-10-13,10:20:00,32.765,32.765,32.7,32.75,1707,0
2017-10-13,10:25:00,32.81,32.81,32.81,32.81,183,0
2017-10-13,10:30:00,32.75,32.76,32.75,32.76,40,0
2017-10-13,10:35:00,32.82,32.855,32.82,32.855,2525,0
2017-10-13,10:40:00,32.805,32.835,32.705,32.82,1599,0
2017-10-13,10:55:00,32.75,32.75,32.75,32.75,10,0
2017-10-13,11:00:00,32.825,32.83,32.82,32.82,2969,0
2017-10-13,11:05:00,32.82,32.82,32.82,32.82,185,0
2017-10-13,11:10:00,32.82,32.83,32.815,32.82,1943,0
2017-10-13,11:15:00,32.81,32.82,32.8,32.8,83,0
2017-10-13,11:30:00,32.755,32.755,32.755,32.755,67,0
2017-10-13,12:00:00,32.82,32.82,32.82,32.82,200,0
2017-10-13,12:05:00,32.82,32.82,32.79,32.79,994,0
2017-10-13,12:35:00,32.79,32.79,32.785,32.785,57,0
2017-10-13,12:45:00,32.78,32.78,32.78,32.78,34,0
2017-10-13,12:55:00,32.785,32.785,32.785,32.785,19,0
2017-10-13,13:00:00,32.82,32.82,32.82,32.82,3,0
2017-10-13,13:05:00,32.785,32.785,32.785,32.785,22,0
2017-10-13,13:10:00,32.82,32.82,32.82,32.82,164,0
2017-10-13,13:20:00,32.82,32.82,32.785,32.785,602,0
2017-10-13,13:25:00,32.785,32.785,32.78,32.78,427,0
2017-10-13,13:30:00,32.77,32.77,32.77,32.77,308,0
2017-10-13,13:40:00,32.775,32.82,32.77,32.77,202,0
2017-10-13,14:20:00,32.77,32.8,32.77,32.8,110,0
2017-10-13,14:30:00,32.8,32.8,32.8,32.8,10,0
2017-10-13,14:35:00,32.76,32.76,32.745,32.745,377,0
2017-10-13,14:40:00,32.735,32.735,32.735,32.735,10,0
2017-10-13,14:50:00,32.73,32.73,32.7,32.7,364,0
2017-10-13,14:55:00,32.7,32.7,32.7,32.7,25,0
2017-10-13,15:05:00,32.7,32.705,32.7,32.7,2039,0
2017-10-13,15:10:00,32.7,32.7,32.7,32.7,1685,0
2017-10-13,15:15:00,32.71,32.71,32.7,32.7,2000,0
2017-10-13,15:20:00,32.7,32.75,32.7,32.75,2126,0
2017-10-13,15:30:00,32.745,32.745,32.745,32.745,4,0
2017-10-13,15:35:00,32.74,32.74,32.71,32.74,277,0
2017-10-13,15:40:00,32.705,32.74,32.705,32.74,237,0
2017-10-13,15:50:00,32.74,32.74,32.74,32.74,156,0
2017-10-13,15:55:00,32.745,32.745,32.745,32.745,100,0
2017-10-13,16:05:00,32.75,32.75,32.75,32.75,595,0
2017-10-13,16:10:00,32.735,32.75,32.735,32.75,674,0
2017-10-13,16:15:00,32.75,32.75,32.75,32.75,127,0
2017-10-13,16:20:00,32.75,32.75,32.75,32.75,330,0
2017-10-13,16:30:00,32.75,32.75,32.75,32.75,82,0
2017-10-13,16:35:00,32.75,32.75,32.75,32.75,632,0
2017-10-13,16:45:00,32.75,32.75,32.73,32.745,967,0
2017-10-13,17:00:00,32.745,32.75,32.745,32.75,629,0
2017-10-13,17:05:00,32.75,32.75,32.75,32.75,882,0
2017-10-13,17:10:00,32.75,32.75,32.725,32.725,589,0
2017-10-13,17:15:00,32.73,32.73,32.73,32.73,160,0
2017-10-13,17:20:00,32.73,32.73,32.7,32.7,616,0
2017-10-13,17:25:00,32.7,32.705,32.7,32.705,180,0
2017-10-13,17:30:00,32.725,32.725,32.7,32.72,9353,0
2017-10-16,09:05:00,32.84,32.885,32.82,32.82,849,0
2017-10-16,09:20:00,32.77,32.77,32.77,32.77,23,0
2017-10-16,09:25:00,32.785,32.785,32.785,32.785,23,0
2017-10-16,10:20:00,32.775,32.775,32.77,32.77,660,0
2017-10-16,10:55:00,32.83,32.83,32.83,32.83,431,0
2017-10-16,11:00:00,32.83,32.83,32.83,32.83,69,0
2017-10-16,11:10:00,32.78,32.78,32.78,32.78,63,0
2017-10-16,11:15:00,32.815,32.83,32.815,32.83,170,0
2017-10-16,11:20:00,32.82,32.82,32.82,32.82,123,0
2017-10-16,11:35:00,32.775,32.775,32.75,32.75,1424,0
2017-10-16,11:40:00,32.77,32.77,32.7,32.7,215,0
2017-10-16,11:55:00,32.71,32.71,32.7,32.7,100,0
2017-10-16,12:05:00,32.7,32.7,32.585,32.64,1724,0
2017-10-16,12:10:00,32.635,32.635,32.535,32.535,688,0
2017-10-16,12:35:00,32.645,32.645,32.555,32.555,137,0
2017-10-16,12:40:00,32.56,32.56,32.56,32.56,38,0
2017-10-16,12:55:00,32.585,32.585,32.435,32.435,1330,0
2017-10-16,13:00:00,32.46,32.53,32.46,32.53,92,0
2017-10-16,13:05:00,32.535,32.535,32.535,32.535,20,0
2017-10-16,13:20:00,32.41,32.41,32.41,32.41,17,0
2017-10-16,13:35:00,32.53,32.53,32.53,32.53,15,0
2017-10-16,14:05:00,32.59,32.605,32.59,32.605,103,0
2017-10-16,14:25:00,32.64,32.64,32.64,32.64,219,0
2017-10-16,14:45:00,32.64,32.64,32.64,32.64,384,0
2017-10-16,14:50:00,32.63,32.64,32.63,32.63,418,0
2017-10-16,14:55:00,32.64,32.65,32.64,32.65,762,0
2017-10-16,15:00:00,32.65,32.65,32.65,32.65,81,0
2017-10-16,15:05:00,32.64,32.64,32.615,32.615,523,0
2017-10-16,15:30:00,32.6,32.6,32.59,32.59,313,0
2017-10-16,15:35:00,32.575,32.575,32.575,32.575,220,0
2017-10-16,15:50:00,32.6,32.645,32.6,32.645,631,0
2017-10-16,16:15:00,32.64,32.64,32.64,32.64,347,0
2017-10-16,16:25:00,32.615,32.615,32.6,32.6,263,0
2017-10-16,16:30:00,32.64,32.64,32.6,32.6,458,0
2017-10-16,16:40:00,32.6,32.6,32.6,32.6,197,0
2017-10-16,16:45:00,32.58,32.58,32.535,32.54,402,0
2017-10-16,16:50:00,32.58,32.58,32.58,32.58,25,0
2017-10-16,16:55:00,32.59,32.59,32.55,32.55,420,0
2017-10-16,17:00:00,32.595,32.595,32.595,32.595,32,0
2017-10-16,17:05:00,32.595,32.61,32.595,32.61,261,0
2017-10-16,17:10:00,32.555,32.555,32.53,32.55,915,0
2017-10-16,17:20:00,32.55,32.55,32.55,32.55,7,0
2017-10-16,17:25:00,32.535,32.535,32.535,32.535,1,0
2017-10-16,17:30:00,32.575,32.6,32.495,32.495,1918,0
2017-10-17,09:05:00,32.45,32.45,32.45,32.45,153,0
2017-10-17,09:30:00,32.46,32.46,32.46,32.46,16,0
2017-10-17,09:35:00,32.485,32.485,32.485,32.485,40,0
2017-10-17,09:40:00,32.485,32.54,32.485,32.54,1545,0
2017-10-17,10:05:00,32.545,32.6,32.545,32.6,570,0
2017-10-17,10:20:00,32.62,32.62,32.62,32.62,35,0
2017-10-17,10:35:00,32.635,32.635,32.635,32.635,89,0
2017-10-17,10:50:00,32.635,32.645,32.635,32.645,22,0
2017-10-17,11:00:00,32.63,32.65,32.63,32.65,257,0
2017-10-17,11:40:00,32.65,32.74,32.65,32.74,1275,0
2017-10-17,11:45:00,32.745,32.85,32.745,32.78,1380,0
