Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-18,09:05:00,6.37,6.37,6.37,6.37,17,0
2017-10-18,09:10:00,6.366,6.366,6.366,6.366,83,0
2017-10-18,09:35:00,6.369,6.369,6.361,6.361,237,0
2017-10-18,09:40:00,6.365,6.365,6.365,6.365,253,0
2017-10-18,09:45:00,6.357,6.357,6.357,6.357,86,0
2017-10-18,09:50:00,6.357,6.357,6.357,6.357,85,0
2017-10-18,09:55:00,6.369,6.369,6.369,6.369,161,0
2017-10-18,10:00:00,6.369,6.369,6.368,6.368,422,0
2017-10-18,10:30:00,6.368,6.38,6.368,6.38,4062,0
2017-10-18,10:40:00,6.37,6.37,6.37,6.37,220,0
2017-10-18,10:45:00,6.37,6.37,6.37,6.37,1386,0
2017-10-18,10:50:00,6.37,6.37,6.37,6.37,85,0
2017-10-18,10:55:00,6.371,6.38,6.371,6.38,5250,0
2017-10-18,11:00:00,6.375,6.375,6.375,6.375,176,0
2017-10-18,11:05:00,6.38,6.38,6.38,6.38,1696,0
2017-10-18,11:15:00,6.389,6.389,6.38,6.38,2841,0
2017-10-18,11:25:00,6.378,6.378,6.378,6.378,93,0
2017-10-18,11:45:00,6.385,6.386,6.385,6.386,4643,0
2017-10-18,11:50:00,6.385,6.385,6.385,6.385,1681,0
2017-10-18,12:00:00,6.389,6.389,6.389,6.389,500,0
2017-10-18,12:05:00,6.381,6.386,6.379,6.382,3350,0
2017-10-18,12:25:00,6.385,6.395,6.385,6.395,6095,0
2017-10-18,12:35:00,6.395,6.395,6.384,6.384,933,0
2017-10-18,12:50:00,6.392,6.392,6.392,6.392,900,0
2017-10-18,12:55:00,6.392,6.392,6.392,6.392,98,0
2017-10-18,13:00:00,6.394,6.394,6.394,6.394,94,0
2017-10-18,13:10:00,6.387,6.387,6.379,6.379,907,0
2017-10-18,13:15:00,6.379,6.379,6.362,6.378,522,0
2017-10-18,13:35:00,6.388,6.388,6.388,6.388,793,0
2017-10-18,13:40:00,6.381,6.381,6.381,6.381,86,0
2017-10-18,13:50:00,6.381,6.381,6.381,6.381,67,0
2017-10-18,13:55:00,6.381,6.381,6.381,6.381,23,0
2017-10-18,14:30:00,6.358,6.358,6.357,6.357,791,0
2017-10-18,14:55:00,6.371,6.371,6.371,6.371,200,0
2017-10-18,15:15:00,6.375,6.378,6.369,6.378,2218,0
2017-10-18,15:30:00,6.377,6.377,6.377,6.377,290,0
2017-10-18,15:55:00,6.376,6.38,6.376,6.38,1244,0
2017-10-18,16:05:00,6.388,6.388,6.382,6.382,818,0
2017-10-18,16:15:00,6.383,6.383,6.383,6.383,543,0
2017-10-18,16:35:00,6.381,6.381,6.381,6.381,211,0
2017-10-18,16:50:00,6.38,6.38,6.38,6.38,383,0
2017-10-18,16:55:00,6.38,6.38,6.38,6.38,1165,0
2017-10-18,17:00:00,6.382,6.387,6.382,6.383,1156,0
2017-10-18,17:05:00,6.383,6.383,6.382,6.382,459,0
2017-10-18,17:10:00,6.381,6.39,6.381,6.39,982,0
2017-10-18,17:20:00,6.381,6.381,6.381,6.381,143,0
2017-10-18,17:25:00,6.381,6.386,6.374,6.386,2662,0
2017-10-18,17:30:00,6.377,6.389,6.371,6.376,7916,0
2017-10-19,09:05:00,6.364,6.365,6.364,6.364,2023,0
2017-10-19,09:25:00,6.367,6.367,6.367,6.367,100,0
2017-10-19,09:40:00,6.36,6.36,6.342,6.342,120,0
2017-10-19,09:45:00,6.349,6.354,6.342,6.348,1669,0
2017-10-19,09:55:00,6.347,6.347,6.339,6.339,1978,0
2017-10-19,10:00:00,6.339,6.339,6.339,6.339,407,0
2017-10-19,10:05:00,6.339,6.34,6.339,6.339,1556,0
2017-10-19,10:10:00,6.346,6.348,6.329,6.329,2683,0
2017-10-19,10:15:00,6.323,6.323,6.323,6.323,500,0
2017-10-19,10:45:00,6.328,6.328,6.327,6.327,1918,0
2017-10-19,10:50:00,6.327,6.327,6.327,6.327,300,0
2017-10-19,10:55:00,6.327,6.327,6.327,6.327,25,0
2017-10-19,11:00:00,6.328,6.328,6.328,6.328,1809,0
2017-10-19,11:05:00,6.335,6.335,6.335,6.335,20,0
2017-10-19,11:20:00,6.327,6.327,6.327,6.327,500,0
2017-10-19,11:25:00,6.33,6.33,6.33,6.33,475,0
2017-10-19,11:45:00,6.332,6.332,6.327,6.327,1459,0
2017-10-19,11:55:00,6.325,6.325,6.325,6.325,185,0
2017-10-19,12:00:00,6.322,6.322,6.322,6.322,500,0
2017-10-19,12:05:00,6.317,6.317,6.314,6.314,3016,0
2017-10-19,12:25:00,6.314,6.314,6.314,6.314,435,0
2017-10-19,12:35:00,6.315,6.315,6.315,6.315,6,0
2017-10-19,12:45:00,6.314,6.314,6.314,6.314,32,0
2017-10-19,12:50:00,6.314,6.314,6.314,6.314,1477,0
2017-10-19,12:55:00,6.312,6.312,6.312,6.312,4874,0
2017-10-19,13:05:00,6.312,6.312,6.312,6.312,8,0
2017-10-19,13:10:00,6.312,6.317,6.312,6.317,2306,0
2017-10-19,13:15:00,6.313,6.313,6.313,6.313,1,0
2017-10-19,13:25:00,6.317,6.317,6.316,6.316,279,0
2017-10-19,13:30:00,6.314,6.314,6.314,6.314,7,0
2017-10-19,13:40:00,6.312,6.312,6.312,6.312,20,0
