Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-19,09:05:00,10.03,10.03,9.936,9.936,971,0
2017-10-19,09:10:00,10.025,10.025,10,10,1218,0
2017-10-19,09:15:00,10.015,10.02,10.015,10.02,37,0
2017-10-19,09:20:00,10,10.025,10,10.025,1522,0
2017-10-19,09:30:00,10.055,10.055,9.981,10.01,2239,0
2017-10-19,09:35:00,9.999,10.02,9.999,10.02,340,0
2017-10-19,09:40:00,9.97,9.998,9.97,9.998,180,0
2017-10-19,09:45:00,9.999,9.999,9.999,9.999,169,0
2017-10-19,09:50:00,10,10,10,10,135,0
2017-10-19,09:55:00,9.955,9.984,9.93,9.93,1008,0
2017-10-19,10:05:00,9.889,9.915,9.889,9.915,349,0
2017-10-19,10:25:00,9.93,9.93,9.93,9.93,89,0
2017-10-19,10:35:00,9.93,9.93,9.893,9.893,204,0
2017-10-19,10:40:00,9.928,9.928,9.928,9.928,52,0
2017-10-19,10:45:00,9.925,9.925,9.903,9.915,261,0
2017-10-19,10:55:00,9.949,9.949,9.949,9.949,89,0
2017-10-19,11:00:00,9.944,9.95,9.944,9.95,948,0
2017-10-19,11:05:00,9.95,9.95,9.95,9.95,89,0
2017-10-19,11:15:00,9.949,9.949,9.949,9.949,89,0
2017-10-19,11:20:00,9.95,9.963,9.946,9.963,178,0
2017-10-19,11:25:00,9.949,9.949,9.949,9.949,8,0
2017-10-19,11:30:00,9.985,9.985,9.96,9.96,840,0
2017-10-19,11:50:00,10.01,10.01,10.01,10.01,89,0
2017-10-19,11:55:00,9.976,9.976,9.966,9.966,329,0
2017-10-19,12:05:00,9.962,9.969,9.945,9.945,297,0
2017-10-19,12:10:00,9.942,9.943,9.941,9.942,837,0
2017-10-19,12:15:00,9.921,9.921,9.921,9.921,91,0
2017-10-19,12:20:00,9.921,9.921,9.92,9.921,417,0
2017-10-19,12:25:00,9.92,9.92,9.92,9.92,487,0
2017-10-19,12:30:00,9.92,9.92,9.911,9.92,1681,0
2017-10-19,12:40:00,9.89,9.905,9.885,9.885,2644,0
2017-10-19,12:50:00,9.886,9.886,9.886,9.886,168,0
2017-10-19,13:10:00,9.903,9.903,9.886,9.886,575,0
2017-10-19,13:15:00,9.9,9.9,9.867,9.867,444,0
2017-10-19,13:20:00,9.895,9.902,9.886,9.886,1897,0
2017-10-19,13:30:00,9.882,9.882,9.882,9.882,116,0
2017-10-19,13:40:00,9.867,9.867,9.867,9.867,45,0
2017-10-19,13:45:00,9.867,9.867,9.867,9.867,475,0
2017-10-19,14:00:00,9.869,9.869,9.866,9.866,715,0
2017-10-19,14:05:00,9.833,9.837,9.818,9.818,178,0
2017-10-19,14:30:00,9.83,9.84,9.83,9.839,894,0
2017-10-19,14:45:00,9.843,9.843,9.843,9.843,178,0
2017-10-19,15:00:00,9.858,9.858,9.858,9.858,839,0
2017-10-19,15:05:00,9.846,9.846,9.761,9.761,2942,0
2017-10-19,15:10:00,9.801,9.81,9.801,9.81,178,0
2017-10-19,15:20:00,9.801,9.813,9.796,9.813,713,0
2017-10-19,15:25:00,9.805,9.805,9.805,9.805,62,0
2017-10-19,15:30:00,9.832,9.832,9.832,9.832,89,0
2017-10-19,15:35:00,9.837,9.837,9.837,9.837,100,0
2017-10-19,15:45:00,9.819,9.854,9.787,9.83,4635,0
2017-10-19,15:55:00,9.839,9.839,9.839,9.839,175,0
2017-10-19,16:05:00,9.852,9.852,9.838,9.838,191,0
2017-10-19,16:10:00,9.839,9.839,9.83,9.839,1195,0
2017-10-19,16:15:00,9.843,9.851,9.843,9.851,123,0
2017-10-19,16:20:00,9.833,9.833,9.833,9.833,210,0
2017-10-19,16:25:00,9.833,9.833,9.833,9.833,80,0
2017-10-19,16:35:00,9.858,9.858,9.858,9.858,32,0
2017-10-19,16:40:00,9.865,9.899,9.865,9.872,1240,0
2017-10-19,16:45:00,9.873,9.946,9.873,9.933,1704,0
2017-10-19,16:50:00,9.93,9.934,9.93,9.93,494,0
2017-10-19,16:55:00,9.934,9.934,9.908,9.908,481,0
2017-10-19,17:00:00,9.9,9.905,9.9,9.905,301,0
2017-10-19,17:10:00,9.905,9.917,9.89,9.905,1987,0
2017-10-19,17:15:00,9.898,9.9,9.897,9.897,379,0
2017-10-19,17:20:00,9.924,9.924,9.892,9.903,1359,0
2017-10-19,17:25:00,9.908,9.908,9.908,9.908,271,0
2017-10-19,17:30:00,9.901,9.948,9.901,9.94,4944,0
2017-10-20,09:05:00,9.9,9.918,9.9,9.905,347,0
2017-10-20,09:15:00,9.835,9.835,9.835,9.835,226,0
2017-10-20,09:20:00,9.825,9.825,9.825,9.825,1,0
2017-10-20,09:30:00,9.839,9.839,9.839,9.839,469,0
2017-10-20,09:40:00,9.85,9.85,9.85,9.85,500,0
2017-10-20,09:55:00,9.819,9.819,9.819,9.819,102,0
2017-10-20,10:05:00,9.819,9.819,9.819,9.819,66,0
2017-10-20,10:20:00,9.83,9.83,9.825,9.825,826,0
2017-10-20,10:25:00,9.825,9.835,9.825,9.825,1802,0
2017-10-20,10:30:00,9.806,9.806,9.76,9.765,12285,0
2017-10-20,10:35:00,9.764,9.764,9.764,9.764,315,0
2017-10-20,10:40:00,9.761,9.761,9.761,9.761,18,0
2017-10-20,10:50:00,9.761,9.761,9.76,9.76,918,0
2017-10-20,10:55:00,9.76,9.76,9.76,9.76,1207,0
2017-10-20,11:00:00,9.76,9.76,9.76,9.76,726,0
2017-10-20,11:05:00,9.76,9.761,9.76,9.76,2665,0
2017-10-20,11:10:00,9.76,9.76,9.76,9.76,1318,0
2017-10-20,11:15:00,9.76,9.76,9.722,9.745,1505,0
2017-10-20,11:25:00,9.692,9.692,9.612,9.663,3746,0
2017-10-20,11:30:00,9.66,9.66,9.66,9.66,40,0
2017-10-20,11:35:00,9.669,9.669,9.605,9.605,2297,0
2017-10-20,11:55:00,9.632,9.633,9.632,9.633,210,0
2017-10-20,12:05:00,9.62,9.62,9.62,9.62,150,0
2017-10-20,12:10:00,9.602,9.602,9.602,9.602,50,0
2017-10-20,12:15:00,9.602,9.602,9.551,9.551,3048,0
2017-10-20,12:20:00,9.553,9.553,9.553,9.553,100,0
2017-10-20,12:25:00,9.55,9.551,9.547,9.551,693,0
2017-10-20,12:35:00,9.524,9.524,9.455,9.471,5962,0
2017-10-20,12:40:00,9.5,9.5,9.5,9.5,332,0
2017-10-20,12:45:00,9.474,9.474,9.474,9.474,223,0
2017-10-20,12:50:00,9.481,9.492,9.481,9.492,396,0
2017-10-20,13:00:00,9.495,9.508,9.495,9.508,1040,0
2017-10-20,13:05:00,9.502,9.508,9.502,9.508,781,0
2017-10-20,13:10:00,9.507,9.539,9.507,9.539,1674,0
2017-10-20,13:15:00,9.524,9.534,9.524,9.534,356,0
2017-10-20,13:20:00,9.599,9.599,9.538,9.538,355,0
2017-10-20,13:30:00,9.504,9.504,9.504,9.504,127,0
2017-10-20,13:55:00,9.493,9.493,9.486,9.486,272,0
2017-10-20,14:05:00,9.457,9.486,9.457,9.486,287,0
2017-10-20,14:25:00,9.488,9.488,9.488,9.488,18,0
2017-10-20,14:40:00,9.473,9.473,9.471,9.471,267,0
2017-10-20,14:50:00,9.436,9.436,9.435,9.435,200,0
2017-10-20,14:55:00,9.435,9.435,9.415,9.415,902,0
2017-10-20,15:00:00,9.4,9.4,9.352,9.352,5708,0
2017-10-20,15:05:00,9.387,9.387,9.387,9.387,200,0
2017-10-20,15:30:00,9.354,9.354,9.353,9.354,270,0
2017-10-20,15:40:00,9.344,9.346,9.344,9.346,976,0
2017-10-20,15:45:00,9.324,9.377,9.323,9.348,5302,0
2017-10-20,15:50:00,9.35,9.35,9.35,9.35,130,0
2017-10-20,15:55:00,9.337,9.337,9.323,9.323,432,0
2017-10-20,16:00:00,9.323,9.323,9.323,9.323,831,0
2017-10-20,16:05:00,9.327,9.331,9.327,9.331,299,0
2017-10-20,16:10:00,9.339,9.35,9.339,9.35,343,0
2017-10-20,16:15:00,9.324,9.324,9.324,9.324,341,0
2017-10-20,16:20:00,9.324,9.325,9.323,9.325,261,0
2017-10-20,16:25:00,9.32,9.329,9.32,9.32,1124,0
2017-10-20,16:30:00,9.315,9.315,9.315,9.315,113,0
2017-10-20,16:35:00,9.315,9.392,9.315,9.392,2417,0
2017-10-20,16:40:00,9.369,9.392,9.347,9.367,1391,0
2017-10-20,16:50:00,9.331,9.331,9.331,9.331,255,0
2017-10-20,16:55:00,9.306,9.308,9.306,9.308,210,0
2017-10-20,17:00:00,9.315,9.334,9.315,9.334,956,0
2017-10-20,17:05:00,9.318,9.319,9.302,9.312,487,0
2017-10-20,17:10:00,9.308,9.326,9.303,9.303,456,0
2017-10-20,17:15:00,9.3,9.367,9.291,9.336,3104,0
2017-10-20,17:20:00,9.358,9.392,9.357,9.387,2061,0
2017-10-20,17:25:00,9.389,9.393,9.369,9.385,2113,0
2017-10-20,17:30:00,9.368,9.403,9.319,9.4,15769,0
2017-10-23,09:05:00,9.332,9.348,9.302,9.302,2030,0
2017-10-23,09:10:00,9.314,9.331,9.314,9.331,185,0
2017-10-23,09:15:00,9.355,9.355,9.355,9.355,124,0
2017-10-23,09:25:00,9.34,9.345,9.317,9.317,1134,0
2017-10-23,09:30:00,9.336,9.336,9.308,9.33,567,0
2017-10-23,09:35:00,9.328,9.333,9.3,9.3,3000,0
2017-10-23,09:40:00,9.275,9.275,9.145,9.15,4132,0
2017-10-23,09:45:00,9.161,9.2,9.161,9.176,2584,0
2017-10-23,09:50:00,9.158,9.158,9.109,9.129,3764,0
2017-10-23,09:55:00,9.15,9.15,9.13,9.146,3932,0
2017-10-23,10:00:00,9.13,9.131,9.13,9.131,1735,0
2017-10-23,10:05:00,9.143,9.143,9.005,9.035,40148,0
2017-10-23,10:10:00,9.055,9.061,9.03,9.039,1495,0
2017-10-23,10:15:00,9.05,9.05,9.019,9.05,11148,0
2017-10-23,10:25:00,9.031,9.031,9.016,9.017,2328,0
2017-10-23,10:30:00,9.04,9.04,9.02,9.022,3799,0
2017-10-23,10:35:00,9.025,9.025,8.953,8.967,19453,0
2017-10-23,10:40:00,8.967,8.976,8.965,8.965,983,0
2017-10-23,10:45:00,8.98,8.991,8.975,8.991,2393,0
2017-10-23,10:50:00,8.969,8.969,8.956,8.956,682,0
2017-10-23,11:00:00,8.953,8.953,8.903,8.92,6692,0
2017-10-23,11:05:00,8.902,8.902,8.772,8.772,14895,0
2017-10-23,11:10:00,8.766,8.899,8.766,8.899,4477,0
2017-10-23,11:15:00,8.9,9,8.868,8.876,24915,0
2017-10-23,11:20:00,8.874,8.874,8.7,8.776,23834,0
2017-10-23,11:25:00,8.774,8.798,8.716,8.798,10149,0
2017-10-23,11:30:00,8.763,8.763,8.7,8.708,1568,0
2017-10-23,11:35:00,8.743,8.743,8.743,8.743,1500,0
2017-10-23,11:45:00,8.771,8.799,8.753,8.77,1225,0
2017-10-23,11:50:00,8.773,8.773,8.773,8.773,708,0
2017-10-23,11:55:00,8.799,8.799,8.799,8.799,600,0
2017-10-23,12:00:00,8.775,8.795,8.731,8.731,1635,0
2017-10-23,12:15:00,8.729,8.749,8.647,8.706,8078,0
2017-10-23,12:20:00,8.683,8.698,8.683,8.698,2684,0
2017-10-23,12:25:00,8.671,8.701,8.6,8.6,8134,0
2017-10-23,12:30:00,8.621,8.621,8.575,8.575,948,0
2017-10-23,12:35:00,8.565,8.626,8.515,8.603,2986,0
2017-10-23,12:40:00,8.582,8.582,8.524,8.524,2180,0
2017-10-23,12:45:00,8.531,8.626,8.531,8.549,1731,0
2017-10-23,12:50:00,8.581,8.614,8.564,8.564,4602,0
2017-10-23,12:55:00,8.553,8.553,8.515,8.515,3415,0
2017-10-23,13:00:00,8.492,8.492,8.492,8.492,402,0
2017-10-23,13:05:00,8.5,8.511,8.5,8.511,421,0
2017-10-23,13:10:00,8.518,8.528,8.452,8.456,4815,0
2017-10-23,13:15:00,8.436,8.443,8.411,8.411,1858,0
2017-10-23,13:20:00,8.43,8.5,8.43,8.471,3616,0
2017-10-23,13:25:00,8.498,8.53,8.498,8.53,3153,0
2017-10-23,13:30:00,8.51,8.51,8.41,8.426,12990,0
2017-10-23,13:35:00,8.449,8.506,8.449,8.506,9903,0
2017-10-23,13:45:00,8.523,8.523,8.523,8.523,200,0
2017-10-23,13:50:00,8.523,8.541,8.509,8.525,1168,0
2017-10-23,13:55:00,8.519,8.519,8.45,8.463,3287,0
2017-10-23,14:00:00,8.481,8.482,8.481,8.482,1555,0
2017-10-23,14:05:00,8.466,8.47,8.464,8.47,1357,0
2017-10-23,14:10:00,8.449,8.449,8.449,8.449,270,0
2017-10-23,14:15:00,8.47,8.47,8.47,8.47,126,0
2017-10-23,14:20:00,8.484,8.484,8.484,8.484,200,0
2017-10-23,14:30:00,8.484,8.484,8.484,8.484,100,0
2017-10-23,14:35:00,8.484,8.512,8.484,8.512,5059,0
2017-10-23,14:40:00,8.506,8.51,8.468,8.51,2233,0
2017-10-23,14:45:00,8.543,8.543,8.482,8.482,2156,0
2017-10-23,14:50:00,8.481,8.509,8.48,8.509,1622,0
2017-10-23,14:55:00,8.536,8.549,8.536,8.537,1279,0
2017-10-23,15:00:00,8.52,8.52,8.519,8.519,345,0
2017-10-23,15:05:00,8.508,8.509,8.472,8.472,678,0
2017-10-23,15:10:00,8.496,8.496,8.472,8.472,663,0
2017-10-23,15:15:00,8.472,8.484,8.463,8.463,1826,0
2017-10-23,15:20:00,8.459,8.482,8.459,8.482,332,0
2017-10-23,15:30:00,8.47,8.48,8.458,8.48,1633,0
2017-10-23,15:35:00,8.453,8.5,8.422,8.462,6277,0
2017-10-23,15:40:00,8.492,8.492,8.463,8.492,241,0
2017-10-23,15:45:00,8.473,8.473,8.46,8.46,1293,0
2017-10-23,15:55:00,8.475,8.48,8.456,8.456,3958,0
2017-10-23,16:00:00,8.435,8.435,8.434,8.434,528,0
2017-10-23,16:05:00,8.443,8.455,8.403,8.455,3010,0
2017-10-23,16:15:00,8.455,8.455,8.431,8.445,2889,0
2017-10-23,16:25:00,8.475,8.547,8.475,8.513,6900,0
2017-10-23,16:30:00,8.547,8.547,8.5,8.52,1655,0
2017-10-23,16:35:00,8.547,8.547,8.5,8.5,1550,0
2017-10-23,16:40:00,8.505,8.532,8.499,8.505,2779,0
2017-10-23,16:45:00,8.508,8.514,8.475,8.475,2350,0
2017-10-23,16:55:00,8.469,8.469,8.469,8.469,170,0
2017-10-23,17:00:00,8.5,8.5,8.464,8.464,232,0
2017-10-23,17:05:00,8.46,8.46,8.446,8.446,754,0
2017-10-23,17:10:00,8.456,8.519,8.456,8.484,1006,0
2017-10-23,17:15:00,8.469,8.519,8.467,8.513,5557,0
2017-10-23,17:20:00,8.484,8.484,8.46,8.47,1657,0
2017-10-23,17:25:00,8.489,8.52,8.44,8.45,9648,0
2017-10-23,17:30:00,8.44,8.44,8.386,8.386,21039,0
2017-10-24,09:05:00,8.34,8.421,8.322,8.4,9284,0
2017-10-24,09:10:00,8.41,8.448,8.41,8.448,4171,0
2017-10-24,09:15:00,8.498,8.55,8.462,8.5,3664,0
2017-10-24,09:20:00,8.5,8.56,8.492,8.56,5404,0
2017-10-24,09:25:00,8.56,8.6,8.56,8.573,2022,0
2017-10-24,09:30:00,8.573,8.598,8.573,8.598,863,0
2017-10-24,09:35:00,8.579,8.605,8.579,8.605,3345,0
2017-10-24,09:45:00,8.588,8.588,8.519,8.55,11799,0
2017-10-24,09:50:00,8.522,8.55,8.522,8.55,2952,0
2017-10-24,09:55:00,8.55,8.55,8.55,8.55,2994,0
2017-10-24,10:00:00,8.55,8.55,8.55,8.55,2237,0
2017-10-24,10:05:00,8.55,8.55,8.522,8.547,1815,0
2017-10-24,10:15:00,8.549,8.55,8.521,8.521,8838,0
2017-10-24,10:20:00,8.524,8.524,8.524,8.524,568,0
2017-10-24,10:25:00,8.53,8.54,8.522,8.522,956,0
2017-10-24,10:30:00,8.539,8.54,8.497,8.497,704,0
2017-10-24,10:35:00,8.462,8.476,8.45,8.476,2182,0
2017-10-24,10:40:00,8.449,8.591,8.449,8.545,18958,0
2017-10-24,10:45:00,8.584,8.622,8.577,8.603,2084,0
