Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-06-17,09:05:00,16.148,16.148,16.148,16.148,9,0
2015-06-17,09:25:00,16.324,16.328,16.324,16.328,1031,0
2015-06-22,13:55:00,16.245,16.245,16.245,16.245,716,0
2015-06-22,14:00:00,16.735,16.735,16.735,16.735,817,0
2015-06-23,16:10:00,17.127,17.127,17.127,17.127,62,0
2015-06-23,17:20:00,16.642,16.642,16.638,16.638,2002,0
2015-06-30,09:35:00,16.153,16.153,16.153,16.153,82,0
2015-06-30,17:30:00,16.148,16.148,16.148,16.148,245,0
2015-07-06,11:20:00,15.659,15.659,15.659,15.659,102,0
2015-07-06,11:35:00,16.241,16.245,16.241,16.245,204,0
2015-07-06,12:35:00,16.417,16.417,16.417,16.417,91,0
2015-07-06,17:30:00,16.422,16.422,16.422,16.422,512,0
2015-07-07,10:20:00,16.338,16.343,16.338,16.343,265,0
2015-07-07,11:35:00,16.638,16.638,16.638,16.638,102,0
2015-07-07,11:40:00,16.638,16.804,16.638,16.804,93,0
2015-07-07,13:20:00,16.804,16.804,16.804,16.804,10,0
2015-07-07,17:30:00,16.804,16.804,16.804,16.804,593,0
2015-07-13,14:30:00,16.202,16.202,16.202,16.202,1,0
2015-07-13,17:30:00,16.197,16.197,16.197,16.197,165,0
2015-07-17,09:45:00,15.957,15.957,15.952,15.952,102,0
2015-07-17,11:55:00,16.535,16.539,16.535,16.539,818,0
2015-07-17,12:00:00,16.833,16.833,16.833,16.833,16,0
2015-07-17,17:25:00,16.882,16.882,16.882,16.882,1243,0
2015-07-20,10:30:00,16.838,16.838,16.833,16.833,204,0
2015-07-20,14:30:00,16.833,16.833,16.833,16.833,1635,0
2015-07-21,11:20:00,16.245,16.245,16.245,16.245,613,0
2015-07-21,16:20:00,16.633,16.633,16.633,16.633,618,0
2015-07-23,09:05:00,16.638,16.638,16.638,16.638,161,0
2015-07-27,09:10:00,16.633,16.633,16.633,16.633,11,0
2015-07-27,11:15:00,16.343,16.343,16.343,16.343,255,0
2015-07-27,15:50:00,16.05,16.05,16.05,16.05,1493,0
2015-07-28,11:05:00,16.045,16.045,16.045,16.045,7,0
2015-07-28,11:45:00,16.045,16.338,16.045,16.338,310,0
2015-07-28,12:35:00,16.338,16.343,16.338,16.343,1890,0
2015-07-30,15:05:00,16.328,16.328,16.328,16.328,16,0
2015-08-03,15:30:00,15.619,15.619,15.619,15.619,30,0
2015-08-03,16:30:00,16.143,16.148,16.143,16.148,439,0
2015-08-04,15:20:00,16.148,16.638,16.148,16.638,2044,0
2015-08-06,15:50:00,16.833,16.833,16.833,16.833,1430,0
2015-08-10,09:45:00,15.859,15.859,15.859,15.859,9,0
2015-08-10,09:50:00,16.633,16.633,16.633,16.633,9,0
2015-08-10,14:55:00,16.638,16.638,16.638,16.638,38,0
2015-08-11,12:20:00,16.735,16.735,16.735,16.735,613,0
2015-08-11,13:05:00,17.322,17.322,17.322,17.322,204,0
2015-08-11,14:25:00,16.936,16.936,16.735,16.735,869,0
2015-08-11,17:30:00,16.593,16.593,16.593,16.593,1780,0
2015-08-12,12:05:00,16.642,16.642,16.638,16.638,714,0
2015-08-12,16:15:00,15.952,15.952,15.952,15.952,1940,0
2015-08-17,12:45:00,15.967,15.967,15.952,15.952,409,0
2015-08-17,16:45:00,15.952,15.952,15.952,15.952,613,0
2015-08-18,10:30:00,15.997,16.001,15.997,16.001,948,0
2015-08-18,12:40:00,16.148,16.441,16.148,16.441,794,0
2015-08-18,15:25:00,16.833,16.833,16.833,16.833,1890,0
2015-08-19,10:10:00,16.735,16.735,16.735,16.735,204,0
2015-08-19,10:30:00,16.735,16.735,16.735,16.735,204,0
2015-08-19,16:00:00,16.735,16.735,16.441,16.441,2656,0
2015-08-20,12:05:00,16.05,16.05,16.05,16.05,716,0
2015-08-20,14:50:00,15.649,15.649,15.649,15.649,2146,0
2015-08-21,14:00:00,15.752,15.752,15.752,15.752,2,0
2015-08-24,10:40:00,15.365,15.365,15.365,15.365,716,0
2015-08-24,14:50:00,15.263,15.263,15.263,15.263,227,0
2015-08-24,15:20:00,14.191,14.191,14.191,14.191,1745,0
2015-08-24,16:25:00,14.685,14.685,14.685,14.685,2943,0
2015-08-25,09:05:00,15.169,15.169,15.169,15.169,319,0
2015-08-25,09:10:00,14.748,14.748,14.748,14.748,194,0
2015-08-25,09:55:00,14.822,14.822,14.822,14.822,1,0
2015-08-25,10:20:00,14.92,14.92,14.92,14.92,1,0
2015-08-25,12:55:00,14.92,15.169,14.92,15.169,228,0
2015-08-25,13:05:00,15.659,15.805,15.659,15.805,386,0
2015-08-25,13:45:00,15.805,16.148,15.805,16.148,319,0
2015-08-25,14:20:00,16.295,16.295,16.148,16.148,2084,0
2015-08-27,16:35:00,16.638,16.638,16.638,16.638,2044,0
2015-08-28,15:30:00,16.348,16.348,16.148,16.148,3635,0
2015-09-01,16:35:00,15.947,15.947,15.947,15.947,2,0
2015-09-03,10:35:00,15.899,15.899,15.899,15.899,10,0
2015-09-04,10:30:00,15.071,15.659,15.071,15.659,935,0
2015-09-04,10:35:00,15.659,15.659,15.659,15.659,20,0
2015-09-04,10:40:00,15.12,15.756,15.12,15.756,557,0
2015-09-04,10:45:00,15.468,15.468,15.37,15.37,628,0
2015-09-04,14:25:00,15.796,15.796,15.796,15.796,2,0
2015-09-04,17:05:00,15.071,15.071,15.071,15.071,2935,0
2015-09-07,11:30:00,15.164,15.164,15.164,15.164,153,0
2015-09-07,14:15:00,15.164,15.164,15.164,15.164,357,0
2015-09-09,11:25:00,15.164,15.164,15.164,15.164,4,0
2015-09-10,10:45:00,15.213,15.213,15.213,15.213,464,0
2015-09-11,10:20:00,15.263,15.268,15.263,15.268,255,0
2015-09-11,15:20:00,15.409,15.414,15.409,15.414,766,0
2015-09-15,09:30:00,15.36,15.36,15.36,15.36,10,0
2015-09-15,09:55:00,15.36,15.36,15.36,15.36,204,0
2015-09-15,10:00:00,15.36,15.36,15.36,15.36,102,0
2015-09-15,15:10:00,15.365,15.365,15.365,15.365,716,0
2015-09-15,15:15:00,15.707,15.707,15.707,15.707,1140,0
2015-09-16,15:05:00,15.664,15.664,15.664,15.664,1234,0
2015-09-18,09:05:00,15.654,15.654,15.654,15.654,122,0
2015-09-23,12:05:00,16.245,16.245,16.245,16.245,1492,0
2015-09-24,15:35:00,15.566,15.566,15.561,15.561,858,0
2015-09-28,09:25:00,15.899,15.899,15.899,15.899,4,0
2015-09-29,10:35:00,15.12,15.12,15.12,15.12,1430,0
2015-10-01,11:20:00,15.12,15.12,15.12,15.12,102,0
2015-10-01,16:20:00,15.268,16.05,15.268,16.05,1447,0
2015-10-01,16:30:00,16.045,16.05,16.045,16.05,2742,0
2015-10-05,09:55:00,15.752,15.752,15.752,15.752,2,0
2015-10-05,15:30:00,15.752,15.756,15.752,15.756,1669,0
2015-10-12,15:35:00,16.148,16.148,16.148,16.148,1021,0
2015-10-13,11:50:00,15.664,15.664,15.659,15.659,2452,0
2015-10-15,09:45:00,15.458,15.458,15.458,15.458,20,0
2015-10-19,09:05:00,15.463,15.463,15.463,15.463,20,0
2015-10-20,15:10:00,14.973,14.973,14.973,14.973,51,0
2015-10-20,17:30:00,14.973,14.973,14.973,14.973,153,0
2015-10-21,15:45:00,15.409,15.414,15.409,15.414,2044,0
2015-10-23,09:35:00,15.463,15.952,15.463,15.952,1032,0
2015-10-26,14:55:00,15.271,15.271,15.271,15.271,307,0
2015-10-26,17:30:00,15.271,15.271,15.271,15.271,102,0
2015-10-27,17:30:00,15.365,15.365,15.365,15.365,255,0
2015-10-28,15:35:00,15.854,16.638,15.854,16.638,3065,0
2015-10-28,15:40:00,16.638,16.638,16.638,16.638,101,0
2015-10-28,17:30:00,16.638,16.638,16.638,16.638,460,0
2015-10-29,09:10:00,16.638,16.638,16.638,16.638,818,0
2015-10-29,09:40:00,16.446,16.633,16.148,16.633,1538,0
2015-11-03,13:00:00,15.688,15.688,15.688,15.688,90,0
2015-11-03,17:30:00,15.688,15.688,15.688,15.688,583,0
2015-11-04,12:30:00,16.099,16.099,16.099,16.099,11,0
2015-11-05,10:40:00,16.441,16.441,16.441,16.441,133,0
2015-11-05,10:45:00,16.099,16.099,16.099,16.099,11,0
2015-11-05,14:30:00,15.854,15.854,15.854,15.854,91,0
2015-11-09,11:15:00,15.957,15.957,15.957,15.957,422,0
2015-11-09,17:30:00,15.952,15.952,15.952,15.952,102,0
2015-11-10,16:20:00,16.691,16.691,16.691,16.691,511,0
2015-11-10,16:30:00,16.436,16.436,16.436,16.436,389,0
2015-11-10,17:15:00,16.691,16.696,16.691,16.696,102,0
2015-11-11,10:35:00,16.3,16.3,16.3,16.3,307,0
2015-11-11,10:50:00,16.877,16.877,16.877,16.877,20,0
2015-11-12,15:10:00,16.539,16.539,16.539,16.539,102,0
2015-11-12,15:30:00,16.828,16.828,16.828,16.828,102,0
2015-11-12,16:15:00,16.539,16.539,16.539,16.539,42,0
2015-11-13,11:50:00,15.859,15.859,15.854,15.854,992,0
2015-11-13,13:05:00,15.654,15.654,15.654,15.654,128,0
2015-11-17,11:15:00,15.997,16.001,15.997,16.001,716,0
2015-11-17,11:55:00,15.805,15.805,15.805,15.805,102,0
2015-11-17,14:35:00,15.997,15.997,15.997,15.997,12,0
2015-11-19,17:30:00,16.192,16.192,16.192,16.192,51,0
2015-11-20,12:15:00,15.761,15.761,15.761,15.761,409,0
2015-11-20,12:25:00,15.761,15.761,15.761,15.761,103,0
2015-11-20,17:30:00,15.761,15.761,15.761,15.761,21,0
2015-11-25,09:40:00,15.849,15.849,15.849,15.849,20,0
2015-11-26,11:35:00,15.429,15.429,15.424,15.424,772,0
2015-11-26,17:15:00,15.419,15.419,15.419,15.419,511,0
2015-11-27,11:10:00,15.702,15.702,15.702,15.702,30,0
2015-12-01,10:25:00,15.947,15.947,15.947,15.947,2,0
2015-12-01,11:50:00,15.707,15.707,15.271,15.271,347,0
2015-12-01,11:55:00,15.947,15.947,15.654,15.654,464,0
2015-12-03,09:40:00,15.849,15.849,15.849,15.849,2,0
2015-12-03,11:45:00,15.659,15.659,15.659,15.659,5,0
2015-12-04,15:55:00,15.654,15.654,15.654,15.654,42,0
2015-12-07,11:00:00,15.654,15.654,15.654,15.654,177,0
2015-12-09,09:05:00,15.659,15.659,15.659,15.659,1,0
2015-12-09,12:30:00,15.644,15.659,15.644,15.659,1533,0
2015-12-11,10:35:00,15.659,15.659,15.659,15.659,1,0
2015-12-15,09:05:00,15.659,15.659,15.659,15.659,1,0
2015-12-15,12:15:00,15.659,15.659,15.659,15.659,204,0
2015-12-17,16:50:00,15.193,15.193,15.193,15.193,22,0
2015-12-17,16:55:00,15.654,15.654,15.654,15.654,1,0
2015-12-21,09:05:00,15.659,15.659,15.659,15.659,1,0
2015-12-23,09:05:00,15.659,15.659,15.659,15.659,1,0
2015-12-29,09:05:00,15.659,15.659,15.659,15.659,1,0
2015-12-30,09:05:00,15.654,15.654,15.654,15.654,3,0
2015-12-30,09:25:00,15.193,15.193,15.193,15.193,106,0
2015-12-30,10:55:00,15.198,15.556,15.198,15.556,39,0
2016-01-04,13:40:00,15.654,15.654,15.654,15.654,62,0
2016-01-06,09:05:00,15.169,15.169,15.169,15.169,49,0
2016-01-06,10:55:00,15.164,15.164,15.164,15.164,51,0
2016-01-06,12:15:00,15.169,15.169,15.169,15.169,716,0
2016-01-07,09:40:00,15.561,15.659,15.561,15.659,517,0
2016-01-07,14:35:00,15.169,15.169,15.169,15.169,716,0
2016-01-07,15:45:00,15.659,15.659,15.659,15.659,10,0
2016-01-08,11:00:00,15.659,15.659,15.659,15.659,1328,0
2016-01-12,16:25:00,15.659,15.659,15.659,15.659,716,0
2016-01-12,17:05:00,16.05,16.05,15.659,15.659,511,0
2016-01-12,17:30:00,15.659,15.659,15.659,15.659,4,0
2016-01-13,17:30:00,15.659,15.659,15.659,15.659,10,0
2016-01-18,10:35:00,15.654,15.654,15.654,15.654,1,0
2016-01-21,17:30:00,15.071,15.071,15.071,15.071,301,0
2016-01-26,10:40:00,14.973,14.973,14.973,14.973,848,0
2016-01-26,15:45:00,15.023,15.023,15.023,15.023,25,0
2016-01-27,14:00:00,15.268,15.268,15.268,15.268,716,0
2016-01-27,16:30:00,15.365,15.365,15.365,15.365,188,0
2016-01-28,09:45:00,15.556,15.556,15.556,15.556,5,0
2016-01-29,09:50:00,15.556,15.556,15.556,15.556,4,0
2016-01-29,11:55:00,14.875,14.875,14.875,14.875,817,0
2016-01-29,12:10:00,14.68,14.68,14.68,14.68,135,0
2016-01-29,14:15:00,14.865,14.865,14.865,14.865,1,0
2016-01-29,15:30:00,14.861,14.875,14.861,14.875,7152,0
2016-01-29,17:15:00,14.875,15.561,14.875,15.561,2044,0
2016-01-29,17:20:00,15.609,15.609,15.609,15.609,30,0
2016-02-01,10:35:00,15.609,15.609,15.609,15.609,480,0
2016-02-01,11:40:00,15.805,16.148,15.805,16.148,1226,0
2016-02-01,17:25:00,16.138,16.138,16.138,16.138,47,0
2016-02-03,14:30:00,15.669,15.669,15.659,15.659,133,0
2016-02-03,14:40:00,16.138,16.588,16.138,16.588,133,0
2016-02-03,14:50:00,17.62,17.62,17.127,17.127,130,0
2016-02-03,14:55:00,16.638,16.638,16.638,16.638,4,0
2016-02-03,15:15:00,16.931,16.931,16.931,16.931,129,0
2016-02-04,09:10:00,16.638,16.638,16.638,16.638,646,0
2016-02-04,14:30:00,16.055,16.055,16.055,16.055,102,0
2016-02-04,14:35:00,16.05,16.05,16.05,16.05,664,0
2016-02-08,09:20:00,16.436,16.436,16.436,16.436,10,0
2016-02-09,12:10:00,15.756,15.756,15.756,15.756,919,0
2016-02-09,12:15:00,16.417,16.417,15.908,16.407,126,0
2016-02-09,17:05:00,15.659,15.659,15.659,15.659,843,0
2016-02-10,09:05:00,15.659,16.143,15.659,16.143,181,0
2016-02-11,10:55:00,15.654,15.654,15.654,15.654,51,0
2016-02-11,13:15:00,15.654,15.654,15.654,15.654,153,0
2016-02-12,11:45:00,15.649,15.654,15.649,15.654,559,0
2016-02-12,14:45:00,15.659,16.143,15.659,16.143,110,0
2016-02-16,09:15:00,16.05,16.05,16.05,16.05,8,0
2016-02-16,09:45:00,16.143,16.143,16.143,16.143,2,0
2016-02-16,16:10:00,16.094,16.148,16.094,16.148,1021,0
2016-02-17,10:15:00,15.516,15.516,15.516,15.516,255,0
2016-02-17,11:05:00,16.143,16.143,16.143,16.143,1,0
2016-02-19,09:30:00,16.143,16.143,16.143,16.143,1,0
2016-02-19,14:25:00,15.849,16.148,15.849,16.148,1533,0
2016-02-22,11:00:00,16.241,16.241,16.241,16.241,1,0
2016-02-24,09:20:00,16.143,16.143,16.143,16.143,2,0
2016-02-24,17:30:00,16.079,16.079,16.079,16.079,5,0
2016-02-25,13:00:00,15.614,15.614,15.614,15.614,20,0
2016-02-25,14:05:00,16.045,16.045,16.045,16.045,2,0
2016-03-01,10:35:00,15.468,16.045,15.468,16.045,38,0
2016-03-03,15:15:00,15.849,16.05,15.849,16.05,976,0
2016-03-04,09:05:00,15.561,15.561,15.561,15.561,84,0
2016-03-08,13:50:00,16.04,16.089,16.04,16.089,797,0
2016-03-08,14:10:00,16.422,16.422,16.422,16.422,77,0
2016-03-09,15:35:00,16.343,16.393,16.343,16.393,102,0
