Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-29,09:05:00,9.749,9.749,9.749,9.749,84,0
2017-09-29,09:20:00,9.748,9.75,9.748,9.75,2044,0
2017-09-29,09:25:00,9.769,9.769,9.769,9.769,496,0
2017-09-29,09:35:00,9.889,9.95,9.889,9.95,4547,0
2017-09-29,09:40:00,9.949,9.95,9.949,9.95,800,0
2017-09-29,09:55:00,9.948,9.948,9.75,9.75,3552,0
2017-09-29,10:00:00,9.701,9.741,9.701,9.74,450,0
2017-09-29,10:05:00,9.735,9.735,9.735,9.735,1080,0
2017-09-29,10:10:00,9.76,9.76,9.76,9.76,420,0
2017-09-29,10:15:00,9.7,9.705,9.7,9.705,243,0
2017-09-29,10:25:00,9.75,9.75,9.75,9.75,90,0
2017-09-29,10:35:00,9.799,9.799,9.799,9.799,300,0
2017-09-29,11:10:00,9.74,9.74,9.74,9.74,100,0
2017-09-29,11:25:00,9.795,9.795,9.795,9.795,200,0
2017-09-29,11:35:00,9.78,9.8,9.78,9.8,1100,0
2017-09-29,11:40:00,9.8,9.8,9.8,9.8,150,0
2017-09-29,11:45:00,9.744,9.744,9.744,9.744,32,0
2017-09-29,11:55:00,9.744,9.744,9.744,9.744,69,0
2017-09-29,12:00:00,9.8,9.819,9.8,9.819,870,0
2017-09-29,12:05:00,9.744,9.744,9.74,9.74,278,0
2017-09-29,12:15:00,9.671,9.671,9.671,9.671,104,0
2017-09-29,12:50:00,9.795,9.796,9.795,9.796,762,0
2017-09-29,13:05:00,9.701,9.701,9.7,9.7,2000,0
2017-09-29,13:25:00,9.8,9.8,9.8,9.8,100,0
2017-09-29,14:15:00,9.827,9.827,9.827,9.827,30,0
2017-09-29,14:45:00,9.826,9.826,9.826,9.826,1000,0
2017-09-29,15:20:00,9.75,9.75,9.75,9.75,20,0
2017-09-29,15:30:00,9.829,9.829,9.829,9.829,300,0
2017-09-29,16:05:00,9.75,9.75,9.75,9.75,100,0
2017-09-29,16:10:00,9.681,9.681,9.681,9.681,100,0
2017-09-29,16:25:00,9.75,9.75,9.75,9.75,400,0
2017-09-29,16:50:00,9.807,9.807,9.807,9.807,1336,0
2017-09-29,17:00:00,9.681,9.681,9.681,9.681,300,0
2017-09-29,17:30:00,9.7,9.7,9.7,9.7,37,0
2017-10-02,09:05:00,9.812,9.812,9.812,9.812,1741,0
2017-10-02,09:10:00,9.71,9.71,9.71,9.71,2000,0
2017-10-02,09:15:00,9.71,9.71,9.71,9.71,1700,0
2017-10-02,09:20:00,9.701,9.701,9.681,9.681,2264,0
2017-10-02,09:25:00,9.8,9.8,9.8,9.8,170,0
2017-10-02,09:35:00,9.75,9.75,9.75,9.75,172,0
2017-10-02,09:45:00,9.791,9.791,9.78,9.78,3466,0
2017-10-02,10:05:00,9.79,9.794,9.79,9.794,1323,0
2017-10-02,10:10:00,9.821,9.85,9.82,9.85,1256,0
2017-10-02,10:20:00,9.751,9.751,9.751,9.751,75,0
2017-10-02,10:25:00,9.849,9.85,9.849,9.85,600,0
2017-10-02,10:30:00,9.879,9.9,9.879,9.9,4000,0
2017-10-02,10:40:00,9.782,9.782,9.782,9.782,1526,0
2017-10-02,10:50:00,9.95,9.951,9.95,9.95,3599,0
2017-10-02,11:10:00,9.95,9.95,9.95,9.95,400,0
2017-10-02,11:35:00,9.876,9.876,9.8,9.8,2000,0
2017-10-02,11:45:00,9.983,9.983,9.983,9.983,1516,0
2017-10-02,12:20:00,9.989,9.99,9.989,9.99,1481,0
2017-10-02,12:35:00,9.949,9.95,9.949,9.95,1000,0
2017-10-02,12:50:00,9.85,9.85,9.85,9.85,40,0
2017-10-02,13:05:00,9.9,9.9,9.9,9.9,200,0
2017-10-02,13:20:00,9.899,9.899,9.899,9.899,250,0
2017-10-02,13:30:00,9.899,9.899,9.899,9.899,80,0
2017-10-02,13:45:00,9.817,9.817,9.817,9.817,450,0
2017-10-02,14:20:00,9.82,9.82,9.819,9.819,660,0
2017-10-02,14:25:00,9.83,9.83,9.817,9.83,1320,0
2017-10-02,14:50:00,9.83,9.83,9.817,9.817,1000,0
2017-10-02,15:20:00,9.819,9.819,9.819,9.819,42,0
2017-10-02,16:05:00,9.85,9.85,9.85,9.85,100,0
2017-10-02,16:30:00,9.85,9.85,9.8,9.8,2817,0
2017-10-02,16:50:00,9.785,9.8,9.781,9.781,2683,0
2017-10-02,17:05:00,9.884,9.887,9.884,9.887,3449,0
2017-10-02,17:30:00,9.751,9.751,9.734,9.734,79,0
2017-10-04,09:05:00,9.675,9.69,9.675,9.69,2755,0
2017-10-04,09:10:00,9.69,9.73,9.69,9.7,660,0
2017-10-04,09:45:00,9.857,9.857,9.69,9.69,352,0
2017-10-04,10:05:00,9.71,9.71,9.53,9.53,3015,0
2017-10-04,10:15:00,9.541,9.541,9.541,9.541,500,0
2017-10-04,10:20:00,9.537,9.537,9.49,9.49,4103,0
2017-10-04,10:40:00,9.551,9.551,9.55,9.55,638,0
2017-10-04,11:05:00,9.551,9.551,9.55,9.55,200,0
2017-10-04,11:10:00,9.55,9.55,9.55,9.55,450,0
2017-10-04,11:15:00,9.55,9.55,9.5,9.5,500,0
2017-10-04,11:20:00,9.492,9.492,9.492,9.492,100,0
2017-10-04,11:30:00,9.692,9.692,9.692,9.692,50,0
2017-10-04,11:40:00,9.55,9.55,9.55,9.55,100,0
2017-10-04,11:50:00,9.55,9.55,9.55,9.55,900,0
2017-10-04,12:20:00,9.566,9.566,9.491,9.491,1050,0
2017-10-04,13:00:00,9.56,9.56,9.56,9.56,280,0
2017-10-04,13:05:00,9.56,9.56,9.56,9.56,90,0
2017-10-04,13:25:00,9.492,9.492,9.491,9.491,100,0
2017-10-04,13:45:00,9.491,9.491,9.491,9.491,85,0
2017-10-04,14:05:00,9.491,9.649,9.49,9.649,610,0
2017-10-04,14:15:00,9.491,9.491,9.49,9.49,900,0
2017-10-04,14:55:00,9.49,9.49,9.49,9.49,627,0
2017-10-04,15:05:00,9.48,9.48,9.48,9.48,930,0
2017-10-04,15:10:00,9.49,9.49,9.49,9.49,150,0
2017-10-04,15:15:00,9.48,9.48,9.48,9.48,70,0
2017-10-04,15:30:00,9.45,9.45,9.45,9.45,340,0
2017-10-04,15:40:00,9.45,9.45,9.45,9.45,2150,0
2017-10-04,15:45:00,9.45,9.45,9.45,9.45,800,0
2017-10-04,15:50:00,9.46,9.46,9.46,9.46,280,0
2017-10-04,15:55:00,9.46,9.46,9.46,9.46,70,0
2017-10-04,16:00:00,9.45,9.45,9.45,9.45,420,0
2017-10-04,16:20:00,9.45,9.45,9.45,9.45,200,0
2017-10-04,16:35:00,9.45,9.45,9.45,9.45,890,0
2017-10-04,16:40:00,9.49,9.495,9.49,9.495,239,0
2017-10-04,16:45:00,9.411,9.411,9.31,9.31,3108,0
2017-10-04,16:55:00,9.468,9.469,9.468,9.469,5000,0
2017-10-04,17:00:00,9.346,9.346,9.341,9.341,3069,0
2017-10-04,17:05:00,9.302,9.302,9.3,9.3,1077,0
2017-10-04,17:15:00,9.35,9.35,9.2,9.2,1500,0
2017-10-04,17:20:00,9.099,9.1,9.099,9.1,1600,0
2017-10-04,17:25:00,9.1,9.1,8.737,8.9,17515,0
2017-10-04,17:30:00,8.768,8.768,8.768,8.768,4985,0
2017-10-05,09:05:00,8.918,8.95,8.918,8.95,2375,0
2017-10-05,09:10:00,8.95,8.989,8.95,8.989,1069,0
2017-10-05,09:15:00,8.94,8.94,8.94,8.94,500,0
2017-10-05,09:20:00,8.95,8.95,8.8,8.8,4266,0
2017-10-05,09:25:00,8.8,8.91,8.721,8.81,3307,0
2017-10-05,09:30:00,8.909,9.349,8.909,9.104,3700,0
2017-10-05,09:35:00,9.339,9.339,9.339,9.339,1070,0
2017-10-05,09:55:00,9.099,9.099,9,9,330,0
2017-10-05,10:00:00,8.95,9.084,8.761,9.084,4510,0
2017-10-05,10:05:00,8.971,8.971,8.971,8.971,200,0
2017-10-05,10:10:00,8.991,8.991,8.99,8.99,590,0
2017-10-05,10:20:00,9.078,9.355,9.078,9.32,4895,0
2017-10-05,10:25:00,9.195,9.195,9.195,9.195,400,0
2017-10-05,11:05:00,9.278,9.34,9.278,9.34,667,0
2017-10-05,11:25:00,9.2,9.2,9.2,9.2,165,0
2017-10-05,11:30:00,9.109,9.249,9.109,9.249,105,0
2017-10-05,11:55:00,9.173,9.173,9.173,9.173,43,0
2017-10-05,12:00:00,9.196,9.196,9.195,9.195,92,0
2017-10-05,12:25:00,9.101,9.101,9.1,9.1,944,0
2017-10-05,12:35:00,9.001,9.001,9.001,9.001,42,0
2017-10-05,13:00:00,9.151,9.152,9.149,9.152,61,0
2017-10-05,13:10:00,9.033,9.033,9.033,9.033,42,0
2017-10-05,13:15:00,9.181,9.181,9.181,9.181,21,0
2017-10-05,13:40:00,9.179,9.18,9.179,9.18,49,0
2017-10-05,14:00:00,9.18,9.19,9.18,9.19,300,0
2017-10-05,14:10:00,9.2,9.295,9.2,9.295,233,0
2017-10-05,14:15:00,9.295,9.296,9.295,9.296,369,0
2017-10-05,14:20:00,9.295,9.296,9.295,9.296,620,0
2017-10-05,14:30:00,9.187,9.355,9.187,9.355,10616,0
2017-10-05,14:35:00,9.47,9.55,9.47,9.55,2870,0
2017-10-05,14:40:00,9.55,9.647,9.55,9.6,2164,0
2017-10-05,14:45:00,9.649,9.865,9.649,9.865,3400,0
2017-10-05,14:50:00,9.869,9.869,9.869,9.869,50,0
2017-10-05,14:55:00,9.864,9.865,9.859,9.86,1359,0
2017-10-05,15:00:00,9.868,9.869,9.77,9.77,577,0
2017-10-05,15:05:00,9.77,9.799,9.702,9.702,3334,0
2017-10-05,15:15:00,9.799,9.799,9.799,9.799,150,0
2017-10-05,15:25:00,9.73,9.73,9.73,9.73,470,0
2017-10-05,15:30:00,9.7,9.7,9.7,9.7,500,0
2017-10-05,15:35:00,9.799,9.799,9.799,9.799,70,0
2017-10-05,15:40:00,9.719,9.719,9.719,9.719,469,0
2017-10-05,15:45:00,9.72,9.72,9.719,9.719,2436,0
2017-10-05,15:50:00,9.63,9.63,9.63,9.63,200,0
2017-10-05,15:55:00,9.65,9.65,9.65,9.65,268,0
2017-10-05,16:05:00,9.624,9.624,9.56,9.56,1000,0
2017-10-05,16:10:00,9.779,9.779,9.779,9.779,60,0
2017-10-05,16:25:00,9.67,9.67,9.67,9.67,478,0
2017-10-05,16:30:00,9.651,9.651,9.61,9.61,687,0
2017-10-05,16:35:00,9.65,9.784,9.65,9.782,1438,0
2017-10-05,16:45:00,9.72,9.72,9.72,9.72,102,0
2017-10-05,16:50:00,9.611,9.611,9.611,9.611,870,0
2017-10-05,16:55:00,9.613,9.613,9.55,9.55,3034,0
2017-10-05,17:00:00,9.61,9.61,9.61,9.61,470,0
2017-10-05,17:05:00,9.551,9.551,9.551,9.551,280,0
2017-10-05,17:15:00,9.55,9.55,9.54,9.54,6384,0
2017-10-05,17:20:00,9.423,9.424,9.35,9.423,2328,0
2017-10-05,17:25:00,9.423,9.423,9.251,9.251,550,0
2017-10-05,17:30:00,9.36,9.424,9.36,9.424,973,0
2017-10-06,09:05:00,9.624,9.624,9.6,9.6,1915,0
2017-10-06,09:10:00,9.6,9.6,9.6,9.6,406,0
2017-10-06,09:20:00,9.5,9.5,9.5,9.5,1250,0
2017-10-06,09:30:00,9.484,9.484,9.484,9.484,1600,0
2017-10-06,09:45:00,9.507,9.507,9.507,9.507,300,0
2017-10-06,09:50:00,9.477,9.477,9.477,9.477,150,0
2017-10-06,09:55:00,9.38,9.38,9.317,9.317,200,0
2017-10-06,10:00:00,9.503,9.503,9.503,9.503,200,0
2017-10-06,10:05:00,9.43,9.43,9.429,9.429,1105,0
2017-10-06,11:25:00,9.387,9.387,9.387,9.387,400,0
2017-10-06,12:15:00,9.5,9.5,9.5,9.5,700,0
2017-10-06,12:30:00,9.497,9.498,9.35,9.35,332,0
2017-10-06,12:40:00,9.3,9.508,9.3,9.508,1850,0
2017-10-06,13:05:00,9.573,9.636,9.573,9.636,534,0
2017-10-06,13:10:00,9.637,9.637,9.52,9.52,330,0
2017-10-06,13:30:00,9.41,9.41,9.41,9.41,180,0
2017-10-06,14:50:00,9.338,9.338,9.338,9.338,300,0
2017-10-06,14:55:00,9.338,9.338,9.338,9.338,1300,0
2017-10-06,15:00:00,9.329,9.33,9.329,9.33,1000,0
2017-10-06,15:35:00,9.3,9.3,9.3,9.3,100,0
2017-10-06,16:10:00,9.33,9.422,9.33,9.422,1725,0
2017-10-06,16:15:00,9.251,9.251,9.251,9.251,500,0
2017-10-06,16:30:00,9.281,9.281,9.281,9.281,300,0
2017-10-06,17:05:00,9.415,9.415,9.415,9.415,219,0
2017-10-06,17:10:00,9.413,9.413,9.413,9.413,31,0
2017-10-06,17:25:00,9.3,9.3,9.3,9.3,150,0
2017-10-06,17:30:00,9.153,9.3,9.153,9.3,1652,0
2017-10-09,09:05:00,9.151,9.151,9.151,9.151,260,0
2017-10-09,09:35:00,9.201,9.201,9.15,9.15,3631,0
2017-10-09,09:45:00,9.05,9.05,9,9,1667,0
2017-10-09,09:50:00,8.891,8.891,8.85,8.885,8132,0
2017-10-09,10:00:00,9.07,9.07,9,9,175,0
2017-10-09,10:15:00,8.953,8.953,8.953,8.953,416,0
2017-10-09,11:15:00,8.911,8.911,8.9,8.9,1000,0
2017-10-09,11:20:00,8.93,8.93,8.93,8.93,270,0
2017-10-09,11:30:00,8.93,8.935,8.93,8.935,272,0
2017-10-09,11:40:00,8.911,8.911,8.911,8.911,26,0
2017-10-09,11:50:00,8.97,8.97,8.97,8.97,250,0
2017-10-09,12:00:00,8.91,8.91,8.91,8.91,300,0
2017-10-09,12:10:00,8.922,8.98,8.922,8.98,833,0
2017-10-09,12:40:00,8.95,8.95,8.865,8.865,3452,0
2017-10-09,13:00:00,8.98,8.98,8.98,8.98,520,0
2017-10-09,13:05:00,8.98,8.98,8.98,8.98,220,0
2017-10-09,13:10:00,8.98,8.98,8.98,8.98,60,0
2017-10-09,13:35:00,9.029,9.091,9.029,9.091,1509,0
2017-10-09,14:40:00,9.08,9.08,9.08,9.08,200,0
2017-10-09,15:00:00,9.007,9.007,9.007,9.007,250,0
2017-10-09,15:15:00,9.08,9.081,9.08,9.081,1000,0
2017-10-09,15:40:00,9.037,9.037,9.037,9.037,45,0
2017-10-09,16:00:00,9.06,9.06,9.06,9.06,75,0
2017-10-09,16:10:00,9.07,9.07,9.069,9.07,1622,0
2017-10-09,16:45:00,9.037,9.037,9.037,9.037,1600,0
