Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-06-07,09:05:00,1.736,1.736,1.736,1.736,559,0
2017-06-07,09:50:00,1.73,1.73,1.73,1.73,500,0
2017-06-07,10:45:00,1.751,1.751,1.751,1.751,1000,0
2017-06-07,11:25:00,1.708,1.708,1.708,1.708,500,0
2017-06-07,11:40:00,1.759,1.759,1.759,1.759,1700,0
2017-06-07,11:45:00,1.759,1.759,1.759,1.759,571,0
2017-06-07,12:10:00,1.764,1.764,1.764,1.764,400,0
2017-06-07,12:30:00,1.75,1.75,1.66,1.66,20000,0
2017-06-07,12:35:00,1.747,1.747,1.747,1.747,5000,0
2017-06-07,12:40:00,1.729,1.73,1.728,1.728,4800,0
2017-06-07,13:05:00,1.722,1.744,1.722,1.744,2000,0
2017-06-07,13:10:00,1.72,1.75,1.72,1.75,1600,0
2017-06-07,16:00:00,1.73,1.73,1.73,1.73,420,0
2017-06-07,16:35:00,1.76,1.76,1.76,1.76,1000,0
2017-06-07,16:45:00,1.731,1.731,1.731,1.731,1000,0
2017-06-07,16:50:00,1.73,1.73,1.73,1.73,64,0
2017-06-07,17:15:00,1.763,1.808,1.763,1.805,4959,0
2017-06-07,17:30:00,1.766,1.766,1.766,1.766,3100,0
2017-06-08,10:35:00,1.798,1.799,1.798,1.799,3200,0
2017-06-08,11:30:00,1.75,1.75,1.75,1.75,200,0
2017-06-08,12:25:00,1.709,1.709,1.707,1.707,3500,0
2017-06-08,15:05:00,1.72,1.72,1.72,1.72,100,0
2017-06-08,16:05:00,1.719,1.719,1.719,1.719,934,0
2017-06-08,17:25:00,1.651,1.72,1.651,1.72,970,0
2017-06-09,09:05:00,1.702,1.702,1.702,1.702,200,0
2017-06-09,09:10:00,1.701,1.701,1.7,1.7,7495,0
2017-06-09,10:35:00,1.75,1.75,1.75,1.75,1760,0
2017-06-09,11:00:00,1.673,1.673,1.663,1.663,2455,0
2017-06-09,13:05:00,1.663,1.663,1.663,1.663,258,0
2017-06-09,13:15:00,1.67,1.67,1.67,1.67,200,0
2017-06-09,13:30:00,1.67,1.67,1.67,1.67,5,0
2017-06-09,14:45:00,1.684,1.684,1.684,1.684,500,0
2017-06-09,15:40:00,1.762,1.773,1.762,1.773,7547,0
2017-06-09,16:25:00,1.679,1.679,1.679,1.679,1775,0
2017-06-09,17:10:00,1.668,1.668,1.668,1.668,148,0
2017-06-12,09:05:00,1.763,1.763,1.763,1.763,3904,0
