Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-18,09:05:00,80,80,80,80,1,0
2017-10-18,09:10:00,79.88,79.88,79.72,79.72,1169,0
2017-10-18,09:15:00,79.91,79.97,79.85,79.85,306,0
2017-10-18,09:25:00,79.97,79.97,79.97,79.97,102,0
2017-10-18,09:30:00,79.97,79.98,79.94,79.95,153,0
2017-10-18,09:35:00,79.86,79.86,79.85,79.85,403,0
2017-10-18,09:45:00,79.86,79.95,79.86,79.94,303,0
2017-10-18,09:50:00,79.89,79.89,79.89,79.89,7,0
2017-10-18,10:00:00,79.93,79.98,79.86,79.86,87,0
2017-10-18,10:55:00,79.85,79.85,79.85,79.85,87,0
2017-10-18,11:00:00,79.85,79.85,79.85,79.85,333,0
2017-10-18,11:40:00,79.85,79.85,79.85,79.85,39,0
2017-10-18,11:45:00,79.85,79.89,79.85,79.88,149,0
2017-10-18,11:50:00,79.89,80.13,79.89,80.13,1076,0
2017-10-18,11:55:00,80.13,80.13,80.13,80.13,20,0
2017-10-18,12:00:00,80.12,80.18,80.12,80.18,276,0
2017-10-18,12:05:00,80.06,80.06,80.06,80.06,27,0
2017-10-18,12:10:00,80.1,80.15,80.1,80.15,242,0
2017-10-18,12:15:00,80.2,80.35,80.2,80.35,405,0
2017-10-18,12:25:00,80.37,80.4,80.37,80.4,164,0
2017-10-18,12:35:00,80.47,80.56,80.46,80.56,149,0
2017-10-18,12:45:00,80.5,80.5,80.5,80.5,100,0
2017-10-18,12:50:00,80.47,80.54,80.47,80.54,65,0
2017-10-18,12:55:00,80.55,80.71,80.55,80.71,298,0
2017-10-18,13:05:00,80.71,80.71,80.71,80.71,14,0
2017-10-18,13:10:00,80.71,80.97,80.71,80.97,373,0
2017-10-18,13:25:00,80.79,80.95,80.79,80.84,115,0
2017-10-18,13:30:00,80.78,80.84,80.77,80.84,133,0
2017-10-18,13:40:00,80.75,80.75,80.75,80.75,1,0
2017-10-18,13:50:00,80.84,80.89,80.84,80.89,96,0
2017-10-18,14:05:00,80.82,80.82,80.82,80.82,7,0
2017-10-18,14:20:00,80.85,80.85,80.78,80.78,74,0
2017-10-18,14:25:00,80.87,80.95,80.87,80.95,317,0
2017-10-18,14:30:00,80.86,80.86,80.78,80.79,150,0
2017-10-18,14:35:00,80.87,80.9,80.87,80.9,33,0
2017-10-18,14:50:00,80.97,80.97,80.91,80.91,32,0
2017-10-18,15:00:00,80.9,81,80.9,81,271,0
2017-10-18,15:05:00,81,81.05,81,81.05,219,0
2017-10-18,15:20:00,81.1,81.14,81.07,81.14,203,0
2017-10-18,15:30:00,80.88,80.88,80.88,80.88,53,0
2017-10-18,15:35:00,80.88,80.88,80.88,80.88,22,0
2017-10-18,15:40:00,80.88,80.88,80.88,80.88,39,0
2017-10-18,15:45:00,80.94,81,80.94,81,228,0
2017-10-18,15:50:00,81.06,81.13,81.06,81.13,83,0
2017-10-18,16:05:00,81.09,81.15,81.05,81.15,102,0
2017-10-18,16:10:00,81.04,81.04,80.9,80.9,119,0
2017-10-18,16:15:00,80.97,80.99,80.9,80.9,146,0
2017-10-18,16:20:00,80.98,81.2,80.98,81.19,388,0
2017-10-18,16:25:00,81.2,81.24,81.2,81.24,181,0
2017-10-18,16:30:00,81.23,81.23,81.23,81.23,7,0
2017-10-18,16:35:00,81.24,81.34,81.24,81.34,541,0
2017-10-18,16:40:00,81.23,81.23,81.23,81.23,76,0
2017-10-18,16:50:00,81.15,81.15,81.14,81.15,146,0
2017-10-18,16:55:00,81.22,81.28,81.22,81.28,904,0
2017-10-18,17:05:00,81.38,81.47,81.36,81.36,242,0
2017-10-18,17:10:00,81.31,81.31,81.3,81.3,74,0
2017-10-18,17:15:00,81.23,81.3,81.22,81.3,122,0
2017-10-18,17:20:00,81.23,81.23,81.23,81.23,15,0
2017-10-18,17:25:00,81.22,81.22,81.16,81.16,47,0
2017-10-18,17:30:00,81.19,81.3,80.9,80.9,1408,0
2017-10-19,09:05:00,81.03,81.47,80.97,81.47,290,0
2017-10-19,09:15:00,81.42,81.42,81.12,81.33,671,0
2017-10-19,09:25:00,81.37,81.37,81.33,81.33,123,0
2017-10-19,09:30:00,81.18,81.38,81.18,81.38,253,0
2017-10-19,09:35:00,81.33,81.33,81.24,81.24,56,0
2017-10-19,09:45:00,81.4,81.51,81.33,81.51,275,0
2017-10-19,09:50:00,81.38,81.38,81.37,81.37,140,0
2017-10-19,09:55:00,81.38,81.38,81.38,81.38,61,0
2017-10-19,10:05:00,81.33,81.33,81.24,81.24,86,0
2017-10-19,10:20:00,81.2,81.2,80.97,80.97,163,0
2017-10-19,10:25:00,80.77,80.77,80.77,80.77,21,0
2017-10-19,10:30:00,80.69,80.69,80.69,80.69,10,0
2017-10-19,10:35:00,80.69,80.69,80.69,80.69,10,0
2017-10-19,10:40:00,80.69,80.69,80.69,80.69,26,0
2017-10-19,10:50:00,80.69,80.69,80.69,80.69,45,0
2017-10-19,10:55:00,80.69,80.8,80.69,80.8,168,0
2017-10-19,11:00:00,80.99,80.99,80.99,80.99,105,0
2017-10-19,11:10:00,80.83,80.83,80.83,80.83,28,0
2017-10-19,11:20:00,80.8,80.8,80.69,80.69,129,0
2017-10-19,11:25:00,80.55,80.55,80.55,80.55,19,0
2017-10-19,11:35:00,80.55,80.55,80.47,80.47,65,0
2017-10-19,11:45:00,80.47,80.55,80.43,80.43,25,0
2017-10-19,12:00:00,80.47,80.47,80.43,80.43,36,0
2017-10-19,12:05:00,80.48,80.48,80.32,80.33,165,0
2017-10-19,12:10:00,80.46,80.46,80.46,80.46,21,0
2017-10-19,12:15:00,80.34,80.34,80.34,80.34,102,0
2017-10-19,12:20:00,80.25,80.35,80.24,80.35,466,0
2017-10-19,12:25:00,80.23,80.23,80.23,80.23,35,0
2017-10-19,12:30:00,80.09,80.09,80.07,80.07,161,0
2017-10-19,12:40:00,80.06,80.15,80.06,80.15,100,0
2017-10-19,12:45:00,80.22,80.27,80.17,80.27,315,0
2017-10-19,12:50:00,80.27,80.46,80.27,80.46,192,0
2017-10-19,12:55:00,80.46,80.46,80.22,80.22,316,0
2017-10-19,13:00:00,80.36,80.36,80.08,80.08,168,0
2017-10-19,13:05:00,80.15,80.16,80.11,80.11,36,0
2017-10-19,13:10:00,80.11,80.21,80,80,359,0
2017-10-19,13:15:00,80.13,80.14,80.13,80.14,160,0
2017-10-19,13:30:00,80.1,80.1,80.06,80.06,33,0
2017-10-19,13:35:00,80.03,80.03,80.03,80.03,73,0
2017-10-19,13:50:00,80.01,80.01,80.01,80.01,8,0
2017-10-19,13:55:00,80.01,80.01,79.77,79.92,2011,0
2017-10-19,14:00:00,79.77,79.81,79.76,79.81,74,0
2017-10-19,14:05:00,79.76,79.76,79.7,79.7,199,0
2017-10-19,14:10:00,79.58,79.58,79.56,79.56,156,0
2017-10-19,14:15:00,79.51,79.56,79.51,79.56,21,0
2017-10-19,14:20:00,79.51,79.61,79.51,79.61,106,0
2017-10-19,14:25:00,79.5,79.5,79.41,79.41,135,0
2017-10-19,14:40:00,79.43,79.47,79.41,79.41,297,0
2017-10-19,14:50:00,79.48,79.48,79.4,79.42,815,0
2017-10-19,15:00:00,79.47,79.47,79.47,79.47,1,0
2017-10-19,15:05:00,79.4,79.4,79.4,79.4,56,0
2017-10-19,15:10:00,79.4,79.4,79.4,79.4,15,0
2017-10-19,15:15:00,79.4,79.4,79.33,79.33,585,0
2017-10-19,15:20:00,79.3,79.3,79.3,79.3,44,0
2017-10-19,15:25:00,79.33,79.33,79.33,79.33,71,0
2017-10-19,15:30:00,79.3,79.3,79.3,79.3,12,0
2017-10-19,15:35:00,79.34,79.4,79.34,79.35,262,0
2017-10-19,15:50:00,79.45,79.45,79.41,79.43,260,0
2017-10-19,16:05:00,79.4,79.4,79.4,79.4,51,0
2017-10-19,16:20:00,79.36,79.36,79.35,79.35,29,0
2017-10-19,16:25:00,79.4,79.62,79.4,79.59,371,0
2017-10-19,16:35:00,79.53,79.56,79.53,79.56,22,0
2017-10-19,16:40:00,79.53,79.53,79.39,79.39,236,0
2017-10-19,16:50:00,79.4,79.42,79.4,79.42,64,0
2017-10-19,16:55:00,79.46,79.54,79.46,79.54,419,0
2017-10-19,17:00:00,79.53,79.76,79.53,79.76,346,0
2017-10-19,17:05:00,79.76,79.9,79.76,79.79,401,0
2017-10-19,17:10:00,79.77,79.78,79.74,79.77,418,0
2017-10-19,17:15:00,79.7,79.7,79.59,79.63,104,0
2017-10-19,17:20:00,79.65,79.66,79.55,79.55,75,0
2017-10-19,17:25:00,79.55,79.76,79.48,79.48,926,0
2017-10-19,17:30:00,79.61,79.98,79.42,79.42,1910,0
2017-10-20,09:10:00,79.76,79.94,79.76,79.94,68,0
2017-10-20,09:20:00,80,80.2,80,80.2,351,0
2017-10-20,09:30:00,80.14,80.14,80.14,80.14,17,0
2017-10-20,09:40:00,80.26,80.4,80.26,80.4,522,0
2017-10-20,09:45:00,80.5,80.81,80.5,80.81,526,0
2017-10-20,09:55:00,80.83,80.86,80.83,80.86,133,0
2017-10-20,10:05:00,80.8,80.8,80.8,80.8,78,0
2017-10-20,10:25:00,80.71,80.71,80.54,80.54,325,0
2017-10-20,10:30:00,80.64,80.64,80.14,80.14,129,0
2017-10-20,10:35:00,80.07,80.07,80.06,80.06,27,0
2017-10-20,10:40:00,80.19,80.26,80.17,80.2,351,0
2017-10-20,10:45:00,80.21,80.21,80.21,80.21,4,0
2017-10-20,11:00:00,80.38,80.38,80.38,80.38,20,0
2017-10-20,12:20:00,80.32,80.32,80.32,80.32,99,0
2017-10-20,12:40:00,80.3,80.3,80.3,80.3,16,0
2017-10-20,12:55:00,80.3,80.38,80.3,80.33,206,0
2017-10-20,13:00:00,80.56,80.56,80.48,80.48,83,0
2017-10-20,13:05:00,80.53,80.53,80.53,80.53,7,0
2017-10-20,13:25:00,80.52,80.52,80.52,80.52,23,0
2017-10-20,13:30:00,80.43,80.45,80.43,80.45,83,0
2017-10-20,13:45:00,80.48,80.5,80.48,80.5,67,0
2017-10-20,14:35:00,80.38,80.38,80.3,80.3,53,0
2017-10-20,15:00:00,80.38,80.52,80.38,80.52,189,0
2017-10-20,15:15:00,80.44,80.44,80.42,80.42,293,0
2017-10-20,15:25:00,80.49,80.5,80.4,80.4,292,0
