Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,69.23,69.31,69.09,69.3,83119,0
2017-10-26,09:10:00,69.31,69.38,69.13,69.22,62476,0
2017-10-26,09:15:00,69.23,69.26,69.09,69.14,19856,0
2017-10-26,09:20:00,69.16,69.29,69.1,69.22,26228,0
2017-10-26,09:25:00,69.23,69.26,69.12,69.15,19003,0
2017-10-26,09:30:00,69.16,69.33,69.16,69.3,20814,0
2017-10-26,09:35:00,69.34,69.34,69.21,69.29,12619,0
2017-10-26,09:40:00,69.3,69.32,69.11,69.11,23232,0
2017-10-26,09:45:00,69.1,69.18,69.07,69.17,17043,0
2017-10-26,09:50:00,69.16,69.16,69.02,69.1,22900,0
2017-10-26,09:55:00,69.11,69.15,69.08,69.1,13837,0
2017-10-26,10:00:00,69.1,69.18,69.06,69.08,23257,0
2017-10-26,10:05:00,69.1,69.16,69.07,69.11,19598,0
2017-10-26,10:10:00,69.1,69.17,69.05,69.11,23150,0
2017-10-26,10:15:00,69.11,69.15,69.09,69.13,11946,0
2017-10-26,10:20:00,69.14,69.21,69.1,69.17,22713,0
2017-10-26,10:25:00,69.17,69.19,69.11,69.18,14716,0
2017-10-26,10:30:00,69.16,69.24,69.16,69.2,8682,0
2017-10-26,10:35:00,69.21,69.27,69.2,69.2,16800,0
2017-10-26,10:40:00,69.21,69.21,69.13,69.16,7640,0
2017-10-26,10:45:00,69.17,69.24,69.17,69.23,9245,0
2017-10-26,10:50:00,69.25,69.33,69.25,69.31,22358,0
2017-10-26,10:55:00,69.31,69.31,69.24,69.24,9679,0
2017-10-26,11:00:00,69.25,69.45,69.25,69.44,31581,0
2017-10-26,11:05:00,69.43,69.45,69.32,69.33,30195,0
2017-10-26,11:10:00,69.34,69.38,69.34,69.38,5586,0
2017-10-26,11:15:00,69.38,69.41,69.38,69.4,6754,0
2017-10-26,11:20:00,69.4,69.43,69.39,69.42,8369,0
2017-10-26,11:25:00,69.43,69.46,69.39,69.4,17406,0
2017-10-26,11:30:00,69.41,69.54,69.41,69.54,38374,0
2017-10-26,11:35:00,69.53,69.56,69.49,69.49,18733,0
2017-10-26,11:40:00,69.46,69.53,69.45,69.46,20866,0
2017-10-26,11:45:00,69.48,69.52,69.47,69.52,10190,0
2017-10-26,11:50:00,69.52,69.58,69.48,69.58,32824,0
2017-10-26,11:55:00,69.58,69.62,69.52,69.52,16415,0
2017-10-26,12:00:00,69.52,69.52,69.44,69.49,38354,0
2017-10-26,12:05:00,69.51,69.55,69.47,69.5,9541,0
