Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,14.45,14.45,14.26,14.325,1068719,0
2017-10-26,09:10:00,14.325,14.46,14.285,14.435,500883,0
2017-10-26,09:15:00,14.435,14.465,14.32,14.32,570550,0
2017-10-26,09:20:00,14.33,14.345,14.205,14.325,951463,0
2017-10-26,09:25:00,14.33,14.33,14.165,14.165,605207,0
2017-10-26,09:30:00,14.165,14.23,14.155,14.19,420898,0
2017-10-26,09:35:00,14.195,14.285,14.185,14.23,468744,0
2017-10-26,09:40:00,14.24,14.275,14.205,14.205,572990,0
2017-10-26,09:45:00,14.205,14.21,14.115,14.115,566787,0
2017-10-26,09:50:00,14.12,14.17,14.105,14.155,568584,0
2017-10-26,09:55:00,14.155,14.175,14.125,14.175,329086,0
2017-10-26,10:00:00,14.18,14.245,14.175,14.225,795642,0
2017-10-26,10:05:00,14.225,14.265,14.215,14.255,287619,0
2017-10-26,10:10:00,14.245,14.28,14.22,14.245,208045,0
2017-10-26,10:15:00,14.25,14.275,14.2,14.205,268913,0
2017-10-26,10:20:00,14.21,14.26,14.19,14.24,343967,0
2017-10-26,10:25:00,14.235,14.255,14.215,14.235,160420,0
2017-10-26,10:30:00,14.24,14.275,14.23,14.25,169233,0
2017-10-26,10:35:00,14.255,14.265,14.225,14.225,145780,0
2017-10-26,10:40:00,14.23,14.24,14.205,14.205,139886,0
2017-10-26,10:45:00,14.2,14.22,14.2,14.22,244101,0
2017-10-26,10:50:00,14.22,14.23,14.195,14.22,210980,0
2017-10-26,10:55:00,14.225,14.25,14.21,14.21,160545,0
2017-10-26,11:00:00,14.215,14.225,14.2,14.21,313835,0
2017-10-26,11:05:00,14.205,14.235,14.205,14.23,102568,0
2017-10-26,11:10:00,14.23,14.235,14.21,14.225,69592,0
2017-10-26,11:15:00,14.225,14.24,14.205,14.235,147011,0
2017-10-26,11:20:00,14.235,14.25,14.23,14.25,147272,0
2017-10-26,11:25:00,14.25,14.25,14.21,14.21,82646,0
2017-10-26,11:30:00,14.21,14.245,14.21,14.23,78551,0
2017-10-26,11:35:00,14.23,14.23,14.205,14.225,92122,0
2017-10-26,11:40:00,14.225,14.24,14.225,14.235,73105,0
