Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-24,09:05:00,7.12,7.12,7.084,7.09,6199,0
2017-10-24,09:10:00,7.082,7.084,7.07,7.07,1866,0
2017-10-24,09:15:00,7.077,7.084,7.07,7.083,4583,0
2017-10-24,09:20:00,7.078,7.081,7.072,7.08,2730,0
2017-10-24,09:25:00,7.091,7.105,7.091,7.102,7622,0
2017-10-24,09:30:00,7.108,7.12,7.108,7.112,621,0
2017-10-24,09:35:00,7.109,7.115,7.104,7.107,3774,0
2017-10-24,09:40:00,7.102,7.11,7.1,7.1,8633,0
2017-10-24,09:45:00,7.1,7.11,7.096,7.104,27576,0
2017-10-24,09:50:00,7.106,7.11,7.098,7.102,8909,0
2017-10-24,09:55:00,7.099,7.11,7.099,7.108,7366,0
2017-10-24,10:00:00,7.107,7.11,7.101,7.108,3473,0
2017-10-24,10:05:00,7.108,7.11,7.1,7.105,2834,0
2017-10-24,10:10:00,7.104,7.104,7.09,7.093,13880,0
2017-10-24,10:15:00,7.096,7.097,7.095,7.097,410,0
2017-10-24,10:20:00,7.097,7.102,7.097,7.102,2694,0
2017-10-24,10:25:00,7.1,7.1,7.091,7.093,9097,0
2017-10-24,10:30:00,7.092,7.093,7.092,7.093,1496,0
2017-10-24,10:35:00,7.101,7.101,7.093,7.093,2980,0
2017-10-24,10:40:00,7.093,7.095,7.085,7.085,5951,0
2017-10-24,10:45:00,7.087,7.091,7.085,7.089,3340,0
2017-10-24,10:50:00,7.089,7.093,7.089,7.093,2798,0
2017-10-24,10:55:00,7.097,7.104,7.095,7.104,1184,0
2017-10-24,11:00:00,7.104,7.11,7.104,7.11,742,0
2017-10-24,11:05:00,7.108,7.108,7.088,7.095,14295,0
2017-10-24,11:10:00,7.092,7.095,7.086,7.095,4737,0
2017-10-24,11:15:00,7.09,7.092,7.09,7.092,2383,0
2017-10-24,11:20:00,7.1,7.1,7.094,7.094,6679,0
2017-10-24,11:25:00,7.088,7.088,7.088,7.088,655,0
2017-10-24,11:30:00,7.086,7.086,7.086,7.086,445,0
2017-10-24,11:35:00,7.081,7.081,7.07,7.072,3692,0
2017-10-24,11:40:00,7.075,7.076,7.074,7.074,3035,0
2017-10-24,11:45:00,7.069,7.069,7.068,7.068,767,0
2017-10-24,11:50:00,7.064,7.064,7.064,7.064,10,0
2017-10-24,11:55:00,7.07,7.07,7.065,7.065,477,0
2017-10-24,12:00:00,7.065,7.071,7.065,7.07,2088,0
2017-10-24,12:05:00,7.068,7.068,7.068,7.068,301,0
2017-10-24,12:10:00,7.07,7.07,7.068,7.068,577,0
2017-10-24,12:15:00,7.064,7.064,7.064,7.064,1734,0
2017-10-24,12:20:00,7.057,7.057,7.047,7.054,1173,0
2017-10-24,12:25:00,7.058,7.062,7.058,7.061,5554,0
2017-10-24,12:35:00,7.063,7.066,7.063,7.066,381,0
2017-10-24,12:40:00,7.065,7.067,7.065,7.065,1108,0
2017-10-24,12:45:00,7.065,7.065,7.061,7.061,1259,0
2017-10-24,12:55:00,7.066,7.066,7.062,7.062,1991,0
2017-10-24,13:00:00,7.066,7.066,7.058,7.06,4024,0
2017-10-24,13:05:00,7.059,7.059,7.058,7.058,768,0
2017-10-24,13:10:00,7.059,7.059,7.041,7.041,4429,0
2017-10-24,13:15:00,7.049,7.06,7.044,7.054,17648,0
2017-10-24,13:20:00,7.054,7.06,7.043,7.043,13825,0
2017-10-24,13:25:00,7.044,7.05,7.044,7.047,2705,0
2017-10-24,13:30:00,7.054,7.058,7.054,7.058,1895,0
2017-10-24,13:35:00,7.056,7.067,7.055,7.06,6201,0
2017-10-24,13:40:00,7.061,7.061,7.061,7.061,801,0
2017-10-24,13:45:00,7.067,7.069,7.067,7.069,597,0
2017-10-24,13:50:00,7.067,7.072,7.063,7.063,5987,0
2017-10-24,13:55:00,7.067,7.072,7.067,7.072,3024,0
2017-10-24,14:00:00,7.076,7.088,7.074,7.083,7601,0
2017-10-24,14:10:00,7.083,7.083,7.081,7.081,1950,0
2017-10-24,14:20:00,7.081,7.089,7.081,7.082,1562,0
2017-10-24,14:25:00,7.078,7.078,7.076,7.076,1775,0
2017-10-24,14:30:00,7.078,7.078,7.073,7.073,3027,0
2017-10-24,14:35:00,7.072,7.081,7.072,7.074,3376,0
2017-10-24,14:40:00,7.066,7.066,7.066,7.066,928,0
2017-10-24,14:45:00,7.057,7.057,7,7.02,22943,0
2017-10-24,14:50:00,7.017,7.032,7.017,7.032,2161,0
2017-10-24,15:00:00,7.032,7.032,7.02,7.02,4301,0
2017-10-24,15:05:00,7.021,7.032,7.021,7.032,2601,0
2017-10-24,15:10:00,7.038,7.04,7.038,7.04,230,0
2017-10-24,15:15:00,7.041,7.041,7.041,7.041,480,0
2017-10-24,15:20:00,7.043,7.054,7.043,7.054,1660,0
2017-10-24,15:25:00,7.059,7.061,7.059,7.061,763,0
2017-10-24,15:30:00,7.051,7.057,7.05,7.057,2206,0
2017-10-24,15:35:00,7.049,7.049,7.031,7.036,4237,0
2017-10-24,15:40:00,7.047,7.047,7.035,7.035,2860,0
2017-10-24,15:45:00,7.035,7.035,7.022,7.022,4072,0
2017-10-24,15:50:00,7.03,7.043,7.026,7.043,6560,0
2017-10-24,15:55:00,7.036,7.064,7.036,7.064,5039,0
2017-10-24,16:00:00,7.065,7.087,7.065,7.078,5899,0
2017-10-24,16:05:00,7.083,7.101,7.083,7.101,2344,0
2017-10-24,16:10:00,7.091,7.091,7.065,7.07,16730,0
2017-10-24,16:20:00,7.079,7.09,7.079,7.09,4972,0
2017-10-24,16:25:00,7.091,7.091,7.081,7.081,754,0
2017-10-24,16:30:00,7.077,7.083,7.077,7.083,1894,0
2017-10-24,16:35:00,7.085,7.1,7.069,7.081,22357,0
2017-10-24,16:40:00,7.085,7.121,7.075,7.086,19407,0
2017-10-24,16:45:00,7.09,7.097,7.082,7.082,3733,0
2017-10-24,16:50:00,7.075,7.08,7.075,7.08,1054,0
2017-10-24,16:55:00,7.07,7.08,7.07,7.08,1748,0
2017-10-24,17:00:00,7.08,7.097,7.078,7.078,4548,0
2017-10-24,17:05:00,7.084,7.084,7.068,7.08,4116,0
2017-10-24,17:10:00,7.08,7.08,7.07,7.07,2951,0
2017-10-24,17:15:00,7.075,7.075,7.075,7.075,1964,0
2017-10-24,17:20:00,7.071,7.097,7.068,7.089,10342,0
2017-10-24,17:25:00,7.081,7.081,7.069,7.078,5982,0
2017-10-24,17:30:00,7.072,7.093,7.056,7.093,98446,0
2017-10-25,09:05:00,7.09,7.09,7.09,7.09,3331,0
2017-10-25,09:20:00,7.084,7.106,7.072,7.105,4966,0
2017-10-25,09:25:00,7.103,7.124,7.099,7.124,2956,0
2017-10-25,09:35:00,7.126,7.128,7.12,7.12,1198,0
2017-10-25,09:40:00,7.114,7.114,7.114,7.114,163,0
2017-10-25,09:45:00,7.13,7.137,7.13,7.137,336,0
2017-10-25,09:50:00,7.129,7.137,7.123,7.123,2108,0
2017-10-25,09:55:00,7.119,7.121,7.11,7.113,3536,0
2017-10-25,10:00:00,7.113,7.126,7.113,7.126,457,0
2017-10-25,10:05:00,7.136,7.143,7.128,7.129,1808,0
2017-10-25,10:10:00,7.127,7.127,7.119,7.119,580,0
2017-10-25,10:15:00,7.094,7.094,7.094,7.094,500,0
2017-10-25,10:20:00,7.092,7.093,7.092,7.093,185,0
2017-10-25,10:30:00,7.096,7.099,7.092,7.092,237,0
2017-10-25,10:40:00,7.092,7.101,7.091,7.101,1275,0
2017-10-25,10:45:00,7.102,7.108,7.096,7.108,1841,0
2017-10-25,10:50:00,7.111,7.121,7.11,7.121,1418,0
2017-10-25,10:55:00,7.117,7.126,7.105,7.126,5764,0
2017-10-25,11:00:00,7.118,7.131,7.118,7.131,929,0
2017-10-25,11:05:00,7.138,7.146,7.138,7.144,2955,0
2017-10-25,11:10:00,7.139,7.139,7.138,7.138,693,0
2017-10-25,11:20:00,7.146,7.146,7.146,7.146,230,0
2017-10-25,11:25:00,7.145,7.15,7.145,7.15,9819,0
2017-10-25,11:30:00,7.157,7.159,7.157,7.159,956,0
2017-10-25,11:35:00,7.165,7.166,7.154,7.156,590,0
2017-10-25,11:40:00,7.164,7.182,7.164,7.174,4571,0
2017-10-25,11:45:00,7.173,7.173,7.167,7.167,1166,0
2017-10-25,11:50:00,7.17,7.17,7.154,7.154,2099,0
2017-10-25,11:55:00,7.153,7.153,7.138,7.138,1686,0
2017-10-25,12:00:00,7.138,7.138,7.124,7.136,2720,0
2017-10-25,12:05:00,7.13,7.13,7.13,7.13,147,0
2017-10-25,12:15:00,7.13,7.13,7.124,7.124,1635,0
2017-10-25,12:20:00,7.132,7.14,7.132,7.14,2158,0
2017-10-25,12:25:00,7.145,7.16,7.145,7.16,1291,0
2017-10-25,12:30:00,7.15,7.15,7.15,7.15,350,0
2017-10-25,12:40:00,7.137,7.137,7.135,7.135,1083,0
2017-10-25,12:45:00,7.131,7.138,7.123,7.123,7498,0
2017-10-25,12:50:00,7.123,7.123,7.123,7.123,17,0
2017-10-25,12:55:00,7.129,7.129,7.129,7.129,567,0
2017-10-25,13:00:00,7.13,7.144,7.13,7.144,1318,0
2017-10-25,13:05:00,7.148,7.148,7.13,7.134,2125,0
2017-10-25,13:10:00,7.14,7.14,7.14,7.14,685,0
2017-10-25,13:15:00,7.136,7.136,7.136,7.136,83,0
2017-10-25,13:20:00,7.132,7.133,7.132,7.133,327,0
2017-10-25,13:35:00,7.138,7.138,7.138,7.138,130,0
2017-10-25,13:45:00,7.131,7.139,7.129,7.139,1673,0
2017-10-25,13:50:00,7.141,7.141,7.134,7.134,735,0
2017-10-25,14:00:00,7.145,7.178,7.145,7.178,6332,0
2017-10-25,14:05:00,7.171,7.174,7.158,7.168,6043,0
2017-10-25,14:10:00,7.173,7.18,7.147,7.147,15594,0
2017-10-25,14:15:00,7.15,7.154,7.15,7.153,1931,0
2017-10-25,14:30:00,7.161,7.162,7.151,7.153,2494,0
2017-10-25,14:35:00,7.148,7.148,7.148,7.148,173,0
2017-10-25,14:40:00,7.156,7.157,7.148,7.152,2050,0
2017-10-25,14:45:00,7.158,7.181,7.158,7.169,4871,0
2017-10-25,14:50:00,7.174,7.177,7.174,7.177,1300,0
2017-10-25,14:55:00,7.179,7.18,7.153,7.154,6717,0
2017-10-25,15:00:00,7.154,7.186,7.144,7.163,13864,0
2017-10-25,15:05:00,7.161,7.161,7.161,7.161,3500,0
2017-10-25,15:10:00,7.176,7.196,7.166,7.169,9037,0
2017-10-25,15:15:00,7.159,7.176,7.159,7.173,3902,0
2017-10-25,15:20:00,7.168,7.177,7.164,7.177,4428,0
2017-10-25,15:25:00,7.176,7.176,7.176,7.176,500,0
2017-10-25,15:30:00,7.177,7.18,7.171,7.18,1957,0
2017-10-25,15:35:00,7.182,7.187,7.182,7.183,997,0
2017-10-25,15:40:00,7.199,7.2,7.199,7.2,1000,0
2017-10-25,15:45:00,7.199,7.199,7.199,7.199,160,0
2017-10-25,15:50:00,7.2,7.217,7.195,7.217,14675,0
2017-10-25,15:55:00,7.216,7.216,7.2,7.2,3906,0
2017-10-25,16:00:00,7.197,7.201,7.194,7.2,4081,0
2017-10-25,16:05:00,7.19,7.19,7.187,7.187,938,0
2017-10-25,16:10:00,7.183,7.195,7.183,7.19,2337,0
2017-10-25,16:15:00,7.19,7.19,7.166,7.166,2998,0
2017-10-25,16:20:00,7.178,7.178,7.175,7.175,1305,0
2017-10-25,16:30:00,7.18,7.183,7.18,7.183,1212,0
2017-10-25,16:35:00,7.184,7.184,7.173,7.173,3255,0
2017-10-25,16:40:00,7.17,7.17,7.153,7.153,1533,0
2017-10-25,16:45:00,7.153,7.155,7.144,7.144,1825,0
2017-10-25,16:50:00,7.144,7.167,7.144,7.156,4384,0
2017-10-25,16:55:00,7.156,7.157,7.152,7.153,5075,0
2017-10-25,17:00:00,7.148,7.148,7.139,7.139,3683,0
2017-10-25,17:05:00,7.133,7.133,7.123,7.123,10933,0
2017-10-25,17:10:00,7.118,7.123,7.114,7.114,3615,0
2017-10-25,17:15:00,7.111,7.119,7.111,7.117,3320,0
2017-10-25,17:20:00,7.112,7.117,7.112,7.117,841,0
2017-10-25,17:25:00,7.113,7.119,7.11,7.119,5945,0
2017-10-25,17:30:00,7.12,7.136,7.11,7.136,47267,0
2017-10-26,09:05:00,7.129,7.129,7.129,7.129,753,0
2017-10-26,09:10:00,7.117,7.13,7.117,7.13,3258,0
2017-10-26,09:15:00,7.141,7.141,7.131,7.14,1776,0
2017-10-26,09:20:00,7.135,7.135,7.135,7.135,83,0
2017-10-26,09:30:00,7.136,7.15,7.129,7.142,1681,0
2017-10-26,09:35:00,7.154,7.184,7.154,7.184,1929,0
2017-10-26,09:40:00,7.175,7.175,7.175,7.175,158,0
2017-10-26,09:45:00,7.168,7.168,7.148,7.157,1184,0
2017-10-26,09:50:00,7.147,7.147,7.147,7.147,102,0
2017-10-26,09:55:00,7.143,7.143,7.124,7.126,1911,0
2017-10-26,10:00:00,7.123,7.123,7.12,7.12,284,0
2017-10-26,10:05:00,7.126,7.145,7.126,7.145,1333,0
2017-10-26,10:20:00,7.135,7.14,7.133,7.14,1179,0
2017-10-26,10:25:00,7.133,7.139,7.128,7.128,793,0
2017-10-26,10:30:00,7.135,7.136,7.131,7.131,541,0
2017-10-26,10:35:00,7.127,7.129,7.117,7.129,2460,0
2017-10-26,10:40:00,7.131,7.154,7.131,7.146,8124,0
2017-10-26,10:45:00,7.162,7.165,7.156,7.165,1612,0
2017-10-26,10:50:00,7.168,7.186,7.168,7.184,3713,0
2017-10-26,10:55:00,7.184,7.195,7.184,7.19,1887,0
2017-10-26,11:00:00,7.193,7.193,7.174,7.174,1782,0
2017-10-26,11:05:00,7.176,7.182,7.169,7.169,3390,0
2017-10-26,11:10:00,7.169,7.169,7.143,7.143,6284,0
2017-10-26,11:15:00,7.14,7.14,7.128,7.129,5858,0
2017-10-26,11:20:00,7.128,7.128,7.118,7.119,1384,0
2017-10-26,11:25:00,7.114,7.114,7.088,7.088,6453,0
2017-10-26,11:30:00,7.093,7.136,7.093,7.136,6085,0
2017-10-26,11:35:00,7.145,7.161,7.145,7.161,4505,0
2017-10-26,11:40:00,7.162,7.176,7.162,7.176,4537,0
2017-10-26,11:45:00,7.165,7.165,7.165,7.165,504,0
2017-10-26,11:50:00,7.159,7.161,7.159,7.161,177,0
2017-10-26,11:55:00,7.17,7.194,7.17,7.194,1876,0
2017-10-26,12:00:00,7.2,7.2,7.193,7.193,650,0
2017-10-26,12:20:00,7.2,7.2,7.2,7.2,319,0
2017-10-26,12:25:00,7.192,7.203,7.192,7.203,1125,0
2017-10-26,12:40:00,7.215,7.231,7.215,7.222,1972,0
2017-10-26,12:45:00,7.23,7.23,7.201,7.201,2497,0
2017-10-26,12:50:00,7.195,7.195,7.18,7.18,974,0
2017-10-26,12:55:00,7.174,7.174,7.174,7.174,625,0
2017-10-26,13:05:00,7.171,7.171,7.157,7.169,14917,0
2017-10-26,13:15:00,7.186,7.186,7.186,7.186,82,0
2017-10-26,13:20:00,7.189,7.215,7.189,7.207,2144,0
2017-10-26,13:25:00,7.201,7.201,7.194,7.194,1001,0
2017-10-26,13:35:00,7.196,7.235,7.196,7.218,2408,0
2017-10-26,13:40:00,7.21,7.21,7.21,7.21,300,0
2017-10-26,13:45:00,7.201,7.201,7.19,7.19,2667,0
2017-10-26,13:50:00,7.186,7.195,7.186,7.195,1185,0
2017-10-26,14:00:00,7.189,7.213,7.17,7.202,8382,0
2017-10-26,14:05:00,7.201,7.241,7.201,7.201,7546,0
2017-10-26,14:10:00,7.211,7.232,7.211,7.216,2545,0
2017-10-26,14:15:00,7.201,7.201,7.193,7.196,1906,0
2017-10-26,14:25:00,7.194,7.194,7.19,7.19,3088,0
2017-10-26,14:30:00,7.183,7.187,7.182,7.186,3578,0
2017-10-26,14:35:00,7.196,7.236,7.186,7.221,18227,0
2017-10-26,14:40:00,7.211,7.211,7.192,7.192,125,0
2017-10-26,14:45:00,7.187,7.187,7.187,7.187,78,0
2017-10-26,14:50:00,7.196,7.246,7.196,7.233,11163,0
2017-10-26,14:55:00,7.246,7.25,7.23,7.241,8045,0
2017-10-26,15:00:00,7.244,7.278,7.244,7.255,21230,0
2017-10-26,15:05:00,7.247,7.277,7.232,7.263,4889,0
2017-10-26,15:10:00,7.267,7.269,7.255,7.255,3086,0
2017-10-26,15:15:00,7.266,7.266,7.255,7.255,1866,0
2017-10-26,15:20:00,7.255,7.255,7.239,7.239,6379,0
2017-10-26,15:25:00,7.232,7.232,7.222,7.23,2396,0
2017-10-26,15:30:00,7.225,7.225,7.225,7.225,247,0
2017-10-26,15:35:00,7.239,7.242,7.233,7.239,3766,0
2017-10-26,15:45:00,7.237,7.237,7.227,7.227,2283,0
2017-10-26,15:50:00,7.227,7.227,7.227,7.227,86,0
2017-10-26,15:55:00,7.227,7.241,7.227,7.239,3080,0
2017-10-26,16:00:00,7.249,7.262,7.247,7.247,3275,0
2017-10-26,16:05:00,7.245,7.245,7.232,7.239,2267,0
2017-10-26,16:10:00,7.239,7.241,7.235,7.241,3700,0
2017-10-26,16:20:00,7.232,7.234,7.194,7.219,34984,0
2017-10-26,16:25:00,7.229,7.232,7.229,7.232,717,0
2017-10-26,16:30:00,7.246,7.256,7.235,7.235,4181,0
2017-10-26,16:40:00,7.246,7.262,7.235,7.262,6436,0
2017-10-26,16:45:00,7.267,7.267,7.267,7.267,643,0
2017-10-26,16:50:00,7.268,7.268,7.233,7.233,5833,0
2017-10-26,16:55:00,7.246,7.27,7.246,7.252,8185,0
2017-10-26,17:00:00,7.239,7.252,7.232,7.248,4841,0
2017-10-26,17:05:00,7.244,7.245,7.233,7.239,5534,0
2017-10-26,17:10:00,7.234,7.244,7.233,7.244,5264,0
2017-10-26,17:15:00,7.249,7.249,7.249,7.249,1490,0
2017-10-26,17:20:00,7.247,7.252,7.238,7.252,2392,0
2017-10-26,17:25:00,7.245,7.246,7.237,7.245,6309,0
2017-10-26,17:30:00,7.252,7.273,7.25,7.25,76484,0
2017-10-27,09:05:00,7.25,7.25,7.25,7.25,5289,0
2017-10-27,09:10:00,7.268,7.268,7.255,7.258,5359,0
2017-10-27,09:15:00,7.251,7.258,7.25,7.257,4343,0
2017-10-27,09:20:00,7.248,7.248,7.22,7.22,2595,0
2017-10-27,09:25:00,7.222,7.223,7.205,7.205,2843,0
2017-10-27,09:30:00,7.193,7.249,7.193,7.249,1687,0
2017-10-27,09:35:00,7.251,7.259,7.23,7.23,8963,0
2017-10-27,09:40:00,7.21,7.223,7.203,7.223,4410,0
2017-10-27,09:45:00,7.226,7.226,7.216,7.216,1180,0
2017-10-27,09:50:00,7.208,7.225,7.208,7.225,6170,0
2017-10-27,09:55:00,7.228,7.251,7.209,7.209,11458,0
2017-10-27,10:00:00,7.209,7.211,7.193,7.211,9400,0
2017-10-27,10:05:00,7.2,7.205,7.19,7.19,5116,0
2017-10-27,10:10:00,7.193,7.196,7.18,7.18,4581,0
2017-10-27,10:15:00,7.194,7.201,7.194,7.198,7912,0
2017-10-27,10:20:00,7.188,7.188,7.183,7.184,1835,0
2017-10-27,10:30:00,7.186,7.186,7.186,7.186,270,0
2017-10-27,10:35:00,7.177,7.177,7.16,7.16,2180,0
2017-10-27,10:40:00,7.159,7.175,7.159,7.175,1719,0
2017-10-27,10:45:00,7.182,7.202,7.182,7.202,2425,0
2017-10-27,10:50:00,7.189,7.189,7.189,7.189,20,0
2017-10-27,10:55:00,7.199,7.202,7.199,7.202,1134,0
2017-10-27,11:00:00,7.204,7.214,7.204,7.204,5788,0
2017-10-27,11:05:00,7.205,7.222,7.205,7.211,4584,0
2017-10-27,11:10:00,7.209,7.216,7.209,7.214,1740,0
2017-10-27,11:20:00,7.204,7.204,7.204,7.204,112,0
2017-10-27,11:25:00,7.215,7.22,7.215,7.22,4000,0
2017-10-27,11:30:00,7.221,7.221,7.214,7.221,1773,0
2017-10-27,11:35:00,7.221,7.223,7.221,7.223,482,0
2017-10-27,11:40:00,7.223,7.225,7.2,7.22,7515,0
2017-10-27,11:45:00,7.221,7.221,7.207,7.213,3066,0
2017-10-27,11:50:00,7.209,7.212,7.209,7.21,1206,0
2017-10-27,11:55:00,7.212,7.215,7.212,7.215,2886,0
2017-10-27,12:00:00,7.211,7.211,7.203,7.209,1120,0
2017-10-27,12:05:00,7.205,7.205,7.205,7.205,70,0
2017-10-27,12:10:00,7.207,7.207,7.207,7.207,80,0
2017-10-27,12:15:00,7.21,7.218,7.21,7.218,3475,0
2017-10-27,12:20:00,7.218,7.218,7.197,7.197,1131,0
2017-10-27,12:30:00,7.2,7.2,7.2,7.2,1478,0
2017-10-27,12:35:00,7.2,7.205,7.185,7.19,8903,0
2017-10-27,12:45:00,7.188,7.188,7.187,7.188,1030,0
2017-10-27,12:50:00,7.187,7.188,7.187,7.188,400,0
2017-10-27,12:55:00,7.18,7.185,7.18,7.185,1304,0
2017-10-27,13:00:00,7.184,7.187,7.184,7.187,371,0
2017-10-27,13:05:00,7.185,7.188,7.185,7.188,1379,0
2017-10-27,13:10:00,7.187,7.188,7.187,7.188,689,0
2017-10-27,13:15:00,7.193,7.193,7.193,7.193,73,0
2017-10-27,13:20:00,7.191,7.191,7.19,7.19,1780,0
2017-10-27,13:25:00,7.192,7.193,7.192,7.192,1055,0
2017-10-27,13:30:00,7.196,7.2,7.196,7.2,1604,0
2017-10-27,13:35:00,7.203,7.21,7.203,7.204,2591,0
2017-10-27,13:40:00,7.212,7.215,7.212,7.215,2162,0
2017-10-27,13:45:00,7.217,7.221,7.217,7.221,2424,0
2017-10-27,13:50:00,7.222,7.223,7.217,7.217,801,0
2017-10-27,14:00:00,7.223,7.223,7.223,7.223,264,0
2017-10-27,14:05:00,7.215,7.221,7.215,7.221,5601,0
2017-10-27,14:10:00,7.224,7.226,7.205,7.224,7501,0
