Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-08-21,09:20:00,9.637,9.637,9.637,9.637,102,0
2015-08-21,11:10:00,9.3427,9.3427,9.3417,9.3417,3911,0
2015-08-21,11:25:00,9.3407,9.3417,9.3407,9.3417,814,0
2015-08-21,16:20:00,9.3417,9.3417,9.3417,9.3417,7877,0
2015-08-24,09:25:00,9.146,9.146,9.0732,9.0732,3102,0
2015-08-24,09:40:00,8.8402,8.8402,8.8402,8.8402,508,0
2015-08-24,10:20:00,8.849,8.85,8.849,8.85,814,0
2015-08-24,11:45:00,8.85,9.3318,8.85,9.3318,2929,0
2015-08-24,11:55:00,8.9493,8.9493,8.9493,8.9493,529,0
2015-08-24,15:15:00,8.7517,8.7517,8.6927,8.6927,580,0
2015-08-24,17:15:00,9.1273,9.1273,9.1273,9.1273,10495,0
2015-08-25,09:25:00,9.0054,9.0054,9.0044,9.0044,1370,0
2015-08-25,10:10:00,9.0034,9.0044,9.0034,9.0044,356,0
2015-08-25,10:35:00,9.0044,9.0044,9.0044,9.0044,203,0
2015-08-25,11:15:00,9.0044,9.0182,9.0044,9.0182,581,0
2015-08-25,15:50:00,9.0958,9.0958,9.0958,9.0958,1119,0
2015-08-25,15:55:00,9.3318,9.3318,9.027,9.027,2695,0
2015-08-25,16:00:00,9.0958,9.2325,9.0958,9.2325,1139,0
2015-08-25,16:10:00,9.3417,9.3417,9.3417,9.3417,2441,0
2015-08-25,16:15:00,9.3417,9.3908,9.3417,9.3908,12283,0
2015-08-26,09:40:00,9.4872,9.637,9.4872,9.637,14,0
2015-08-26,10:20:00,9.145,9.145,9.0467,9.0467,1320,0
2015-08-26,10:25:00,8.9975,8.9975,8.7035,8.7035,125,0
2015-08-26,11:20:00,9.145,9.145,9.145,9.145,1169,0
2015-08-26,17:30:00,9.1352,9.1352,9.1352,9.1352,2653,0
2015-08-27,13:55:00,9.145,9.145,9.145,9.145,110,0
2015-08-27,15:50:00,9.0467,9.0467,8.8697,8.8697,2394,0
2015-08-27,15:55:00,8.7025,8.7025,8.7025,8.7025,5233,0
2015-08-27,17:30:00,8.8254,8.8254,8.8254,8.8254,8097,0
2015-08-28,09:35:00,8.9778,8.9778,8.9778,8.9778,1017,0
2015-08-28,15:25:00,9.1716,9.1716,9.1716,9.1716,1119,0
2015-08-28,17:30:00,9.1745,9.1745,9.1745,9.1745,3513,0
2015-08-31,13:55:00,9.1745,9.1745,9.1745,9.1745,454,0
2015-09-01,09:35:00,8.85,8.85,8.85,8.85,3895,0
2015-09-02,14:45:00,8.849,8.9975,8.849,8.9975,3051,0
2015-09-02,15:10:00,8.851,8.851,8.85,8.85,1787,0
2015-09-02,16:30:00,8.849,8.85,8.849,8.85,8499,0
2015-09-03,09:20:00,8.85,8.85,8.85,8.85,48,0
