Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-25,09:45:00,8.169,8.169,8.169,8.169,500,0
2017-04-25,13:45:00,8.4,8.4,8.4,8.4,12,0
2017-04-26,09:45:00,8.285,8.285,8.285,8.285,200,0
2017-04-26,13:40:00,8.493,8.493,8.493,8.493,500,0
2017-04-26,17:20:00,8.349,8.35,8.349,8.35,799,0
2017-04-26,17:30:00,8.212,8.212,8.212,8.212,100,0
2017-04-27,09:20:00,8.211,8.211,8.21,8.211,500,0
2017-04-27,09:35:00,8.213,8.213,8.213,8.213,13,0
2017-04-27,09:45:00,8.21,8.21,8.21,8.21,500,0
2017-04-27,10:05:00,8.27,8.27,8.27,8.27,656,0
2017-04-27,12:45:00,8.21,8.21,8.21,8.21,1000,0
2017-04-27,16:50:00,8.23,8.23,8.1,8.1,5102,0
2017-04-27,17:20:00,8.101,8.101,8.1,8.1,298,0
2017-04-27,17:30:00,8.12,8.12,8.12,8.12,90,0
2017-04-28,09:15:00,8.101,8.101,8.101,8.101,185,0
2017-05-02,09:05:00,8.1,8.1,8.1,8.1,80,0
2017-05-02,09:35:00,8.1,8.1,8.1,8.1,200,0
2017-05-02,12:00:00,8.2,8.2,8.2,8.2,500,0
2017-05-02,13:15:00,8.2,8.2,8.2,8.2,100,0
2017-05-02,17:30:00,8.1,8.1,8.1,8.1,75,0
2017-05-03,09:05:00,8.1,8.1,8.1,8.1,80,0
2017-05-03,09:20:00,8.05,8.05,8.05,8.05,200,0
2017-05-03,10:00:00,8.258,8.258,8.258,8.258,5000,0
2017-05-03,10:40:00,8.118,8.118,8.118,8.118,425,0
2017-05-03,12:40:00,8.3,8.3,8.3,8.3,300,0
2017-05-03,16:35:00,8.35,8.35,8.35,8.35,818,0
2017-05-03,16:50:00,8.432,8.432,8.432,8.432,100,0
2017-05-03,17:30:00,8.432,8.432,8.113,8.113,861,0
2017-05-04,09:05:00,8.325,8.325,8.325,8.325,100,0
