Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,39.03,39.205,39,39,4149,0
2017-10-26,09:10:00,39.04,39.07,38.885,38.97,4154,0
2017-10-26,09:15:00,39.045,39.09,38.985,39.005,4284,0
2017-10-26,09:20:00,39.015,39.15,39.015,39.095,5003,0
2017-10-26,09:25:00,39.105,39.115,39.02,39.05,6488,0
2017-10-26,09:30:00,39.075,39.085,38.975,38.975,6629,0
2017-10-26,09:35:00,39,39.015,38.95,38.955,2390,0
2017-10-26,09:40:00,38.96,38.975,38.94,38.97,1044,0
2017-10-26,09:45:00,38.97,38.98,38.895,38.915,2639,0
2017-10-26,09:50:00,38.895,38.93,38.835,38.865,5956,0
2017-10-26,09:55:00,38.86,38.905,38.79,38.9,5047,0
2017-10-26,10:00:00,38.91,38.92,38.865,38.915,3009,0
2017-10-26,10:05:00,38.915,38.96,38.915,38.96,1504,0
2017-10-26,10:10:00,38.94,38.945,38.865,38.865,2355,0
2017-10-26,10:15:00,38.85,38.875,38.815,38.87,2859,0
2017-10-26,10:20:00,38.88,38.915,38.87,38.88,2037,0
2017-10-26,10:25:00,38.895,38.915,38.87,38.885,4785,0
2017-10-26,10:30:00,38.91,38.92,38.845,38.865,2155,0
2017-10-26,10:35:00,38.85,38.85,38.805,38.805,336,0
2017-10-26,10:40:00,38.805,38.815,38.805,38.805,957,0
2017-10-26,10:45:00,38.785,38.785,38.655,38.695,4704,0
2017-10-26,10:50:00,38.68,38.745,38.635,38.745,5684,0
2017-10-26,10:55:00,38.76,38.765,38.72,38.72,2539,0
2017-10-26,11:00:00,38.72,38.76,38.715,38.735,1394,0
2017-10-26,11:05:00,38.735,38.74,38.6,38.6,2458,0
2017-10-26,11:10:00,38.59,38.62,38.555,38.62,1871,0
2017-10-26,11:15:00,38.59,38.615,38.57,38.59,4443,0
2017-10-26,11:20:00,38.59,38.59,38.52,38.555,2724,0
2017-10-26,11:25:00,38.565,38.61,38.545,38.595,2087,0
2017-10-26,11:30:00,38.6,38.6,38.6,38.6,100,0
2017-10-26,11:35:00,38.61,38.66,38.595,38.64,1260,0
2017-10-26,11:40:00,38.665,38.665,38.62,38.625,1256,0
2017-10-26,11:45:00,38.635,38.77,38.635,38.745,3426,0
2017-10-26,11:50:00,38.75,38.77,38.72,38.735,2954,0
2017-10-26,11:55:00,38.75,38.755,38.75,38.755,51,0
2017-10-26,12:00:00,38.715,38.725,38.7,38.725,1717,0
2017-10-26,12:05:00,38.735,38.735,38.69,38.69,663,0
2017-10-26,12:10:00,38.695,38.72,38.695,38.72,774,0
2017-10-26,12:15:00,38.745,38.81,38.745,38.77,2032,0
2017-10-26,12:20:00,38.79,38.79,38.77,38.775,682,0
2017-10-26,12:25:00,38.79,38.82,38.775,38.82,2683,0
2017-10-26,12:30:00,38.82,38.82,38.775,38.795,1746,0
2017-10-26,12:35:00,38.785,38.82,38.785,38.795,1365,0
2017-10-26,12:40:00,38.795,38.8,38.77,38.775,868,0
2017-10-26,12:45:00,38.765,38.77,38.715,38.715,1369,0
2017-10-26,12:50:00,38.71,38.72,38.695,38.72,1608,0
2017-10-26,12:55:00,38.72,38.725,38.695,38.705,696,0
2017-10-26,13:00:00,38.695,38.73,38.69,38.72,1544,0
2017-10-26,13:05:00,38.69,38.775,38.69,38.755,4048,0
2017-10-26,13:10:00,38.74,38.76,38.715,38.745,2740,0
2017-10-26,13:15:00,38.725,38.75,38.72,38.735,1572,0
2017-10-26,13:20:00,38.745,38.765,38.735,38.735,686,0
2017-10-26,13:25:00,38.72,38.75,38.72,38.745,1595,0
2017-10-26,13:30:00,38.765,38.77,38.745,38.745,1444,0
2017-10-26,13:35:00,38.73,38.75,38.73,38.735,1550,0
2017-10-26,13:40:00,38.73,38.73,38.715,38.715,1882,0
2017-10-26,13:45:00,38.73,38.73,38.69,38.69,909,0
2017-10-26,13:50:00,38.7,38.75,38.7,38.72,4972,0
