Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-04,09:05:00,3.799,3.799,3.799,3.799,300,0
2017-08-04,12:05:00,3.77,3.77,3.77,3.77,5000,0
2017-08-04,12:25:00,3.751,3.751,3.75,3.75,9184,0
2017-08-04,13:20:00,3.751,3.752,3.751,3.752,67,0
2017-08-04,13:25:00,3.794,3.794,3.794,3.794,2000,0
2017-08-04,13:30:00,3.794,3.795,3.794,3.795,12200,0
2017-08-04,13:50:00,3.795,3.795,3.795,3.795,244,0
2017-08-04,14:50:00,3.795,3.795,3.795,3.795,414,0
2017-08-04,16:00:00,3.754,3.754,3.751,3.751,8711,0
2017-08-04,17:25:00,3.791,3.791,3.791,3.791,175,0
2017-08-04,17:30:00,3.771,3.771,3.771,3.771,55,0
2017-08-07,09:05:00,3.75,3.75,3.75,3.75,303,0
2017-08-07,09:20:00,3.753,3.78,3.753,3.78,962,0
2017-08-07,09:35:00,3.787,3.787,3.787,3.787,158,0
2017-08-07,09:50:00,3.793,3.793,3.793,3.793,78,0
2017-08-07,10:50:00,3.793,3.795,3.793,3.795,1000,0
2017-08-07,17:00:00,3.795,3.795,3.795,3.795,208,0
2017-08-07,17:30:00,3.76,3.76,3.76,3.76,387,0
2017-08-08,09:15:00,3.8,3.8,3.8,3.8,2000,0
2017-08-08,12:10:00,3.8,3.8,3.8,3.8,400,0
2017-08-08,13:20:00,3.76,3.76,3.76,3.76,12,0
2017-08-08,13:30:00,3.799,3.799,3.799,3.799,769,0
2017-08-08,17:30:00,3.76,3.76,3.76,3.76,31,0
2017-08-09,17:25:00,3.794,3.794,3.786,3.786,681,0
2017-08-09,17:30:00,3.787,3.796,3.787,3.796,117,0
2017-08-10,09:05:00,3.751,3.751,3.751,3.751,157,0
2017-08-10,09:35:00,3.78,3.78,3.78,3.78,6229,0
2017-08-10,10:35:00,3.78,3.78,3.78,3.78,384,0
2017-08-10,12:20:00,3.77,3.77,3.77,3.77,215,0
2017-08-10,13:10:00,3.756,3.756,3.756,3.756,6,0
2017-08-10,13:20:00,3.751,3.751,3.751,3.751,201,0
2017-08-10,13:55:00,3.78,3.78,3.78,3.78,18,0
2017-08-10,14:45:00,3.78,3.78,3.78,3.78,5000,0
