Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-02,12:35:00,1.119,1.119,1.119,1.119,1282,0
2015-04-02,12:40:00,1.119,1.119,1.119,1.119,1282,0
2015-04-08,14:40:00,1.13,1.13,1.13,1.13,700,0
2015-04-08,17:30:00,1.35,1.35,1.21,1.21,2700,0
2015-04-09,11:20:00,1.201,1.201,1.201,1.201,110,0
2015-04-09,11:25:00,1.201,1.201,1.201,1.201,110,0
2015-04-13,09:05:00,1.11,1.11,1.11,1.11,800,0
2015-04-13,09:35:00,1.01,1.01,0.905,0.905,3759,0
2015-04-13,16:10:00,1.119,1.119,1.119,1.119,300,0
2015-04-13,17:30:00,1.12,1.12,1.12,1.12,6859,0
2015-04-17,16:45:00,1.18,1.18,1.17,1.17,1239,0
2015-04-17,16:50:00,1.17,1.17,1.17,1.17,559,0
2015-04-20,09:05:00,1.17,1.25,1.17,1.25,4555,0
2015-04-20,12:25:00,1.12,1.12,1.12,1.12,1000,0
2015-04-20,16:20:00,1.2,1.2,1.2,1.2,5555,0
2015-04-23,16:00:00,1.34,1.34,1.34,1.34,500,0
2015-04-23,17:30:00,1.359,1.359,1.359,1.359,1500,0
2015-04-24,16:30:00,1.121,1.121,1.121,1.121,500,0
2015-04-24,16:35:00,1.121,1.121,1.121,1.121,500,0
2015-04-27,09:05:00,1.105,1.105,1.101,1.101,200,0
2015-04-29,12:55:00,1.341,1.341,1.341,1.341,5520,0
2015-04-30,12:00:00,1.342,1.342,1.342,1.342,500,0
2015-04-30,12:40:00,1.341,1.341,1.341,1.341,3500,0
2015-05-05,09:15:00,1.37,1.37,1.37,1.37,800,0
2015-05-06,15:00:00,1.361,1.361,1.361,1.361,676,0
2015-05-06,17:30:00,1.37,1.37,1.37,1.37,3324,0
2015-05-07,12:30:00,1.38,1.38,1.38,1.38,800,0
2015-05-11,10:20:00,1.25,1.25,1.25,1.25,2000,0
2015-05-18,16:15:00,1.22,1.22,1.22,1.22,994,0
2015-05-19,09:05:00,1.2,1.2,1.13,1.13,1913,0
2015-05-19,11:30:00,1.14,1.14,1.14,1.14,25,0
2015-05-19,15:40:00,1.14,1.14,1.14,1.14,1000,0
2015-05-19,17:30:00,1.139,1.139,1.139,1.139,2938,0
2015-05-26,11:00:00,1.22,1.22,1.22,1.22,100,0
2015-05-26,13:50:00,1.22,1.22,1.22,1.22,660,0
2015-05-27,11:00:00,1.22,1.22,1.22,1.22,100,0
2015-05-29,10:55:00,1.27,1.27,1.27,1.27,2,0
2015-06-05,13:50:00,1.22,1.22,1.22,1.22,220,0
2015-06-08,09:05:00,1.2,1.2,1.2,1.2,1400,0
2015-06-09,09:50:00,1.22,1.22,1.22,1.22,20,0
2015-06-15,09:05:00,1.13,1.13,1.12,1.12,1800,0
2015-07-08,11:35:00,1.15,1.15,1.15,1.15,1740,0
2015-07-10,14:35:00,1.16,1.16,1.16,1.16,1400,0
2015-07-13,09:55:00,1.35,1.35,1.35,1.35,600,0
2015-07-13,11:30:00,1.37,1.37,1.37,1.37,1000,0
2015-07-13,16:20:00,1.38,1.38,1.38,1.38,3000,0
2015-07-14,15:55:00,1.26,1.26,1.26,1.26,2000,0
2015-07-17,09:20:00,1.3,1.3,1.3,1.3,40,0
2015-07-21,09:45:00,1.26,1.26,1.26,1.26,2000,0
2015-07-28,09:05:00,1.3,1.3,1.3,1.3,40,0
2015-08-04,11:20:00,1.16,1.16,1.16,1.16,700,0
2015-08-04,15:05:00,1.161,1.161,1.161,1.161,1900,0
2015-08-26,17:10:00,1.182,1.182,1.182,1.182,300,0
2015-08-28,14:25:00,1.27,1.27,1.27,1.27,2500,0
2015-09-02,17:30:00,1.301,1.301,1.301,1.301,1538,0
2015-09-04,16:25:00,1.183,1.183,1.179,1.179,1538,0
2015-09-11,09:20:00,1.21,1.21,1.21,1.21,1000,0
2015-09-11,09:25:00,1.2,1.2,1.2,1.2,6000,0
2015-09-14,13:55:00,1.3,1.3,1.3,1.3,6640,0
2015-09-18,16:15:00,1.375,1.375,1.375,1.375,728,0
2015-09-18,16:25:00,1.5,1.5,1.5,1.5,8272,0
2015-09-22,09:05:00,1.5,1.5,1.5,1.5,360,0
2015-09-22,12:25:00,1.365,1.365,1.3,1.3,2360,0
2015-09-24,09:30:00,1.31,1.31,1.25,1.25,4000,0
2015-09-28,08:30:00,1.315,1.315,1.315,1.315,1060,0
2015-09-30,12:40:00,1.3,1.3,1.3,1.3,2000,0
2015-10-15,17:25:00,1.301,1.301,1.301,1.301,1200,0
2015-10-22,08:05:00,1.431,1.431,1.431,1.431,300,0
2015-10-22,10:40:00,1.363,1.363,1.363,1.363,500,0
2015-10-28,11:30:00,1.48,1.48,1.48,1.48,1000,0
2015-10-29,15:20:00,1.42,1.42,1.42,1.42,705,0
2015-11-05,15:45:00,1.35,1.35,1.35,1.35,3000,0
2015-11-05,17:00:00,1.35,1.35,1.35,1.35,2000,0
2015-12-01,11:20:00,1.49,1.49,1.49,1.49,1000,0
2015-12-01,19:35:00,1.46,1.46,1.46,1.46,50,0
2015-12-07,08:10:00,1.405,1.405,1.405,1.405,18,0
2015-12-08,11:00:00,1.37,1.37,1.37,1.37,2962,0
2015-12-10,13:55:00,1.35,1.35,1.35,1.35,10000,0
2015-12-14,11:50:00,1.41,1.41,1.41,1.41,10,0
2015-12-22,16:20:00,1.246,1.246,1.246,1.246,901,0
2015-12-29,09:45:00,1.32,1.32,1.32,1.32,758,0
2016-01-08,10:40:00,1.346,1.346,1.346,1.346,300,0
2016-01-13,15:40:00,1.304,1.304,1.304,1.304,300,0
2016-01-18,09:00:00,1.303,1.303,1.303,1.303,1200,0
2016-01-18,09:05:00,1.126,1.209,1.1,1.209,4050,0
2016-01-25,15:40:00,1.33,1.33,1.33,1.33,1992,0
2016-02-09,11:55:00,1.28,1.28,1.28,1.28,3,0
2016-02-15,16:50:00,1.25,1.25,1.25,1.25,320,0
2016-03-08,14:00:00,1.32,1.32,1.32,1.32,500,0
2016-03-09,11:20:00,1.257,1.257,1.257,1.257,2000,0
2016-03-16,08:05:00,1.276,1.276,1.275,1.275,500,0
2016-03-24,16:30:00,1.431,1.431,1.431,1.431,699,0
2016-03-24,16:35:00,1.5,1.5,1.5,1.5,5000,0
2016-03-24,16:45:00,1.571,1.571,1.571,1.571,637,0
2016-03-24,17:05:00,1.5,1.5,1.5,1.5,5000,0
2016-03-29,08:05:00,1.6,1.6,1.6,1.6,7000,0
