Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-16,09:05:00,3.3,3.3,3.3,3.3,200,0
2017-01-16,09:15:00,3.3,3.4,3.3,3.4,2355,0
2017-01-16,09:40:00,3.4,3.4,3.4,3.4,1500,0
2017-01-16,09:55:00,3.499,3.499,3.499,3.499,190,0
2017-01-16,11:10:00,3.5,3.5,3.5,3.5,2000,0
2017-01-16,11:25:00,3.4,3.4,3.4,3.4,2500,0
2017-01-16,12:20:00,3.499,3.499,3.499,3.499,200,0
2017-01-16,16:55:00,3.399,3.399,3.399,3.399,324,0
2017-01-16,17:05:00,3.399,3.399,3.399,3.399,100,0
2017-01-18,09:05:00,3.25,3.25,3.25,3.25,13,0
2017-01-18,09:20:00,3.25,3.25,3.25,3.25,487,0
2017-01-18,09:25:00,3.2,3.2,3.2,3.2,351,0
2017-01-18,10:00:00,3.2,3.2,3.2,3.2,1,0
2017-01-19,17:25:00,3.2,3.2,3.2,3.2,200,0
2017-01-23,09:10:00,3.44,3.44,3.44,3.44,1000,0
2017-01-23,09:20:00,3.35,3.35,3.35,3.35,2000,0
2017-01-23,09:35:00,3.35,3.35,3.35,3.35,1000,0
2017-01-23,11:30:00,3.35,3.354,3.35,3.354,2533,0
2017-01-23,14:15:00,3.24,3.24,3.24,3.24,1000,0
2017-01-24,10:05:00,3.344,3.345,3.344,3.345,1382,0
2017-01-24,17:10:00,3.211,3.345,3.211,3.345,200,0
2017-01-25,09:05:00,3.2,3.2,3.2,3.2,35,0
2017-01-25,09:55:00,3.399,3.399,3.399,3.399,320,0
2017-01-25,13:05:00,3.389,3.39,3.389,3.39,531,0
2017-01-25,17:30:00,3.25,3.299,3.25,3.299,1200,0
2017-01-26,16:55:00,3.35,3.35,3.35,3.35,150,0
2017-01-27,15:25:00,3.39,3.5,3.39,3.5,1767,0
2017-02-01,12:30:00,3.499,3.499,3.499,3.499,50,0
2017-02-01,17:30:00,3.3,3.3,3.3,3.3,200,0
2017-02-02,11:20:00,3.28,3.28,3.28,3.28,49,0
2017-02-06,12:05:00,3.261,3.261,3.261,3.261,24,0
2017-02-06,17:20:00,3.26,3.26,3.26,3.26,24,0
2017-02-08,11:10:00,3.449,3.45,3.449,3.45,2567,0
2017-02-08,11:15:00,3.45,3.45,3.45,3.45,70,0
2017-02-08,16:10:00,3.529,3.529,3.529,3.529,270,0
