Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,35.115,35.18,35.115,35.145,3062,0
2017-10-26,09:10:00,35.165,35.165,35.065,35.155,8606,0
2017-10-26,09:15:00,35.155,35.245,35.145,35.235,7235,0
2017-10-26,09:20:00,35.29,35.355,35.29,35.335,9968,0
2017-10-26,09:25:00,35.365,35.365,35.32,35.34,4655,0
2017-10-26,09:30:00,35.34,35.385,35.315,35.38,2870,0
2017-10-26,09:35:00,35.395,35.395,35.37,35.395,1090,0
2017-10-26,09:40:00,35.375,35.375,35.31,35.33,3791,0
2017-10-26,09:45:00,35.33,35.335,35.3,35.3,762,0
2017-10-26,09:50:00,35.295,35.305,35.225,35.225,3179,0
2017-10-26,09:55:00,35.24,35.275,35.24,35.275,2543,0
2017-10-26,10:00:00,35.29,35.3,35.275,35.275,1514,0
2017-10-26,10:05:00,35.285,35.29,35.265,35.28,1590,0
2017-10-26,10:10:00,35.285,35.29,35.275,35.29,1915,0
2017-10-26,10:15:00,35.28,35.31,35.28,35.3,1251,0
2017-10-26,10:20:00,35.295,35.295,35.275,35.275,1326,0
2017-10-26,10:25:00,35.275,35.285,35.27,35.275,1738,0
2017-10-26,10:30:00,35.285,35.285,35.265,35.265,1598,0
2017-10-26,10:35:00,35.27,35.27,35.26,35.26,806,0
2017-10-26,10:40:00,35.255,35.255,35.235,35.235,2342,0
2017-10-26,10:45:00,35.235,35.245,35.235,35.245,1073,0
2017-10-26,10:50:00,35.25,35.255,35.245,35.245,661,0
2017-10-26,10:55:00,35.245,35.265,35.245,35.25,2338,0
2017-10-26,11:00:00,35.27,35.295,35.26,35.29,3319,0
2017-10-26,11:05:00,35.285,35.295,35.28,35.295,1498,0
2017-10-26,11:10:00,35.305,35.31,35.29,35.29,2538,0
2017-10-26,11:15:00,35.29,35.3,35.285,35.285,2975,0
2017-10-26,11:20:00,35.285,35.285,35.28,35.285,282,0
2017-10-26,11:25:00,35.285,35.29,35.27,35.27,2996,0
2017-10-26,11:30:00,35.265,35.265,35.25,35.25,839,0
2017-10-26,11:35:00,35.245,35.245,35.225,35.225,411,0
2017-10-26,11:40:00,35.225,35.23,35.21,35.21,990,0
2017-10-26,11:45:00,35.205,35.21,35.2,35.205,1484,0
2017-10-26,11:50:00,35.205,35.225,35.205,35.225,1123,0
2017-10-26,11:55:00,35.23,35.23,35.22,35.22,2297,0
2017-10-26,12:00:00,35.215,35.215,35.18,35.185,2351,0
2017-10-26,12:05:00,35.195,35.225,35.195,35.205,2035,0
2017-10-26,12:10:00,35.195,35.195,35.18,35.18,1152,0
2017-10-26,12:15:00,35.185,35.185,35.145,35.145,649,0
2017-10-26,12:20:00,35.155,35.18,35.145,35.18,3300,0
2017-10-26,12:25:00,35.19,35.19,35.17,35.175,2149,0
2017-10-26,12:30:00,35.16,35.16,35.15,35.16,1503,0
2017-10-26,12:35:00,35.155,35.16,35.15,35.16,801,0
2017-10-26,12:40:00,35.155,35.165,35.155,35.165,1219,0
2017-10-26,12:45:00,35.155,35.155,35.15,35.15,2729,0
2017-10-26,12:50:00,35.15,35.155,35.15,35.155,1858,0
2017-10-26,12:55:00,35.16,35.195,35.16,35.19,2755,0
2017-10-26,13:00:00,35.185,35.21,35.175,35.18,3247,0
2017-10-26,13:05:00,35.18,35.215,35.18,35.19,2266,0
2017-10-26,13:10:00,35.235,35.235,35.2,35.205,2508,0
2017-10-26,13:15:00,35.205,35.21,35.18,35.185,1959,0
2017-10-26,13:20:00,35.185,35.205,35.18,35.2,5947,0
2017-10-26,13:25:00,35.2,35.215,35.195,35.215,3853,0
2017-10-26,13:30:00,35.225,35.235,35.22,35.225,3394,0
2017-10-26,13:35:00,35.225,35.235,35.225,35.225,1538,0
2017-10-26,13:40:00,35.225,35.24,35.225,35.24,2492,0
2017-10-26,13:45:00,35.235,35.33,35.235,35.25,27968,0
2017-10-26,13:50:00,35.245,35.325,35.215,35.305,26100,0
2017-10-26,13:55:00,35.31,35.36,35.31,35.35,3388,0
2017-10-26,14:00:00,35.36,35.36,35.32,35.32,3360,0
2017-10-26,14:05:00,35.32,35.385,35.32,35.355,11788,0
2017-10-26,14:10:00,35.355,35.405,35.355,35.405,6916,0
2017-10-26,14:15:00,35.4,35.435,35.39,35.4,2304,0
2017-10-26,14:20:00,35.39,35.39,35.37,35.37,1390,0
2017-10-26,14:25:00,35.37,35.41,35.37,35.41,3436,0
2017-10-26,14:30:00,35.39,35.395,35.335,35.335,6575,0
2017-10-26,14:35:00,35.335,35.415,35.335,35.37,6750,0
2017-10-26,14:40:00,35.375,35.38,35.345,35.36,2424,0
2017-10-26,14:45:00,35.355,35.37,35.335,35.35,7074,0
2017-10-26,14:50:00,35.34,35.34,35.31,35.32,3034,0
2017-10-26,14:55:00,35.325,35.345,35.325,35.335,1574,0
