Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-12-16,10:20:00,7.91,7.91,7.9,7.9,250,0
2016-12-16,10:35:00,7.9,7.9,7.9,7.9,310,0
2016-12-16,11:05:00,7.9,7.9,7.8,7.8,2000,0
2016-12-16,12:55:00,7.95,8,7.95,8,1887,0
2016-12-16,15:05:00,7.81,7.81,7.8,7.8,1460,0
2016-12-16,15:25:00,7.9,7.9,7.9,7.9,2500,0
2016-12-19,09:45:00,8.049,8.049,8.049,8.049,17,0
2016-12-20,09:05:00,8.05,8.05,8.05,8.05,610,0
2016-12-20,09:55:00,8.05,8.05,8.05,8.05,290,0
2016-12-20,12:40:00,8.05,8.05,8.05,8.05,210,0
2016-12-20,14:45:00,7.903,7.903,7.903,7.903,680,0
2016-12-20,15:25:00,8.04,8.04,8.04,8.04,100,0
2016-12-21,11:50:00,7.82,7.82,7.82,7.82,305,0
2016-12-22,15:35:00,7.801,7.801,7.8,7.8,300,0
2016-12-23,09:30:00,7.9,7.9,7.9,7.9,253,0
2016-12-23,13:35:00,7.95,7.95,7.95,7.95,900,0
2016-12-23,15:25:00,7.95,7.95,7.95,7.95,500,0
2016-12-23,16:10:00,7.95,7.95,7.95,7.95,450,0
2016-12-23,16:15:00,8.04,8.04,8.04,8.04,1850,0
2016-12-23,17:25:00,8.239,8.239,8.239,8.239,320,0
2016-12-27,14:15:00,8.082,8.082,8.082,8.082,330,0
2016-12-27,17:10:00,8,8,8,8,900,0
2016-12-27,17:20:00,8.05,8.05,8.05,8.05,100,0
2016-12-28,09:25:00,7.897,7.897,7.897,7.897,470,0
2016-12-28,10:25:00,8.055,8.057,8.055,8.057,1900,0
2016-12-28,15:45:00,8.05,8.05,8.05,8.05,1000,0
2016-12-28,16:25:00,8.049,8.05,8.049,8.05,1000,0
2016-12-28,17:00:00,8.05,8.05,8.05,8.05,100,0
2016-12-28,17:10:00,8.05,8.05,8.05,8.05,200,0
2016-12-28,17:20:00,7.9,7.9,7.9,7.9,50,0
2016-12-28,17:30:00,8.197,8.197,8.197,8.197,100,0
2016-12-29,10:30:00,8.349,8.349,8.349,8.349,663,0
2016-12-29,10:35:00,8.349,8.349,8.349,8.349,750,0
2016-12-29,11:00:00,8.347,8.35,8.347,8.35,2133,0
2016-12-29,13:30:00,8.25,8.25,8.25,8.25,18,0
2016-12-30,09:05:00,8.37,8.37,8.37,8.37,159,0
2016-12-30,09:15:00,8.349,8.349,8.349,8.349,120,0
2016-12-30,09:35:00,8.3,8.3,8.3,8.3,1,0
2016-12-30,10:30:00,8.1,8.1,8.1,8.1,7,0
2016-12-30,10:50:00,8.1,8.1,8.054,8.054,799,0
2016-12-30,11:00:00,8.296,8.296,8.296,8.296,1767,0
2016-12-30,11:10:00,8.3,8.3,8.3,8.3,399,0
2016-12-30,11:20:00,8.3,8.3,8.3,8.3,400,0
2016-12-30,12:45:00,8.3,8.3,8.15,8.15,711,0
2016-12-30,12:50:00,8.15,8.15,8.15,8.15,200,0
2016-12-30,13:10:00,8.15,8.15,8.15,8.15,300,0
2016-12-30,13:20:00,8.15,8.15,8.15,8.15,309,0
2016-12-30,13:25:00,8.15,8.15,8.15,8.15,891,0
2016-12-30,13:50:00,8.024,8.024,7.9,7.9,2399,0
2016-12-30,13:55:00,8,8,8,8,1450,0
2016-12-30,14:10:00,7.98,7.98,7.98,7.98,351,0
2017-01-02,09:05:00,8.132,8.132,8.132,8.132,1900,0
2017-01-02,09:55:00,8.42,8.42,8.42,8.42,1342,0
2017-01-02,10:15:00,8.42,8.42,8.42,8.42,400,0
2017-01-02,12:00:00,8.42,8.42,8.42,8.42,600,0
2017-01-02,15:50:00,8.42,8.42,8.42,8.42,300,0
2017-01-02,17:20:00,8.48,8.48,8.48,8.48,100,0
2017-01-02,17:25:00,8.582,8.582,8.582,8.582,1900,0
2017-01-02,17:30:00,8.633,8.633,8.633,8.633,496,0
2017-01-03,09:10:00,8.7,8.7,8.608,8.608,1600,0
2017-01-03,10:35:00,8.601,8.601,8.5,8.5,11028,0
2017-01-03,16:00:00,8.52,8.52,8.52,8.52,300,0
2017-01-03,17:30:00,8.506,8.506,8.506,8.506,10,0
2017-01-04,09:05:00,8.7,8.7,8.7,8.7,389,0
2017-01-04,10:10:00,8.7,8.7,8.7,8.7,3900,0
2017-01-04,10:15:00,8.7,8.7,8.7,8.7,4000,0
2017-01-04,10:20:00,8.7,8.7,8.7,8.7,1000,0
2017-01-04,10:25:00,8.7,8.7,8.7,8.7,8000,0
2017-01-04,10:30:00,8.7,8.7,8.7,8.7,2111,0
2017-01-04,16:55:00,8.699,8.699,8.699,8.699,12,0
2017-01-05,09:05:00,8.69,8.69,8.69,8.69,240,0
2017-01-05,10:55:00,8.699,8.7,8.699,8.7,1100,0
2017-01-05,13:15:00,8.55,8.55,8.55,8.55,300,0
2017-01-05,13:35:00,8.55,8.696,8.55,8.696,398,0
2017-01-06,11:05:00,8.48,8.48,8.48,8.48,100,0
2017-01-06,12:15:00,8.55,8.55,8.55,8.55,100,0
2017-01-06,13:15:00,8.55,8.55,8.55,8.55,635,0
2017-01-06,15:25:00,8.6,8.6,8.6,8.6,200,0
2017-01-06,16:20:00,8.62,8.62,8.62,8.62,500,0
2017-01-06,17:15:00,8.62,8.62,8.62,8.62,500,0
2017-01-06,17:30:00,8.605,8.605,8.605,8.605,165,0
2017-01-09,09:20:00,8.698,8.698,8.698,8.698,500,0
2017-01-09,17:10:00,8.6,8.6,8.6,8.6,450,0
2017-01-10,12:15:00,8.55,8.55,8.437,8.437,2219,0
2017-01-10,14:40:00,8.191,8.191,8.19,8.19,1829,0
2017-01-10,14:45:00,8.15,8.15,8.15,8.15,2000,0
2017-01-10,14:50:00,8.15,8.22,8.15,8.22,3329,0
2017-01-10,15:10:00,8.25,8.25,8.25,8.25,480,0
2017-01-10,15:20:00,8.25,8.25,8.2,8.2,2421,0
2017-01-10,15:30:00,8.2,8.2,8.2,8.2,400,0
2017-01-10,15:55:00,8.27,8.27,8.27,8.27,200,0
2017-01-10,16:45:00,8.294,8.31,8.294,8.31,1500,0
2017-01-10,17:30:00,8.32,8.32,8.32,8.32,342,0
2017-01-11,09:55:00,8.25,8.25,8.25,8.25,374,0
2017-01-11,10:55:00,8.3,8.3,8.25,8.25,2300,0
2017-01-11,11:00:00,8.25,8.25,8.206,8.206,2400,0
2017-01-11,11:05:00,8.211,8.211,8.205,8.205,2880,0
2017-01-11,12:40:00,8.287,8.287,8.287,8.287,300,0
2017-01-11,17:20:00,8.3,8.3,8.3,8.3,500,0
2017-01-12,10:55:00,8.403,8.403,8.403,8.403,1800,0
2017-01-12,15:50:00,8.41,8.41,8.41,8.41,200,0
2017-01-12,16:50:00,8.41,8.41,8.41,8.41,1100,0
2017-01-12,17:05:00,8.41,8.43,8.41,8.43,92,0
2017-01-12,17:20:00,8.5,8.5,8.5,8.5,300,0
2017-01-12,17:25:00,8.5,8.5,8.5,8.5,208,0
2017-01-13,11:50:00,8.499,8.5,8.499,8.5,1000,0
2017-01-13,13:55:00,8.295,8.295,8.121,8.121,4900,0
2017-01-13,15:10:00,8.3,8.3,8.3,8.3,800,0
2017-01-13,15:30:00,8.349,8.349,8.349,8.349,1800,0
2017-01-13,15:35:00,8.35,8.35,8.35,8.35,200,0
2017-01-16,13:30:00,8.203,8.203,8.203,8.203,111,0
2017-01-16,15:15:00,8.202,8.202,8.19,8.19,2329,0
2017-01-16,17:15:00,8.291,8.291,8.291,8.291,1250,0
2017-01-17,14:30:00,8.447,8.447,8.447,8.447,675,0
2017-01-18,09:55:00,8.499,8.5,8.499,8.5,1000,0
2017-01-18,10:45:00,8.258,8.258,8.258,8.258,500,0
2017-01-18,12:05:00,8.261,8.261,8.175,8.175,7000,0
2017-01-18,12:25:00,8.3,8.3,8.3,8.3,300,0
2017-01-18,13:30:00,8.389,8.389,8.389,8.389,111,0
2017-01-19,09:30:00,8.232,8.232,8.232,8.232,1800,0
2017-01-19,10:35:00,8.23,8.24,8.23,8.24,230,0
2017-01-19,10:50:00,8.24,8.24,8.24,8.24,1200,0
2017-01-20,14:10:00,8.21,8.21,8.172,8.172,460,0
2017-01-23,17:30:00,8.15,8.15,8.15,8.15,585,0
2017-01-24,17:20:00,8.15,8.15,8.15,8.15,165,0
2017-01-25,10:55:00,8.14,8.14,8.14,8.14,50,0
2017-01-25,15:10:00,8.2,8.2,8.2,8.2,240,0
2017-01-25,15:20:00,8.449,8.449,8.449,8.449,673,0
2017-01-25,15:25:00,8.476,8.476,8.476,8.476,327,0
2017-01-26,09:05:00,8.5,8.5,8.5,8.5,1100,0
2017-01-26,12:30:00,8.5,8.5,8.5,8.5,50,0
2017-01-26,13:20:00,8.5,8.5,8.5,8.5,352,0
2017-01-26,16:00:00,8.499,8.499,8.499,8.499,435,0
2017-01-27,14:05:00,8.251,8.251,8.19,8.19,3089,0
2017-01-27,14:25:00,8.19,8.19,8.19,8.19,611,0
2017-01-27,15:10:00,8.191,8.191,8.02,8.021,5418,0
2017-01-27,15:35:00,8.058,8.058,8.058,8.058,800,0
2017-01-27,15:55:00,8.25,8.25,8.25,8.25,280,0
2017-01-27,16:05:00,8.283,8.32,8.283,8.32,4016,0
2017-01-27,16:10:00,8.4,8.4,8.4,8.4,140,0
2017-01-27,17:30:00,8.599,8.599,8.599,8.599,140,0
2017-01-30,10:40:00,8.36,8.36,8.35,8.35,2704,0
2017-01-31,11:55:00,8.339,8.34,8.339,8.34,720,0
2017-01-31,15:05:00,8.114,8.114,8.113,8.113,2047,0
2017-01-31,15:10:00,8.011,8.011,8.011,8.011,2553,0
2017-01-31,15:30:00,8.098,8.098,8,8,3271,0
2017-01-31,15:35:00,8.083,8.083,8.083,8.083,365,0
2017-01-31,15:40:00,8.082,8.082,8.082,8.082,290,0
2017-01-31,16:10:00,8.01,8.01,8.01,8.01,500,0
2017-01-31,16:30:00,8.07,8.08,8.07,8.08,1925,0
2017-01-31,16:55:00,8.124,8.124,8.124,8.124,275,0
2017-01-31,17:30:00,7.97,7.97,7.97,7.97,353,0
2017-02-01,09:55:00,8.126,8.126,8.126,8.126,1800,0
2017-02-01,12:45:00,8.285,8.285,8.285,8.285,92,0
2017-02-01,13:05:00,8.15,8.15,8.15,8.15,1250,0
2017-02-01,13:30:00,8.199,8.199,8.199,8.199,40,0
2017-02-03,09:05:00,8.162,8.162,8.162,8.162,250,0
2017-02-03,15:45:00,8.289,8.289,8.289,8.289,23,0
2017-02-03,15:55:00,8.289,8.289,8.289,8.289,200,0
2017-02-06,09:05:00,8.35,8.35,8.15,8.15,3500,0
2017-02-06,16:10:00,8.189,8.19,8.189,8.19,531,0
2017-02-07,10:20:00,8.299,8.3,8.299,8.3,536,0
2017-02-08,15:05:00,8.31,8.31,8.31,8.31,100,0
2017-02-08,17:15:00,8.31,8.31,8.31,8.31,564,0
