Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-07-05,09:25:00,8.8,8.8,8.75,8.75,213,0
2017-07-05,10:00:00,8.889,8.889,8.889,8.889,100,0
2017-07-05,10:35:00,8.889,8.889,8.889,8.889,36,0
2017-07-05,10:40:00,8.751,8.751,8.75,8.75,509,0
2017-07-05,10:55:00,8.721,8.721,8.721,8.721,400,0
2017-07-05,13:45:00,8.929,8.929,8.929,8.929,285,0
2017-07-05,16:55:00,8.924,8.924,8.924,8.924,100,0
2017-07-05,17:05:00,8.924,8.945,8.924,8.945,2800,0
2017-07-06,09:10:00,8.92,8.92,8.92,8.92,59,0
2017-07-06,09:40:00,9.073,9.073,9.073,9.073,691,0
2017-07-06,10:00:00,9.231,9.231,9.231,9.231,85,0
2017-07-06,10:35:00,9.316,9.316,9.316,9.316,200,0
2017-07-06,11:10:00,9.357,9.357,9.357,9.357,385,0
2017-07-06,11:50:00,9.357,9.357,9.357,9.357,10,0
2017-07-06,12:20:00,9.274,9.274,9.272,9.272,1000,0
2017-07-06,14:50:00,9.317,9.317,9.317,9.317,94,0
2017-07-06,16:05:00,9.1,9.166,9.1,9.166,283,0
2017-07-06,16:55:00,9.1,9.1,9.1,9.1,370,0
2017-07-06,17:10:00,9.1,9.1,9.1,9.1,889,0
2017-07-06,17:30:00,8.99,8.99,8.99,8.99,36,0
2017-07-07,10:45:00,8.984,8.984,8.984,8.984,238,0
2017-07-07,11:00:00,8.971,8.984,8.971,8.984,385,0
2017-07-07,13:55:00,8.899,8.899,8.899,8.899,33,0
2017-07-07,14:15:00,8.899,8.96,8.899,8.96,6000,0
2017-07-07,15:00:00,8.957,8.984,8.957,8.984,2515,0
2017-07-07,15:15:00,9,9,9,9,485,0
2017-07-07,16:45:00,9,9,9,9,95,0
2017-07-07,17:30:00,8.754,8.999,8.754,8.85,46,0
2017-07-10,10:20:00,9.025,9.025,9.025,9.025,60,0
2017-07-10,10:30:00,9.158,9.159,9.119,9.119,2007,0
2017-07-10,10:55:00,9.249,9.249,9.249,9.249,107,0
2017-07-10,15:00:00,9.057,9.057,9.056,9.056,1500,0
2017-07-10,15:10:00,9.246,9.246,9.246,9.246,37,0
2017-07-10,17:30:00,9.1,9.248,9.1,9.115,278,0
2017-07-11,09:05:00,8.98,8.98,8.98,8.98,11,0
2017-07-11,09:50:00,9.191,9.191,9.191,9.191,2,0
2017-07-11,10:35:00,9.129,9.129,9.129,9.129,915,0
2017-07-11,10:45:00,9.22,9.22,9.22,9.22,185,0
2017-07-11,11:40:00,9.27,9.27,9.27,9.27,103,0
2017-07-11,11:50:00,9.269,9.269,9.269,9.269,36,0
2017-07-11,13:30:00,9.124,9.124,9.123,9.123,815,0
2017-07-11,14:00:00,9.099,9.099,9.099,9.099,30,0
2017-07-11,15:00:00,9.108,9.108,9.085,9.085,500,0
2017-07-11,16:30:00,9.284,9.284,9.284,9.284,3,0
2017-07-11,17:20:00,9.284,9.29,9.284,9.29,2000,0
2017-07-11,17:30:00,9.241,9.241,9.241,9.241,0,0
2017-07-12,11:50:00,9.14,9.14,9.139,9.139,1500,0
2017-07-12,12:55:00,9.386,9.386,9.386,9.386,5,0
2017-07-12,14:00:00,9.285,9.285,9.285,9.285,107,0
2017-07-12,14:45:00,9.283,9.283,9.283,9.283,37,0
2017-07-12,16:10:00,9.25,9.25,9.25,9.25,270,0
2017-07-12,17:00:00,9.352,9.352,9.352,9.352,250,0
2017-07-12,17:30:00,9.301,9.301,9.301,9.301,0,0
2017-07-13,15:45:00,9.385,9.385,9.385,9.385,300,0
2017-07-13,16:00:00,9.385,9.385,9.385,9.385,98,0
2017-07-13,16:10:00,9.369,9.369,9.369,9.369,33,0
2017-07-13,17:30:00,9.255,9.255,9.255,9.255,0,0
2017-07-14,09:05:00,9.2,9.2,9.2,9.2,600,0
2017-07-14,10:00:00,9.205,9.205,9.205,9.205,870,0
2017-07-14,13:15:00,9.363,9.363,9.269,9.269,248,0
2017-07-14,17:30:00,9.267,9.267,9.267,9.267,0,0
2017-07-17,09:05:00,9.3,9.3,9.3,9.3,100,0
2017-07-17,10:30:00,9.367,9.367,9.367,9.367,100,0
2017-07-17,13:10:00,9.366,9.366,9.366,9.366,259,0
2017-07-17,13:15:00,9.399,9.399,9.399,9.399,19,0
2017-07-17,13:55:00,9.365,9.38,9.365,9.38,968,0
2017-07-17,14:15:00,9.359,9.4,9.359,9.4,1335,0
2017-07-17,15:45:00,9.448,9.75,9.448,9.75,3250,0
2017-07-17,16:05:00,9.728,9.728,9.728,9.728,31,0
2017-07-17,16:20:00,9.45,9.45,9.45,9.45,1000,0
2017-07-17,16:30:00,9.56,9.56,9.52,9.52,1500,0
2017-07-17,17:10:00,9.501,9.501,9.501,9.501,213,0
2017-07-17,17:30:00,9.415,9.415,9.415,9.415,162,0
2017-07-18,15:15:00,9.464,9.464,9.464,9.464,158,0
2017-07-18,15:50:00,9.465,9.465,9.465,9.465,35,0
2017-07-18,17:10:00,9.47,9.47,9.47,9.47,114,0
2017-07-18,17:30:00,9.384,9.384,9.384,9.384,0,0
2017-07-19,17:25:00,9.3,9.3,9.3,9.3,300,0
2017-07-19,17:30:00,9.3,9.3,9.245,9.245,54,0
2017-07-21,09:05:00,9.371,9.371,9.371,9.371,300,0
2017-07-21,09:25:00,9.37,9.37,9.37,9.37,250,0
2017-07-21,10:10:00,9.301,9.301,9.301,9.301,420,0
2017-07-21,13:30:00,9.365,9.365,9.365,9.365,64,0
2017-07-21,13:55:00,9.3,9.3,9.227,9.227,1065,0
2017-07-21,17:30:00,9.26,9.26,9.26,9.26,0,0
2017-07-24,13:30:00,9.232,9.232,9.232,9.232,169,0
2017-07-24,13:45:00,9.231,9.231,9.231,9.231,57,0
2017-07-24,14:05:00,9.328,9.328,9.328,9.328,64,0
2017-07-24,16:20:00,9.365,9.376,9.365,9.376,200,0
2017-07-24,17:30:00,9.491,9.492,9.307,9.307,350,0
2017-07-25,09:05:00,9.231,9.284,9.231,9.284,268,0
2017-07-25,09:15:00,9.254,9.254,9.254,9.254,2317,0
2017-07-25,09:25:00,9.254,9.254,9.254,9.254,650,0
2017-07-25,11:00:00,9.231,9.231,9.231,9.231,285,0
2017-07-25,11:10:00,9.231,9.231,9.231,9.231,455,0
2017-07-25,15:40:00,9.039,9.039,8.843,8.888,2451,0
2017-07-25,15:45:00,8.882,8.95,8.882,8.95,3365,0
2017-07-25,15:55:00,9.047,9.047,9.047,9.047,2,0
2017-07-25,16:00:00,9.062,9.062,9.062,9.062,55,0
2017-07-25,17:20:00,9.001,9.001,9.001,9.001,2831,0
2017-07-25,17:25:00,9.142,9.142,9.142,9.142,2,0
2017-07-25,17:30:00,9.006,9.095,9.006,9.095,68,0
2017-07-26,09:05:00,9.14,9.14,9.14,9.14,68,0
2017-07-26,09:10:00,9.14,9.14,9.14,9.14,599,0
2017-07-26,10:10:00,9,9,9,9,190,0
2017-07-26,10:15:00,9.06,9.06,9.06,9.06,500,0
2017-07-26,10:35:00,9.099,9.099,9.099,9.099,300,0
2017-07-26,13:20:00,9.09,9.09,9.09,9.09,300,0
2017-07-26,17:20:00,9,9,9,9,1810,0
2017-07-26,17:30:00,8.993,8.993,8.882,8.911,2091,0
2017-07-27,09:05:00,8.85,8.85,8.85,8.85,11,0
2017-07-27,09:10:00,8.85,8.85,8.85,8.85,439,0
2017-07-27,10:25:00,8.85,9,8.85,9,4000,0
2017-07-27,11:00:00,8.89,9,8.89,9,1000,0
2017-07-27,11:55:00,9.013,9.015,9.013,9.015,4000,0
2017-07-27,12:00:00,8.963,8.963,8.963,8.963,647,0
2017-07-27,12:50:00,8.877,8.877,8.877,8.877,1000,0
2017-07-27,13:25:00,9.001,9.001,9.001,9.001,625,0
2017-07-27,13:30:00,9.09,9.112,9.09,9.112,680,0
2017-07-27,13:50:00,9.181,9.181,9.18,9.18,2388,0
2017-07-27,15:20:00,9.341,9.341,9.341,9.341,25,0
2017-07-27,15:25:00,9.34,9.34,9.34,9.34,79,0
2017-07-27,16:45:00,9.137,9.137,9.137,9.137,1154,0
2017-07-27,17:00:00,9.336,9.336,9.336,9.336,215,0
2017-07-27,17:30:00,9.219,9.219,9.219,9.219,400,0
2017-07-28,09:05:00,9.062,9.062,9.062,9.062,131,0
2017-07-28,09:15:00,9.276,9.276,9.276,9.276,2,0
2017-07-28,10:35:00,9.038,9.038,9.038,9.038,1700,0
2017-07-28,11:20:00,9.143,9.143,9.143,9.143,400,0
2017-07-28,14:25:00,9.1,9.1,9.1,9.1,30,0
2017-07-28,17:30:00,9.001,9.001,9.001,9.001,304,0
2017-07-31,09:05:00,9,9,9,9,79,0
2017-07-31,09:15:00,9.124,9.124,9.124,9.124,92,0
2017-07-31,09:30:00,9.124,9.125,9.124,9.125,1100,0
2017-07-31,13:20:00,9,9,9,9,177,0
2017-07-31,13:40:00,9.001,9.001,9.001,9.001,400,0
2017-07-31,13:55:00,9.231,9.231,9.231,9.231,29,0
2017-07-31,14:25:00,9.226,9.226,9.226,9.226,1500,0
2017-07-31,15:45:00,9.197,9.199,9.197,9.199,560,0
