Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-05-09,17:25:00,22.448,22.55,22.448,22.55,83,0
2016-05-09,17:30:00,22.101,22.101,22.101,22.101,163,0
2016-05-10,09:05:00,22.448,22.452,22.448,22.452,98,0
2016-05-10,09:15:00,22.545,22.657,22.545,22.657,292,0
2016-05-10,10:30:00,22.74,22.765,22.74,22.765,410,0
2016-05-10,11:40:00,22.843,22.843,22.843,22.843,10,0
2016-05-10,16:35:00,22.837,22.837,22.837,22.837,5,0
2016-05-10,17:30:00,22.55,22.55,22.55,22.55,5,0
2016-05-11,11:20:00,22.8,22.8,22.8,22.8,5,0
2016-05-11,11:30:00,22.505,22.505,22.34,22.34,500,0
2016-05-11,14:15:00,22.595,22.595,22.595,22.595,40,0
2016-05-11,15:15:00,22.5,22.5,22.5,22.5,10,0
2016-05-12,13:00:00,22.6,22.7,22.6,22.7,20,0
2016-05-12,13:05:00,22.8,22.8,22.8,22.8,10,0
2016-05-12,14:45:00,22.8,22.8,22.8,22.8,122,0
2016-05-12,14:55:00,22.9,22.9,22.9,22.9,10,0
2016-05-12,15:10:00,23,23,23,23,1,0
2016-05-13,09:05:00,22.8,22.8,22.8,22.8,5,0
2016-05-13,10:30:00,23,23,23,23,8,0
2016-05-13,11:00:00,23,23,23,23,1,0
2016-05-13,11:05:00,23.1,23.1,23.1,23.1,10,0
2016-05-17,09:10:00,23,23,23,23,10,0
2016-05-17,10:05:00,22.805,22.805,22.54,22.54,500,0
2016-05-17,10:10:00,22.505,22.505,22.39,22.39,500,0
2016-05-18,10:30:00,22.32,22.32,22.32,22.32,10,0
2016-05-18,12:10:00,23.085,23.085,23.085,23.085,10,0
2016-05-19,09:05:00,22.3,22.3,22.3,22.3,10,0
2016-05-20,13:20:00,22.895,22.895,22.895,22.895,100,0
2016-05-25,13:45:00,22.895,22.895,22.895,22.895,2,0
2016-05-27,10:35:00,22.21,22.21,22.205,22.205,605,0
2016-05-27,15:10:00,22.21,22.21,22.21,22.21,20,0
2016-05-27,17:30:00,22.215,22.215,22.215,22.215,269,0
2016-05-30,10:45:00,22.8,22.8,22.8,22.8,361,0
2016-05-30,11:30:00,22.655,22.655,22.29,22.29,1100,0
2016-05-30,17:30:00,22.29,22.29,22.29,22.29,46,0
2016-05-31,17:30:00,22.02,22.02,22.02,22.02,20,0
2016-06-01,17:30:00,21.83,21.83,21.83,21.83,570,0
2016-06-02,09:05:00,22.1,22.1,22.1,22.1,7,0
2016-06-06,11:10:00,21.8,21.8,21.625,21.625,190,0
2016-06-06,16:40:00,21.9,22,21.9,22,13,0
2016-06-06,16:45:00,22.1,22.4,22.1,22.4,33,0
2016-06-07,17:30:00,21.78,21.78,21.78,21.78,23,0
2016-06-08,17:30:00,21.62,21.62,21.62,21.62,10,0
2016-06-09,09:55:00,21.605,21.605,21.605,21.605,10,0
2016-06-09,17:30:00,21.44,21.44,21.44,21.44,30,0
2016-06-10,17:30:00,21.4,21.4,21.4,21.4,10,0
2016-06-14,16:50:00,21.305,21.305,21,21,582,0
